,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Archer,Buck_Bay,CarolEstates,Duck_Pond,EastGNV,EastMidtownEastA,Gainesvilleish_Region,Golfview,HSBUI,HaileLike,Hawthorne,HighSpringsAGNV,HighSprings_A,HighSprings_B,HighSprings_E,HighSprings_F,High_Springs_Main,Ironwood,Jonesville,Lincoln_Estates,Lugano,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,Newmans_Lake,QuailCreekish,Real_Tioga,Springtree_A,Springtree_B,SummerCreek,TC_Forest,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,WaldoRural_C,Westchesterish,WildsPlantation,swNewberry_A,swNewberry_B,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
9,16841,3.02,1056,3.0,SUWANNEE,165400,1979,100,1056.0,1979,2022,0,0.0,48.0,0.0,30,42,0,0,2.0,1719,138871.0,3.6527766336639607,-82.549333,29.738568,04076-007-001,HighSprings_B,False,0.7,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.181228015412046,195092.2915173312,196811.2915173312,31411.291517331207,56221.29151733121,31411.291517331207,56221.29151733121,1.1899110732607692
108,78484,0.23,1307,3.0,GAINESVILLE,161900,1970,100,1307.0,1958,2022,0,0.0,120.0,0.0,30,63,0,0,1.5,216,137399.0,0.27819159792805,-82.351726,29.677758,09004-069-000,Springtree_B,True,0.7,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,12.12133346402942,183750.3761282442,183966.3761282442,22066.376128244214,46351.376128244214,22066.376128244214,46351.376128244214,1.1362963318606807
131,96603,0.59,1581,3.0,WALDO,209700,1990,100,1581.0,1980,2022,0,0.0,168.0,0.0,30,41,0,0,1.5,200,178045.0,0.7136219251197803,-82.172204,29.783037,17269-002-001,WaldoRural_A,True,0.7,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,11.72090599131127,123118.91935569493,123318.91935569493,-86381.08064430507,-54926.08064430507,86381.08064430507,54926.08064430507,0.5880730536752262
139,14318,0.29,976,2.0,ALACHUA,81600,1960,100,976.0,1937,2022,0,0.0,114.0,0.0,30,84,0,0,2.0,31,69328.99999999999,0.3507633191266717,-82.491052,29.786439,03491-000-000,Alachua_Main,True,0.7,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.731171446757651,124389.30050147418,124420.30050147418,42820.30050147418,55060.300501474194,42820.30050147418,55060.300501474194,1.5247585845768894
146,14802,0.46,1066,2.0,ALACHUA,117300,1974,100,1066.0,1974,2022,0,0.0,336.0,0.0,30,47,0,0,2.0,338,99367.0,0.5563831958561,-82.499467,29.78937,03801-001-000,Alachua_Main,True,0.7,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.82122483073135,136110.83972033617,136448.83972033617,19148.839720336167,36743.83972033617,19148.839720336167,36743.83972033617,1.1632467154333859
275,61953,0.13,1969,4.0,ST. JOHN'S,382000,2010,100,1302.0,2010,2022,0,667.0,146.0,462.0,11,11,0,0,2.5,887,323813.0,0.15723872926368043,-82.436226,29.630186,06860-366-031,HaileLike,True,0.89,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.952627849667667,421943.98602392053,422830.98602392053,40830.98602392053,98130.98602392053,40830.98602392053,98130.98602392053,1.1068873979683784
306,77462,0.15,640,3.0,GAINESVILLE,104100,1974,100,496.0,1953,2022,0,0.0,144.0,0.0,30,68,0,0,1.0,789,87696.0,0.18142930299655433,-82.347931,29.684604,08879-008-000,Springtree_B,True,0.7,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,11.67276049142081,117331.7288706559,118120.7288706559,14020.728870655905,29635.728870655905,14020.728870655905,29635.728870655905,1.1346851956835342
318,93391,0.44,1164,3.0,ST. JOHN'S,81600,1968,100,936.0,1968,2022,0,0.0,276.0,0.0,30,53,0,0,1.0,0,69360.0,0.532192622123226,-82.272169,29.630748,16187-045-000,Newmans_Lake,True,0.7,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.819644628686607,135895.9269406259,135895.9269406259,54295.92694062591,66535.92694062591,54295.92694062591,66535.92694062591,1.6653912615272783
349,13720,0.19,1516,3.0,ALACHUA,235900,2014,100,1516.0,2014,2022,0,0.0,42.0,420.0,7,7,0,0,2.0,483,200032.0,0.22981045046230214,-82.491379,29.798183,03218-020-038,Alachua_Main,True,0.9299999999999999,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.482212562240788,263606.45317313523,264089.45317313523,28189.453173135233,63574.45317313523,28189.453173135233,63574.45317313523,1.1194974700005733
428,46054,0.08,2340,4.0,GAINESVILLE,355500,2004,100,1673.0,2004,2022,0,667.0,133.0,484.0,17,17,0,0,2.5,1164,301011.0,0.09676229493149564,-82.399863,29.661105,06364-003-026,HighSpringsAGNV,True,0.83,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.869348833248335,388228.294417932,389392.294417932,33892.29441793199,87217.29441793199,33892.29441793199,87217.29441793199,1.095336974452692
