prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,geo_id,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,hood_cd,sl_county_ratio_cd
17085,5.36,1638,4,SUWANNEE,204000,358800,2018,100,1238,1989,2023,0,-82.51399168,29.71718487,04099-005-012,0,634,0,4,33,0,0,2,5073,154209.41,2
18109,0.21,1224,3,SUWANNEE,43700,285300,2003,100,1224,1985,2023,0,-82.45812302,29.68619077,04210-001-053,0,42,488,19,37,0,0,2,3110,154225.01,1
18215,0.36,1428,3,SUWANNEE,43000,305800,1985,100,1428,1985,2023,0,-82.45718513,29.68434477,04211-010-035,0,186,448,37,37,0,0,2,2664,154225.01,1
18378,0.19,1809,4,SUWANNEE,212702,351700,2005,100,1809,1997,2023,0,-82.46190846,29.68470122,04211-322-076,0,104,440,17,25,0,0,2,1796,134225.02,1
18478,0.3,1542,4,SUWANNEE,235400,317400,2004,100,1542,2004,2023,0,-82.46004303,29.68194424,04211-400-180,0,138,462,18,18,0,0,2,3901,134225.02,1
18679,1,3342,5,SUWANNEE,240001,800800,2005,100,2933.5,2005,2023,0,-82.49141801,29.67630354,04222-200-080,408,769.5,744,17,17,0,0,3.5,12276,134227.01,1
18749,0.26,2009,3,SUWANNEE,242200,421700,2011,100,2009,2011,2023,0,-82.4979491,29.67949589,04223-010-007,0,404,506,11,11,0,0,3,1061,154200.01,1
18855,0.17,1590,3,SUWANNEE,239800,368600,2005,100,1590,2005,2023,0,-82.49830257,29.67570995,04227-010-063,0,259,455,17,17,0,0,2,1615,134227.02,1
18857,0.22,1828,3,SUWANNEE,239800,341700,2006,100,1827.5,2006,2023,0,-82.49855301,29.67603342,04227-010-065,0,233.5,436,16,16,0,0,2,935,134227.02,1
18870,0.17,1521,3,SUWANNEE,239800,389300,2005,100,1521,2005,2023,0,-82.49927731,29.67419616,04227-010-078,0,292,420,17,17,0,0,2,1519,134227.02,1
18904,0.16,1565,3,SUWANNEE,239801,303800,2007,100,1565,2007,2023,0,-82.49917042,29.67681658,04227-020-111,0,262,420,15,15,0,0,2,763,134227.02,1
14995,1.1,2029,3,ALACHUA,39401,203800,1977,100,1375,1962,2023,0,-82.50299623,29.78968528,03864-012-000,0,654,0,45,60,0,0,2,7797,233215.11,1
15443,2.76,2362,3,ALACHUA,146200,513600,2008,100,2362,2003,2023,0,-82.503529,29.77374146,03925-010-012,0,560,522,14,19,0,0,2,3345,233222.13,1
15768,4.87,2121,3,ALACHUA,2000,500500,1985,100,2121,1981,2023,0,-82.47967217,29.75714604,03968-014-000,0,15,723,37,41,0,0,2,6432,233225.11,1
16000,0.51,984,3,ALACHUA,154700,214600,2005,100,984,1995,2023,0,-82.51269649,29.76456418,03980-003-037,0,120,312,17,27,0,0,1,814,233228.01,1
16167,0.1,1496,3,ALACHUA,246000,264400,2007,100,1495.5,2007,2023,0,-82.51374102,29.76804928,03980-020-107,0,175.5,399,15,15,0,0,2,292,233222.14,1
16750,5,1722,4,SUWANNEE,30000,458600,2015,100,1079,1979,2023,0,-82.5311065,29.73927365,04072-017-006,643,6,483,7,43,0,0,2,16267,154205.45,1
17046,21,1882,3,SUWANNEE,0,757800,2000,100,1882,1983,2023,0,-82.53912259,29.72416643,04092-003-000,0,746,598,22,39,0,0,2,4932,154208.45,1
12366,0.17,1369,3,HIGH SPRINGS,246700,288500,2016,100,1369,2016,2023,0,-82.54989579,29.80636504,03034-010-025,0,186,504,6,6,0,0,2,1182,223100.15,1
12559,0.23,2108,3,SUWANNEE,172900,295600,2000,100,1520,1976,2023,0,-82.52716811,29.80790818,03043-069-000,0,696,0,22,46,0,0,2,1650,233208.01,1
12562,0.23,1844,3,SUWANNEE,172900,208100,1970,100,1844,1968,2023,0,-82.52717045,29.80763323,03043-072-000,0,102,0,52,54,0,0,2,340,233208.01,1
12667,0.25,2640,4,ALACHUA,238900,488400,2004,100,2640,2004,2023,0,-82.5210624,29.80653447,03053-010-001,0,781,483,18,18,0,0,2,7541,233208.02,1
12737,3.95,1029,3,ALACHUA,0,300000,2008,100,1029,1950,2023,0,-82.52217751,29.8011667,03058-000-000,0,0,0,14,72,0,0,1,5408,233209,1
13388,0.17,867,3,ALACHUA,2300,142900,1991,100,867,1991,2023,0,-82.47477579,29.79155345,03195-002-043,0,112,281,31,31,0,0,1,224,233213.02,1
13738,0.19,1337,3,ALACHUA,245700,214900,2009,100,1337,2009,2023,0,-82.4906401,29.79648019,03218-020-056,0,180,380,13,13,0,0,2,253,233214.06,1
14159,0.26,1364,2,ALACHUA,38600,122900,1973,100,1364,1958,2023,0,-82.49306965,29.79152936,03407-013-000,0,65,0,49,64,0,0,1,1366,233214.02,1
14214,0.17,1056,3,ALACHUA,197300,203800,2008,100,1056,1975,2023,0,-82.49360908,29.78618817,03428-010-000,0,0,0,14,47,0,0,1,259,233214.02,1
14222,0.2,1052,3,ALACHUA,197300,186700,2005,100,1052,1937,2023,0,-82.493265,29.78686771,03432-000-000,0,154,0,17,85,0,0,1,839,233214.02,1
14235,0.29,1056,3,ALACHUA,197300,160100,1978,100,1056,1975,2023,0,-82.4924068,29.78695919,03439-002-001,0,0,288,44,47,0,0,1.5,100,233214.02,1
14386,0.17,1000,3,ALACHUA,98700,146300,2000,100,1000,1975,2023,0,-82.49810928,29.79867944,03531-029-000,0,0,0,22,47,0,0,1,0,233215.02,1
14609,0.14,1152,3,ALACHUA,147800,197800,2010,100,1152,1920,2023,0,-82.49767665,29.790297,03643-004-000,0,140,0,12,102,0,0,1,1458,233215.02,1
14795,0.23,1970,3,ALACHUA,29400,180400,1976,100,1970,1964,2023,0,-82.49957542,29.79061342,03794-002-000,0,16,0,46,58,0,0,3,6014,233215.02,1
14859,0.21,1096,3,ALACHUA,50300,132500,1982,100,1096,1935,2023,0,-82.50001818,29.78753069,03828-000-000,0,96,0,40,87,0,0,2,669,233215.02,1
14862,0.21,912,3,ALACHUA,50300,148700,1974,100,912,1962,2023,0,-82.5002546,29.78752986,03828-006-000,0,0,0,48,60,0,0,1,2068,233215.02,1
9869,0.3,1673,4,NEWBERRY,165300,314500,2000,100,1552.5,1998,2023,0,-82.61077296,29.63611261,02534-010-007,0,171.5,420,22,24,0,0,2,608,215109.01,1
9928,0.32,1639,3,NEWBERRY,165300,263400,2004,100,1639,2004,2023,0,-82.61193961,29.63409379,02534-015-010,0,240,462,18,18,0,0,2,1519,215109.01,1
