,OID_,Join_Count,TARGET_FID,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,geo_id,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,hood_cd,sl_county_ratio_cd,FID_Market_Cluster_Union,FID_Market_Cluster,Market_Cluster_ID,sale_year,Assessment_Val,landiness,in_subdivision,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Archer,Buck_Bay,Carol_Estates,Duck_Pond,EastGNV,EastMidtownEastA,Florida_Park,Gainesvilleish_Region,Golfview,HSBUI_2,Haile_Like,Hawthorne,Hickory_Forest,HighSpringsA,HighSpringsAGNV,HighSpringsAGNVSouth,HighSpringsB,High_Springs,High_Springs_Main,Highland,Ironwood,Jonesville,Kanapaha,Lincoln_Estates,Lugano,Metcalf,MidtownEast_A,MidtownEast_B,MidtownEast_C,Montery,Newnans_Lake,QuailCreek,Rural_North,Rural_South,San_Felasco,Sorrento,Split_Rock,Springtree,SummerCreek,Sweetwater,TC_Forest,Tioga,Tioga_A,Tioga_B,Turkey_Creek,Valwood,Waldo,WaldoRural,Westchester,WildsPlantation,swNewberry_A,swNewberry_B,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
1583,1584,1,1584,87215,0.05,735,1.0,GAINESVILLE,117300,1979,100,735,1958,2022,0,-82.33021084,29.64546983,13368-001-000,0,60,0,30,63,0,0,1,520,145405.04,1,26.0,37.0,MidtownEast_A,2021,99185.0,0.06670144060108564,True,0.7,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.901350659301682,147465.66666607864,147985.66666607864,30685.666666078643,48280.66666607864,30685.666666078643,48280.66666607864,1.2615998863263311
1884,1885,1,1885,84402,0.21,1056,1.0,GAINESVILLE,118100,2010,100,1056,2010,2022,0,-82.29554582999998,29.65154534,11251-001-000,0,24,0,11,11,0,0,1,311,315403.03,1,6.0,13.0,EastGNV,2021,100074.0,0.28014605052455965,True,0.89,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.908440958811546,148514.95790889778,148825.95790889778,30725.957908897777,48440.95790889778,30725.957908897777,48440.95790889778,1.2601689916079406
1891,1892,1,1892,85114,0.17,732,1.0,GAINESVILLE,75100,1979,100,732,1946,2022,0,-82.30666442,29.65073487,11745-000-000,0,117,0,30,75,0,0,1,0,145404.05,1,6.0,13.0,EastGNV,2021,63835.0,0.22678489804369117,True,0.7,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.49245294475017,97973.56190238148,97973.56190238148,22873.56190238148,34138.56190238148,22873.56190238148,34138.56190238148,1.3045747257307787
2004,2005,1,2005,3432,0.2,1442,1.0,HIGH SPRINGS,142000,1978,100,1266,1914,2022,0,-82.60507963,29.83082701,00861-000-000,0,356,0,30,107,0,0,1,346,223100.07,1,20.0,31.0,High_Springs,2021,120354.00000000001,0.26680576240434256,True,0.7,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.099002330591608,179692.49908679968,180038.49908679968,38038.49908679968,59338.49908679967,38038.49908679968,59338.49908679967,1.267876754132392
2299,2300,1,2300,81607,0.24,1331,1.0,GAINESVILLE,159100,1975,100,1100,1958,2022,0,-82.31076864,29.66400334,10572-023-000,0,255,0,30,63,0,0,2,2185,324433.02,1,50.0,67.0,MidtownEast_C,2021,133050.0,0.32016691488521104,True,0.7,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.196729885307983,198140.14955235616,200325.14955235616,41225.14955235616,65090.14955235616,41225.14955235616,65090.14955235616,1.2591147049173863
4040,4041,1,4041,74727,0.62,720,1.0,GAINESVILLE,107000,1974,100,720,1947,2023,0,-82.33724284,29.69027974,08146-000-000,0,0,0,30,75,0,0,1,449,324420.03,1,40.0,53.0,Westchester,2022,90501.0,0.8270978634534619,True,0.7,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,11.805355806812186,133967.94137132537,134416.94137132537,27416.941371325374,43466.941371325374,27416.941371325374,43466.941371325374,1.2562330969282745
6797,6798,1,6798,91042,0.23,1946,1.0,GAINESVILLE,280000,1994,100,1946,1978,2024,0,-82.33633075,29.63316213,15699-059-022,0,178,432,29,45,0,0,3,2880,148400.02,1,26.0,37.0,MidtownEast_A,2023,235120.0,0.30682662676499395,True,0.71,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.753585059943081,345789.3521906605,348669.3521906605,68669.35219066049,110669.35219066049,68669.35219066049,110669.35219066049,1.245247686395216
7001,7002,1,7002,80914,0.11,1412,1.0,GAINESVILLE,224900,2020,100,1412,1953,2025,0,-82.32333189,29.66551154,10064-002-000,0,0,0,4,71,0,0,2,451,324432.52,2,26.0,37.0,MidtownEast_A,2024,190714.0,0.1467431693223884,False,0.96,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.576995442178813,289814.2391830714,290265.2391830714,65365.23918307142,99100.23918307142,65365.23918307142,99100.23918307142,1.2906413480794638
7280,7281,1,7281,79157,0.76,3303,1.0,GAINESVILLE,300000,1999,100,3303,1968,2025,0,-82.35227433999998,29.66711479,09018-071-000,0,44,0,25,56,0,0,2,4980,324431.05,1,27.0,38.0,MidtownEast_B,2024,250020.0,1.0138618971365017,True,0.75,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.91745108489576,407359.3851087045,412339.3851087045,112339.3851087045,157339.3851087045,112339.3851087045,157339.3851087045,1.3744646170290151
7600,7601,1,7601,93483,0.15,672,1.0,ST. JOHN'S,75000,1995,100,672,1965,2025,0,-82.26847818,29.63012963,16189-003-023,0,15,0,29,59,0,0,1,479,315412.04,1,29.0,41.0,Newnans_Lake,2024,63271.00000000001,0.2001043218032569,True,0.71,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.488877720435468,97623.90985636276,98102.90985636276,23102.909856362763,34352.909856362756,23102.909856362763,34352.909856362756,1.308038798084837
