,OID_,Join_Count,TARGET_FID,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,geo_id,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,hood_cd,sl_county_ratio_cd,FID_Market_Cluster_Union,FID_Market_Cluster,Market_Cluster_ID,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST. JOHN'S,SUWANNEE,WALDO,Alachua_Main,Archer,Buck_Bay,Carol_Estates,Duck_Pond,EastGNV,EastMidtownEastA,Florida_Park,Gainesvilleish_Region,Golfview,HSBUI_2,Haile_Like,Hawthorne,Hickory_Forest,HighSpringsA,HighSpringsAGNV,HighSpringsAGNVSouth,HighSpringsB,High_Springs,High_Springs_Main,Highland,Jonesville,Kanapaha,Lincoln_Estates,Lugano,Metcalf,MidtownEast_A,MidtownEast_B,MidtownEast_C,Montery,Newnans_Lake,QuailCreek,Rural_North,Rural_South,San_Felasco,Sorrento,Split_Rock,Springtree,SummerCreek,Sweetwater,TC_Forest,Tioga,Tioga_A,Tioga_B,Turkey_Creek,Valwood,Waldo,WaldoRural,Westchester,WildsPlantation,swNewberry_A,swNewberry_B,landiness,in_subdivision,percent_good,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,AbsV_Market_Residual,sale_ratio
122,123,1,123,85460,0.02,540,0.5665645,GAINESVILLE,30000,1995,100,540.0,1952,2025,0,-82.31539381999998,29.64672964,12069-000-000,0,0.0,0,29,72,0,0,1.0,160,145404.05,1,26.0,37.0,MidtownEast_A,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.06819834167321251,True,0.71,11.45585689793348,94452.9303570681,94612.9303570681,64612.93035706809,64612.93035706809,3.153764345235603
289,290,1,290,81953,0.24,1762,1.0,GAINESVILLE,128000,1995,100,1426.0,1957,2025,0,-82.31284839999998,29.67093611,10607-019-000,0,360.0,0,29,67,0,0,2.0,1621,324433.01,1,50.0,67.0,MidtownEast_C,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8183801000785501,True,0.71,12.452186915825704,255809.14442480454,257430.14442480454,129430.14442480454,129430.14442480454,2.0111730033187856
668,669,1,669,96058,0.29,2222,0.5665645,WALDO,107500,1989,100,2222.0,1953,2025,0,-82.17140408999998,29.79135946,17072-013-000,0,0.0,0,30,71,0,0,2.0,6499,313523.01,2,38.0,51.0,Waldo,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.9888759542615814,True,0.7,11.908316297876581,148496.44504932774,154995.44504932774,47495.44504932774,47495.44504932774,1.4418180934821185
687,688,1,688,32186,0.25,1036,1.0,GAINESVILLE,110000,2014,100,1036.0,1981,2025,0,-82.36252048,29.71603325,06014-015-020,0,0.0,300,10,43,0,0,2.0,423,174313.04,1,33.0,45.0,Springtree,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8524792709151564,True,0.9,12.418701735303532,247385.1555455732,247808.1555455732,137808.1555455732,137808.1555455732,2.252801414050665
858,859,1,859,77516,0.15,832,1.0,GAINESVILLE,110000,1995,100,832.0,1960,2025,0,-82.34009512999998,29.68229306,08952-002-000,0,66.0,0,29,64,0,0,1.0,673,324430.02,1,33.0,45.0,Springtree,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5114875625490939,True,0.71,11.968583558829362,157721.0994443696,158394.0994443696,48394.09944436961,48394.09944436961,1.4399463585851784
895,896,1,896,14435,0.11,692,1.0,ALACHUA,75000,1995,100,692.0,1933,2025,0,-82.49747601,29.7969252,03554-000-000,0,108.0,0,29,91,0,0,1.0,0,233215.03,1,2.0,8.0,Alachua_Main,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3750908792026688,True,0.71,11.736293817191164,125028.10327204295,125028.10327204295,50028.10327204295,50028.10327204295,1.6670413769605728
937,938,1,938,31785,0.33,1749,1.0,GAINESVILLE,230500,2001,100,1557.0,1981,2025,0,-82.36918253999998,29.71685727,06014-003-044,0,422.0,462,23,43,0,0,2.0,3204,174313.12,1,33.0,45.0,Springtree,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.1252726376080064,True,0.77,12.639970190505096,308652.1490396062,311856.1490396062,81356.14903960621,81356.14903960621,1.3529550934473156
1044,1045,1,1045,75233,0.23,1245,1.0,GAINESVILLE,110000,1995,100,1075.0,1969,2025,0,-82.29979758,29.68011675,08197-007-027,0,212.0,0,29,55,0,0,2.0,3493,324427.01,1,50.0,67.0,MidtownEast_C,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7842809292419439,True,0.71,12.255632730691534,210161.74566600684,213654.74566600684,103654.74566600684,103654.74566600684,1.9423158696909713
1057,1058,1,1058,75883,0.19,1078,1.0,GAINESVILLE,118000,1995,100,1078.0,1962,2025,0,-82.30902718,29.67776349,08203-150-000,0,64.0,0,29,62,0,0,1.0,1742,324428.02,1,51.0,70.0,Highland,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6478842458955189,True,0.71,12.024499188091102,166791.39654183298,168533.39654183298,50533.396541832975,50533.396541832975,1.4282491232358727
1060,1061,1,1061,76009,0.24,1620,1.0,GAINESVILLE,128000,2008,100,1392.0,1966,2025,0,-82.30853826,29.68321041,08231-003-009,0,308.0,0,16,58,0,0,2.0,1868,324428.01,1,51.0,70.0,Highland,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8183801000785501,True,0.84,12.447664630726472,254654.91438847382,256522.91438847382,128522.91438847382,128522.91438847382,2.0040852686599515
