,OID_,Join_Count,TARGET_FID,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,geo_id,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,hood_cd,sl_county_ratio_cd,FID_Market_Cluster_Union,FID_Market_Cluster,Name,Market_Cluster_ID,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST. JOHN'S,SUWANNEE,WALDO,Highsprings_A1,Highsprings_B11,Highsprings_B12,Highsprings_B13,Highsprings_B14,Highsprings_B2,Highsprings_B3,Highsprings_B4,Highsprings_B5,Highsprings_B6,Highsprings_B7,Highsprings_B8,Highsprings_B9,Highsprings_C1,Highsprings_D1,Highsprings_E1,Highsprings_F1,MidtownEast_A1,MidtownEast_B1,MidtownEast_C1,MidtownEast_D1,MidtownEast_E1,MidtownEast_F1,Springtree_A1,Springtree_B1,Springtree_C1,Tioga_A1,Tioga_B1,WaldoRural_A1,WaldoRural_B1,WaldoRural_C1,swNewberry_A1,swNewberry_B1,landiness,in_subdivision,percent_good,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,AbsV_Market_Residual,sale_ratio
93,114,1,114,84794,0.16,638,1.0,GAINESVILLE,76000,1995,100,638.0,1951,2025,0,-82.30279925,29.6531331,11479-000-000,0,70.0,0,29,73,0,0,1.0,913,315403.01,1,6.0,13.0,EastGNV,MidtownEast_C1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5484738920812605,True,0.71,11.665450850432252,116477.20299954494,117390.20299954494,41390.20299954494,41390.20299954494,1.5446079342045387
96,117,1,117,84986,0.3,928,1.0,GAINESVILLE,100000,1995,100,928.0,1938,2025,0,-82.30898652,29.64942689,11641-000-000,0,112.0,0,29,86,0,0,1.0,560,145404.05,1,6.0,13.0,EastGNV,MidtownEast_C1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0283885476523633,True,0.71,11.936928004347616,152806.54741140414,153366.54741140414,53366.54741140414,53366.54741140414,1.5336654741140414
102,123,1,123,85460,0.02,540,0.5665645,GAINESVILLE,30000,1995,100,540.0,1952,2025,0,-82.31539381999998,29.64672964,12069-000-000,0,0.0,0,29,72,0,0,1.0,160,145404.05,1,26.0,37.0,MidtownEast_A,MidtownEast_A1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.06855923651015756,True,0.71,11.43788204635232,92770.32058630699,92930.32058630699,62930.32058630699,62930.32058630699,3.0976773528768997
244,289,1,289,81950,0.24,1201,1.0,GAINESVILLE,161000,1988,100,925.0,1957,2025,0,-82.31379298,29.67094204,10607-016-000,0,296.0,0,30,67,0,0,1.0,3620,324433.01,2,50.0,67.0,MidtownEast_C,MidtownEast_A1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8227108381218907,True,0.7,12.427583419134189,249592.13863653486,253212.13863653486,92212.13863653486,92212.13863653486,1.5727462027113965
245,290,1,290,81953,0.24,1762,1.0,GAINESVILLE,128000,1995,100,1426.0,1957,2025,0,-82.31284839999998,29.67093611,10607-019-000,0,360.0,0,29,67,0,0,2.0,1621,324433.01,1,50.0,67.0,MidtownEast_C,MidtownEast_A1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8227108381218907,True,0.71,12.71058514155428,331235.5860598657,332856.5860598657,204856.58605986572,204856.58605986572,2.600442078592701
383,451,1,451,80914,0.11,1412,1.0,GAINESVILLE,224900,2020,100,1412.0,1953,2025,0,-82.32333189,29.66551154,10064-002-000,0,0.0,0,4,71,0,0,2.0,451,324432.52,2,26.0,37.0,MidtownEast_A,MidtownEast_A1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3770758008058666,False,0.96,12.678424850164216,320752.42734457605,321203.42734457605,96303.42734457605,96303.42734457605,1.4282055462186574
404,481,1,481,98175,0.23,1450,1.0,ST. JOHN'S,140000,1995,100,1114.0,1964,2025,0,-82.24018427,29.64942523,17940-050-000,0,402.0,0,29,60,0,0,1.0,534,315506.12,1,29.0,41.0,Newnans_Lake,MidtownEast_C1,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7884312198668121,True,0.71,12.192323024500663,197268.89465248413,197802.89465248413,57802.89465248413,57802.89465248413,1.4128778189463151
569,669,1,669,96058,0.29,2222,0.5665645,WALDO,107500,1989,100,2222.0,1953,2025,0,-82.17140408999998,29.79135946,17072-013-000,0,0.0,0,30,71,0,0,2.0,6499,313523.01,2,38.0,51.0,Waldo,WaldoRural_A1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.9941089293972846,True,0.7,11.973271285824818,158462.18855459645,164961.18855459645,57461.18855459645,57461.18855459645,1.5345226842288042
586,688,1,688,32186,0.25,1036,1.0,GAINESVILLE,110000,2014,100,1036.0,1981,2025,0,-82.36252048,29.71603325,06014-015-020,0,0.0,300,10,43,0,0,2.0,423,174313.04,1,33.0,45.0,Springtree,Springtree_B1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.8569904563769695,True,0.9,12.363895780183057,234191.81486177235,234614.81486177235,124614.81486177235,124614.81486177235,2.1328619532888395
767,896,1,896,14435,0.11,692,1.0,ALACHUA,75000,1995,100,692.0,1933,2025,0,-82.49747601,29.7969252,03554-000-000,0,108.0,0,29,91,0,0,1.0,0,233215.03,1,2.0,8.0,Alachua_Main,Highsprings_B4,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3770758008058666,True,0.71,11.661196623602155,115982.73509252608,115982.73509252608,40982.73509252608,40982.73509252608,1.5464364679003477
