,OID_,Join_Count,TARGET_FID,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,geo_id,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,hood_cd,sl_county_ratio_cd,FID_Market_Cluster_Union,FID_Market_Cluster,Market_Cluster_ID,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST. JOHN'S,SUWANNEE,WALDO,Alachua_Main,Archer,Buck_Bay,Carol_Estates,Duck_Pond,EastGNV,EastMidtownEastA,Florida_Park,Gainesvilleish_Region,Golfview,HSBUI_2,Haile_Like,Hawthorne,Hickory_Forest,HighSpringsA,HighSpringsAGNV,HighSpringsAGNVSouth,HighSpringsB,High_Springs,High_Springs_Main,Highland,Jonesville,Kanapaha,Lincoln_Estates,Lugano,Metcalf,MidtownEast_A,MidtownEast_B,MidtownEast_C,Montery,Newnans_Lake,QuailCreek,Rural_North,Rural_South,San_Felasco,Sorrento,Split_Rock,Springtree,SummerCreek,Sweetwater,TC_Forest,Tioga,Tioga_A,Tioga_B,Turkey_Creek,Valwood,Waldo,WaldoRural,Westchester,WildsPlantation,swNewberry_A,swNewberry_B,landiness,in_subdivision,percent_good,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,AbsV_Market_Residual,sale_ratio
27,28,1,28,14435,0.11,692,1.0,ALACHUA,75000,1995,100,692.0,1933,2025,0,-82.49747601,29.7969252,03554-000-000,0,108.0,0,29,91,0,0,1,0,233215.03,1,2.0,8.0,Alachua_Main,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.37527750917096586,True,0.71,11.685726584917086,118862.96868400897,118862.96868400897,43862.96868400897,43862.96868400897,1.584839582453453
68,69,1,69,31785,0.33,1749,1.0,GAINESVILLE,230500,2001,100,1557.0,1981,2025,0,-82.36918253999998,29.71685727,06014-003-044,0,422.0,462,23,43,0,0,2,3204,174313.12,1,33.0,45.0,Springtree,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.1258325275128978,True,0.77,12.62291690864984,303433.2431604152,306637.2431604152,76137.24316041521,76137.24316041521,1.3303134193510422
174,175,1,175,75233,0.23,1245,1.0,GAINESVILLE,110000,1995,100,1075.0,1969,2025,0,-82.29979758,29.68011675,08197-007-027,0,212.0,0,29,55,0,0,2,3493,324427.01,1,50.0,67.0,MidtownEast_C,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7846711555392923,True,0.71,12.236251936120686,206127.8602636871,209620.8602636871,99620.8602636871,99620.8602636871,1.905644184215337
186,187,1,187,75883,0.19,1078,1.0,GAINESVILLE,118000,1995,100,1078.0,1962,2025,0,-82.30902718,29.67776349,08203-150-000,0,64.0,0,29,62,0,0,1,1742,324428.02,1,51.0,70.0,Highland,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6482066067498501,True,0.71,12.005057869754518,163580.06927050982,165322.06927050982,47322.06927050982,47322.06927050982,1.4010344853433037
189,190,1,190,76009,0.24,1620,1.0,GAINESVILLE,128000,2008,100,1392.0,1966,2025,0,-82.30853826,29.68321041,08231-003-009,0,308.0,0,16,58,0,0,2,1868,324428.01,1,51.0,70.0,Highland,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8187872927366527,True,0.84,12.437222129258306,252009.5163963974,253877.5163963974,125877.5163963974,125877.5163963974,1.9834180968468547
234,235,1,235,29562,0.48,1197,1.0,SUWANNEE,122000,1995,100,1197.0,1961,2025,0,-82.42124826,29.77340111,05901-007-000,0,0.0,0,29,63,0,0,1,5510,233321.02,1,2.0,8.0,Alachua_Main,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.6375745854733055,True,0.71,12.0886793943474,177847.08630212423,183357.08630212423,61357.086302124226,61357.086302124226,1.5029269369026577
356,357,1,357,7744,0.17,1692,1.0,NEWBERRY,170000,2011,100,1692.0,2007,2025,0,-82.61377681,29.65937975,01894-102-083,0,460.0,441,13,17,0,0,2,243,224100.03,1,42.0,55.0,swNewberry_A,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.5799743323551291,True,0.87,12.534838731484594,277850.57036454347,278093.57036454347,108093.57036454347,108093.57036454347,1.635844531556138
464,465,1,465,87741,0.1,732,1.0,GAINESVILLE,126000,1995,100,732.0,1900,2025,0,-82.33214710999998,29.65596246,13593-000-000,0,66.0,0,29,124,0,0,1,0,145405.07,2,26.0,37.0,MidtownEast_A,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.34116137197360535,True,0.71,12.03125609865315,167922.20718162387,167922.20718162387,41922.207181623875,41922.207181623875,1.332715930012888
594,595,1,595,85460,0.02,540,0.5665645,GAINESVILLE,30000,1995,100,540.0,1952,2025,0,-82.31539381999998,29.64672964,12069-000-000,0,0.0,0,29,72,0,0,1,160,145404.05,1,26.0,37.0,MidtownEast_A,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.06823227439472107,True,0.71,11.460862324382203,94926.8927552329,95086.8927552329,65086.8927552329,65086.8927552329,3.1695630918410966
759,760,1,760,81953,0.24,1762,1.0,GAINESVILLE,128000,1995,100,1426.0,1957,2025,0,-82.31284839999998,29.67093611,10607-019-000,0,360.0,0,29,67,0,0,2,1621,324433.01,1,50.0,67.0,MidtownEast_C,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8187872927366527,True,0.71,12.436809728879538,251905.60900357927,253526.60900357927,125526.60900357927,125526.60900357927,1.980676632840463
913,914,1,914,80914,0.11,1412,1.0,GAINESVILLE,224900,2020,100,1412.0,1953,2025,0,-82.32333189,29.66551154,10064-002-000,0,0.0,0,4,71,0,0,2,451,324432.52,2,26.0,37.0,MidtownEast_A,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.37527750917096586,False,0.96,12.646141919161515,310562.95678089035,311013.95678089035,86113.95678089035,86113.95678089035,1.3828988740813266
1100,1101,1,1101,79329,0.46,2457,1.0,GAINESVILLE,300000,1995,100,2457.0,1946,2025,0,-82.34042431,29.66160091,09068-000-000,0,0.0,0,29,78,0,0,3,5201,324431.02,1,105.0,,Florida_Park,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.5693423110785847,True,0.71,12.90518193494236,402391.9670392775,407592.9670392775,107592.96703927749,107592.96703927749,1.3586432234642583
1127,1128,1,1128,96058,0.29,2222,0.5665645,WALDO,107500,1989,100,2222.0,1953,2025,0,-82.17140408999998,29.79135946,17072-013-000,0,0.0,0,30,71,0,0,2,6499,313523.01,2,38.0,51.0,Waldo,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.9893679787234554,True,0.7,11.923048605451237,150700.33468045486,157199.33468045486,49699.334680454864,49699.334680454864,1.4623193923763242
1146,1147,1,1147,32186,0.25,1036,1.0,GAINESVILLE,110000,2014,100,1036.0,1981,2025,0,-82.36252048,29.71603325,06014-015-020,0,0.0,300,10,43,0,0,2,423,174313.04,1,33.0,45.0,Springtree,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8529034299340134,True,0.9,12.411038623654747,245496.6605937498,245919.6605937498,135919.6605937498,135919.6605937498,2.235633278124998
1316,1317,1,1317,77516,0.15,832,1.0,GAINESVILLE,110000,1995,100,832.0,1960,2025,0,-82.34009512999998,29.68229306,08952-002-000,0,66.0,0,29,64,0,0,1,673,324430.02,1,33.0,45.0,Springtree,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.511742057960408,True,0.71,11.937759550809377,152933.6660004196,153606.6660004196,43606.66600041959,43606.66600041959,1.3964242363674508
