,OID_,Join_Count,TARGET_FID,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,geo_id,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,hood_cd,sl_county_ratio_cd,FID_Market_Cluster_Union,FID_Market_Cluster,Market_Cluster_ID,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST. JOHN'S,SUWANNEE,WALDO,Alachua_Main,Archer,Buck_Bay,Carol_Estates,Duck_Pond,EastGNV,EastMidtownEastA,Florida_Park,Gainesvilleish_Region,Golfview,HSBUI_2,Haile_Like,Hawthorne,Hickory_Forest,HighSpringsA,HighSpringsAGNV,HighSpringsAGNVSouth,HighSpringsB,High_Springs,High_Springs_Main,Highland,Jonesville,Kanapaha,Lincoln_Estates,Lugano,Metcalf,MidtownEast_A,MidtownEast_B,MidtownEast_C,Montery,Newnans_Lake,QuailCreek,Rural_North,Rural_South,San_Felasco,Sorrento,Split_Rock,Springtree,SummerCreek,Sweetwater,TC_Forest,Tioga,Tioga_A,Tioga_B,Turkey_Creek,Valwood,Waldo,WaldoRural,Westchester,WildsPlantation,swNewberry_A,swNewberry_B,landiness,in_subdivision,percent_good,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,AbsV_Market_Residual,sale_ratio
14,15,1,15,13084,0.48,1740,1.0,ALACHUA,149900,1995,100,1740.0,1961,2025,0,-82.49385173999998,29.80058806,03131-060-000,0,66.0,0,29,63,0,0,2,1160,233211.01,1,2.0,8.0,Alachua_Main,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.6423318449139162,True,0.71,12.35420098673969,231932.34384007793,233092.34384007793,83192.34384007793,83192.34384007793,1.5549856160111937
20,21,1,21,13799,0.17,1056,1.0,ALACHUA,28000,1995,100,1056.0,1983,2025,0,-82.49406172,29.79722506,03221-002-007,0,0.0,0,29,41,0,0,2,195,233214.29,1,2.0,8.0,Alachua_Main,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5816591950736787,True,0.71,11.98326466889645,160053.70095871476,160248.70095871476,132248.70095871476,132248.70095871476,5.72316789138267
27,28,1,28,14435,0.11,692,1.0,ALACHUA,75000,1995,100,692.0,1933,2025,0,-82.49747601,29.7969252,03554-000-000,0,108.0,0,29,91,0,0,1,0,233215.03,1,2.0,8.0,Alachua_Main,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.3763677144594391,True,0.71,11.685940203256846,118888.3627062561,118888.3627062561,43888.3627062561,43888.3627062561,1.585178169416748
87,88,1,88,45768,0.34,1274,1.0,ST. JOHN'S,155000,1995,100,1274.0,1970,2025,0,-82.40326041,29.67380956,06353-150-002,0,84.0,0,29,54,0,0,2,387,114334.11,1,47.0,62.0,Gainesvilleish_Region,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.1633183901473574,True,0.71,12.308693936071156,221614.33847490192,222001.33847490192,67001.33847490192,67001.33847490192,1.4322666998380769
174,175,1,175,75233,0.23,1245,1.0,GAINESVILLE,110000,1995,100,1075.0,1969,2025,0,-82.29979758,29.68011675,08197-007-027,0,212.0,0,29,55,0,0,2,3493,324427.01,1,50.0,67.0,MidtownEast_C,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7869506756879182,True,0.71,12.236465554460446,206171.8976584051,209664.8976584051,99664.8976584051,99664.8976584051,1.9060445241673192
186,187,1,187,75883,0.19,1078,1.0,GAINESVILLE,118000,1995,100,1078.0,1962,2025,0,-82.30902718,29.67776349,08203-150-000,0,64.0,0,29,62,0,0,1,1742,324428.02,1,51.0,70.0,Highland,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6500896886117584,True,0.71,12.00527148809428,163615.0167058992,165357.0167058992,47357.01670589921,47357.01670589921,1.4013306500499934
189,190,1,190,76009,0.24,1620,1.0,GAINESVILLE,128000,2008,100,1392.0,1966,2025,0,-82.30853826,29.68321041,08231-003-009,0,308.0,0,16,58,0,0,2,1868,324428.01,1,51.0,70.0,Highland,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8211659224569581,True,0.84,12.437435747598066,252063.35600125254,253931.35600125254,125931.35600125254,125931.35600125254,1.9838387187597855
191,192,1,192,76052,0.24,1252,1.0,GAINESVILLE,110000,1995,100,1252.0,1970,2025,0,-82.30782626,29.68243485,08231-003-053,0,92.0,0,29,54,0,0,2,180,324428.01,1,51.0,70.0,Highland,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.8211659224569581,True,0.71,12.14939874612425,188980.43045679716,189160.43045679716,79160.43045679716,79160.43045679716,1.7196402768799741
234,235,1,235,29562,0.48,1197,1.0,SUWANNEE,122000,1995,100,1197.0,1961,2025,0,-82.42124826,29.77340111,05901-007-000,0,0.0,0,29,63,0,0,1,5510,233321.02,1,2.0,8.0,Alachua_Main,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.6423318449139162,True,0.71,12.088893012687162,177885.08175955038,183395.08175955038,61395.081759550376,61395.081759550376,1.5032383750782818
305,306,1,306,59073,0.27,1428,1.0,ST. JOHN'S,180000,1995,100,1428.0,1983,2025,0,-82.43030167,29.60362607,06857-006-031,0,24.0,336,29,41,0,0,2,12079,125320.05,1,19.0,30.0,Valwood,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.9238116627640779,True,0.71,12.507302093270178,270303.8818076976,282382.8818076976,102382.88180769759,102382.88180769759,1.5687937878205422
