Assessment_Val,Count,MAE,MSE,R2,PRD,COD,PRB,Weighted Mean,Average Deviation
10391.0,1,100769.8748675109,10154567680.813805,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.09347713404005413,0.0
10693.0,1,109843.19345430964,12065527148.240892,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.08871194363752063,0.0
14010.0,1,77216.55562044814,5962396461.885761,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.15357370345416949,0.0
14110.0,1,39987.955709596885,1599036601.8326821,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.2608231644785962,0.0
21047.0,1,77203.13758654185,5960324453.2065115,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.21421852953092438,0.0
21190.0,1,75960.52775917959,5770001777.453093,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.21811513008479558,0.0
23120.0,1,62922.44812554392,3959234478.1117654,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.2687045813278787,0.0
23565.0,1,89890.62012089738,8080323585.7194805,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.20770235952074767,0.0
26370.0,1,58015.805059957594,3365833636.755001,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.31249331544877307,0.0
26493.0,1,81640.14274606408,6665112907.59772,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.24500351443789248,0.0
28448.000000000004,1,79332.36932714915,6293624823.0591955,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.2639441688462849,0.0
28804.0,1,48572.28372630644,2359266746.3888135,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.3722587673231352,0.0
28884.999999999996,1,124296.6375558855,15449654107.699167,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.18856698792935828,0.0
28955.999999999996,1,94319.69478216635,8896204823.801018,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.234888150913824,0.0
29422.999999999996,1,66955.66355671067,4483060882.319433,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.3052854118763232,0.0
31168.999999999996,1,99090.57272781718,9818941603.526827,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.23928375740283536,0.0
31179.999999999996,1,84640.82155703958,7164068673.850616,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.269208934808362,0.0
31705.0,1,81367.97426786688,6620747236.456247,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.2803941455090028,0.0
33545.0,1,61226.595727973094,3748696024.436653,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.35395626445169953,0.0
33760.0,1,93856.40425697177,8809024620.04811,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.2645427928843691,0.0
34637.0,1,19337.737800622155,373948103.245611,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.6417261372893737,0.0
35185.0,1,62972.951315014725,3965592597.323215,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.35845287649782,0.0
35810.0,1,65634.14974070774,4307841612.185646,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.353002120787948,0.0
36465.0,1,70646.37307994578,4990910029.350888,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.3404400387322386,0.0
36710.0,1,80765.88874128729,6523128784.169996,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.3124896554802411,0.0
39610.0,1,100584.58522764163,10117258785.416702,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.2825358763727078,0.0
39718.0,1,90691.39609921892,8224929326.425422,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.30456394391843894,0.0
40893.0,1,17312.23003860395,299713308.9095409,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.7025657311701747,0.0
41125.0,1,74827.04378169608,5599086481.1078615,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.35467248923551875,0.0
41650.0,1,90016.4183770922,8102955577.439701,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.31632971044077873,0.0
42463.0,1,41913.378007599254,1756731256.0079048,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.5032569660216467,0.0
42525.0,1,331040.68748464255,109587936770.30478,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.11383540144261302,0.0
43205.0,1,61599.40497478313,3794486693.247337,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.4122441228533811,0.0
43912.0,2,64242.625596298094,4127114943.506135,0.0,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.4060112987114165,0.0
45244.0,1,82956.87400037934,6881842943.914813,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.35291491070385467,0.0
45268.0,1,29574.994544999077,874680302.3367252,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.6048395080288079,0.0
45546.0,1,64245.562029758235,4127492240.519513,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.4148406230676914,0.0
45677.0,1,62484.44418134348,3904305764.651429,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.42230390270508905,0.0
45746.0,1,87845.99197920575,7716918306.81068,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.34243070503148565,0.0
46334.0,1,13417.711884455653,180034992.2142625,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.7754422181174987,0.0
46672.0,1,90019.68659055518,8103543973.86178,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.3414399307238107,0.0
48717.99999999999,1,28792.21376592524,828991573.5427349,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.6285365196788714,0.0
48754.0,1,75002.2980698513,5625344715.75882,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.39395166759498546,0.0
49340.0,1,53417.86180891743,2853467960.236599,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.48015790842115624,0.0
49385.0,1,41890.12488390584,1754782562.7892272,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.5410565043084137,0.0
49445.99999999999,1,28413.356557534084,807318830.8655651,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.635068181734355,0.0
49660.0,1,53205.69892753963,2830846398.367992,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.4827653971901883,0.0
50009.99999999999,1,48474.07386675802,2349735837.239913,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.5077978401630703,0.0
50113.0,1,52037.40605386003,2707891628.8143086,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.4905805266557366,0.0
50370.0,1,41014.6174121715,1682198841.4668016,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.5511868564576518,0.0
51085.0,1,56132.68493149786,3150878317.618807,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.4764605767475633,0.0
51510.0,1,57493.48626189379,3305500962.5465703,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.4725536931565759,0.0
52068.0,1,47173.75997146052,2225363629.8449707,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.5246581682446328,0.0
52646.0,1,73673.86382151926,5427838210.391765,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.41676739039542465,0.0
53890.0,1,20583.615882103317,423685242.7819759,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.7236119713229912,0.0
54766.0,1,150712.27093741792,22714188611.113667,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.2665293987055204,0.0
55275.0,1,48275.30626326661,2330505194.8121886,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.5337985177896883,0.0
56119.99999999999,1,82205.50995781433,6757745867.424311,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.4057096917055656,0.0
56465.0,1,86331.48843108266,7453125894.726159,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.39542288903869993,0.0
56629.99999999999,1,21472.873631649556,461084302.0007908,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.7250693523400895,0.0
57607.0,1,39584.98469159825,1566971013.0340676,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.5927134854051378,0.0
58271.0,1,21221.339808872304,450345263.2836284,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.7330391851605336,0.0
58378.0,1,65727.25072587279,4320071487.981745,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.4703910564505203,0.0
59274.0,1,26690.053540519293,712358957.9957864,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.6895207654681047,0.0
59326.0,1,73907.7902743122,5462361463.231716,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.4452774320827695,0.0
59525.0,1,23441.17018980834,549488459.8675592,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.7174611032884837,0.0
59577.99999999999,1,69514.23262728131,4832228537.759781,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.46151498651367556,0.0
59636.0,1,84421.08054624539,7126918840.595652,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.41397479231057704,0.0
59964.0,1,31484.34792859615,991264164.4888967,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.6557144153858365,0.0
60227.0,1,72610.09841065243,5272226391.20463,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.45338990929939116,0.0
61129.99999999999,1,17908.524615560927,320715253.90615165,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.7734203073416791,0.0
61528.0,1,38553.032234037615,1486336294.4387434,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.6147818285498687,0.0
61875.0,1,18270.577425270487,333813999.45280355,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.772032618489693,0.0
62175.0,1,99995.54306609661,9999108633.083582,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.38339268540686233,0.0
62591.00000000001,1,72761.18118278412,5294189487.113937,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.4624306712536463,0.0
63010.0,1,8979.394523870142,80629526.0153091,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.875267814332113,0.0
63495.0,1,465166.90759241837,216380251919.0935,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.12010511649905489,0.0
63622.0,1,38983.19673514653,1519689627.691139,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.6200660592681932,0.0
63804.99999999999,1,100200.43539934055,10040127254.217419,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.38904198415521873,0.0
63835.0,1,40679.65943263794,1654834691.555409,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.6107755634140788,0.0
65025.0,1,61826.71024991236,3822542100.3266177,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.5126064116273508,0.0
