prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,geo_id,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,hood_cd,sl_county_ratio_cd
2200,5,1860,3,HIGH SPRINGS,203500,436500,2015,100,1860,2000,2024,0,-82.57071769,29.83396689,00243-020-000,0,372,0,8,23,0,0,2,50981,222136.01,1
2364,0.25,1629,3,HIGH SPRINGS,94000,311900,2008,100,1629,2005,2024,0,-82.5878842,29.83161532,00257-030-005,0,209,441,15,18,0,0,2,18203,222100.03,1
19249,9.45,1340,3,NEWBERRY,0,509300,2012,100,1340,1950,2024,0,-82.55579139,29.6603003,04266-005-000,0,30,0,11,73,0,0,1,23331,154200,2
19757,0.06,1844,3,SUWANNEE,245304,387100,2017,100,1843.5,2017,2024,0,-82.47640927,29.66318143,04314-102-062,0,216,415.5,6,6,0,0,2,2192,154235.01,1
20707,0.12,1682,3,SUWANNEE,233500,305000,2004,100,1682,2004,2024,0,-82.46665078,29.66890718,04321-600-007,0,236,432,19,19,0,0,2,765,154236.01,1
20919,1.18,1958,3,SUWANNEE,151800,378000,2010,100,1664,1973,2024,0,-82.47137024,29.64755359,04330-010-008,0,486,520,13,50,0,0,2,3478,215201.03,2
20921,1.4,2040,3,SUWANNEE,151800,300600,1999,100,2040,1973,2024,0,-82.47001777,29.64760543,04330-010-010,0,240,500,24,50,0,0,2,9757,215201.03,2
21045,0.28,3704,4,SUWANNEE,199300,514500,2000,100,1436,1997,2024,0,-82.48251008,29.65386597,04333-010-010,1400,1816,528,23,26,0,0,3.5,15089,215202.04,1
37516,0.33,1527,3,GAINESVILLE,144600,225000,1994,100,1527,1974,2024,0,-82.38425013,29.69828179,06071-030-005,0,76,560,29,49,0,0,2,2959,174323.03,1
52135,1,1902,4,ST. JOHN'S,0,260600,2000,100,1902,1966,2024,0,-82.43823875,29.65548783,06656-009-000,0,126,0,23,57,0,0,2,9750,125305.01,2
64730,0.15,2285,4,ST. JOHN'S,246100,476800,2013,100,2285,2013,2024,0,-82.43840785,29.58652846,07098-001-011,0,197.5,380,10,10,0,0,3,969,125332.03,1
64804,0.15,1842,4,ST. JOHN'S,246100,350200,2013,100,1842,2013,2024,0,-82.43879894,29.58464858,07098-001-085,0,216,420,10,10,0,0,2,969,125332.03,1
65269,0.18,3045,4,ST. JOHN'S,248400,627200,2010,100,2843,2010,2024,0,-82.42873936,29.58669393,07098-306-298,202,487,521,13,13,0,0,4,5363,125332.02,1
65332,0.13,1680,4,ST. JOHN'S,248400,369000,2011,100,1680,2011,2024,0,-82.42809154,29.5846663,07098-306-361,0,266,462,12,12,0,0,3,1045,125332.02,1
65654,1.06,3083,4,ST. JOHN'S,179700,540000,1996,100,3082.5,1996,2024,0,-82.36692234,29.59073857,07143-050-007,0,774.5,660,27,27,0,0,2.5,10037,148200.03,1
80181,0.14,1031,3,GAINESVILLE,103000,229500,1995,100,1031,1985,2024,0,-82.33453887,29.66145966,09612-004-000,0,180,336,28,38,0,0,1,369,324432.03,1
80203,0.17,946,3,GAINESVILLE,9905,171700,1994,100,850,1956,2024,0,-82.33325155,29.66437785,09616-000-000,0,96,0,29,67,0,0,1,4504,324432.04,1
