OID_,Join_Count,TARGET_FID,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,geo_id,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,hood_cd,sl_county_ratio_cd,FID_Market_Cluster_Union,FID_Market_Cluster,Name
1,1,1,4842,1.530000000000000,2016,3,HIGH SPRINGS,228700,370000,2005,100,2016.000000000000000,2005,2025,0,-82.608055039999996,29.802554560000001,01486-010-001,0,348.000000000000000,576,19,19,0,0,2.000000000000000,7572,223110.010000000009313,1,20,31,High_Springs
2,1,2,4848,1.020000000000000,1873,3,HIGH SPRINGS,228700,478000,2012,100,1873.000000000000000,2005,2025,0,-82.604881190000000,29.802985350000000,01486-010-007,0,519.000000000000000,460,12,19,0,0,2.000000000000000,46866,223110.010000000009313,1,20,31,High_Springs
3,1,3,4936,1.100000000000000,1850,4,HIGH SPRINGS,227601,415000,2014,100,1849.500000000000000,2014,2025,0,-82.608116780000003,29.809925480000000,01486-030-135,0,208.500000000000000,462,10,10,0,0,2.000000000000000,1850,223100.179999999993015,1,20,31,High_Springs
4,1,4,4951,1.030000000000000,1850,3,HIGH SPRINGS,227601,400000,2014,100,1849.500000000000000,2014,2025,0,-82.610762510000001,29.813161810000000,01486-030-150,0,208.500000000000000,462,10,10,0,0,2.000000000000000,2211,223100.179999999993015,1,20,31,High_Springs
5,1,5,5030,0.230000000000000,1056,3,HIGH SPRINGS,180500,175000,1995,100,1056.000000000000000,1976,2025,0,-82.599392929999993,29.814083320000002,01488-213-000,0,120.000000000000000,0,29,48,0,0,1.000000000000000,747,223100.019999999989523,1,89,31,High_Springs_Main
6,1,6,5056,0.230000000000000,1232,3,HIGH SPRINGS,180500,239900,2004,100,1232.000000000000000,1976,2025,0,-82.601246500000002,29.813244829999999,01488-244-000,0,120.000000000000000,0,20,48,0,0,1.500000000000000,841,223100.019999999989523,2,89,31,High_Springs_Main
7,1,7,5057,0.230000000000000,1050,3,HIGH SPRINGS,180500,225000,1995,100,1050.000000000000000,1973,2025,0,-82.601244240000000,29.812969859999999,01488-245-000,0,60.000000000000000,264,29,51,0,0,1.500000000000000,2076,223100.019999999989523,2,89,31,High_Springs_Main
8,1,8,5329,1.300000000000000,2184,3,HIGH SPRINGS,236000,472000,2008,100,2184.000000000000000,2004,2025,0,-82.566566670000000,29.805645960000000,01516-011-088,0,456.000000000000000,942,16,20,0,0,2.000000000000000,4144,223100.029999999998836,2,20,31,High_Springs
9,1,9,5337,1.060000000000000,1989,3,HIGH SPRINGS,236000,450000,2004,100,1989.000000000000000,2004,2025,0,-82.565613529999993,29.801660259999998,01516-011-096,0,258.000000000000000,660,20,20,0,0,2.000000000000000,5109,223100.029999999998836,1,20,31,High_Springs
10,1,10,5384,0.320000000000000,1736,3,HIGH SPRINGS,245400,384000,2015,100,1736.000000000000000,2015,2025,0,-82.563741210000003,29.806681460000000,01519-020-018,0,306.000000000000000,442,9,9,0,0,2.000000000000000,1436,223100.140000000013970,1,20,31,High_Springs
