OID_,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,Total_MISC_Val,effective_year_built,imprv_type_cd,base_area,sum_us_area,total_porch_area,total_garage_area,effective_age,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,Cluster_ID,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,HighSprings_A,HighSprings_B,HighSprings_C,HighSprings_D,HighSprings_E,HighSprings_F,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,MidtownEast_E,MidtownEast_F,Springtree_A,Springtree_B,Springtree_C,Tioga_A,Tioga_B,WaldoRural_A,WaldoRural_B,WaldoRural_C,swNewberry_A,swNewberry_B,swNewberry_C,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
641,12134,6.940000000000000,2236,1.150000000000000,ALACHUA,529100,5038,1995,100,1404.000000000000000,832.000000000000000,0.000000000000000,572.000000000000000,29,444697.000000000000000,8.986186951006969,-82.503099000000006,29.815033000000000,03013-010-009,HighSprings_B,True,False,False,0.710000000000000,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.880111772192496,392429.3390864772,397467.3390864772,-131632.660913522820920,-52267.660913522820920,131632.660913522820920,52267.660913522820920,0.751214022087464
642,12151,2.000000000000000,2748,1.150000000000000,ALACHUA,543200,10667,2012,100,2448.500000000000000,0.000000000000000,355.500000000000000,506.000000000000000,12,451052.999999999941792,2.589679236601432,-82.501540000000006,29.816285000000001,03013-020-014,HighSprings_B,True,False,False,0.880000000000000,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.213090242185089,547484.944784981,558151.944784981,14951.944784980965778,96431.944784981023986,14951.944784980965778,96431.944784981023986,1.027525671548198
643,12210,1.050000000000000,1750,1.000000000000000,ALACHUA,403800,7749,2002,100,1750.000000000000000,0.000000000000000,206.000000000000000,506.000000000000000,22,335481.000000000000000,1.359581599215752,-82.529550999999998,29.815978000000001,03024-010-002,HighSprings_B,True,False,False,0.780000000000000,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.593477399338711,294630.52695175994,302379.52695175994,-101420.473048240062781,-40850.473048240062781,101420.473048240062781,40850.473048240062781,0.748834885962754
644,12230,1.070000000000000,2645,1.000000000000000,ALACHUA,488100,3151,2000,100,2645.000000000000000,0.000000000000000,120.000000000000000,613.000000000000000,24,411734.000000000000000,1.385478391581766,-82.532368000000005,29.814959000000002,03024-010-023,HighSprings_B,True,False,False,0.760000000000000,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.83338339260057,374513.59858948947,377664.59858948947,-110435.401410510530695,-37220.401410510530695,110435.401410510530695,37220.401410510530695,0.773744311799815
645,12247,1.030000000000000,1609,1.000000000000000,ALACHUA,419900,20220,2011,100,1609.000000000000000,0.000000000000000,174.000000000000000,528.000000000000000,13,336695.000000000000000,1.333684806849737,-82.533434999999997,29.817791000000000,03024-020-010,HighSprings_B,True,False,False,0.870000000000000,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.654397411771376,313137.4190812776,333357.4190812776,-86542.580918722378556,-23557.580918722378556,86542.580918722378556,23557.580918722378556,0.793897163803948
646,12252,1.520000000000000,2433,1.000000000000000,ALACHUA,571700,41060,2012,100,2017.000000000000000,416.000000000000000,733.000000000000000,960.000000000000000,12,444884.999999999941792,1.968156219817088,-82.535623000000001,29.816905999999999,03024-020-015,HighSprings_B,True,False,False,0.880000000000000,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.98267312309182,434813.7785357826,475873.7785357826,-95826.221464217407629,-10071.221464217349421,95826.221464217407629,10071.221464217349421,0.832383730165791
647,12254,1.050000000000000,2694,1.000000000000000,ALACHUA,535500,21831,2000,100,1866.000000000000000,828.000000000000000,406.000000000000000,572.000000000000000,24,433344.000000000000000,1.359581599215752,-82.534345000000002,29.816786000000000,03024-020-017,HighSprings_B,True,False,False,0.760000000000000,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.852803703012727,381857.851946271,403688.851946271,-131811.148053728975356,-51486.148053728975356,131811.148053728975356,51486.148053728975356,0.753854065259143
648,12259,1.050000000000000,2209,1.000000000000000,ALACHUA,511800,21815,2005,100,1725.000000000000000,484.000000000000000,512.000000000000000,484.000000000000000,19,413215.000000000000000,1.359581599215752,-82.531979000000007,29.816797999999999,03024-020-022,HighSprings_B,True,False,False,0.810000000000000,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.791128824183298,359018.3657296859,380833.3657296859,-130966.634270314127207,-54196.634270314127207,130966.634270314127207,54196.634270314127207,0.744105833782114
649,12264,1.040000000000000,2148,1.000000000000000,ALACHUA,447900,9376,2001,100,1872.000000000000000,276.000000000000000,279.000000000000000,525.000000000000000,23,371339.000000000000000,1.346633203032745,-82.529608999999994,29.816810000000000,03024-020-027,HighSprings_B,True,False,False,0.770000000000000,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.714849177156498,332651.00193880644,342027.00193880644,-105872.998061193560716,-38687.998061193560716,105872.998061193560716,38687.998061193560716,0.763623581019885
650,12275,1.110000000000000,1841,1.000000000000000,ALACHUA,435200,31153,2012,100,1840.500000000000000,0.000000000000000,229.500000000000000,484.000000000000000,12,338767.000000000000000,1.437271976313795,-82.528442999999996,29.815985000000001,03024-030-007,HighSprings_B,True,False,False,0.880000000000000,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.758796173280432,347596.0029382747,378749.0029382747,-56450.997061725298408,8829.002938274701592,56450.997061725298408,8829.002938274701592,0.870287231016256
