prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,geo_id,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,hood_cd,sl_county_ratio_cd
78700,0.38,2125,3,GAINESVILLE,62000,312000,1995,100,1826,1980,2025,0,-82.34949472,29.67273239,09013-003-031,0,407,552,29,44,0,0,2.5,3932,324431.05,1
78703,0.38,1359,3,GAINESVILLE,62000,328300,1985,100,1359,1981,2023,0,-82.34905554,29.67240257,09013-003-034,0,16,529,37,41,0,0,2,3192,324431.05,1
78718,0.34,2284,3,GAINESVILLE,61800,450900,1978,100,2284,1968,2023,0,-82.35160453,29.67251647,09013-005-003,0,144,0,44,54,0,0,2,5140,324431.05,1
78780,0.44,1760,3,GAINESVILLE,61900,387800,1992,100,1760,1972,2022,0,-82.34869785,29.66963463,09013-006-001,0,84,616,29,49,0,0,2,8635,324431.05,1
78807,0.4,2552,3,GAINESVILLE,61900,385400,1976,100,2076,1970,2023,0,-82.34952247,29.67118288,09013-006-028,0,620,528,46,52,0,0,2,7260,324431.05,1
104344,0.63,3272,3,ST. JOHN'S,0,441000,1994,100,2240,1989,2024,0,-82.10170998,29.51028713,20077-000-000,841,585,765,29,34,0,1,3,41516,216621.02,1
104394,2.39,525,2,ST. JOHN'S,118200,138600,1979,100,525,1979,2022,0,-82.10351477,29.49929171,20093-000-000,0,0,0,42,42,0,1,1,3103,216621.02,1
104587,1.02,1350,3,ST. JOHN'S,0,93300,1995,100,1350,1972,2025,0,-82.10612604,29.45660976,20203-000-000,0,0,0,29,52,0,0,1.5,1188,217600,1
104634,1,912,3,ST. JOHN'S,0,45200,1977,100,912,1969,2022,0,-82.10318534,29.4540413,20247-000-000,0,0,0,44,52,0,0,1,1108,217600,1
79030,0.23,2055,3,GAINESVILLE,12500,219500,1976,100,2055,1956,2022,0,-82.34171042,29.67226359,09014-008-000,0,36,0,45,65,0,0,2,7221,324431.07,1
79051,0.25,2151,4,GAINESVILLE,41200,415000,2000,100,1989,1990,2025,0,-82.34548035,29.66766163,09016-010-005,0,232,462,24,34,0,0,2,24646,324431.04,1
79089,0.57,1766,4,GAINESVILLE,61700,360000,1995,100,1766,1972,2025,0,-82.34921424,29.66742344,09018-002-000,0,166,588,29,52,0,0,2,4037,324431.05,1
79134,0.38,1981,3,GAINESVILLE,61700,265000,1995,100,1981,1967,2025,0,-82.35172298,29.66734523,09018-047-000,0,0,550,29,57,0,0,2,864,324431.05,1
79157,0.76,3303,3,GAINESVILLE,61700,565000,1999,100,3303,1968,2025,0,-82.35227434,29.66711479,09018-071-000,0,44,0,25,56,0,0,2.5,4980,324431.05,1
55613,0.36,1772,3,ST. JOHN'S,189100,372400,2010,100,1772,1980,2023,0,-82.42713299,29.63556124,06681-031-000,0,284,576,12,42,0,0,2,10023,125308.04,1
55647,0.39,2608,4,ST. JOHN'S,189100,392200,1992,100,1064,1980,2022,0,-82.42788975,29.63516853,06681-065-000,1544,288,576,29,41,0,0,2.5,1848,125308.04,1
