OID_,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,Total_MISC_Val,effective_year_built,imprv_type_cd,base_area,sum_us_area,total_porch_area,total_garage_area,effective_age,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Duck_Pond,EastMidtownEastA,Gainesvilleish_Region,HSBUI,Haile,HAWTHORNE_1,HighSpringsAGNV,HighSprings_A,HighSprings_B,HighSprings_C,HighSprings_E,HighSprings_F,High_Springs_Main,LACROSSE_1,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,Newmans_Lake,Real_Tioga,SouthNewmansLake,Springtree_A,Springtree_B,Springtree_C,Thornebrooke,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,WaldoRural_C,West_Outer_Gainesville,West_of_Waldo_rd,swNewberry_A,swNewberry_B,swNewberry_C,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
1565,24868,0.420000000000000,1797,1.000000000000000,ARCHER,187200,940,2000,100,1797.000000000000000,0.000000000000000,217.000000000000000,0.000000000000000,24,158180.000000000000000,0.543832639686301,-82.518752000000006,29.532069000000000,04778-000-000,HighSprings_E,True,False,False,0.760000000000000,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.067749113456058,174163.381792928004870,175103.381792928004870,-12096.618207071995130,15983.381792928004870,12096.618207071995130,15983.381792928004870,0.935381312996410
1566,24882,0.340000000000000,1236,1.000000000000000,ARCHER,169900,192,1994,100,1236.000000000000000,0.000000000000000,80.000000000000000,0.000000000000000,30,144223.000000000000000,0.440245470222243,-82.517815999999996,29.532136000000001,04798-000-000,HighSprings_E,True,False,False,0.700000000000000,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.722986458783847,123375.330898123676889,123567.330898123676889,-46332.669101876323111,-20847.669101876323111,46332.669101876323111,20847.669101876323111,0.727294472619916
1567,24900,0.190000000000000,520,1.000000000000000,ARCHER,119300,1344,2000,100,520.000000000000000,0.000000000000000,60.000000000000000,0.000000000000000,24,100061.000000000000000,0.246019527477136,-82.517217000000002,29.531621000000001,04821-000-000,HighSprings_E,True,False,True,0.760000000000000,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.254565743916421,77231.736331649153726,78575.736331649153726,-40724.263668350846274,-22829.263668350846274,40724.263668350846274,22829.263668350846274,0.658639868664285
1568,24914,0.570000000000000,1420,1.000000000000000,ARCHER,100100,3499,1994,100,1204.000000000000000,0.000000000000000,216.000000000000000,0.000000000000000,30,81585.999999999985448,0.738058582431408,-82.515647000000001,29.530683000000000,04835-001-000,HighSprings_E,True,False,False,0.700000000000000,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.856151631812127,140948.750521826063050,144447.750521826063050,44347.750521826063050,59362.750521826077602,44347.750521826063050,59362.750521826077602,1.443034470747513
1569,24995,0.340000000000000,1201,1.000000000000000,ARCHER,196000,252,2008,100,1201.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,16,166348.000000000000000,0.440245470222243,-82.511555000000001,29.530369000000000,04907-001-001,HighSprings_E,True,False,False,0.840000000000000,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.892627719552559,146184.926570943003753,146436.926570943003753,-49563.073429056996247,-20163.073429056996247,49563.073429056996247,20163.073429056996247,0.747127176382362
1570,24998,0.300000000000000,1014,1.000000000000000,ARCHER,186700,856,2010,100,1014.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,14,157839.000000000000000,0.388451885490215,-82.511927000000000,29.530805999999998,04907-001-004,HighSprings_E,True,False,False,0.860000000000000,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.809312793676250,134499.100958228285890,135355.100958228285890,-51344.899041771714110,-23339.899041771714110,51344.899041771714110,23339.899041771714110,0.724987150285101
1571,25002,0.250000000000000,1248,1.000000000000000,ARCHER,205800,458,2008,100,2496.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,16,174471.999999999970896,0.323709904575179,-82.510891000000001,29.530795999999999,04907-001-008,HighSprings_E,True,False,False,0.840000000000000,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.889249104812031,145691.857437541912077,146149.857437541912077,-59650.142562458087923,-28780.142562458058819,59650.142562458087923,28780.142562458058819,0.710154798044421
1572,25015,0.240000000000000,1224,1.000000000000000,ARCHER,164600,192,2007,100,984.000000000000000,0.000000000000000,240.000000000000000,0.000000000000000,17,139718.000000000000000,0.310761508392172,-82.512839000000000,29.531504999999999,04907-003-005,HighSprings_E,True,False,False,0.830000000000000,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.897148495130960,146847.291891311702784,147039.291891311702784,-17560.708108688297216,7129.291891311702784,17560.708108688297216,7129.291891311702784,0.893312830445393
1573,25024,0.250000000000000,1224,1.000000000000000,ARCHER,195200,167,1995,100,1074.000000000000000,0.000000000000000,150.000000000000000,0.000000000000000,29,165753.000000000000000,0.323709904575179,-82.510964999999999,29.531742000000001,04907-004-005,HighSprings_E,True,False,False,0.710000000000000,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.712053087208927,122033.769819122098852,122200.769819122098852,-72999.230180877901148,-43719.230180877901148,72999.230180877901148,43719.230180877901148,0.626028533909437
1574,25027,0.820000000000000,1642,1.000000000000000,ARCHER,222300,18035,2000,100,1642.000000000000000,0.000000000000000,196.000000000000000,0.000000000000000,24,170920.000000000000000,1.061768487006587,-82.513304000000005,29.530384000000002,04908-000-000,HighSprings_E,False,False,False,0.760000000000000,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.023775244592398,166670.692691322386963,184705.692691322386963,-37594.307308677613037,-4249.307308677613037,37594.307308677613037,4249.307308677613037,0.830884807428351
