OID_,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,sum_us_area,total_porch_area,total_garage_area,effective_age,has_lake,number_of_baths,MISC_Val,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Archer_1,Buck_Bay,Duck_Pond,Eagle_Point,EastGNV,EastMidtownEastA,Gainesvilleish_Region,Golfview,HSBUI,HaileLike,Hawthorne_1,HighSpringsAGNV,HighSprings_A,HighSprings_B,HighSprings_E,HighSprings_F,High_Springs_Main,Lugano,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,Newmans_Lake,Real_Tioga,Springtree_A,Springtree_B,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,WaldoRural_C,WildsPlantation,swNewberry_A,swNewberry_B,built_before_1984,built_pre_1970_with_effective_le_1994,era_1900s,era_1910s,era_1920s,era_1930s,era_1940s,era_1950s,era_1960s,era_1970s,era_1980s,era_1990s,era_2000s,era_2010s,era_2020s,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
190,30938,0.060000000000000,1380,1.000000000000000,GAINESVILLE,241900,2001,100,1379.500000000000000,2001,2022,0,0.000000000000000,204.500000000000000,412.000000000000000,20,0,2.000000000000000,780,204835.000000000000000,0.072112336297471,-82.393546000000001,29.726108000000000,06006-065-105,HighSprings_B,True,False,False,0.800000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,12.289733184082204,217451.949677708820673,218231.949677708820673,-23668.050322291179327,12616.949677708820673,23668.050322291179327,12616.949677708820673,0.902157708465105
191,30971,0.060000000000000,1348,1.000000000000000,GAINESVILLE,226600,2002,100,1347.500000000000000,2002,2022,0,0.000000000000000,202.500000000000000,446.000000000000000,19,0,2.000000000000000,224,192386.000000000000000,0.072112336297471,-82.393927000000005,29.726768000000000,06006-066-137,HighSprings_B,True,False,False,0.810000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,12.287784385147075,217028.592203019419685,217252.592203019419685,-9347.407796980580315,24642.592203019419685,9347.407796980580315,24642.592203019419685,0.958749303632036
192,30977,0.060000000000000,1207,1.000000000000000,GAINESVILLE,220600,2002,100,1206.500000000000000,2002,2022,0,0.000000000000000,133.500000000000000,434.000000000000000,19,0,2.000000000000000,184,187326.000000000000000,0.072112336297471,-82.393187999999995,29.726960999999999,06006-066-143,HighSprings_B,True,False,False,0.810000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,12.223673839953722,203551.401654725632397,203735.401654725632397,-16864.598345274367603,16225.401654725632397,16864.598345274367603,16225.401654725632397,0.923551231435746
193,31056,0.060000000000000,1545,1.000000000000000,GAINESVILLE,253700,2004,100,1544.500000000000000,2004,2022,0,0.000000000000000,39.500000000000000,412.000000000000000,17,0,2.000000000000000,262,215383.000000000000000,0.072112336297471,-82.393154999999993,29.728038000000002,06006-068-180,HighSprings_B,True,False,False,0.830000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,12.378120571154724,237546.950955963518936,237808.950955963518936,-15891.049044036481064,22163.950955963518936,15891.049044036481064,22163.950955963518936,0.937362833882395
194,31212,0.050000000000000,1038,1.000000000000000,GAINESVILLE,221900,2000,100,1038.000000000000000,1995,2022,0,0.000000000000000,378.000000000000000,338.000000000000000,21,0,2.000000000000000,223,188392.000000000000000,0.060093613581226,-82.397692000000006,29.721098999999999,06007-125-020,HighSprings_B,True,False,False,0.790000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,12.103831235035857,180562.315434030024335,180785.315434030024335,-41114.684565969975665,-7829.684565969975665,41114.684565969975665,7829.684565969975665,0.814715256575169
195,31283,0.260000000000000,2476,1.150000000000000,GAINESVILLE,495100,2000,100,2475.500000000000000,1998,2022,0,0.000000000000000,320.500000000000000,484.000000000000000,21,0,2.500000000000000,5266,415569.000000000000000,0.312486790622376,-82.395893000000001,29.718518000000000,06008-030-067,HighSprings_B,True,False,False,0.790000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,12.851446143206228,381339.808791516814381,386605.808791516814381,-108494.191208483185619,-34229.191208483185619,108494.191208483185619,34229.191208483185619,0.780864085622130
196,31327,0.150000000000000,1977,1.000000000000000,GAINESVILLE,425600,2013,100,1977.000000000000000,2013,2022,0,0.000000000000000,422.000000000000000,288.000000000000000,8,0,3.000000000000000,1300,360460.000000000000000,0.180280840743679,-82.396957999999998,29.728849000000000,06009-010-033,HighSprings_B,True,False,False,0.920000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,12.705699973845116,329621.390688483836129,330921.390688483836129,-94678.609311516163871,-30838.609311516163871,94678.609311516163871,30838.609311516163871,0.777540861580084
197,31339,0.130000000000000,2078,1.000000000000000,GAINESVILLE,376700,2008,100,1546.000000000000000,2008,2022,0,532.000000000000000,131.000000000000000,460.000000000000000,13,0,2.500000000000000,1901,318294.000000000000000,0.156243395311188,-82.397414999999995,29.729205000000000,06009-010-045,HighSprings_B,True,False,False,0.870000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,12.664433112734446,316295.794326255971100,318196.794326255971100,-58503.205673744028900,-1998.205673744028900,58503.205673744028900,1998.205673744028900,0.844695498609652
198,31342,0.150000000000000,1713,1.000000000000000,GAINESVILLE,336600,2009,100,1713.000000000000000,2009,2022,0,0.000000000000000,243.000000000000000,420.000000000000000,12,0,2.000000000000000,934,285176.000000000000000,0.180280840743679,-82.397419999999997,29.728780000000000,06009-010-048,HighSprings_B,True,False,False,0.880000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,12.558112484497398,284393.034442810225300,285327.034442810225300,-51272.965557189774700,-782.965557189774700,51272.965557189774700,782.965557189774700,0.847673899117083
199,31375,0.130000000000000,1729,1.000000000000000,GAINESVILLE,331200,2013,100,1729.000000000000000,2013,2022,0,0.000000000000000,172.000000000000000,418.000000000000000,8,0,2.000000000000000,1234,280286.000000000000000,0.156243395311188,-82.399117000000004,29.729209000000001,06009-010-081,HighSprings_B,True,False,False,0.920000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,12.587363058053082,292834.551555302867200,294068.551555302867200,-37131.448444697132800,12548.551555302867200,37131.448444697132800,12548.551555302867200,0.887888138753934
200,31432,0.150000000000000,1836,1.000000000000000,GAINESVILLE,367000,2008,100,1836.000000000000000,2008,2022,0,0.000000000000000,193.000000000000000,440.000000000000000,13,0,2.000000000000000,932,311018.000000000000000,0.180280840743679,-82.401673000000002,29.728791000000001,06009-010-138,HighSprings_B,True,False,False,0.870000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,12.588083123331632,293045.487482942291535,293977.487482942291535,-73022.512517057708465,-17972.512517057708465,73022.512517057708465,17972.512517057708465,0.801028576247799
201,31468,0.280000000000000,1682,1.000000000000000,GAINESVILLE,363800,2010,100,1682.000000000000000,2010,2022,0,0.000000000000000,114.000000000000000,400.000000000000000,11,0,2.000000000000000,968,308262.000000000000000,0.336524236054867,-82.399446999999995,29.728572000000000,06009-010-174,HighSprings_B,True,False,False,0.890000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,12.600495832694257,296705.645191136223730,297673.645191136223730,-66126.354808863776270,-11556.354808863776270,66126.354808863776270,11556.354808863776270,0.818234318832150
202,31482,0.110000000000000,1649,1.000000000000000,GAINESVILLE,320600,2009,100,1439.000000000000000,2009,2022,0,0.000000000000000,234.000000000000000,420.000000000000000,12,0,2.000000000000000,846,271664.000000000000000,0.132205949878698,-82.396602999999999,29.728418000000001,06009-010-188,HighSprings_B,True,False,False,0.880000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,12.513281075626411,271924.865033964568283,272770.865033964568283,-47829.134966035431717,260.865033964568283,47829.134966035431717,260.865033964568283,0.850813677585666
