OID_,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,Total_MISC_Val,effective_year_built,imprv_type_cd,base_area,sum_us_area,total_porch_area,total_garage_area,effective_age,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Archer_1,Duck_Pond,EastMidtownEastA,Gainesvilleish_Region,Golfview,HSBUI,HaileLike,Hawthorne_1,HighSpringsAGNV,HighSprings_A,HighSprings_B,HighSprings_F,High_Springs_Main,Lugano,Magnolia_Heights,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,Newmans_Lake,Real_Tioga,Springtree_A,Springtree_B,Thornebrooke,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,West_Outer_Gainesville,West_of_Waldo_rd,WildsPlantation,swNewberry_A,swNewberry_B,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
5485,72143,0.130000000000000,1485,1.000000000000000,GAINESVILLE,277300,1028,2009,100,1485.000000000000000,0.000000000000000,188.000000000000000,440.000000000000000,16,234676.999999999970896,0.168414891002761,-82.353178000000000,29.724799000000001,07814-100-001,Springtree_A,True,False,False,0.840000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,12.404937467203659,244003.406978295795852,245031.406978295795852,-32268.593021704204148,9326.406978295824956,32268.593021704204148,9326.406978295824956,0.883632913733487
5486,72146,0.130000000000000,1185,1.000000000000000,GAINESVILLE,263600,477,2016,100,1185.000000000000000,0.000000000000000,20.000000000000000,380.000000000000000,9,223582.999999999970896,0.168414891002761,-82.352673999999993,29.724802000000000,07814-100-004,Springtree_A,True,False,False,0.910000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,12.344595488941895,229715.183732621662784,230192.183732621662784,-33407.816267378337216,6132.183732621691888,33407.816267378337216,6132.183732621691888,0.873263215981114
5487,72154,0.110000000000000,992,1.000000000000000,GAINESVILLE,247400,1449,2017,100,992.000000000000000,0.000000000000000,104.000000000000000,240.000000000000000,8,208841.000000000000000,0.142504907771567,-82.351366999999996,29.724799999999998,07814-100-012,Springtree_A,True,False,True,0.920000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,12.239734618795357,206846.989714369061403,208295.989714369061403,-39104.010285630938597,-1994.010285630938597,39104.010285630938597,1994.010285630938597,0.841940136274734
5488,72164,0.110000000000000,1185,1.000000000000000,GAINESVILLE,257000,166,2017,100,1185.000000000000000,0.000000000000000,20.000000000000000,380.000000000000000,8,218284.000000000000000,0.142504907771567,-82.351277999999994,29.724539000000000,07814-100-022,Springtree_A,True,False,False,0.920000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,12.342368130962154,229204.095184942329070,229370.095184942329070,-27629.904815057670930,10920.095184942329070,27629.904815057670930,10920.095184942329070,0.892490642742966
5489,72167,0.110000000000000,1481,1.000000000000000,GAINESVILLE,291600,1332,2017,100,1241.000000000000000,240.000000000000000,145.000000000000000,400.000000000000000,8,246528.000000000000000,0.142504907771567,-82.351750999999993,29.724540000000001,07814-100-025,Springtree_A,True,False,False,0.920000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,12.492453358330781,266319.863133360049687,267651.863133360049687,-23948.136866639950313,19791.863133360049687,23948.136866639950313,19791.863133360049687,0.917873330361317
5490,72174,0.110000000000000,1576,1.000000000000000,GAINESVILLE,280600,325,2017,100,736.000000000000000,840.000000000000000,240.000000000000000,420.000000000000000,8,238185.000000000000000,0.142504907771567,-82.352853999999994,29.724540999999999,07814-100-032,Springtree_A,True,False,False,0.920000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,12.534707827691253,277814.201051393232774,278139.201051393232774,-2460.798948606767226,39629.201051393232774,2460.798948606767226,39629.201051393232774,0.991230224702043
5491,72179,0.110000000000000,1241,1.000000000000000,GAINESVILLE,241300,1014,2016,100,1241.000000000000000,0.000000000000000,145.000000000000000,400.000000000000000,9,204090.999999999970896,0.142504907771567,-82.353558000000007,29.724498000000001,07814-100-037,Springtree_A,True,False,False,0.910000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,12.373879915701158,236541.729089131433284,237555.729089131433284,-3744.270910868566716,32450.729089131462388,3744.270910868566716,32450.729089131462388,0.984482922043645
5492,72186,0.130000000000000,1185,1.000000000000000,GAINESVILLE,247200,434,2015,100,1185.000000000000000,0.000000000000000,20.000000000000000,380.000000000000000,10,209686.000000000000000,0.168414891002761,-82.352577999999994,29.724142000000001,07814-100-044,Springtree_A,True,False,False,0.900000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,12.331413583381254,226706.970426132029388,227140.970426132029388,-20059.029573867970612,17020.970426132029388,20059.029573867970612,17020.970426132029388,0.918855058358139
5493,72191,0.130000000000000,1595,1.000000000000000,GAINESVILLE,272900,1028,2009,100,1595.000000000000000,0.000000000000000,188.000000000000000,330.000000000000000,16,230936.999999999970896,0.168414891002761,-82.351791000000006,29.724140999999999,07814-100-049,Springtree_A,True,False,False,0.840000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,12.441506966263224,253091.652831311977934,254119.652831311977934,-18780.347168688022066,22154.652831312007038,18780.347168688022066,22154.652831312007038,0.931182311584141
5494,72193,0.130000000000000,1156,1.000000000000000,GAINESVILLE,244100,1184,2015,100,1156.000000000000000,0.000000000000000,120.000000000000000,380.000000000000000,10,206300.999999999970896,0.168414891002761,-82.351476000000005,29.724140999999999,07814-100-051,Springtree_A,True,False,False,0.900000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,12.330985255021151,226609.886194714606972,227793.886194714606972,-16306.113805285393028,20308.886194714636076,16306.113805285393028,20308.886194714636076,0.933199042174169
