OID_,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,sum_us_area,total_porch_area,total_garage_area,effective_age,has_canal,has_lake,number_of_baths,MISC_Val,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Archer_1,BluesCreek,Buck_Bay,Duck_Pond,EastGNV,EastMidtownEastA,Edgemoore,Gainesvilleish_Region,Golfview,HSBUI,HaileLike,Hawthorne_1,HighSpringsAGNV,HighSprings_A,HighSprings_B,HighSprings_E,HighSprings_F,High_Springs_Main,Ironwood,Lugano,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,Newmans_Lake,Real_Tioga,Springtree_A,Springtree_B,SummerCreek,TC_Forest,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,WaldoRural_C,WildsPlantation,swNewberry_A,swNewberry_B,built_before_1984,built_pre_1970_with_effective_le_1994,era_1900s,era_1910s,era_1920s,era_1930s,era_1940s,era_1950s,era_1960s,era_1970s,era_1980s,era_1990s,era_2000s,era_2010s,era_2020s,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
309,82601,0.210000000000000,1000,1.000000000000000,GAINESVILLE,171400,1987,100,1000.000000000000000,1963,2022,0,0.000000000000000,50.000000000000000,0.000000000000000,34,0,0,2.000000000000000,785,144905.000000000000000,0.254121970462406,-82.305207999999993,29.667045999999999,10804-025-000,MidtownEast_C,True,False,False,0.660000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,11.968669308216057,157734.624511790694669,158519.624511790694669,-12880.375488209305331,12829.624511790694669,12880.375488209305331,12829.624511790694669,0.924851951644053
1002,82238,0.230000000000000,1555,1.000000000000000,GAINESVILLE,221500,1995,100,1485.000000000000000,1963,2023,0,0.000000000000000,160.000000000000000,0.000000000000000,27,0,0,2.000000000000000,1396,186879.000000000000000,0.278324062887397,-82.304664000000002,29.673318999999999,10625-058-000,MidtownEast_C,True,False,False,0.730000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,12.303346752473477,220432.488519536243984,221828.488519536243984,328.488519536243984,33553.488519536243984,328.488519536243984,33553.488519536243984,1.001483018146891
1003,82580,0.200000000000000,1402,1.000000000000000,GAINESVILLE,242100,2011,100,1402.000000000000000,1964,2023,0,0.000000000000000,66.000000000000000,0.000000000000000,11,0,0,2.000000000000000,2277,203507.999999999970896,0.242020924249910,-82.303301000000005,29.669633000000001,10804-004-000,MidtownEast_C,True,False,False,0.890000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,12.377686147801050,237443.777424992411397,239720.777424992411397,-2379.222575007588603,33935.777424992440501,2379.222575007588603,33935.777424992440501,0.990172562680679
1004,82604,0.200000000000000,1708,1.000000000000000,GAINESVILLE,198700,1979,100,1436.000000000000000,1963,2023,0,0.000000000000000,499.000000000000000,0.000000000000000,43,0,0,2.000000000000000,537,168358.000000000000000,0.242020924249910,-82.305216000000001,29.667732000000001,10804-028-000,MidtownEast_C,True,False,False,0.570000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,12.165976328347320,192139.380615341360681,192676.380615341360681,-6023.619384658639319,23781.380615341360681,6023.619384658639319,23781.380615341360681,0.969684854631814
1005,82637,0.180000000000000,1360,1.000000000000000,GAINESVILLE,246900,2012,100,1360.000000000000000,1965,2023,0,0.000000000000000,128.000000000000000,0.000000000000000,10,0,0,1.500000000000000,180,209685.000000000000000,0.217818831824919,-82.303197999999995,29.669186000000000,10804-061-000,MidtownEast_C,True,False,False,0.900000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,12.345305071377332,229878.243437461002031,230058.243437461002031,-16841.756562538997969,20193.243437461002031,16841.756562538997969,20193.243437461002031,0.931787134214099
1636,82276,0.340000000000000,1600,1.000000000000000,GAINESVILLE,249900,1994,100,1360.000000000000000,1960,2024,0,0.000000000000000,336.000000000000000,0.000000000000000,29,0,0,2.000000000000000,3775,208640.000000000000000,0.411435571224847,-82.303149000000005,29.670089999999998,10625-096-000,MidtownEast_C,True,False,False,0.710000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,12.333249607752926,227123.592295980168274,230898.592295980168274,-19001.407704019831726,18483.592295980168274,19001.407704019831726,18483.592295980168274,0.923963954765827
1637,82490,0.110000000000000,853,1.000000000000000,GAINESVILLE,160000,2000,100,720.000000000000000,1935,2024,0,0.000000000000000,133.000000000000000,0.000000000000000,23,0,0,2.000000000000000,1224,134776.000000000000000,0.133111508337451,-82.301682000000000,29.668603000000001,10750-001-000,MidtownEast_C,True,False,True,0.770000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,False,False,False,True,False,False,False,False,False,False,False,False,False,11.948083804253994,154520.770666369702667,155744.770666369702667,-4255.229333630297333,19744.770666369702667,4255.229333630297333,19744.770666369702667,0.973404816664811
1806,82294,0.180000000000000,1140,1.000000000000000,GAINESVILLE,248400,2016,100,1140.000000000000000,1961,2024,0,0.000000000000000,65.000000000000000,0.000000000000000,7,0,0,1.000000000000000,307,210833.000000000000000,0.217818831824919,-82.302008999999998,29.672232999999999,10626-009-000,MidtownEast_C,True,False,False,0.930000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,12.249254911215601,208825.637249566090759,209132.637249566090759,-39267.362750433909241,-2007.362750433909241,39267.362750433909241,2007.362750433909241,0.841918829507110
1807,82628,0.230000000000000,1808,1.000000000000000,GAINESVILLE,275400,1994,100,1808.000000000000000,1964,2024,0,0.000000000000000,42.000000000000000,558.000000000000000,29,0,0,2.000000000000000,10217,223873.000000000000000,0.278324062887397,-82.304398000000006,29.668202999999998,10804-052-000,MidtownEast_C,True,False,False,0.710000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,12.455221210195509,256586.523473472276237,266803.523473472276237,-8596.476526527723763,32713.523473472276237,8596.476526527723763,32713.523473472276237,0.968785488284213
1850,82280,0.250000000000000,1554,1.000000000000000,GAINESVILLE,271100,2002,100,1000.000000000000000,1963,2022,0,0.000000000000000,614.000000000000000,0.000000000000000,19,0,0,2.000000000000000,1696,228739.000000000000000,0.302526155312388,-82.302825999999996,29.671036999999998,10625-100-000,MidtownEast_C,True,False,False,0.810000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,12.393662883891361,241267.820514638820896,242963.820514638820896,-28136.179485361179104,12528.820514638820896,28136.179485361179104,12528.820514638820896,0.896214756601397
