#,ML Number,Status,Address,City,Zip,Legal Subdivision Name,Heated Area,Tax ID,Current Price,Beds,Full Baths,Half Baths,Year Built,Pool,Property Style,Ownership,Tax,CDOM,ADOM,Days to Contract,Sold Terms,Close Date,LP / SqFt,SP/SqFt,SP / LP,List Office,List Agent,List Agent ID,Selling Office ID,LSC List Side,List Office Primary Board ID,cleaning
1,GC441358,PND,180 SW 258TH ST,Newberry,32669,Carter Addn,990,02285-002-000,"$86,800",2,1,0,1929.0,,Single Family Residence,,"$1,360.88",367,139,223,,,$87.68,,,HOMESTYLE REALTY,Bob Lusnia,259500247,,Gainesville-Alachua,Gainesville-Alachua,True
1,GC442152,PND,1322 NE 1ST AVE,Gainesville,32641,Not In Subdivision,"1,350",11508-002-000,"$162,352",3,2,0,2019.0,,Single Family Residence,,"$1,718.00",22,22,35,,,$120.26,,,MOMENTUM REALTY,Kyle Hunziker,259506376,,Gainesville-Alachua,West Volusia,True
1,GC445775,PND,527 NW 101ST TER,Gainesville,32607,Hamilton Heights,"1,823",06657-015-026,"$280,000",3,2,1,1990.0,,Single Family Residence,,"$2,231.36",45,45,45,,,$153.59,,,"LaRosa Realty, LLC",William Miranda,272501488,,Osceola,Orlando Regional,True
1,GC434499,PND,6759 SW 77th WAY,Gainesville,32608,Grand Preserve At Kanapaha,"3,400",07060-100-609,"$561,480",6,4,1,2021.0,Community,Single Family Residence,,"$1,737.38",425,425,425,,,$165.14,,,SKOBEL REALTY LLC,Loree Skobel,259504735,,Gainesville-Alachua,Gainesville-Alachua,True
1,GC436027,PND,6236 SW 50th ST,Gainesville,32608,Finley Woods,"2,475",06985-010-001,"$569,000",4,2,1,2018.0,,Single Family Residence,,"$7,514.45",419,419,419,,,$229.90,,,"TOMMY WILLIAMS REALTY, LLC",Todd Louis,259502096,,Gainesville-Alachua,Gainesville-Alachua,True
1,GC441631,SLD,21813 S COUNTY ROAD 325,Hawthorne,32640,Bailey Survey,864,20290-000-000,"$15,000",2,1,0,1930.0,,Single Family Residence,,$274.00,29,29,10,Cash,03/16/2021,$19.10,$17.36,0.91,"Community Realty, LLC",Craig Jacobs,259505138,261010944.0,Lake and Sumter,Lake and Sumter,True
1,GC447883,SLD,14214 NW 154th PL,Alachua,32615,Not In Subdivision,"1,144",03559-000-000,"$23,500",3,1,0,1969.0,,Single Family Residence,,"$1,158.00",17,17,2,Cash,09/21/2021,$21.85,$20.54,0.94,"VanBeek Realty, LLC",Octavia Washington,259505611,259505669.0,Gainesville-Alachua,Ocala - Marion,True
1,GC442237,SLD,6751 NE 27 AVE,Gainesville,32641,Copeland,"1,216",17740-001-000,"$32,000",3,2,0,1960.0,Private,Single Family Residence,,$838.00,63,63,15,Cash,05/06/2021,$32.81,$26.32,0.8,Smart Choice Realty Corp,Lori Camfferman,283548449,259500054.0,Gainesville-Alachua,Gainesville-Alachua,True
1,GC446724,SLD,15288 NW 133 TER,Alachua,32615,College Heights,852,03265-000-000,"$32,000",2,1,0,1942.0,,Single Family Residence,,$431.00,34,34,18,Cash,08/31/2021,$35.21,$37.56,1.07,Suskin Realty Inc,Samuel Suskin,259504892,259500054.0,Gainesville-Alachua,Gainesville-Alachua,True
1,GC441166,SLD,2503 NE 70th TER,Gainesville,32609,Not In Subdivision,"1,480",17744-006-000,"$45,000",3,1,0,1960.0,,Single Family Residence,,$868.00,97,97,61,Cash,05/11/2021,$38.51,$30.41,0.79,Bosshardt Realty Services LLC,Davonda Brown,259500401,259500004.0,Gainesville-Alachua,Ocala - Marion,True
