#,ML Number,Status,Address,City,Zip,Legal Subdivision Name,Heated Area,Tax ID,Current Price,Beds,Full Baths,Half Baths,Year Built,Pool,Property Style,Ownership,Tax,CDOM,ADOM,Days to Contract,Sold Terms,Close Date,LP / SqFt,SP/SqFt,SP / LP,List Office,List Agent,List Agent ID,Selling Office ID,LSC List Side,List Office Primary Board ID,cleaning
1,GC524782,PND,3515 NW 21ST ST,GAINESVILLE,32605,RIDGEVIEW,"1,041",08881-023-000,"$175,000",2,1,0,1973,,Single Family Residence,Fee Simple,"$1,997.00",80,80,81,,,$168.11,,,BHHS FLORIDA REALTY,Helen Warren,259503168,,Gainesville-Alachua,Gainesville-Alachua,True
1,O6248141,PND,515 NW 32ND AVE,GAINESVILLE,32609,PINE HAVEN EXTENSION PB D-56 LOT 4 BPINE,"1,120",08406-000-000,"$179,000",3,1,0,1953,,Single Family Residence,Fee Simple,"$3,450.34",55,55,68,,,$159.82,,,AFFINITY HOMES LLC,Jessica Barrios,261222552,,Orlando Regional,Orlando Regional,True
1,GC523353,PND,614 NW 4TH ST,GAINESVILLE,32601,BRUSH ADD TO GVILLE,"1,087",14451-000-000,"$179,000",3,1,0,1940,,Single Family Residence,Fee Simple,"$2,239.00",106,106,128,,,$164.67,,,BROXSON REAL ESTATE GROUP,"Jamie Williams, LLC",259506813,,Gainesville-Alachua,Gainesville-Alachua,True
1,GC525772,PND,2054 NW 31ST AVE,GAINESVILLE,32605,RIDGEVIEW (440),998,08871-019-000,"$215,000",2,1,1,1941,,Single Family Residence,Fee Simple,"$2,487.19",44,44,48,,,$215.43,,,BHGRE THOMAS GROUP,Art Nagan,259506582,,Gainesville-Alachua,Gainesville-Alachua,True
1,GC518345,PND,1055 NW 125TH DR,NEWBERRY,32669,THE VILLAS OF WEST END,"1,410",04314-201-027,"$220,000",2,2,0,1989,Community,Single Family Residence,Fee Simple,"$2,683.36",275,275,355,,,$156.03,,,WATSON REALTY CORP,Mark Robinson,259506101,,Gainesville-Alachua,Gainesville-Alachua,True
1,GC525174,PND,2936 NE 13TH ST,GAINESVILLE,32609,HIGHLAND COURT MANOR,"1,345",08203-052-000,"$230,000",4,2,0,1962,,Single Family Residence,Fee Simple,"$2,524.88",84,84,84,,,$171.00,,,WATSON REALTY CORP,Mark Robinson,259506101,,Gainesville-Alachua,Gainesville-Alachua,True
1,GC525591,PND,2751 SE 24TH PL,GAINESVILLE,32641,LAKEVIEW ESTATES,"1,262",16206-013-000,"$250,000",3,2,0,1976,,Single Family Residence,Fee Simple,"$3,573.00",134,82,82,,,$198.10,,,ANCHOR HOUSE REALTY & PROP MGMT,Alex Worthington,259506639,,Gainesville-Alachua,Gainesville-Alachua,True
1,GC525840,PND,4100 NW 20TH DR,GAINESVILLE,32605,HAZEL HEIGHTS ADD #2,"1,189",07918-025-021,"$259,000",3,2,0,1968,,Single Family Residence,Fee Simple,"$4,180.28",22,22,23,,,$217.83,,,BHGRE THOMAS GROUP,Kristen Thompson,259504942,,Gainesville-Alachua,Gainesville-Alachua,True
1,GC526130,PND,1111 SW 19TH PL W,GAINESVILLE,32601,KIRKWOOD WEST,"1,232",15699-059-030,"$269,000",2,2,0,1977,,Single Family Residence,Fee Simple,"$4,367.00",38,38,39,,,$218.34,,,MOMENTUM REALTY - GAINESVILLE,Janine Alexander,782501717,,Gainesville-Alachua,Gainesville-Alachua,True
1,GC523634,PND,4853 NW 79TH RD,GAINESVILLE,32653,BLUES CREEK UNIT 6F,"1,343",06006-066-131,"$269,000",3,2,0,2002,Community,Single Family Residence,Fee Simple,"$4,808.14",152,152,152,,,$200.30,,,FLORIDA HOMES REALTY & MORTGAGE LLC,Donna LaTorre,259505110,,Gainesville-Alachua,Gainesville-Alachua,True
1,GC518799,PND,920 NW 41ST AVE,GAINESVILLE,32609,OAK HILL,"1,229",08035-042-000,"$269,900",3,2,0,1960,,Single Family Residence,Fee Simple,"$2,334.85",332,332,334,,,$219.61,,,"COLDWELL BANKER M.M. PARRISH, REALTORS",Cindy Birk,259503772,,Gainesville-Alachua,Gainesville-Alachua,True
1,GC526268,PND,6303 NW 109TH PL,ALACHUA,32615,FAIRWAY POINTE AT T C REP 14-16,"1,263",05900-633-001,"$277,000",3,2,0,2004,,Single Family Residence,Fee Simple,"$4,171.00",13,13,14,,,$219.32,,,WATSON REALTY CORP- TIOGA,Miles Patterson,259505140,,Gainesville-Alachua,Gainesville-Alachua,True
