OID_,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,sum_us_area,total_porch_area,total_garage_area,effective_age,has_lake,number_of_baths,MISC_Val,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Archer_1,Buck_Bay,Duck_Pond,EastMidtownEastA,Gainesvilleish_Region,Golfview,HSBUI,HaileLike,Hawthorne_1,HighSpringsAGNV,HighSprings_A,HighSprings_B,HighSprings_E,HighSprings_F,High_Springs_Main,Lugano,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,Newmans_Lake,Real_Tioga,Springtree_A,Springtree_B,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,WaldoRural_C,WildsPlantation,swNewberry_A,swNewberry_B,built_before_1984,built_pre_1970_with_effective_le_1994,era_1900s,era_1910s,era_1920s,era_1930s,era_1940s,era_1950s,era_1960s,era_1970s,era_1980s,era_1990s,era_2000s,era_2010s,era_2020s,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
217,45049,0.190000000000000,1596,1.150000000000000,ST. JOHN'S,281800,1997,100,1596.000000000000000,1997,2022,0,0.000000000000000,168.000000000000000,441.000000000000000,24,0,2.000000000000000,979,238551.000000000000000,0.228355731608660,-82.437563999999995,29.667750000000002,06326-010-031,HaileLike,True,False,False,0.760000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,12.661201988750227,315275.452711942431051,316254.452711942431051,34454.452711942431051,76724.452711942431051,34454.452711942431051,76724.452711942431051,1.122265623534217
218,45064,0.180000000000000,1426,1.150000000000000,ST. JOHN'S,328300,1997,100,1426.000000000000000,1997,2022,0,0.000000000000000,83.000000000000000,400.000000000000000,24,0,2.500000000000000,976,278079.000000000000000,0.216337008892414,-82.437524999999994,29.665133000000001,06326-010-046,HaileLike,True,False,False,0.760000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,12.607517897687847,298796.463856502319686,299772.463856502319686,-28527.536143497680314,20717.463856502319686,28527.536143497680314,20717.463856502319686,0.913105281317400
219,45074,0.190000000000000,1640,1.150000000000000,ST. JOHN'S,321600,1997,100,1639.500000000000000,1997,2022,0,0.000000000000000,159.500000000000000,441.000000000000000,24,0,2.000000000000000,901,272459.000000000000000,0.228355731608660,-82.438826000000006,29.663508000000000,06326-010-056,HaileLike,True,False,False,0.760000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,12.676378932948216,320096.865272931987420,320997.865272931987420,-602.134727068012580,47637.865272931987420,602.134727068012580,47637.865272931987420,0.998127690525286
220,45078,0.190000000000000,2063,1.000000000000000,ST. JOHN'S,391600,2000,100,1923.000000000000000,1996,2022,0,0.000000000000000,183.000000000000000,441.000000000000000,21,0,2.000000000000000,860,332000.000000000000000,0.228355731608660,-82.438354000000004,29.663898000000000,06326-010-060,HaileLike,True,False,False,0.790000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,12.728231552575544,337132.582745786174200,337992.582745786174200,-53607.417254213825800,5132.582745786174200,53607.417254213825800,5132.582745786174200,0.863106697512222
221,45127,0.230000000000000,1798,1.150000000000000,ST. JOHN'S,444100,2000,100,1798.000000000000000,1998,2022,0,0.000000000000000,179.000000000000000,420.000000000000000,21,0,2.000000000000000,8931,368554.000000000000000,0.276430622473641,-82.437078999999997,29.663232000000001,06326-020-108,HaileLike,True,False,False,0.790000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,12.773439707422241,352723.487497590831481,361654.487497590831481,-82445.512502409168519,-15830.512502409168519,82445.512502409168519,15830.512502409168519,0.814353721003357
1514,45056,0.180000000000000,1617,1.150000000000000,ST. JOHN'S,330300,1998,100,1616.500000000000000,1998,2023,0,0.000000000000000,213.500000000000000,462.000000000000000,24,0,2.000000000000000,2408,278347.000000000000000,0.216337008892414,-82.437523999999996,29.666194999999998,06326-010-038,HaileLike,True,False,False,0.760000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,12.666289857382830,316883.620402260392439,319291.620402260392439,-11008.379597739607561,38536.620402260392439,11008.379597739607561,38536.620402260392439,0.966671572516683
1515,45062,0.180000000000000,1442,1.150000000000000,ST. JOHN'S,309400,1997,100,1442.000000000000000,1997,2023,0,0.000000000000000,18.000000000000000,400.000000000000000,25,0,2.000000000000000,2054,260936.000000000000000,0.216337008892414,-82.437517000000000,29.665573999999999,06326-010-044,HaileLike,True,False,False,0.750000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,12.578235005559394,290173.705045466427691,292227.705045466427691,-17172.294954533572309,29237.705045466427691,17172.294954533572309,29237.705045466427691,0.944498077070027
1516,45085,0.210000000000000,1813,1.150000000000000,ST. JOHN'S,404400,2010,100,1813.000000000000000,1996,2023,0,0.000000000000000,200.000000000000000,441.000000000000000,12,0,2.000000000000000,1257,342483.000000000000000,0.252393177041150,-82.437545999999998,29.664045000000002,06326-010-067,HaileLike,True,False,False,0.880000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,12.858623329807932,384086.601087247370742,385343.601087247370742,-19056.398912752629258,41603.601087247370742,19056.398912752629258,41603.601087247370742,0.952877351847793
1517,45096,0.180000000000000,2105,1.150000000000000,ST. JOHN'S,409600,2000,100,2105.000000000000000,1997,2023,0,0.000000000000000,266.000000000000000,441.000000000000000,22,0,2.000000000000000,1088,347072.000000000000000,0.216337008892414,-82.437051999999994,29.666104000000001,06326-010-078,HaileLike,True,False,False,0.780000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,12.836532775845827,375694.944721422332805,376782.944721422332805,-32817.055278577667195,28622.944721422332805,32817.055278577667195,28622.944721422332805,0.919880236136285
1518,45123,0.190000000000000,1754,1.150000000000000,ST. JOHN'S,360200,1999,100,1754.000000000000000,1999,2023,0,0.000000000000000,163.000000000000000,441.000000000000000,23,0,2.000000000000000,380,305790.000000000000000,0.228355731608660,-82.437055000000001,29.662330999999998,06326-020-104,HaileLike,True,False,False,0.770000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,12.724948685906172,336027.636115316883661,336407.636115316883661,-23792.363884683116339,30237.636115316883661,23792.363884683116339,30237.636115316883661,0.933946796544467
