OID_,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,Total_MISC_Val,effective_year_built,imprv_type_cd,base_area,sum_us_area,total_porch_area,total_garage_area,effective_age,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,ARCHER_1,Duck_Pond,EastMidtownEastA,Gainesvilleish_Region,Golfview,HSBUI,Haile,HAWTHORNE_1,HighSpringsAGNV,HighSprings_A,HighSprings_B,HighSprings_E,HighSprings_F,High_Springs_Main,LACROSSE_1,Lugano,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,Newmans_Lake,Real_Tioga,SouthNewmansLake,Springtree_A,Springtree_B,Thornebrooke,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,West_Outer_Gainesville,West_of_Waldo_rd,WildsPlantation,swNewberry_A,swNewberry_B,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
3425,45033,0.270000000000000,2105,1.000000000000000,ST. JOHN'S,355300,872,1996,100,2105.000000000000000,0.000000000000000,344.000000000000000,441.000000000000000,28,301132.999999999941792,0.349606696941193,-82.438310999999999,29.665572999999998,06326-010-015,Gainesvilleish_Region,True,False,False,0.720000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.547898369932291,281502.996124714496545,282374.996124714496545,-72925.003875285503455,-19630.003875285445247,72925.003875285503455,19630.003875285445247,0.794750903812875
3426,45037,0.260000000000000,2587,1.000000000000000,ST. JOHN'S,400800,2768,2000,100,2382.500000000000000,0.000000000000000,311.500000000000000,420.000000000000000,24,337912.000000000000000,0.336658300758186,-82.438079999999999,29.666222999999999,06326-010-019,Gainesvilleish_Region,True,False,False,0.760000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.729147133473067,337441.396248780016322,340209.396248780016322,-60590.603751219983678,-470.603751219983678,60590.603751219983678,470.603751219983678,0.848825838944062
3427,45040,0.260000000000000,2367,1.000000000000000,ST. JOHN'S,402400,3171,2001,100,2153.500000000000000,0.000000000000000,343.500000000000000,420.000000000000000,23,338869.000000000000000,0.336658300758186,-82.438047999999995,29.666843000000000,06326-010-022,Gainesvilleish_Region,True,False,False,0.770000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.692745514196815,325378.862842375412583,328549.862842375412583,-73850.137157624587417,-13490.137157624587417,73850.137157624587417,13490.137157624587417,0.816475802292185
3428,45042,0.250000000000000,1958,1.000000000000000,ST. JOHN'S,464300,20832,2012,100,1958.000000000000000,0.000000000000000,350.000000000000000,546.000000000000000,12,373823.000000000000000,0.323709904575179,-82.438389000000001,29.667117000000001,06326-010-024,Gainesvilleish_Region,True,False,False,0.880000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.741471320601244,341625.819002806849312,362457.819002806849312,-101842.180997193150688,-32197.180997193150688,101842.180997193150688,32197.180997193150688,0.780654359256530
3429,45048,0.180000000000000,1588,1.000000000000000,ST. JOHN'S,349900,2744,2005,100,1588.000000000000000,0.000000000000000,246.000000000000000,483.000000000000000,19,294671.000000000000000,0.233071131294129,-82.437588000000005,29.667967000000001,06326-010-030,Gainesvilleish_Region,True,False,False,0.810000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.485435775678667,264457.483825244416948,267201.483825244416948,-82698.516174755583052,-30213.516174755583052,82698.516174755583052,30213.516174755583052,0.763650996928392
3430,45049,0.190000000000000,1596,1.000000000000000,ST. JOHN'S,281800,2767,1997,100,1596.000000000000000,0.000000000000000,168.000000000000000,441.000000000000000,27,236763.000000000000000,0.246019527477136,-82.437563999999995,29.667750000000002,06326-010-031,Gainesvilleish_Region,True,False,False,0.730000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.365122242605242,234479.218531157559482,237246.218531157559482,-44553.781468842440518,-2283.781468842440518,44553.781468842440518,2283.781468842440518,0.841895736448394
3431,45056,0.180000000000000,1617,1.000000000000000,ST. JOHN'S,330300,5236,1998,100,1616.500000000000000,0.000000000000000,213.500000000000000,462.000000000000000,26,275519.000000000000000,0.233071131294129,-82.437523999999996,29.666194999999998,06326-010-038,Gainesvilleish_Region,True,False,False,0.740000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.386855921225425,239631.096347813989269,244867.096347813989269,-85432.903652186010731,-35887.903652186010731,85432.903652186010731,35887.903652186010731,0.741347551764499
3432,45062,0.180000000000000,1442,1.000000000000000,ST. JOHN'S,309400,4613,1997,100,1442.000000000000000,0.000000000000000,18.000000000000000,400.000000000000000,27,258377.000000000000000,0.233071131294129,-82.437517000000000,29.665573999999999,06326-010-044,Gainesvilleish_Region,True,False,False,0.730000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.283913713691881,216190.169502402772196,220803.169502402772196,-88596.830497597227804,-42186.830497597227804,88596.830497597227804,42186.830497597227804,0.713649545903047
3433,45064,0.180000000000000,1426,1.000000000000000,ST. JOHN'S,328300,976,2004,100,1426.000000000000000,0.000000000000000,83.000000000000000,400.000000000000000,20,278079.000000000000000,0.233071131294129,-82.437524999999994,29.665133000000001,06326-010-046,Gainesvilleish_Region,True,False,False,0.800000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.395917887510212,241812.494212784455158,242788.494212784455158,-85511.505787215544842,-36266.505787215544842,85511.505787215544842,36266.505787215544842,0.739532422213781
3434,45074,0.190000000000000,1640,1.000000000000000,ST. JOHN'S,321600,2689,1997,100,1639.500000000000000,0.000000000000000,159.500000000000000,441.000000000000000,27,270671.000000000000000,0.246019527477136,-82.438826000000006,29.663508000000000,06326-010-056,Gainesvilleish_Region,True,False,False,0.730000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.380871482545480,238201.321213822666323,240890.321213822666323,-80709.678786177333677,-32469.678786177333677,80709.678786177333677,32469.678786177333677,0.749037068450941
