OID_,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,sum_us_area,total_porch_area,total_garage_area,effective_age,has_lake,number_of_baths,MISC_Val,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Archer_1,Buck_Bay,Duck_Pond,Eagle_Point,EastMidtownEastA,Gainesvilleish_Region,Golfview,HSBUI,HaileLike,Hawthorne_1,HighSpringsAGNV,HighSprings_A,HighSprings_B,HighSprings_E,HighSprings_F,High_Springs_Main,Lugano,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,Newmans_Lake,Real_Tioga,Springtree_A,Springtree_B,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,WaldoRural_C,WildsPlantation,swNewberry_A,swNewberry_B,built_before_1984,built_pre_1970_with_effective_le_1994,era_1900s,era_1910s,era_1920s,era_1930s,era_1940s,era_1950s,era_1960s,era_1970s,era_1980s,era_1990s,era_2000s,era_2010s,era_2020s,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
138,92301,0.340000000000000,1580,1.000000000000000,GAINESVILLE,178200,1982,100,1580.000000000000000,1962,2022,0,0.000000000000000,84.000000000000000,0.000000000000000,39,0,2.000000000000000,176,151294.000000000000000,0.408636572352338,-82.302648000000005,29.639339000000000,16106-124-000,MidtownEast_C,True,False,False,0.610000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,12.076009414576388,175607.981972858542576,175783.981972858542576,-2416.018027141457424,24313.981972858542576,2416.018027141457424,24313.981972858542576,0.986442098613123
139,92369,0.150000000000000,960,1.000000000000000,GAINESVILLE,134000,1980,100,960.000000000000000,1963,2022,0,0.000000000000000,0.000000000000000,0.000000000000000,41,0,1.000000000000000,306,113594.000000000000000,0.180280840743679,-82.300498000000005,29.639576999999999,16107-061-000,MidtownEast_C,True,False,True,0.590000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,11.650603857590928,114760.641222789592575,115066.641222789592575,-18933.358777210407425,1166.641222789592575,18933.358777210407425,1166.641222789592575,0.858706277782012
140,92420,0.240000000000000,1158,1.000000000000000,GAINESVILLE,196500,2007,100,1158.000000000000000,1998,2022,0,0.000000000000000,33.000000000000000,294.000000000000000,14,0,2.000000000000000,1859,165166.000000000000000,0.288449345189886,-82.305565999999999,29.637602999999999,16107-200-001,MidtownEast_C,True,False,False,0.860000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,12.235597395235121,205992.985296895960346,207851.985296895960346,11351.985296895960346,40826.985296895960346,11351.985296895960346,40826.985296895960346,1.057770917541455
141,92531,0.150000000000000,1017,1.000000000000000,GAINESVILLE,171800,1995,100,1017.000000000000000,1968,2022,0,0.000000000000000,255.000000000000000,0.000000000000000,26,0,2.000000000000000,333,145697.000000000000000,0.180280840743679,-82.299126999999999,29.642928000000001,16116-005-000,MidtownEast_C,True,False,False,0.740000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,11.924588355146446,150932.554208941583056,151265.554208941583056,-20534.445791058416944,5235.554208941583056,20534.445791058416944,5235.554208941583056,0.880474704359381
290,91943,0.250000000000000,1050,1.000000000000000,GAINESVILLE,129400,1972,100,1050.000000000000000,1960,2022,0,0.000000000000000,64.000000000000000,0.000000000000000,49,0,1.000000000000000,756,109233.999999999985448,0.300468067906131,-82.308027999999993,29.629749000000000,15995-047-000,MidtownEast_C,True,False,False,0.510000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,11.641100461897754,113675.191338437376544,114431.191338437376544,-14968.808661562623456,4441.191338437391096,14968.808661562623456,4441.191338437391096,0.884321416834910
291,91961,0.310000000000000,1464,1.000000000000000,GAINESVILLE,151700,1987,100,1464.000000000000000,1959,2022,0,0.000000000000000,0.000000000000000,0.000000000000000,34,0,1.000000000000000,400,128544.999999999985448,0.372580404203603,-82.309757000000005,29.631031000000000,15997-006-000,MidtownEast_C,True,False,False,0.660000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,12.033118314378935,168235.205901662644465,168635.205901662644465,16935.205901662644465,39690.205901662659016,16935.205901662644465,39690.205901662659016,1.111636162832318
292,91964,0.310000000000000,1008,1.000000000000000,GAINESVILLE,138600,1985,100,1008.000000000000000,1959,2022,0,0.000000000000000,0.000000000000000,0.000000000000000,36,0,1.000000000000000,0,117810.000000000000000,0.372580404203603,-82.309754999999996,29.630756000000002,15997-009-000,MidtownEast_C,True,False,False,0.640000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,11.797737574043985,132951.220137315161992,132951.220137315161992,-5648.779862684838008,15141.220137315161992,5648.779862684838008,15141.220137315161992,0.959244012534741
614,84149,0.180000000000000,1288,1.000000000000000,GAINESVILLE,191300,1992,100,1288.000000000000000,1967,2022,0,0.000000000000000,70.000000000000000,0.000000000000000,29,0,1.000000000000000,0,162605.000000000000000,0.216337008892414,-82.296542000000002,29.654886000000001,11128-004-000,MidtownEast_C,True,False,False,0.710000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,False,False,False,False,False,False,True,False,False,False,False,False,False,11.996393318903554,162168.844087193516316,162168.844087193516316,-29131.155912806483684,-436.155912806483684,29131.155912806483684,436.155912806483684,0.847720042274927
615,84313,0.290000000000000,925,1.000000000000000,GAINESVILLE,76500,1970,100,925.000000000000000,1954,2022,0,0.000000000000000,96.000000000000000,0.000000000000000,51,0,1.000000000000000,0,65025.000000000000000,0.348542958771112,-82.296207999999993,29.653607999999998,11230-000-000,MidtownEast_C,True,False,True,0.490000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,False,False,False,False,False,True,False,False,False,False,False,False,False,11.550429161684919,103821.583506246068282,103821.583506246068282,27321.583506246068282,38796.583506246068282,27321.583506246068282,38796.583506246068282,1.357144882434589
616,84402,0.210000000000000,1056,1.000000000000000,GAINESVILLE,118100,2010,100,1056.000000000000000,2010,2022,0,0.000000000000000,24.000000000000000,0.000000000000000,11,0,1.000000000000000,298,100087.000000000000000,0.252393177041150,-82.295546000000002,29.651544999999999,11251-001-000,MidtownEast_C,True,False,False,0.890000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,12.071806747967427,174871.508830286853481,175169.508830286853481,57069.508830286853481,74784.508830286853481,57069.508830286853481,74784.508830286853481,1.483230388063394
