OID_,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,Total_MISC_Val,effective_year_built,imprv_type_cd,base_area,sum_us_area,total_porch_area,total_garage_area,effective_age,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Duck_Pond,Gainesvilleish_Region,Haile,HighSprings_A,HighSprings_B,HighSprings_C,HighSprings_D,HighSprings_E,HighSprings_F,High_Springs_Main,LACROSSE_1,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,MidtownEast_E,MidtownEast_F,Real_Tioga,Springtree_A,Springtree_B,Springtree_C,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,WaldoRural_B,WaldoRural_C,West_Outer_Gainesville,West_of_Waldo_rd,swNewberry_A,swNewberry_B,swNewberry_C,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
3822,48551,1.040000000000000,2585,1.150000000000000,GAINESVILLE,740800,62695,2010,100,2585.000000000000000,0.000000000000000,28.000000000000000,483.000000000000000,14,566985.000000000000000,1.346633203032745,-82.356133000000000,29.656863999999999,06440-002-000,MidtownEast_A,True,False,False,0.860000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.319188201661964,608765.370086326263845,671460.370086326263845,-69339.629913673736155,41780.370086326263845,69339.629913673736155,41780.370086326263845,0.906398987697525
3823,48561,1.240000000000000,4400,1.150000000000000,GAINESVILLE,1208400,31914,2010,100,4400.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,14,995226.000000000000000,1.605601126692888,-82.356213999999994,29.654665999999999,06440-012-000,MidtownEast_A,True,False,False,0.860000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.514242926474086,739879.731131800799631,771793.731131800799631,-436606.268868199200369,-255346.268868199200369,436606.268868199200369,255346.268868199200369,0.638690608351374
3824,48595,0.280000000000000,1980,1.000000000000000,GAINESVILLE,474900,7062,2010,100,1960.000000000000000,0.000000000000000,132.000000000000000,0.000000000000000,14,396603.000000000000000,0.362555093124200,-82.356757999999999,29.650641000000000,06444-001-000,MidtownEast_A,True,False,False,0.860000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.804082328120206,363699.162452646531165,370761.162452646531165,-104138.837547353468835,-32903.837547353468835,104138.837547353468835,32903.837547353468835,0.780714176569060
3825,48611,0.220000000000000,1425,1.000000000000000,GAINESVILLE,301000,610,1995,100,1425.000000000000000,0.000000000000000,0.000000000000000,252.000000000000000,29,255239.999999999970896,0.284864716026157,-82.360804000000002,29.655290999999998,06446-003-000,MidtownEast_A,True,False,False,0.710000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.440603185164507,252863.016713303775759,253473.016713303775759,-47526.983286696224241,-2376.983286696195137,47526.983286696224241,2376.983286696195137,0.842103045559149
3826,48658,0.220000000000000,2007,1.150000000000000,GAINESVILLE,450000,7140,1996,100,1310.000000000000000,697.000000000000000,0.000000000000000,0.000000000000000,28,375360.000000000000000,0.284864716026157,-82.359734000000003,29.652581999999999,06447-011-000,MidtownEast_A,True,False,False,0.720000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.686781536351482,323444.085731797735207,330584.085731797735207,-119415.914268202264793,-51915.914268202264793,119415.914268202264793,51915.914268202264793,0.734631301626217
3827,48665,0.200000000000000,1476,1.000000000000000,GAINESVILLE,350000,2500,1994,100,4428.000000000000000,0.000000000000000,90.000000000000000,0.000000000000000,30,295000.000000000000000,0.258967923660143,-82.359718999999998,29.654184999999998,06447-018-000,MidtownEast_A,True,False,False,0.700000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.354851727021197,232083.320676825969713,234583.320676825969713,-115416.679323174030287,-62916.679323174030287,115416.679323174030287,62916.679323174030287,0.670238059076646
3828,48666,0.220000000000000,510,0.900000000000000,GAINESVILLE,216300,0,1994,100,510.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,30,183855.000000000000000,0.284864716026157,-82.359701000000001,29.654375000000002,06447-019-000,MidtownEast_A,True,False,True,0.700000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.585204262974026,107495.499759797137813,107495.499759797137813,-108804.500240202862187,-76359.500240202862187,108804.500240202862187,76359.500240202862187,0.496974108921855
3829,48670,0.220000000000000,1898,1.000000000000000,GAINESVILLE,472400,3126,2007,100,1656.000000000000000,0.000000000000000,397.000000000000000,0.000000000000000,17,398413.999999999941792,0.284864716026157,-82.359691999999995,29.655142000000001,06447-023-000,MidtownEast_A,True,False,False,0.830000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.724092023762417,335739.897225305321626,338865.897225305321626,-133534.102774694678374,-62674.102774694620166,133534.102774694678374,62674.102774694620166,0.717328317581087
3830,48676,0.280000000000000,2633,1.000000000000000,GAINESVILLE,486600,3629,2003,100,3538.000000000000000,2428.000000000000000,120.000000000000000,600.000000000000000,21,409981.000000000000000,0.362555093124200,-82.359121000000002,29.655118000000002,06447-030-000,MidtownEast_A,True,False,False,0.790000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.007376096265972,445688.740570793626830,449317.740570793626830,-37282.259429206373170,35707.740570793626830,37282.259429206373170,35707.740570793626830,0.923382122011495
3831,48681,0.220000000000000,1301,1.000000000000000,GAINESVILLE,388100,1519,2000,100,1256.000000000000000,0.000000000000000,415.000000000000000,0.000000000000000,24,328366.000000000000000,0.284864716026157,-82.359156999999996,29.653144999999999,06447-039-000,MidtownEast_A,True,False,False,0.760000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.390514581210885,240509.430835148174083,242028.430835148174083,-146071.569164851825917,-87856.569164851825917,146071.569164851825917,87856.569164851825917,0.623623887748385
