OID_,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,sum_us_area,total_porch_area,total_garage_area,effective_age,has_lake,number_of_baths,MISC_Val,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Archer_1,Buck_Bay,Duck_Pond,Eagle_Point,EastGNV,EastMidtownEastA,Gainesvilleish_Region,Golfview,HSBUI,HaileLike,Hawthorne_1,HighSpringsAGNV,HighSprings_A,HighSprings_B,HighSprings_E,HighSprings_F,High_Springs_Main,Lugano,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,Newmans_Lake,Real_Tioga,Springtree_A,Springtree_B,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,WaldoRural_C,WildsPlantation,swNewberry_A,swNewberry_B,built_before_1984,built_pre_1970_with_effective_le_1994,era_1900s,era_1910s,era_1920s,era_1930s,era_1940s,era_1950s,era_1960s,era_1970s,era_1980s,era_1990s,era_2000s,era_2010s,era_2020s,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
513,5259,1.000000000000000,1930,1.000000000000000,HIGH SPRINGS,455100,2004,100,1930.000000000000000,2004,2022,0,0.000000000000000,418.000000000000000,529.000000000000000,17,0,2.000000000000000,12541,374294.000000000000000,1.201872271624524,-82.568231999999995,29.808993999999998,01516-010-022,High_Springs_Main,True,False,False,0.830000000000000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,12.633409270828842,306633.735646251938306,319174.735646251938306,-135925.264353748061694,-67660.264353748061694,135925.264353748061694,67660.264353748061694,0.701328797289062
514,5287,1.250000000000000,1523,1.000000000000000,HIGH SPRINGS,355300,2004,100,1446.000000000000000,2004,2022,0,0.000000000000000,119.000000000000000,441.000000000000000,17,0,2.000000000000000,1264,300741.000000000000000,1.502340339530655,-82.571476000000004,29.810707000000001,01516-010-050,High_Springs_Main,True,False,False,0.830000000000000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,12.509523127922368,270904.903293517476413,272168.903293517476413,-83131.096706482523587,-29836.096706482523587,83131.096706482523587,29836.096706482523587,0.766025621428420
515,5330,1.100000000000000,2205,1.000000000000000,HIGH SPRINGS,508200,2004,100,2205.000000000000000,2004,2022,0,0.000000000000000,370.000000000000000,441.000000000000000,17,0,2.000000000000000,15047,416923.000000000000000,1.322059498786977,-82.566489000000004,29.805226999999999,01516-011-089,High_Springs_Main,True,False,False,0.830000000000000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,12.712372219541043,331828.059124252526090,346875.059124252526090,-161324.940875747473910,-85094.940875747473910,161324.940875747473910,85094.940875747473910,0.682556196623874
516,5410,0.370000000000000,1932,1.000000000000000,HIGH SPRINGS,385500,2015,100,1932.000000000000000,2015,2022,0,0.000000000000000,267.000000000000000,531.000000000000000,6,0,2.000000000000000,1530,326145.000000000000000,0.444692740501074,-82.561751999999998,29.806159999999998,01519-020-044,High_Springs_Main,True,False,False,0.940000000000000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,12.658648575210842,314471.451013598765712,316001.451013598765712,-69498.548986401234288,-11673.548986401234288,69498.548986401234288,11673.548986401234288,0.819718420268739
1136,5266,1.210000000000000,1843,1.000000000000000,HIGH SPRINGS,394200,2008,100,1843.000000000000000,2003,2023,0,0.000000000000000,359.000000000000000,440.000000000000000,14,0,2.000000000000000,1569,333500.999999999941792,1.454265448665675,-82.564575000000005,29.809526000000002,01516-010-029,High_Springs_Main,True,False,False,0.860000000000000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,12.646791578953163,310764.782598647114355,312333.782598647114355,-81866.217401352885645,-22736.217401352827437,81866.217401352885645,22736.217401352827437,0.792323142056436
2149,5253,1.000000000000000,1779,1.000000000000000,HIGH SPRINGS,460000,2004,100,1779.000000000000000,2004,2024,0,0.000000000000000,864.000000000000000,563.000000000000000,19,0,2.000000000000000,39466,351534.000000000000000,1.201872271624524,-82.568301000000005,29.809950000000001,01516-010-016,High_Springs_Main,True,False,False,0.810000000000000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,12.571026063308159,288089.381473747489508,327555.381473747489508,-132444.618526252510492,-63444.618526252510492,132444.618526252510492,63444.618526252510492,0.712076916247277
2150,5331,1.030000000000000,2207,1.000000000000000,HIGH SPRINGS,510000,2003,100,2206.500000000000000,2003,2024,0,0.000000000000000,231.000000000000000,575.000000000000000,20,0,3.000000000000000,43248,390252.000000000000000,1.237928439773260,-82.566366000000002,29.804742000000001,01516-011-090,High_Springs_Main,True,False,False,0.800000000000000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,12.716429657492149,333177.165992449154146,376425.165992449154146,-133574.834007550845854,-57074.834007550845854,133574.834007550845854,57074.834007550845854,0.738088560769508
2151,5417,0.370000000000000,2020,1.000000000000000,HIGH SPRINGS,422300,2007,100,2020.000000000000000,2007,2024,0,0.000000000000000,278.000000000000000,460.000000000000000,16,0,2.000000000000000,948,358007.000000000000000,0.444692740501074,-82.562481000000005,29.805737000000001,01519-020-051,High_Springs_Main,True,False,False,0.840000000000000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,12.590802523859317,293843.480075205094181,294791.480075205094181,-127508.519924794905819,-64163.519924794905819,127508.519924794905819,64163.519924794905819,0.698061757222839
3137,5251,0.770000000000000,2153,1.000000000000000,HIGH SPRINGS,321000,2002,100,2153.000000000000000,2002,2023,0,0.000000000000000,369.000000000000000,480.000000000000000,20,0,2.000000000000000,1280,271569.999999999941792,0.925441649150884,-82.569235000000006,29.809981000000001,01516-010-014,High_Springs_Main,True,False,False,0.800000000000000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,12.643876794149385,309860.288975292583928,311140.288975292583928,-9859.711024707416072,38290.288975292642135,9859.711024707416072,38290.288975292642135,0.969284389331130
3138,5422,0.350000000000000,1975,1.000000000000000,HIGH SPRINGS,462700,2017,100,1974.500000000000000,2017,2023,0,0.000000000000000,281.500000000000000,440.000000000000000,5,0,2.000000000000000,4974,388321.000000000000000,0.420655295068583,-82.563022000000004,29.805157000000001,01519-020-056,High_Springs_Main,True,False,False,0.950000000000000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,12.672529868401888,318867.159903293475509,323841.159903293475509,-138858.840096706524491,-69453.840096706524491,138858.840096706524491,69453.840096706524491,0.699894445436122
3188,5433,0.510000000000000,2048,1.000000000000000,HIGH SPRINGS,468000,2009,100,2048.000000000000000,2009,2024,0,0.000000000000000,582.000000000000000,616.000000000000000,14,0,2.000000000000000,4921,392879.000000000000000,0.612954858528508,-82.560497999999995,29.804866000000001,01519-020-067,High_Springs_Main,True,False,False,0.860000000000000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,12.648684489321514,311353.589581354404800,316274.589581354404800,-151725.410418645595200,-81525.410418645595200,151725.410418645595200,81525.410418645595200,0.675800405088364
3432,5245,1.140000000000000,1997,1.000000000000000,HIGH SPRINGS,367400,2005,100,1997.000000000000000,2005,2022,0,0.000000000000000,593.000000000000000,576.000000000000000,16,0,2.000000000000000,3507,308782.999999999941792,1.370134389651958,-82.568946999999994,29.810862000000000,01516-010-008,High_Springs_Main,True,False,False,0.840000000000000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,12.674635212710452,319539.192245086363982,323046.192245086363982,-44353.807754913636018,10756.192245086422190,44353.807754913636018,10756.192245086422190,0.879276516725875
3751,5243,1.010000000000000,1995,1.000000000000000,HIGH SPRINGS,454000,2002,100,1831.500000000000000,2002,2022,0,0.000000000000000,228.500000000000000,506.000000000000000,19,0,2.000000000000000,9518,376381.999999999941792,1.213890994340770,-82.567701000000000,29.810911000000001,01516-010-006,High_Springs_Main,True,False,False,0.810000000000000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,12.630560952384604,305761.587788438366260,315279.587788438366260,-138720.412211561633740,-70620.412211561575532,138720.412211561633740,70620.412211561575532,0.694448431252067
3802,5282,1.010000000000000,1930,1.150000000000000,HIGH SPRINGS,439600,2012,100,1930.000000000000000,2003,2023,0,0.000000000000000,50.000000000000000,420.000000000000000,10,0,2.000000000000000,11174,362485.999999999941792,1.213890994340770,-82.571596999999997,29.808644999999999,01516-010-045,High_Springs_Main,True,False,False,0.900000000000000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,12.799534550856482,362048.895039392518811,373222.895039392518811,-66377.104960607481189,-437.104960607422981,66377.104960607481189,437.104960607422981,0.849005675703805
3853,5262,1.000000000000000,1649,1.000000000000000,HIGH SPRINGS,344400,2008,100,1648.500000000000000,2003,2023,0,0.000000000000000,269.500000000000000,420.000000000000000,14,0,2.000000000000000,1421,291319.000000000000000,1.201872271624524,-82.566509999999994,29.808786999999999,01516-010-025,High_Springs_Main,True,False,False,0.860000000000000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,12.568076604092631,287240.925450963666663,288661.925450963666663,-55738.074549036333337,-4078.074549036333337,55738.074549036333337,4078.074549036333337,0.838158900844842
4177,5254,1.000000000000000,1848,1.000000000000000,HIGH SPRINGS,460400,2012,100,1847.500000000000000,2002,2024,0,0.000000000000000,474.500000000000000,462.000000000000000,11,0,2.000000000000000,18954,372386.000000000000000,1.201872271624524,-82.570532000000000,29.809025999999999,01516-010-017,High_Springs_Main,True,False,False,0.890000000000000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,12.663388795853045,315965.653704441327136,334919.653704441327136,-125480.346295558672864,-56420.346295558672864,125480.346295558672864,56420.346295558672864,0.727453635326762
