OID_,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,Total_MISC_Val,effective_year_built,imprv_type_cd,base_area,sum_us_area,total_porch_area,total_garage_area,effective_age,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,ARCHER_1,Duck_Pond,EastMidtownEastA,Gainesvilleish_Region,Golfview,HSBUI,Haile,HAWTHORNE_1,HighSpringsAGNV,HighSprings_A,HighSprings_B,HighSprings_E,HighSprings_F,High_Springs_Main,LACROSSE_1,Lugano,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,Newmans_Lake,Real_Tioga,SouthNewmansLake,Springtree_A,Springtree_B,Thornebrooke,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,West_Outer_Gainesville,West_of_Waldo_rd,WildsPlantation,swNewberry_A,swNewberry_B,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
1,1058,7.930000000000000,2412,1.000000000000000,SUWANNEE,492600,43625,2000,100,1950.000000000000000,0.000000000000000,558.000000000000000,0.000000000000000,24,375085.000000000000000,10.268078173124676,-82.556668999999999,29.881191999999999,00016-003-001,HSBUI,False,False,False,0.760000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.687305523664831,323613.610739896830637,367238.610739896830637,-125361.389260103169363,-51471.389260103169363,125361.389260103169363,51471.389260103169363,0.745510781039173
3,1199,10.100000000000000,2042,1.000000000000000,SUWANNEE,451800,31386,1997,100,2042.000000000000000,0.000000000000000,142.000000000000000,0.000000000000000,27,352644.000000000000000,13.077880144837231,-82.572412999999997,29.866443000000000,00063-012-001,HSBUI,False,False,False,0.730000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.553089780437926,282968.193666440784000,314354.193666440784000,-137445.806333559216000,-69675.806333559216000,137445.806333559216000,69675.806333559216000,0.695781747823021
5,1278,7.980000000000000,2496,1.150000000000000,SUWANNEE,961100,40237,2009,100,2496.000000000000000,0.000000000000000,1144.000000000000000,1395.000000000000000,15,776698.000000000000000,10.332820154039714,-82.570565000000002,29.848694999999999,00068-001-000,HSBUI,False,False,False,0.850000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.133372721668147,505535.085053493501619,545772.085053493501619,-415327.914946506498381,-271162.914946506498381,415327.914946506498381,271162.914946506498381,0.567861913488184
10,1359,3.890000000000000,2468,1.150000000000000,HIGH SPRINGS,481700,23270,2005,100,2468.000000000000000,0.000000000000000,310.000000000000000,575.000000000000000,19,386175.000000000000000,5.036926115189784,-82.611986999999999,29.846720999999999,00090-010-005,High_Springs_Main,True,False,False,0.810000000000000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.010021738821179,446869.434828028373886,470139.434828028373886,-11560.565171971626114,60694.434828028373886,11560.565171971626114,60694.434828028373886,0.976000487498502
12,1416,1.070000000000000,2260,1.000000000000000,HIGH SPRINGS,199700,6919,1994,100,1780.000000000000000,0.000000000000000,480.000000000000000,320.000000000000000,30,162826.000000000000000,1.385478391581766,-82.583832000000001,29.847818000000000,00146-002-001,High_Springs_Main,False,False,False,0.700000000000000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.481037926288968,263296.993343009380624,270215.993343009380624,70515.993343009380624,100470.993343009380624,70515.993343009380624,100470.993343009380624,1.353109631161790
14,1473,6.480000000000000,1416,1.000000000000000,HIGH SPRINGS,495500,6240,2010,100,1416.000000000000000,0.000000000000000,0.000000000000000,288.000000000000000,14,414935.000000000000000,8.390560726588641,-82.624925000000005,29.846917000000001,00155-010-012,High_Springs_Main,True,False,False,0.860000000000000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.611033055122794,299848.628646998549812,306088.628646998549812,-189411.371353001450188,-115086.371353001450188,189411.371353001450188,115086.371353001450188,0.617736889297676
15,1523,2.250000000000000,2596,1.000000000000000,SUWANNEE,674100,464,2008,100,2596.000000000000000,0.000000000000000,525.000000000000000,2004.000000000000000,16,572521.000000000000000,2.913389141176611,-82.631113999999997,29.840852999999999,00165-004-000,HSBUI,False,False,False,0.840000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.900833082937851,400645.823538647557143,401109.823538647557143,-272990.176461352442857,-171875.176461352442857,272990.176461352442857,171875.176461352442857,0.595030149145005
18,1610,1.190000000000000,1436,1.000000000000000,HIGH SPRINGS,292100,2916,2012,100,1436.000000000000000,0.000000000000000,64.000000000000000,300.000000000000000,12,245369.000000000000000,1.540859145777852,-82.613894000000002,29.841391000000002,00181-100-014,High_Springs_Main,True,False,False,0.880000000000000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.526892768982513,275651.528473752725404,278567.528473752725404,-13532.471526247274596,30282.528473752725404,13532.471526247274596,30282.528473752725404,0.953671785257627
23,1699,0.340000000000000,960,0.900000000000000,HIGH SPRINGS,25100,145,1994,100,1920.000000000000000,0.000000000000000,144.000000000000000,0.000000000000000,30,21190.000000000000000,0.440245470222243,-82.608052000000001,29.837502000000001,00206-002-001,High_Springs_Main,False,False,True,0.700000000000000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.643035037729625,113895.317472980634193,114040.317472980634193,88940.317472980634193,92705.317472980634193,88940.317472980634193,92705.317472980634193,4.543438943146639
24,1714,0.240000000000000,1360,1.000000000000000,HIGH SPRINGS,252200,2417,1994,100,1360.000000000000000,0.000000000000000,88.000000000000000,546.000000000000000,30,211953.000000000000000,0.310761508392172,-82.604114999999993,29.837830000000000,00206-010-010,High_Springs_Main,True,False,False,0.700000000000000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.097610974813579,179442.656740028352942,181859.656740028352942,-70340.343259971647058,-32510.343259971647058,70340.343259971647058,32510.343259971647058,0.721093008485442
25,1717,0.360000000000000,1856,1.000000000000000,HIGH SPRINGS,235800,640,2002,100,1856.000000000000000,0.000000000000000,301.000000000000000,400.000000000000000,22,199789.999999999970896,0.466142262588258,-82.603690999999998,29.837177000000001,00206-010-013,High_Springs_Main,True,False,False,0.780000000000000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.447042574730521,254496.554031691339333,255136.554031691339333,19336.554031691339333,54706.554031691368436,19336.554031691339333,54706.554031691368436,1.082004045935926
30,1750,0.180000000000000,1384,1.000000000000000,HIGH SPRINGS,264400,624,2022,100,1384.000000000000000,0.000000000000000,84.000000000000000,420.000000000000000,2,224116.000000000029104,0.233071131294129,-82.606578999999996,29.839971999999999,00206-040-020,High_Springs_Main,True,False,False,0.980000000000000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.476826042494302,262190.349167882872280,262814.349167882872280,-1585.650832117127720,38074.349167882843176,1585.650832117127720,38074.349167882843176,0.994002833464005
31,1778,0.170000000000000,1397,1.000000000000000,HIGH SPRINGS,259300,599,2022,100,1397.000000000000000,0.000000000000000,84.000000000000000,400.000000000000000,2,219806.000000000000000,0.220122735111122,-82.605903999999995,29.838270000000001,00206-040-048,High_Springs_Main,True,False,False,0.980000000000000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.476327767476548,262059.738809637725353,262658.738809637725353,3358.738809637725353,42253.738809637725353,3358.738809637725353,42253.738809637725353,1.012953099921472
32,1786,0.170000000000000,1209,1.000000000000000,HIGH SPRINGS,238500,0,2022,100,1209.000000000000000,0.000000000000000,16.000000000000000,420.000000000000000,2,202725.000000000000000,0.220122735111122,-82.606344000000007,29.838528000000000,00206-040-056,High_Springs_Main,True,False,False,0.980000000000000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.381262213417321,238294.412009273626609,238294.412009273626609,-205.587990726373391,35569.412009273626609,205.587990726373391,35569.412009273626609,0.999137995846011
33,1788,0.170000000000000,1202,1.000000000000000,HIGH SPRINGS,244400,0,2023,100,1202.000000000000000,0.000000000000000,76.000000000000000,380.000000000000000,1,207740.000000000000000,0.220122735111122,-82.606904999999998,29.838234000000000,00206-040-058,High_Springs_Main,True,False,False,0.990000000000000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.397714318704949,242247.284138830495067,242247.284138830495067,-2152.715861169504933,34507.284138830495067,2152.715861169504933,34507.284138830495067,0.991191833628603
37,1795,0.180000000000000,1776,1.000000000000000,HIGH SPRINGS,302400,520,2022,100,1776.000000000000000,0.000000000000000,144.000000000000000,420.000000000000000,2,256520.000000000000000,0.233071131294129,-82.606660000000005,29.839527000000000,00206-040-065,High_Springs_Main,True,False,False,0.980000000000000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.627877657568540,304942.239073667558841,305462.239073667558841,3062.239073667558841,48422.239073667558841,3062.239073667558841,48422.239073667558841,1.010126451963186
39,1817,0.120000000000000,1368,1.000000000000000,HIGH SPRINGS,324200,1282,2014,100,1367.500000000000000,0.000000000000000,149.500000000000000,420.000000000000000,10,274288.000000000000000,0.155380754196086,-82.606959000000003,29.841602000000002,00207-010-003,High_Springs_Main,True,False,False,0.900000000000000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.337071159657064,227993.217493155389093,229275.217493155389093,-94924.782506844610907,-46294.782506844610907,94924.782506844610907,46294.782506844610907,0.707203015093015
45,1918,0.390000000000000,1736,1.000000000000000,HIGH SPRINGS,265400,1102,2003,100,1735.500000000000000,0.000000000000000,619.500000000000000,528.000000000000000,21,224488.000000000000000,0.504987451137279,-82.590680000000006,29.839430000000000,00236-001-006,High_Springs_Main,True,False,False,0.790000000000000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.440261491734891,252776.629841653542826,253878.629841653542826,-11521.370158346457174,28288.629841653542826,11521.370158346457174,28288.629841653542826,0.956588658031852
47,1927,1.520000000000000,1364,1.000000000000000,HIGH SPRINGS,318400,3844,2002,100,1363.500000000000000,0.000000000000000,854.500000000000000,0.000000000000000,22,266796.000000000000000,1.968156219817088,-82.588033999999993,29.839078000000001,00236-006-001,High_Springs_Main,False,False,False,0.780000000000000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.222738458597524,203361.092488288588356,207205.092488288588356,-111194.907511711411644,-63434.907511711411644,111194.907511711411644,63434.907511711411644,0.650769762840102
50,1951,1.990000000000000,1867,1.000000000000000,HIGH SPRINGS,419400,27065,2003,100,1867.000000000000000,0.000000000000000,216.000000000000000,273.000000000000000,21,329425.000000000000000,2.576730840418424,-82.587334999999996,29.839016999999998,00236-050-000,High_Springs_Main,False,False,False,0.790000000000000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.557385365471507,284186.322018011996988,311251.322018011996988,-108148.677981988003012,-45238.677981988003012,108148.677981988003012,45238.677981988003012,0.742134768760162
57,2033,0.200000000000000,1484,1.000000000000000,HIGH SPRINGS,321500,943,2009,100,1483.500000000000000,0.000000000000000,397.500000000000000,444.000000000000000,15,272332.000000000000000,0.258967923660143,-82.586658000000000,29.830507000000001,00236-100-081,High_Springs_Main,True,False,False,0.850000000000000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.369521250772625,235512.966594616853399,236455.966594616853399,-85044.033405383146601,-36819.033405383146601,85044.033405383146601,36819.033405383146601,0.735477345550908
66,2179,4.000000000000000,1470,1.000000000000000,SUWANNEE,242400,12203,2003,100,870.000000000000000,0.000000000000000,600.000000000000000,0.000000000000000,21,193837.000000000000000,5.179358473202863,-82.563603999999998,29.840847000000000,00242-001-000,HSBUI,False,False,False,0.790000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.381031819958762,238239.516859520197613,250442.516859520197613,8042.516859520197613,44402.516859520197613,8042.516859520197613,44402.516859520197613,1.033178699915512
68,2240,5.000000000000000,1946,1.000000000000000,HIGH SPRINGS,388900,6303,2012,100,1660.000000000000000,0.000000000000000,346.000000000000000,484.000000000000000,12,324262.000000000000000,6.474198091503579,-82.570239000000001,29.832505999999999,00248-002-000,High_Springs_Main,True,False,False,0.880000000000000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.853294335741905,382045.249874348926824,388348.249874348926824,-551.750125651073176,57783.249874348926824,551.750125651073176,57783.249874348926824,0.998581254498197
69,2247,2.710000000000000,1570,1.000000000000000,HIGH SPRINGS,308700,616,2006,100,1390.000000000000000,0.000000000000000,192.000000000000000,576.000000000000000,18,261778.999999999970896,3.509015365594940,-82.568755999999993,29.830269999999999,00248-009-000,High_Springs_Main,True,False,False,0.820000000000000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.588659927185217,293214.566007282643113,293830.566007282643113,-14869.433992717356887,31435.566007282672217,14869.433992717356887,31435.566007282672217,0.951832089430783
71,2339,1.250000000000000,1893,1.000000000000000,HIGH SPRINGS,387700,5873,1996,100,1893.000000000000000,0.000000000000000,606.000000000000000,462.000000000000000,28,323672.000000000000000,1.618549522875895,-82.563674000000006,29.815248000000000,00256-020-009,High_Springs_Main,True,False,False,0.720000000000000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.480025542941485,263030.570735167537350,268903.570735167537350,-118796.429264832462650,-60641.429264832462650,118796.429264832462650,60641.429264832462650,0.693586718429630
72,2343,1.030000000000000,1667,1.000000000000000,HIGH SPRINGS,434300,7669,1997,100,1667.000000000000000,0.000000000000000,214.000000000000000,567.000000000000000,27,361486.000000000000000,1.333684806849737,-82.561732000000006,29.815234000000000,00256-020-013,High_Springs_Main,True,False,False,0.730000000000000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.401798478695833,243238.683944245247403,250907.683944245247403,-183392.316055754752597,-118247.316055754752597,183392.316055754752597,118247.316055754752597,0.577728952208716
73,2344,1.030000000000000,2045,1.000000000000000,HIGH SPRINGS,429700,12222,2004,100,2045.000000000000000,0.000000000000000,338.000000000000000,504.000000000000000,20,353023.000000000000000,1.333684806849737,-82.561259000000007,29.815235999999999,00256-020-014,High_Springs_Main,True,False,False,0.800000000000000,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.632024551414561,306209.427800883655436,318431.427800883655436,-111268.572199116344564,-46813.572199116344564,111268.572199116344564,46813.572199116344564,0.741055219457490
82,2416,4.240000000000000,2608,1.000000000000000,SUWANNEE,220500,24701,1990,100,2378.000000000000000,0.000000000000000,433.000000000000000,0.000000000000000,34,162724.000000000000000,5.490119981595035,-82.584151000000006,29.828498000000000,00259-005-000,HSBUI,True,False,False,0.660000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.556923245604761,284055.024212748568971,308756.024212748568971,88256.024212748568971,121331.024212748568971,88256.024212748568971,121331.024212748568971,1.400254078062352
