OID_,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Archer_1,Buck_Bay,CarolEstates,Duck_Pond,EastGNV,EastMidtownEastA,Gainesvilleish_Region,Golfview,HSBUI,HaileLike,Hawthorne_1,HighSpringsAGNV,HighSprings_A,HighSprings_B,HighSprings_E,HighSprings_F,High_Springs_Main,Ironwood,Lugano,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,Newmans_Lake,QuailCreekish,Real_Tioga,Springtree_A,Springtree_B,SummerCreek,TC_Forest,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,WaldoRural_C,Westchesterish,WildsPlantation,swNewberry_A,swNewberry_B,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
376,45828,0.290000000000000,2126,3.000000000000000,ST. JOHN'S,378500,2000,100,2126.000000000000000,1971,2022,0,0.000000000000000,126.000000000000000,0.000000000000000,21,50,0,0,3.000000000000000,3042,318683.000000000000000,0.350930340162370,-82.403869000000000,29.669850000000000,06353-152-017,HighSprings_A,True,0.790000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.568249729234456,287290.658381806220859,290332.658381806220859,-88167.341618193779141,-31392.341618193779141,88167.341618193779141,31392.341618193779141,0.767061184628286
448,42593,0.350000000000000,1905,3.000000000000000,ST. JOHN'S,372100,2000,100,1718.000000000000000,1961,2022,0,0.000000000000000,459.000000000000000,290.000000000000000,21,60,0,0,2.500000000000000,1435,314850.000000000000000,0.423536617437343,-82.392930000000007,29.674402000000001,06178-007-000,HighSprings_A,False,0.790000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.566511821582727,286791.807352402538527,288226.807352402538527,-83873.192647597461473,-28058.192647597461473,83873.192647597461473,28058.192647597461473,0.774595021102936
449,42866,0.310000000000000,2129,3.000000000000000,ST. JOHN'S,402900,2000,100,2129.000000000000000,1986,2022,0,0.000000000000000,301.000000000000000,506.000000000000000,21,35,0,0,2.000000000000000,8123,334342.000000000000000,0.375132432587361,-82.408895999999999,29.675277000000001,06221-020-016,HighSprings_A,True,0.790000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.638723714686966,308267.661276745493524,316390.661276745493524,-86509.338723254506476,-26074.338723254506476,86509.338723254506476,26074.338723254506476,0.785283348912250
450,42893,0.300000000000000,1912,3.000000000000000,ST. JOHN'S,349500,2000,100,1912.000000000000000,1973,2022,0,0.000000000000000,75.000000000000000,504.000000000000000,21,48,0,0,2.000000000000000,9342,287733.000000000000000,0.363031386374865,-82.414271999999997,29.675850000000001,06224-007-000,HighSprings_A,True,0.790000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.572439738208063,288496.934206926787738,297838.934206926787738,-51661.065793073212262,763.934206926787738,51661.065793073212262,763.934206926787738,0.852185791722251
451,42950,0.140000000000000,1634,3.000000000000000,ST. JOHN'S,311600,2005,100,1186.000000000000000,1989,2022,0,448.000000000000000,56.000000000000000,462.000000000000000,16,32,0,0,2.000000000000000,2349,262511.000000000000000,0.169414646974937,-82.416661000000005,29.674827000000001,06228-020-003,HighSprings_A,True,0.840000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.480065050784470,263040.962710937252268,265389.962710937252268,-46210.037289062747732,529.962710937252268,46210.037289062747732,529.962710937252268,0.851700778918284
452,42972,0.130000000000000,1502,3.000000000000000,ST. JOHN'S,308100,2000,100,1502.000000000000000,1993,2022,0,0.000000000000000,159.000000000000000,400.000000000000000,21,28,0,0,2.000000000000000,310,261574.999999999970896,0.157313600762442,-82.416516999999999,29.676352000000001,06228-020-025,HighSprings_A,True,0.790000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.368793220390373,235341.568398639239604,235651.568398639239604,-72448.431601360760396,-26233.431601360731293,72448.431601360760396,26233.431601360731293,0.764854165526255
1043,45303,2.270000000000000,4088,4.000000000000000,ST. JOHN'S,782800,2008,100,2966.000000000000000,1979,2023,0,1122.000000000000000,60.000000000000000,648.000000000000000,14,43,0,0,4.000000000000000,18255,647125.000000000000000,2.746937490236480,-82.419238000000007,29.666708000000000,06337-014-001,HighSprings_A,False,0.860000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.415311186203599,670186.416469269082882,688441.416469269082882,-94358.583530730917118,23061.416469269082882,94358.583530730917118,23061.416469269082882,0.879460164115060
1044,45470,1.000000000000000,3021,4.000000000000000,ST. JOHN'S,477300,1990,100,3021.000000000000000,1970,2023,0,0.000000000000000,416.000000000000000,460.000000000000000,30,52,0,0,2.500000000000000,8586,397119.000000000000000,1.210104621249551,-82.412803999999994,29.665865000000000,06342-009-000,HighSprings_A,True,0.700000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.950729704342249,421143.834661287721246,429729.834661287721246,-47570.165338712278754,24024.834661287721246,47570.165338712278754,24024.834661287721246,0.900334872535696
1045,45577,1.430000000000000,3778,4.000000000000000,ST. JOHN'S,664600,1990,100,3778.000000000000000,1959,2023,0,0.000000000000000,921.000000000000000,1147.000000000000000,30,63,0,0,2.500000000000000,1464,563446.000000000000000,1.730449608386857,-82.406349000000006,29.669699000000001,06350-001-000,HighSprings_A,True,0.700000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.121450522306597,499543.780713865591679,501007.780713865591679,-163592.219286134408321,-63902.219286134408321,163592.219286134408321,63902.219286134408321,0.753848601736181
1046,45604,1.680000000000000,2377,3.000000000000000,ST. JOHN'S,488800,2012,100,2377.000000000000000,1955,2023,0,0.000000000000000,268.000000000000000,480.000000000000000,10,67,0,0,2.000000000000000,13334,402146.000000000000000,2.032975763699245,-82.406075000000001,29.662941000000000,06350-029-000,HighSprings_A,True,0.900000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.962998209670156,426342.464543500856962,439676.464543500856962,-49123.535456499143038,24196.464543500856962,49123.535456499143038,24196.464543500856962,0.899501768706017
