OID_,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,Total_MISC_Val,effective_year_built,imprv_type_cd,base_area,sum_us_area,total_porch_area,total_garage_area,effective_age,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,East_Outer_Gainesville,Haile,HighSprings_A,HighSprings_B,HighSprings_C,HighSprings_D,HighSprings_E,HighSprings_F,High_Springs_Main,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,MidtownEast_E,MidtownEast_F,Springtree_A,Springtree_B,Springtree_C,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,WaldoRural_B,WaldoRural_C,swNewberry_A,swNewberry_B,swNewberry_C,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
967,18066,0.250000000000000,1696,1.000000000000000,SUWANNEE,320100,11396,1994,100,1696.000000000000000,0.000000000000000,112.000000000000000,500.000000000000000,30,260689.000000000000000,0.323709904575179,-82.456942999999995,29.687100999999998,04210-001-010,HighSprings_B,True,False,False,0.700000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.367016996439556,234923.920096491201548,246319.920096491201548,-73780.079903508798452,-25765.079903508798452,73780.079903508798452,25765.079903508798452,0.769509278651956
968,18070,0.280000000000000,1554,1.000000000000000,SUWANNEE,318700,10284,1998,100,1554.000000000000000,0.000000000000000,165.000000000000000,528.000000000000000,26,260611.000000000000000,0.362555093124200,-82.456360000000004,29.687052000000001,04210-001-014,HighSprings_B,True,False,False,0.740000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.387436540245604,239770.271120029821759,250054.271120029821759,-68645.728879970178241,-20840.728879970178241,68645.728879970178241,20840.728879970178241,0.784607063445340
969,18076,0.200000000000000,1224,1.000000000000000,SUWANNEE,290400,3007,2000,100,1224.000000000000000,0.000000000000000,80.000000000000000,488.000000000000000,24,243832.999999999970896,0.258967923660143,-82.456067000000004,29.688354000000000,04210-001-020,HighSprings_B,True,False,False,0.760000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.236275954387757,206132.811157141433796,209139.811157141433796,-81260.188842858566204,-37700.188842858537100,81260.188842858566204,37700.188842858537100,0.720178413075556
970,18079,0.200000000000000,1554,1.000000000000000,SUWANNEE,269400,2916,1994,100,1554.000000000000000,0.000000000000000,54.000000000000000,528.000000000000000,30,226074.000000000000000,0.258967923660143,-82.456070999999994,29.687604000000000,04210-001-023,HighSprings_B,True,False,False,0.700000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.291219813658012,217775.460588279005606,220691.460588279005606,-48708.539411720994394,-8298.539411720994394,48708.539411720994394,8298.539411720994394,0.819196215992127
971,18091,0.200000000000000,1476,1.000000000000000,SUWANNEE,306300,4700,1998,100,1476.000000000000000,0.000000000000000,80.000000000000000,488.000000000000000,26,255654.999999999970896,0.258967923660143,-82.455624000000000,29.687557999999999,04210-001-035,HighSprings_B,True,False,False,0.740000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.323236266142640,224860.674769645120250,229560.674769645120250,-76739.325230354879750,-30794.325230354850646,76739.325230354879750,30794.325230354850646,0.749463515408570
972,18092,0.200000000000000,2034,1.000000000000000,SUWANNEE,362700,7135,2005,100,2034.000000000000000,0.000000000000000,0.000000000000000,528.000000000000000,19,301160.000000000000000,0.258967923660143,-82.455622000000005,29.687821000000000,04210-001-036,HighSprings_B,True,False,False,0.810000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.589747197360921,293533.542835557076614,300668.542835557076614,-62031.457164442923386,-7626.457164442923386,62031.457164442923386,7626.457164442923386,0.828973098526488
973,18097,0.250000000000000,1906,1.000000000000000,SUWANNEE,324500,6144,1994,100,1906.000000000000000,0.000000000000000,96.000000000000000,520.000000000000000,30,269681.000000000000000,0.323709904575179,-82.457776999999993,29.688321999999999,04210-001-041,HighSprings_B,True,False,False,0.700000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.439436224523059,252568.107632233790355,258712.107632233790355,-65787.892367766209645,-17112.892367766209645,65787.892367766209645,17112.892367766209645,0.797263813966822
974,18099,0.250000000000000,1801,1.000000000000000,SUWANNEE,337500,2848,2000,100,1460.000000000000000,0.000000000000000,377.000000000000000,504.000000000000000,24,284027.000000000000000,0.323709904575179,-82.458382999999998,29.688333000000000,04210-001-043,HighSprings_B,True,False,False,0.760000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.507361454325119,270319.927807525324170,273167.927807525324170,-64332.072192474675830,-13707.072192474675830,64332.072192474675830,13707.072192474675830,0.809386452763038
975,18109,0.210000000000000,1224,1.000000000000000,SUWANNEE,285300,6193,2003,100,1224.000000000000000,0.000000000000000,42.000000000000000,488.000000000000000,21,236311.999999999970896,0.271916319843150,-82.458123000000001,29.686191000000001,04210-001-053,HighSprings_B,True,False,False,0.790000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.278019017203702,214919.542728300584713,221112.542728300584713,-64187.457271699415287,-21392.457271699386183,64187.457271699415287,21392.457271699386183,0.775017675178060
976,18110,0.200000000000000,1566,1.000000000000000,SUWANNEE,318400,4656,1998,100,1566.000000000000000,0.000000000000000,66.000000000000000,482.000000000000000,26,265984.000000000000000,0.258967923660143,-82.457826999999995,29.686184999999998,04210-001-054,HighSprings_B,True,False,False,0.740000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.358366368952327,232900.445556733582634,237556.445556733582634,-80843.554443266417366,-33083.554443266417366,80843.554443266417366,33083.554443266417366,0.746094364185721
