OID_,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,Total_MISC_Val,effective_year_built,imprv_type_cd,base_area,sum_us_area,total_porch_area,total_garage_area,effective_age,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Duck_Pond,EastMidtownEastA,Gainesvilleish_Region,HSBUI,Haile,HAWTHORNE_1,HighSpringsAGNV,HighSprings_A,HighSprings_B,HighSprings_C,HighSprings_E,HighSprings_F,High_Springs_Main,LACROSSE_1,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,Newmans_Lake,Real_Tioga,SouthNewmansLake,Springtree_A,Springtree_B,Springtree_C,Thornebrooke,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,WaldoRural_C,West_Outer_Gainesville,West_of_Waldo_rd,swNewberry_A,swNewberry_B,swNewberry_C,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
3851,48817,0.410000000000000,1744,1.000000000000000,GAINESVILLE,559400,16147,2012,100,1616.000000000000000,0.000000000000000,128.000000000000000,0.000000000000000,12,459343.000000000000000,0.530884243503293,-82.361783000000003,29.650133000000000,06460-002-000,EastMidtownEastA,True,False,False,0.880000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.899796224106018,400230.625666062405799,416377.625666062405799,-143022.374333937594201,-59112.374333937594201,143022.374333937594201,59112.374333937594201,0.744328969728392
3852,48821,0.260000000000000,2025,1.000000000000000,GAINESVILLE,592300,12044,2005,100,2025.000000000000000,0.000000000000000,270.000000000000000,0.000000000000000,19,491410.999999999941792,0.336658300758186,-82.361637999999999,29.649735000000000,06460-008-000,EastMidtownEastA,True,False,False,0.810000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.856395883183849,383232.020803618594073,395276.020803618594073,-197023.979196381405927,-108178.979196381347720,197023.979196381405927,108178.979196381347720,0.667357793016408
3853,48822,0.230000000000000,1817,1.000000000000000,GAINESVILLE,634900,2500,2005,100,1700.000000000000000,0.000000000000000,117.000000000000000,0.000000000000000,19,537165.000000000000000,0.297813112209165,-82.362785000000002,29.650206000000001,06460-009-000,EastMidtownEastA,True,False,False,0.810000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.775907895109308,353595.150537852430716,356095.150537852430716,-278804.849462147569284,-183569.849462147569284,278804.849462147569284,183569.849462147569284,0.560868090310053
3854,48836,0.210000000000000,1719,1.000000000000000,GAINESVILLE,523100,336,2005,100,1425.000000000000000,0.000000000000000,429.000000000000000,0.000000000000000,19,444299.000000000000000,0.271916319843150,-82.362955999999997,29.649175000000000,06460-028-000,EastMidtownEastA,True,False,False,0.810000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.743962045217112,342477.775393549352884,342813.775393549352884,-180286.224606450647116,-101821.224606450647116,180286.224606450647116,101821.224606450647116,0.655350363971610
3855,48838,0.210000000000000,1515,1.000000000000000,GAINESVILLE,370500,1953,1994,100,1515.000000000000000,0.000000000000000,25.000000000000000,0.000000000000000,30,312972.000000000000000,0.271916319843150,-82.363037000000006,29.648713000000001,06460-029-001,EastMidtownEastA,True,False,False,0.700000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.476596956037300,262130.291789160459302,264083.291789160459302,-106416.708210839540698,-50841.708210839540698,106416.708210839540698,50841.708210839540698,0.712775416434981
3856,48839,0.490000000000000,2833,1.000000000000000,GAINESVILLE,727900,9434,1995,100,1828.000000000000000,840.000000000000000,270.000000000000000,0.000000000000000,29,609281.000000000000000,0.634471412967351,-82.363355999999996,29.648610999999999,06460-030-000,EastMidtownEastA,True,False,False,0.710000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.953486328301336,422306.371448343037628,431740.371448343037628,-296159.628551656962372,-186974.628551656962372,296159.628551656962372,186974.628551656962372,0.593131434878889
3857,48841,0.310000000000000,2279,1.000000000000000,GAINESVILLE,588500,1223,2013,100,2279.000000000000000,0.000000000000000,422.000000000000000,667.000000000000000,11,499001.999999999941792,0.401400281673222,-82.363099000000005,29.648226999999999,06460-032-000,EastMidtownEastA,True,False,False,0.890000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.192563776085430,536361.566008207853884,537584.566008207853884,-50915.433991792146116,37359.566008207912091,50915.433991792146116,37359.566008207912091,0.913482695001203
3858,48849,0.340000000000000,1926,1.000000000000000,GAINESVILLE,634900,5273,2010,100,1926.000000000000000,0.000000000000000,24.000000000000000,0.000000000000000,14,534392.000000000000000,0.440245470222243,-82.362583999999998,29.648256000000000,06460-049-000,EastMidtownEastA,True,False,False,0.860000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.904437742406232,402092.621340041747317,407365.621340041747317,-227534.378659958252683,-132299.378659958252683,227534.378659958252683,132299.378659958252683,0.641621706316021
3859,48867,0.410000000000000,1731,1.000000000000000,GAINESVILLE,562900,2500,1994,100,895.000000000000000,418.000000000000000,248.000000000000000,0.000000000000000,30,475965.000000000000000,0.530884243503293,-82.362347999999997,29.647842000000001,06460-075-000,EastMidtownEastA,True,False,False,0.700000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.628101938330019,305010.639421408472117,307510.639421408472117,-255389.360578591527883,-170954.360578591527883,255389.360578591527883,170954.360578591527883,0.546297103253524
3860,48868,0.230000000000000,1310,1.000000000000000,GAINESVILLE,391600,1203,1994,100,1134.000000000000000,0.000000000000000,231.000000000000000,0.000000000000000,30,331657.000000000000000,0.297813112209165,-82.362669999999994,29.647834000000000,06460-077-000,EastMidtownEastA,True,False,False,0.700000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.412757699994179,245919.051051085203653,247122.051051085203653,-144477.948948914796347,-85737.948948914796347,144477.948948914796347,85737.948948914796347,0.631057331591127
3861,48874,0.210000000000000,1615,1.000000000000000,GAINESVILLE,455200,4185,2005,100,1303.000000000000000,0.000000000000000,379.000000000000000,0.000000000000000,19,382735.000000000000000,0.271916319843150,-82.362921999999998,29.647278000000000,06460-085-000,EastMidtownEastA,True,False,False,0.810000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.706034674406098,329731.733617749065161,333916.733617749065161,-121283.266382250934839,-53003.266382250934839,121283.266382250934839,53003.266382250934839,0.733560486857972
3862,48887,0.400000000000000,2655,1.000000000000000,GAINESVILLE,655400,12273,1994,100,2655.000000000000000,0.000000000000000,314.000000000000000,0.000000000000000,30,544817.000000000000000,0.517935847320286,-82.363439999999997,29.645776999999999,06460-105-000,EastMidtownEastA,True,False,False,0.700000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.881809547108995,393096.161672033253126,405369.161672033253126,-250030.838327966746874,-151720.838327966746874,250030.838327966746874,151720.838327966746874,0.618506502398586
3863,48889,0.390000000000000,4187,1.150000000000000,GAINESVILLE,906300,8974,2000,100,3153.000000000000000,578.000000000000000,471.000000000000000,414.000000000000000,24,761381.000000000000000,0.504987451137279,-82.363890999999995,29.645444000000001,06460-109-000,EastMidtownEastA,True,False,False,0.760000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.508146858564121,735383.093874003738165,744357.093874003738165,-161942.906125996261835,-25997.906125996261835,161942.906125996261835,25997.906125996261835,0.821314237971978
3864,48892,0.200000000000000,1868,1.000000000000000,GAINESVILLE,359100,3464,1994,100,824.000000000000000,2912.000000000000000,224.000000000000000,0.000000000000000,30,301771.000000000000000,0.258967923660143,-82.363894000000002,29.646186000000000,06460-114-000,EastMidtownEastA,True,False,False,0.700000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.611534975903135,299999.166680596419610,303463.166680596419610,-55636.833319403580390,-1771.833319403580390,55636.833319403580390,1771.833319403580390,0.845065905543293
3865,48895,0.210000000000000,1913,1.000000000000000,GAINESVILLE,506400,872,2005,100,3825.000000000000000,0.000000000000000,719.000000000000000,840.000000000000000,19,429567.999999999941792,0.271916319843150,-82.363732999999996,29.646671999999999,06460-117-000,EastMidtownEastA,True,False,False,0.810000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.951935844521847,421652.099619438871741,422524.099619438871741,-83875.900380561128259,-7915.900380561070051,83875.900380561128259,7915.900380561070051,0.834368285188465
