OID_,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,Total_MISC_Val,effective_year_built,imprv_type_cd,base_area,sum_us_area,total_porch_area,total_garage_area,effective_age,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Duck_Pond,EastMidtownEastA,Gainesvilleish_Region,Haile,HAWTHORNE_1,HighSpringsAGNV,HighSprings_A,HighSprings_B,HighSprings_C,HighSprings_E,HighSprings_F,High_Springs_Main,LACROSSE_1,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,Newmans_Lake,Real_Tioga,SouthNewmansLake,Springtree_A,Springtree_B,Springtree_C,Thornebrooke,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,WaldoRural_C,West_Outer_Gainesville,West_of_Waldo_rd,swNewberry_A,swNewberry_B,swNewberry_C,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
1,1058,7.930000000000000,2412,1.000000000000000,SUWANNEE,492600,43625,2000,100,1950.000000000000000,0.000000000000000,558.000000000000000,0.000000000000000,24,375085.000000000000000,10.268078173124676,-82.556668999999999,29.881191999999999,00016-003-001,HighSprings_B,False,False,False,0.760000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.742545466451475,341992.972111312847119,385617.972111312847119,-106982.027888687152881,-33092.027888687152881,106982.027888687152881,33092.027888687152881,0.782821705463485
2,1143,6.410000000000000,2210,1.000000000000000,SUWANNEE,433100,50534,2004,100,1662.000000000000000,0.000000000000000,1034.000000000000000,0.000000000000000,20,317601.000000000000000,8.299921953307589,-82.580601999999999,29.858889999999999,00056-003-002,HighSprings_B,False,False,False,0.800000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.737835878449371,340386.112905511574354,390920.112905511574354,-42179.887094488425646,22785.112905511574354,42179.887094488425646,22785.112905511574354,0.902609357897741
3,1199,10.100000000000000,2042,1.000000000000000,SUWANNEE,451800,31386,1997,100,2042.000000000000000,0.000000000000000,142.000000000000000,0.000000000000000,27,352644.000000000000000,13.077880144837231,-82.572412999999997,29.866443000000000,00063-012-001,HighSprings_B,False,False,False,0.730000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.605670052178013,298244.843963542254642,329630.843963542254642,-122169.156036457745358,-54399.156036457745358,122169.156036457745358,54399.156036457745358,0.729594608153037
4,1270,2.570000000000000,2809,1.150000000000000,SUWANNEE,625300,30664,2012,100,2285.000000000000000,524.000000000000000,424.000000000000000,810.000000000000000,12,500840.999999999941792,3.327737819032840,-82.573637000000005,29.851039000000000,00067-010-009,HighSprings_B,True,False,False,0.880000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.243582444510837,564436.092022392898798,595100.092022392898798,-30199.907977607101202,63595.092022392957006,30199.907977607101202,63595.092022392957006,0.951703329637603
5,1278,7.980000000000000,2496,1.150000000000000,SUWANNEE,961100,40237,2009,100,2496.000000000000000,0.000000000000000,1144.000000000000000,1395.000000000000000,15,776698.000000000000000,10.332820154039714,-82.570565000000002,29.848694999999999,00068-001-000,HighSprings_B,False,False,False,0.850000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.189295076224088,534611.223262758459896,574848.223262758459896,-386251.776737241540104,-242086.776737241540104,386251.776737241540104,242086.776737241540104,0.598114892584287
6,1302,5.010000000000000,1784,1.000000000000000,SUWANNEE,375400,2656,2005,100,1784.000000000000000,0.000000000000000,61.000000000000000,440.000000000000000,19,316434.000000000000000,6.487146487686585,-82.561620000000005,29.851130000000001,00071-007-000,HighSprings_B,False,False,False,0.810000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.716090400961221,333064.152634273865260,335720.152634273865260,-39679.847365726134740,16630.152634273865260,39679.847365726134740,16630.152634273865260,0.894299820549478
7,1307,2.000000000000000,2508,1.150000000000000,SUWANNEE,535500,50578,2005,100,2508.000000000000000,0.000000000000000,282.000000000000000,506.000000000000000,19,404597.000000000000000,2.589679236601432,-82.575897999999995,29.854220999999999,00074-010-001,HighSprings_B,True,False,False,0.810000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.044867677533311,462715.501930380822159,513293.501930380822159,-22206.498069619177841,58118.501930380822159,22206.498069619177841,58118.501930380822159,0.958531282783157
8,1311,1.280000000000000,1636,1.000000000000000,SUWANNEE,252800,8758,1998,100,1636.000000000000000,0.000000000000000,158.000000000000000,0.000000000000000,26,206122.000000000000000,1.657394711424916,-82.578563000000003,29.852591000000000,00074-010-005,HighSprings_B,True,False,False,0.740000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.375751144249019,236984.767108783853473,245742.767108783853473,-7057.232891216146527,30862.767108783853473,7057.232891216146527,30862.767108783853473,0.972083730651835
15,1523,2.250000000000000,2596,1.000000000000000,SUWANNEE,674100,464,2008,100,2596.000000000000000,0.000000000000000,525.000000000000000,2004.000000000000000,16,572521.000000000000000,2.913389141176611,-82.631113999999997,29.840852999999999,00165-004-000,HighSprings_B,False,False,False,0.840000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.965758446968728,427520.896543882496189,427984.896543882496189,-246115.103456117503811,-145000.103456117503811,246115.103456117503811,145000.103456117503811,0.634898229556271
16,1526,1.350000000000000,1823,1.000000000000000,SUWANNEE,435600,7910,2015,100,1823.000000000000000,0.000000000000000,124.000000000000000,441.000000000000000,9,362349.999999999941792,1.748033484705967,-82.632146000000006,29.840312999999998,00165-007-000,HighSprings_B,False,False,False,0.910000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.765504230407995,349935.534867359034251,357845.534867359034251,-77754.465132640965749,-12414.465132640907541,77754.465132640965749,12414.465132640907541,0.821500309612854
