OID_,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,Total_MISC_Val,effective_year_built,imprv_type_cd,base_area,sum_us_area,total_porch_area,total_garage_area,effective_age,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,Cluster_ID,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,HighSprings_A,HighSprings_B,HighSprings_C,HighSprings_D,HighSprings_E,HighSprings_F,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,MidtownEast_E,MidtownEast_F,Springtree_A,Springtree_B,Springtree_C,Tioga_A,Tioga_B,WaldoRural_A,WaldoRural_B,WaldoRural_C,swNewberry_A,swNewberry_B,swNewberry_C,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
4525,59309,1.140000000000000,3697,1.150000000000000,ST. JOHN'S,876800,39697,1997,100,3696.500000000000000,0.000000000000000,472.000000000000000,660.000000000000000,27,705583.000000000000000,1.476117164862816,-82.426783999999998,29.611751999999999,06859-070-001,HighSprings_B,True,False,False,0.730000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.178021377037677,528618.0233922566,568315.0233922566,-308484.976607743417844,-176964.976607743417844,308484.976607743417844,176964.976607743417844,0.648169506606132
4526,59311,1.140000000000000,2595,1.150000000000000,ST. JOHN'S,539100,6737,1994,100,1498.000000000000000,1097.000000000000000,72.000000000000000,672.000000000000000,30,451497.999999999941792,1.476117164862816,-82.427947000000003,29.611850000000000,06859-070-003,HighSprings_B,True,False,False,0.700000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.888995992804167,395931.30097647413,402668.30097647413,-136431.699023525870871,-55566.699023525812663,136431.699023525870871,55566.699023525812663,0.746926917040390
4527,59312,1.140000000000000,3260,1.150000000000000,ST. JOHN'S,691200,28981,1995,100,6520.000000000000000,0.000000000000000,1048.000000000000000,1366.000000000000000,29,558539.000000000000000,1.476117164862816,-82.428550000000001,29.611850000000000,06859-070-004,HighSprings_B,True,False,False,0.710000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.089058154079517,483621.6446584849,512602.6446584849,-178597.355341515096370,-74917.355341515096370,178597.355341515096370,74917.355341515096370,0.741612622480447
4528,59318,1.150000000000000,2960,1.150000000000000,ST. JOHN'S,783000,22878,2015,100,2960.000000000000000,0.000000000000000,207.000000000000000,667.000000000000000,9,642672.000000000000000,1.489065561045823,-82.430046000000004,29.610475000000001,06859-070-010,HighSprings_B,True,False,False,0.910000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.26414754486277,576163.9559166562,599041.9559166562,-183958.044083343818784,-66508.044083343818784,183958.044083343818784,66508.044083343818784,0.765059969242217
4529,59319,1.170000000000000,4206,1.150000000000000,ST. JOHN'S,767600,11647,1994,100,2848.000000000000000,1358.000000000000000,98.000000000000000,805.000000000000000,30,640813.000000000000000,1.514962353411837,-82.429274000000007,29.610787999999999,06859-070-011,HighSprings_B,True,False,False,0.700000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.20914781772395,545330.7758608202,556977.7758608202,-210622.224139179801568,-95482.224139179801568,210622.224139179801568,95482.224139179801568,0.725609400548229
4530,59321,1.140000000000000,3815,1.150000000000000,ST. JOHN'S,965300,18136,2018,100,7630.000000000000000,0.000000000000000,966.000000000000000,1768.000000000000000,6,802369.000000000000000,1.476117164862816,-82.428186999999994,29.611034000000000,06859-070-013,HighSprings_B,True,False,False,0.940000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.495913226919312,726441.4936252863,744577.4936252863,-220722.506374713731930,-75927.506374713731930,220722.506374713731930,75927.506374713731930,0.771343099166359
4547,59463,0.230000000000000,1979,1.150000000000000,ST. JOHN'S,436200,3825,1995,100,1979.000000000000000,0.000000000000000,348.000000000000000,568.000000000000000,29,366945.000000000000000,0.297813112209165,-82.437590000000000,29.603099000000000,06860-020-010,HighSprings_B,True,False,False,0.710000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.63967798340886,308561.971867235,312386.971867235,-123813.028132764971815,-58383.028132764971815,123813.028132764971815,58383.028132764971815,0.716155368792377
4548,59467,0.390000000000000,1921,1.150000000000000,ST. JOHN'S,410600,3993,1997,100,1921.000000000000000,0.000000000000000,359.000000000000000,456.000000000000000,27,345016.999999999941792,0.504987451137279,-82.437853000000004,29.602754000000001,06860-020-014,HighSprings_B,True,False,False,0.730000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.678437516229055,320756.4900413471,324749.4900413471,-85850.509958652895875,-24260.509958652837668,85850.509958652895875,24260.509958652837668,0.790914491089496
4549,59468,0.230000000000000,2241,1.150000000000000,ST. JOHN'S,433700,5241,1997,100,1956.000000000000000,0.000000000000000,327.000000000000000,482.000000000000000,27,363403.999999999941792,0.297813112209165,-82.437692999999996,29.602717999999999,06860-020-015,HighSprings_B,True,False,False,0.730000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.74579351478166,343105.58774984,348346.58774984,-85353.412250160006806,-20298.412250159948599,85353.412250160006806,20298.412250159948599,0.803197112635093
4550,59474,0.530000000000000,4042,1.150000000000000,ST. JOHN'S,811800,30931,2009,100,3924.500000000000000,0.000000000000000,334.000000000000000,525.000000000000000,15,659099.000000000000000,0.686264997699379,-82.435862000000000,29.601751000000000,06860-020-021,HighSprings_B,True,False,False,0.850000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.343573189366962,623792.58069862,654723.58069862,-157076.419301380054094,-35306.419301380054094,157076.419301380054094,35306.419301380054094,0.806508475854422
