OID_,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,Total_MISC_Val,effective_year_built,imprv_type_cd,base_area,sum_us_area,total_porch_area,total_garage_area,effective_age,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Duck_Pond,EastMidtownEastA,Gainesvilleish_Region,Haile,HighSprings_A,HighSprings_B,HighSprings_C,HighSprings_D,HighSprings_E,HighSprings_F,High_Springs_Main,LACROSSE_1,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,MidtownEast_E,MidtownEast_F,Newmans_Lake,Real_Tioga,Springtree_A,Springtree_B,Springtree_C,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,WaldoRural_B,WaldoRural_C,West_Outer_Gainesville,West_of_Waldo_rd,swNewberry_A,swNewberry_B,swNewberry_C,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
3507,45913,0.240000000000000,940,1.000000000000000,GAINESVILLE,208300,550,2009,100,940.000000000000000,0.000000000000000,169.000000000000000,0.000000000000000,15,176505.000000000000000,0.310761508392172,-82.401273000000003,29.672176000000000,06355-007-000,HighSprings_A,True,False,True,0.850000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.177713781565807,194407.894852651195833,194957.894852651195833,-13342.105147348804167,17902.894852651195833,13342.105147348804167,17902.894852651195833,0.935947646916232
3508,45920,0.240000000000000,1195,1.000000000000000,GAINESVILLE,275400,1006,1994,100,1195.000000000000000,0.000000000000000,20.000000000000000,399.000000000000000,30,233084.000000000000000,0.310761508392172,-82.397495000000006,29.673003999999999,06356-002-004,HighSprings_A,True,False,False,0.700000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.201160119548211,199019.904147823195672,200025.904147823195672,-75374.095852176804328,-34064.095852176804328,75374.095852176804328,34064.095852176804328,0.726310472577426
3509,45925,0.580000000000000,1492,1.000000000000000,GAINESVILLE,278000,2504,1994,100,1492.000000000000000,0.000000000000000,68.000000000000000,440.000000000000000,30,233795.999999999970896,0.751006978614415,-82.398441000000005,29.673624000000000,06356-002-009,HighSprings_A,True,False,False,0.700000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.415253805420464,246533.657671189488610,249037.657671189488610,-28962.342328810511390,12737.657671189517714,28962.342328810511390,12737.657671189517714,0.895818912486293
3510,45928,0.930000000000000,1979,0.900000000000000,GAINESVILLE,195000,384,1969,100,1979.000000000000000,0.000000000000000,96.000000000000000,361.000000000000000,55,165366.000000000000000,1.204200845019666,-82.399375000000006,29.673418000000002,06356-002-012,HighSprings_A,True,False,False,0.450000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.005129760674855,163591.829614964342909,163975.829614964342909,-31024.170385035657091,-1774.170385035657091,31024.170385035657091,1774.170385035657091,0.840901690333150
3511,45932,0.340000000000000,1376,1.000000000000000,GAINESVILLE,290400,2785,2005,100,1056.000000000000000,0.000000000000000,564.000000000000000,0.000000000000000,19,244055.000000000000000,0.440245470222243,-82.400397999999996,29.673549999999999,06356-002-016,HighSprings_A,True,False,False,0.810000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.386069293625418,239442.670033992559183,242227.670033992559183,-48172.329966007440817,-4612.329966007440817,48172.329966007440817,4612.329966007440817,0.834117321053693
3512,45933,0.340000000000000,1692,1.000000000000000,GAINESVILLE,285400,3168,1994,100,1692.000000000000000,0.000000000000000,0.000000000000000,511.000000000000000,30,239422.000000000000000,0.440245470222243,-82.400398999999993,29.673275000000000,06356-002-017,HighSprings_A,True,False,False,0.700000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.422301056086051,248277.178452487511095,251445.178452487511095,-33954.821547512488905,8855.178452487511095,33954.821547512488905,8855.178452487511095,0.881027254563726
3513,45935,0.450000000000000,1801,1.000000000000000,GAINESVILLE,316300,6700,2005,100,1801.000000000000000,0.000000000000000,105.000000000000000,0.000000000000000,19,262155.000000000000000,0.582677828235322,-82.400328999999999,29.672725000000000,06356-002-019,HighSprings_A,True,False,False,0.810000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.558836587373822,284599.038832269550767,291299.038832269550767,-25000.961167730449233,22444.038832269550767,25000.961167730449233,22444.038832269550767,0.920958074082420
3514,45939,0.320000000000000,1386,1.000000000000000,GAINESVILLE,280300,2118,1995,100,1386.000000000000000,0.000000000000000,135.000000000000000,0.000000000000000,29,236137.000000000000000,0.414348677856229,-82.400902000000002,29.671883000000001,06356-002-023,HighSprings_A,True,False,False,0.710000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.222250448865410,203261.874507660046220,205379.874507660046220,-74920.125492339953780,-32875.125492339953780,74920.125492339953780,32875.125492339953780,0.732714500562469
3515,45942,0.230000000000000,1748,1.000000000000000,GAINESVILLE,299100,392,1995,100,1508.000000000000000,0.000000000000000,392.000000000000000,440.000000000000000,29,253842.999999999970896,0.297813112209165,-82.400953999999999,29.672726000000001,06356-002-026,HighSprings_A,True,False,False,0.710000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.463917451351067,258827.592072043073131,259219.592072043073131,-39880.407927956926869,4984.592072043102235,39880.407927956926869,4984.592072043102235,0.866665302815256
3516,45943,0.230000000000000,1706,1.000000000000000,GAINESVILLE,267800,3885,1994,100,1706.000000000000000,0.000000000000000,0.000000000000000,380.000000000000000,30,223745.000000000000000,0.297813112209165,-82.400953000000001,29.673000999999999,06356-002-027,HighSprings_A,True,False,False,0.700000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.389840458766987,240347.352666256483644,244232.352666256483644,-23567.647333743516356,16602.352666256483644,23567.647333743516356,16602.352666256483644,0.911995342293713
