OID_,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,Total_MISC_Val,effective_year_built,imprv_type_cd,base_area,sum_us_area,total_porch_area,total_garage_area,effective_age,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,Cluster_ID,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,HighSprings_A,HighSprings_B,HighSprings_C,HighSprings_D,HighSprings_E,HighSprings_F,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,MidtownEast_E,MidtownEast_F,Springtree_A,Springtree_B,Springtree_C,Tioga_A,Tioga_B,WaldoRural_A,WaldoRural_B,WaldoRural_C,swNewberry_A,swNewberry_B,swNewberry_C,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
9,1358,1.290000000000000,2587,1.150000000000000,HIGH SPRINGS,544500,10274,2015,100,2371.500000000000000,0.000000000000000,488.500000000000000,529.000000000000000,9,452551.000000000000000,1.670343107607923,-82.611008999999996,29.846990000000002,00090-010-004,HighSprings_B,True,False,False,0.910000000000000,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.186462483152628,533099.029941083,543373.029941083,-1126.970058916951530,80548.029941083048470,1126.970058916951530,80548.029941083048470,0.997930266191153
10,1359,3.890000000000000,2468,1.150000000000000,HIGH SPRINGS,481700,23270,2005,100,2468.000000000000000,0.000000000000000,310.000000000000000,575.000000000000000,19,386175.000000000000000,5.036926115189784,-82.611986999999999,29.846720999999999,00090-010-005,HighSprings_B,True,False,False,0.810000000000000,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.097545242534446,487743.6515112588,511013.6515112588,29313.651511258794926,101568.651511258794926,29313.651511258794926,101568.651511258794926,1.060854580675231
11,1367,3.500000000000000,2297,1.150000000000000,HIGH SPRINGS,573800,26124,2011,100,1805.000000000000000,492.000000000000000,636.000000000000000,576.000000000000000,13,461606.000000000000000,4.531938664052506,-82.611772000000002,29.842352000000002,00090-010-013,HighSprings_B,True,False,False,0.870000000000000,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.127169821766747,502409.00692236034,528533.0069223603,-45266.993077639723197,40803.006922360335011,45266.993077639723197,40803.006922360335011,0.921110154971001
12,1416,1.070000000000000,2260,1.000000000000000,HIGH SPRINGS,199700,6919,1994,100,1780.000000000000000,0.000000000000000,480.000000000000000,320.000000000000000,30,162826.000000000000000,1.385478391581766,-82.583832000000001,29.847818000000000,00146-002-001,HighSprings_B,False,False,False,0.700000000000000,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.599396747104082,296379.71943494375,303298.71943494375,103598.719434943748638,133553.719434943748638,103598.719434943748638,133553.719434943748638,1.518771754806929
13,1430,1.200000000000000,2250,1.000000000000000,HIGH SPRINGS,427400,20850,2010,100,1260.000000000000000,990.000000000000000,192.000000000000000,371.000000000000000,14,342440.000000000000000,1.553807541960859,-82.585719999999995,29.844898000000001,00146-032-000,HighSprings_B,False,False,False,0.860000000000000,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.819475834390456,369341.08083468286,390191.08083468286,-37208.919165317143779,26901.080834682856221,37208.919165317143779,26901.080834682856221,0.912941227970713
14,1473,6.480000000000000,1416,1.000000000000000,HIGH SPRINGS,495500,6240,2010,100,1416.000000000000000,0.000000000000000,0.000000000000000,288.000000000000000,14,414935.000000000000000,8.390560726588641,-82.624925000000005,29.846917000000001,00155-010-012,HighSprings_B,True,False,False,0.860000000000000,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.616883844754563,301608.1220883712,307848.1220883712,-187651.877911628806032,-113326.877911628806032,187651.877911628806032,113326.877911628806032,0.621287834688943
18,1610,1.190000000000000,1436,1.000000000000000,HIGH SPRINGS,292100,2916,2012,100,1436.000000000000000,0.000000000000000,64.000000000000000,300.000000000000000,12,245369.000000000000000,1.540859145777852,-82.613894000000002,29.841391000000002,00181-100-014,HighSprings_B,True,False,False,0.880000000000000,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.581755406317553,291197.03298206767,294113.03298206767,2013.032982067670673,45828.032982067670673,2013.032982067670673,45828.032982067670673,1.006891588435699
19,1613,1.000000000000000,2447,1.000000000000000,HIGH SPRINGS,384500,12919,2000,100,7341.000000000000000,0.000000000000000,1398.000000000000000,0.000000000000000,24,313906.000000000000000,1.294839618300716,-82.613158999999996,29.840261000000002,00181-100-017,HighSprings_B,True,False,False,0.760000000000000,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.663347019747334,315952.45416560577,328871.45416560577,-55628.545834394230042,2046.454165605769958,55628.545834394230042,2046.454165605769958,0.855322377543838
20,1624,1.000000000000000,1903,1.000000000000000,HIGH SPRINGS,357700,20905,2005,100,1903.000000000000000,0.000000000000000,512.000000000000000,420.000000000000000,19,283140.000000000000000,1.294839618300716,-82.614137999999997,29.842649999999999,00181-100-028,HighSprings_B,True,False,False,0.810000000000000,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.688729356681694,324074.7106703282,344979.7106703282,-12720.289329671824817,40934.710670328175183,12720.289329671824817,40934.710670328175183,0.964438665558647
21,1628,1.000000000000000,2004,1.000000000000000,HIGH SPRINGS,443500,15700,2010,100,4008.000000000000000,0.000000000000000,1392.000000000000000,1248.000000000000000,14,361275.000000000000000,1.294839618300716,-82.615077999999997,29.843042000000001,00181-100-032,HighSprings_B,True,False,False,0.860000000000000,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.817733494235775,368698.1233267678,384398.1233267678,-59101.876673232181929,7423.123326767818071,59101.876673232181929,7423.123326767818071,0.866737594874336
