OID_,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,sum_us_area,total_porch_area,total_garage_area,effective_age,has_lake,number_of_baths,MISC_Val,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Archer_1,Buck_Bay,Duck_Pond,Eagle_Point,EastGNV,EastMidtownEastA,Gainesvilleish_Region,Golfview,HSBUI,HaileLike,Hawthorne_1,HighSpringsAGNV,HighSprings_A,HighSprings_B,HighSprings_E,HighSprings_F,High_Springs_Main,Lugano,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,Newmans_Lake,Real_Tioga,Springtree_A,Springtree_B,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,WaldoRural_C,WildsPlantation,swNewberry_A,swNewberry_B,built_before_1984,built_pre_1970_with_effective_le_1994,era_1900s,era_1910s,era_1920s,era_1930s,era_1940s,era_1950s,era_1960s,era_1970s,era_1980s,era_1990s,era_2000s,era_2010s,era_2020s,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
274,74881,0.150000000000000,1273,1.000000000000000,GAINESVILLE,217700,2007,100,1273.000000000000000,2007,2022,0,0.000000000000000,224.000000000000000,264.000000000000000,14,0,2.000000000000000,362,184683.000000000000000,0.180280840743679,-82.304057000000000,29.697223000000001,08160-010-012,Springtree_A,True,False,False,0.860000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,12.318010045875768,223688.568863608496031,224050.568863608496031,6350.568863608496031,39005.568863608496031,6350.568863608496031,39005.568863608496031,1.029171193677577
275,74885,0.150000000000000,1246,1.000000000000000,GAINESVILLE,220400,2008,100,1245.500000000000000,2008,2022,0,0.000000000000000,160.500000000000000,288.000000000000000,13,0,2.000000000000000,212,187128.000000000000000,0.180280840743679,-82.304057000000000,29.696518999999999,08160-010-016,Springtree_A,True,False,False,0.870000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,12.315627905688601,223156.345501317613525,223368.345501317613525,2968.345501317613525,36028.345501317613525,2968.345501317613525,36028.345501317613525,1.013467992292730
1466,74913,0.170000000000000,1251,1.000000000000000,GAINESVILLE,236800,2010,100,1251.000000000000000,2006,2023,0,0.000000000000000,224.000000000000000,286.000000000000000,12,0,2.000000000000000,1384,199896.000000000000000,0.204318286176169,-82.304895000000002,29.696856000000000,08160-010-044,Springtree_A,True,False,False,0.880000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,12.337401985256431,228068.655963784665801,229452.655963784665801,-7347.344036215334199,28172.655963784665801,7347.344036215334199,28172.655963784665801,0.968972364711928
2495,74914,0.170000000000000,1241,1.000000000000000,GAINESVILLE,236200,2006,100,1240.500000000000000,2006,2024,0,0.000000000000000,170.500000000000000,288.000000000000000,17,0,2.000000000000000,327,200443.000000000000000,0.204318286176169,-82.304895000000002,29.696670999999998,08160-010-045,Springtree_A,True,False,False,0.830000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,12.284937328321973,216411.578222057520179,216738.578222057520179,-19461.421777942479821,15968.578222057520179,19461.421777942479821,15968.578222057520179,0.917606173675095
3245,74804,0.160000000000000,1147,1.000000000000000,GAINESVILLE,257000,2002,100,1147.000000000000000,2002,2024,0,0.000000000000000,312.000000000000000,288.000000000000000,21,0,2.000000000000000,411,218039.000000000000000,0.192299563459924,-82.303060000000002,29.692139000000001,08160-005-015,Springtree_A,True,False,False,0.790000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,12.197958378218722,198383.712898704136023,198794.712898704136023,-58205.287101295863977,-19655.287101295863977,58205.287101295863977,19655.287101295863977,0.773520283652545
3246,74890,0.150000000000000,1500,1.000000000000000,GAINESVILLE,287900,2014,100,1499.500000000000000,2014,2024,0,0.000000000000000,180.500000000000000,441.000000000000000,9,0,2.000000000000000,647,244067.999999999970896,0.180280840743679,-82.304128000000006,29.695639000000000,08160-010-021,Springtree_A,True,False,False,0.910000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,12.463988937436556,258846.095304770657094,259493.095304770657094,-28406.904695229342906,14778.095304770686198,28406.904695229342906,14778.095304770686198,0.901330654063115
3744,74898,0.160000000000000,1500,1.000000000000000,GAINESVILLE,277200,2007,100,1500.000000000000000,2007,2024,0,0.000000000000000,45.000000000000000,400.000000000000000,16,0,2.000000000000000,572,235047.999999999970896,0.192299563459924,-82.305476999999996,29.695098000000002,08160-010-029,Springtree_A,True,False,False,0.840000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,12.398344399856121,242399.967682949325535,242971.967682949325535,-34228.032317050674465,7351.967682949354639,34228.032317050674465,7351.967682949354639,0.876522249938490
5473,74877,0.220000000000000,1538,1.000000000000000,GAINESVILLE,288500,2008,100,1538.000000000000000,2008,2023,0,0.000000000000000,258.000000000000000,312.000000000000000,14,0,2.000000000000000,915,244310.000000000000000,0.264411899757395,-82.304035999999996,29.698028999999998,08160-010-008,Springtree_A,True,False,False,0.860000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,12.456614041687317,256944.154265638149809,257859.154265638149809,-30640.845734361850191,12634.154265638149809,30640.845734361850191,12634.154265638149809,0.893792562445886
5543,74901,0.180000000000000,1242,1.000000000000000,GAINESVILLE,234000,2006,100,1242.000000000000000,2006,2022,0,0.000000000000000,164.000000000000000,288.000000000000000,15,0,2.000000000000000,363,198537.000000000000000,0.216337008892414,-82.305403999999996,29.695833000000000,08160-010-032,Springtree_A,True,False,False,0.850000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,12.308763070247853,221629.660129355354002,221992.660129355354002,-12007.339870644645998,23092.660129355354002,12007.339870644645998,23092.660129355354002,0.948686581749382
6390,74905,0.180000000000000,1273,1.000000000000000,GAINESVILLE,250300,2007,100,1273.000000000000000,2007,2023,0,0.000000000000000,252.000000000000000,264.000000000000000,15,0,2.000000000000000,1031,211723.999999999970896,0.216337008892414,-82.305402999999998,29.697386000000002,08160-010-036,Springtree_A,True,False,False,0.850000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,12.322588111007470,224714.977390948042739,225745.977390948042739,-24554.022609051957261,12990.977390948071843,24554.022609051957261,12990.977390948071843,0.901901627610659
