OID_,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Archer_1,Buck_Bay,CarolEstates,Duck_Pond,EastGNV,EastMidtownEastA,Gainesvilleish_Region,Golfview,HSBUI,HaileLike,Hawthorne_1,HighSpringsAGNV,HighSprings_A,HighSprings_B,HighSprings_E,HighSprings_F,High_Springs_Main,Ironwood,Lugano,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,Newmans_Lake,QuailCreekish,Real_Tioga,Springtree_A,Springtree_B,SummerCreek,TC_Forest,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,WaldoRural_C,Westchesterish,WildsPlantation,swNewberry_A,swNewberry_B,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
38,22038,3.090000000000000,2500,3.000000000000000,SUWANNEE,478800,1989,100,2500.000000000000000,1975,2022,0,0.000000000000000,0.000000000000000,400.000000000000000,30,46,0,0,2.500000000000000,7926,399054.000000000000000,3.739223279661111,-82.520668999999998,29.650715999999999,04360-010-000,HSBUI,True,0.700000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.730302823929208,337831.599483578524087,345757.599483578524087,-133042.400516421475913,-61222.400516421475913,133042.400516421475913,61222.400516421475913,0.722133666423514
113,19165,5.010000000000000,4200,4.000000000000000,SUWANNEE,515000,2009,100,4200.000000000000000,2009,2022,0,0.000000000000000,0.000000000000000,1100.000000000000000,12,12,0,0,3.000000000000000,3227,434523.000000000000000,6.062624152460248,-82.534898999999996,29.676493000000001,04255-020-006,HSBUI,True,0.880000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.434929796017272,683464.363834445248358,686691.363834445248358,171691.363834445248358,248941.363834445248358,171691.363834445248358,248941.363834445248358,1.333381288998923
184,17568,5.060000000000000,2059,3.000000000000000,SUWANNEE,400000,1984,100,1479.000000000000000,1978,2022,0,0.000000000000000,580.000000000000000,0.000000000000000,30,43,0,0,3.000000000000000,22170,317830.000000000000000,6.123129383522725,-82.552475999999999,29.711175000000001,04147-004-000,HSBUI,False,0.700000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.568479809543687,287356.765910054615233,309526.765910054615233,-90473.234089945384767,-30473.234089945384767,90473.234089945384767,30473.234089945384767,0.773816914775137
572,22319,3.380000000000000,2095,3.000000000000000,NEWBERRY,330800,1980,100,2095.000000000000000,1968,2022,0,0.000000000000000,66.000000000000000,0.000000000000000,30,53,0,0,2.500000000000000,4684,276496.000000000000000,4.090153619823480,-82.531561999999994,29.625758999999999,04398-004-000,HSBUI,False,0.700000000000000,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.516572777918862,272821.435547627799679,277505.435547627799679,-53294.564452372200321,-3674.564452372200321,53294.564452372200321,3674.564452372200321,0.838891884968645
582,23072,5.000000000000000,672,3.000000000000000,SUWANNEE,188700,1992,100,672.000000000000000,1992,2022,0,0.000000000000000,0.000000000000000,0.000000000000000,29,29,0,0,1.000000000000000,691,159703.999999999970896,6.050523106247753,-82.524901000000000,29.619968000000000,04445-011-000,HSBUI,False,0.710000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.855809397325043,140900.521251816593576,141591.521251816593576,-47108.478748183406424,-18803.478748183377320,47108.478748183406424,18803.478748183377320,0.750352523857004
583,23258,1.000000000000000,1541,3.000000000000000,SUWANNEE,281800,2010,100,1541.000000000000000,1975,2022,0,0.000000000000000,115.000000000000000,0.000000000000000,11,46,0,0,2.000000000000000,4536,234994.000000000000000,1.210104621249551,-82.524347000000006,29.599779999999999,04471-004-000,HSBUI,False,0.890000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.458730307550054,257488.492186665302143,262024.492186665302143,-19775.507813334697857,22494.492186665302143,19775.507813334697857,22494.492186665302143,0.929824315779508
584,23293,5.010000000000000,2039,3.000000000000000,SUWANNEE,397800,2000,100,1079.000000000000000,1987,2022,0,660.000000000000000,800.000000000000000,0.000000000000000,21,34,0,0,2.000000000000000,13278,324852.000000000000000,6.062624152460248,-82.520088999999999,29.596729000000000,04476-050-005,HSBUI,False,0.790000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.636276570238035,307514.208061099750921,320792.208061099750921,-77007.791938900249079,-17337.791938900249079,77007.791938900249079,17337.791938900249079,0.806415807091754
674,22145,1.420000000000000,2023,3.000000000000000,SUWANNEE,302200,1982,100,2023.000000000000000,1971,2023,0,0.000000000000000,0.000000000000000,364.000000000000000,30,51,0,0,2.500000000000000,4067,252802.999999999970896,1.718348562174362,-82.529297999999997,29.653250000000000,04370-003-001,HSBUI,False,0.700000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.513420911150916,271962.892448822502047,276029.892448822502047,-26170.107551177497953,19159.892448822531151,26170.107551177497953,19159.892448822531151,0.913401364820723
683,23118,5.930000000000000,2701,5.000000000000000,NEWBERRY,697500,2012,100,1996.000000000000000,2002,2023,0,705.000000000000000,688.000000000000000,872.000000000000000,10,20,0,0,3.500000000000000,8282,584593.000000000000000,7.175920404009835,-82.539447999999993,29.615397000000002,04446-010-042,HSBUI,True,0.900000000000000,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.355747375402252,631433.162185872206464,639715.162185872206464,-57784.837814127793536,46840.162185872206464,57784.837814127793536,46840.162185872206464,0.917154354388347
688,19383,1.000000000000000,3222,4.000000000000000,SUWANNEE,681400,2007,100,2666.500000000000000,2007,2023,0,555.000000000000000,416.000000000000000,782.000000000000000,15,15,0,0,3.000000000000000,2841,576349.000000000000000,1.210104621249551,-82.521788999999998,29.656105000000000,04287-010-009,HSBUI,True,0.850000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.135005677809373,506361.276058484683745,509202.276058484683745,-172197.723941515316255,-69987.723941515316255,172197.723941515316255,69987.723941515316255,0.747288341735375
