#,ML Number,Status,Address,City,Zip,Legal Subdivision Name,Heated Area,Tax ID,Current Price,Beds,Full Baths,Half Baths,Year Built,Pool,Property Style,Ownership,Tax,CDOM,ADOM,Days to Contract,Sold Terms,Close Date,LP / SqFt,SP/SqFt,SP / LP,List Office,List Agent,List Agent ID,Selling Office ID,LSC List Side,List Office Primary Board ID,cleaning
1,GC442152,PND,1322 NE 1ST AVE,Gainesville,32641,Not In Subdivision,"1,350",11508-002-000,"$162,352 ",3,2,0,2019,,Single Family Residence,,"$1,718.00 ",22,22,35,,6/16/2021,$120.26 ,,,MOMENTUM REALTY,Kyle Hunziker,259506376,,Gainesville-Alachua,West Volusia,TRUE
1,GC445775,PND,527 NW 101ST TER,Gainesville,32607,Hamilton Heights,"1,823",06657-015-026,"$280,000 ",3,2,1,1990,,Single Family Residence,,"$2,231.36 ",45,45,45,,10/20/2021,$153.59 ,,,"LaRosa Realty, LLC",William Miranda,272501488,,Osceola,Orlando Regional,TRUE
1,GC436027,PND,6236 SW 50th ST,Gainesville,32608,Finley Woods,"2,475",06985-010-001,"$569,000 ",4,2,1,2018,,Single Family Residence,,"$7,514.45 ",419,419,419,,9/29/2021,$229.90 ,,,"TOMMY WILLIAMS REALTY, LLC",Todd Louis,259502096,,Gainesville-Alachua,Gainesville-Alachua,TRUE
1,GC441631,SLD,21813 S COUNTY ROAD 325,Hawthorne,32640,Bailey Survey,864,20290-000-000,"$15,000 ",2,1,0,1930,,Single Family Residence,,$274.00 ,29,29,10,Cash,3/16/2021,$19.10 ,$17.36 ,0.91,"Community Realty, LLC",Craig Jacobs,259505138,261010944,Lake and Sumter,Lake and Sumter,TRUE
1,GC447883,SLD,14214 NW 154th PL,Alachua,32615,Not In Subdivision,"1,144",03559-000-000,"$23,500 ",3,1,0,1969,,Single Family Residence,,"$1,158.00 ",17,17,2,Cash,9/21/2021,$21.85 ,$20.54 ,0.94,"VanBeek Realty, LLC",Octavia Washington,259505611,259505669,Gainesville-Alachua,Ocala - Marion,TRUE
1,GC442237,SLD,6751 NE 27 AVE,Gainesville,32641,Copeland,"1,216",17740-001-000,"$32,000 ",3,2,0,1960,Private,Single Family Residence,,$838.00 ,63,63,15,Cash,5/6/2021,$32.81 ,$26.32 ,0.8,Smart Choice Realty Corp,Lori Camfferman,283548449,259500054,Gainesville-Alachua,Gainesville-Alachua,TRUE
1,GC446724,SLD,15288 NW 133 TER,Alachua,32615,College Heights,852,03265-000-000,"$32,000 ",2,1,0,1942,,Single Family Residence,,$431.00 ,34,34,18,Cash,8/31/2021,$35.21 ,$37.56 ,1.07,Suskin Realty Inc,Samuel Suskin,259504892,259500054,Gainesville-Alachua,Gainesville-Alachua,TRUE
1,GC441166,SLD,2503 NE 70th TER,Gainesville,32609,Not In Subdivision,"1,480",17744-006-000,"$45,000 ",3,1,0,1960,,Single Family Residence,,$868.00 ,97,97,61,Cash,5/11/2021,$38.51 ,$30.41 ,0.79,Bosshardt Realty Services LLC,Davonda Brown,259500401,259500004,Gainesville-Alachua,Ocala - Marion,TRUE
1,GC428325,SLD,816 NW 6th AVE,Gainesville,32601,Brown Addn,860,13786-000-000,"$45,000 ",2,1,0,1985,,Single Family Residence,,$600.00 ,720,720,6,Cash,8/24/2021,$58.14 ,$52.33 ,0.9,Bosshardt Realty Services LLC,Davonda Brown,259500401,259500004,Gainesville-Alachua,Ocala - Marion,TRUE
1,GC441772,SLD,22618 SE 62nd AVE,Hawthorne,32640,Lake Breeze Ests,"1,316",19558-027-000,"$45,500 ",3,2,0,1973,,Single Family Residence,,"$1,867.00 ",29,29,6,Cash,3/19/2021,$30.32 ,$34.57 ,1.14,"Trevor Waters Realty,Inc",Trevor Waters,270519969,270519968,Gainesville-Alachua,Gainesville-Alachua,TRUE
