OID_,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Archer_1,Buck_Bay,CarolEstates,Duck_Pond,EastGNV,EastMidtownEastA,Gainesvilleish_Region,Golfview,HSBUI,HaileLike,Hawthorne_1,HighSpringsAGNV,HighSprings_A,HighSprings_B,HighSprings_E,HighSprings_F,High_Springs_Main,Ironwood,Jonesville,Lincoln_Estates,Lugano,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,Newmans_Lake,QuailCreekish,Real_Tioga,Springtree_A,Springtree_B,SummerCreek,TC_Forest,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,WaldoRural_C,Westchesterish,WildsPlantation,swNewberry_A,swNewberry_B,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
326,81939,0.240000000000000,1448,3.000000000000000,GAINESVILLE,269900,2004,100,1328.000000000000000,1958,2022,0,0.000000000000000,180.000000000000000,234.000000000000000,17,63,0,0,1.000000000000000,672,228743.000000000000000,0.284138699412495,-82.311903999999998,29.671219000000001,10607-005-000,MidtownEast_A,True,0.830000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.539718615148168,279209.762476238305680,279881.762476238305680,9981.762476238305680,50466.762476238305680,9981.762476238305680,50466.762476238305680,1.036983188129819
327,81943,0.240000000000000,1348,3.000000000000000,GAINESVILLE,242900,1987,100,1088.000000000000000,1957,2022,0,0.000000000000000,320.000000000000000,0.000000000000000,30,64,0,0,1.000000000000000,1183,205282.000000000000000,0.284138699412495,-82.313164000000000,29.671226999999998,10607-009-000,MidtownEast_A,True,0.700000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.268867129863292,212961.596404051379068,214144.596404051379068,-28755.403595948620932,7679.596404051379068,28755.403595948620932,7679.596404051379068,0.881616288201117
328,81971,0.240000000000000,1115,3.000000000000000,GAINESVILLE,151900,1974,100,1115.000000000000000,1957,2022,0,0.000000000000000,64.000000000000000,0.000000000000000,30,64,0,0,1.000000000000000,1354,127760.999999999985448,0.284138699412495,-82.313792000000007,29.670515999999999,10608-011-000,MidtownEast_A,True,0.700000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.157529841412572,190523.312504352477845,191877.312504352477845,39977.312504352477845,62762.312504352492397,39977.312504352477845,62762.312504352492397,1.263181780805480
471,80986,0.250000000000000,1218,3.000000000000000,GAINESVILLE,250500,2008,100,1218.000000000000000,1956,2022,0,0.000000000000000,0.000000000000000,0.000000000000000,13,65,0,0,2.000000000000000,100,212825.000000000000000,0.295977811888015,-82.316775000000007,29.666283000000000,10083-001-000,MidtownEast_A,True,0.870000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.423552983012236,248588.197983590012882,248688.197983590012882,-1811.802016409987118,35763.197983590012882,1811.802016409987118,35763.197983590012882,0.992767257419521
472,81052,0.240000000000000,1396,3.000000000000000,GAINESVILLE,294900,1987,100,1165.000000000000000,1954,2022,0,0.000000000000000,293.000000000000000,0.000000000000000,30,67,0,0,2.000000000000000,2837,247827.999999999970896,0.284138699412495,-82.316276999999999,29.668863000000002,10138-000-000,MidtownEast_A,True,0.700000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.332123933174593,226868.068887077795807,229705.068887077795807,-65194.931112922204193,-20959.931112922175089,65194.931112922204193,20959.931112922175089,0.778925292936853
1612,81057,0.240000000000000,1231,3.000000000000000,GAINESVILLE,285700,2001,100,1231.000000000000000,1954,2023,0,0.000000000000000,102.000000000000000,231.000000000000000,21,68,0,0,1.000000000000000,465,242380.000000000000000,0.284138699412495,-82.316278999999994,29.670238000000001,10143-000-000,MidtownEast_A,True,0.790000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.404785019133504,243966.211965016700560,244431.211965016700560,-41268.788034983299440,1586.211965016700560,41268.788034983299440,1586.211965016700560,0.855552019478532
1613,81097,0.270000000000000,1275,3.000000000000000,GAINESVILLE,256000,1978,100,1275.000000000000000,1956,2023,0,0.000000000000000,35.000000000000000,0.000000000000000,30,66,0,0,1.000000000000000,282,217318.000000000000000,0.319656036839057,-82.318532000000005,29.668254999999998,10183-000-000,MidtownEast_A,True,0.700000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.236170340905755,206111.041902783763362,206393.041902783763362,-49606.958097216236638,-11206.958097216236638,49606.958097216236638,11206.958097216236638,0.806222819932749
1614,81140,0.280000000000000,3547,3.000000000000000,GAINESVILLE,594600,2015,100,3547.000000000000000,2009,2023,0,0.000000000000000,49.000000000000000,353.000000000000000,7,13,0,0,3.000000000000000,1954,503455.999999999941792,0.331495149314577,-82.317131000000003,29.665151000000002,10226-000-000,MidtownEast_A,True,0.930000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.225381227489219,554255.597959178616293,556209.597959178616293,-38390.402040821383707,50799.597959178674500,38390.402040821383707,50799.597959178674500,0.935434910795793
2804,81989,0.270000000000000,1369,3.000000000000000,GAINESVILLE,297900,2012,100,1369.000000000000000,1958,2024,0,0.000000000000000,28.000000000000000,0.000000000000000,11,65,0,0,1.000000000000000,1040,252175.000000000000000,0.319656036839057,-82.315117999999998,29.671112999999998,10611-002-000,MidtownEast_A,True,0.890000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.487465593958399,264994.829632800305262,266034.829632800305262,-31865.170367199694738,12819.829632800305262,31865.170367199694738,12819.829632800305262,0.893034003466936
2840,80959,0.250000000000000,1175,3.000000000000000,GAINESVILLE,260100,1996,100,1175.000000000000000,1956,2024,0,0.000000000000000,52.000000000000000,342.000000000000000,27,67,0,0,1.000000000000000,407,220677.999999999970896,0.295977811888015,-82.315445999999994,29.665434000000001,10080-004-000,MidtownEast_A,True,0.730000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.314831852911396,222978.771961062855553,223385.771961062855553,-36714.228038937144447,2300.771961062884657,36714.228038937144447,2300.771961062884657,0.858845720726885
