"#","ML Number","Status","Address","City","Zip","Legal Subdivision Name","Heated Area","Tax ID","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Ownership","Tax","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP / SqFt","SP/SqFt","SP / LP","List Office","List Agent","List Agent ID","Selling Office ID","LSC List Side","List Office Primary Board ID"
"1","GC445372","SLD","16631 NW 165TH TER","Alachua","32615","Heritage Oaks","2,600","03053-010-010","$455,000","4","2","1","2005","None","Single Family Residence","","$6,026.00","35","35","3","VA","07/15/2021","$178.85","$175","0.98","First Choice Realty of North Florida LLC","Dawn Johnson","259503557","259500046","Tampa","Tampa"
"1","GC433906","SLD","6481 SW 77th DR","Gainesville","32608","Grand Preserve At Kanapaha","3,400","07060-100-633","$455,435","6","4","1","2020","Community","Single Family Residence","","$1.00","659","295","3","Conventional","02/02/2021","$133.95","$133.95","1.00","Skobel Realty LLC","Loree Skobel","259504735","259504926","Gainesville-Alachua","Gainesville-Alachua"
"1","GC440149","SLD","3717 SW 109th WAY","Gainesville","32608","Oakmont","2,394","04427-111-469","$456,865","4","2","1","2020","Community","Single Family Residence","","$0.00","151","151","0","Conventional","05/10/2021","$190.52","$190.84","1.00","ICI Select Realty Inc.","Ali H Kargar","253004979","253001996","Gainesville-Alachua","Tampa"
"1","GC444594","SLD","2211 NW 46th ST","Gainesville","32605","Suburban Heights","3,038","06383-030-002","$457,000","4","3","0","1970","Private","Single Family Residence","","$3,495.00","36","36","1","Conventional","06/22/2021","$146.48","$150.43","1.03","Pepine Realty","Katie Garrett","259505117","259504964","Gainesville-Alachua","Ocala - Marion"
"1","GC443728","SLD","4818 NW 156TH AVE","Gainesville","32653","Not In Subdivision","1,856","05767-001-000","$459,500","3","2","1","1966","None","Single Family Residence","","$2,030.00","89","89","32","USDA","07/20/2021","$252.96","$247.58","0.98","United Country Smith & Associates - Newberry","Kristi Crane","259505576","70002595","Gainesville-Alachua","Gainesville-Alachua"
"1","GC447661","SLD","3516 NW 30TH BLVD","Gainesville","32605","Rock Creek","2,738","06106-040-039","$460,000","3","2","1","1978","Community","Single Family Residence","","$3,900.00","62","62","17","Conventional","11/04/2021","$171.29","$168.01","0.98","BOSSHARDT REALTY SERVICES LLC","Melissa Schneider","259503060","259500060","Gainesville-Alachua","Gainesville-Alachua"
"1","GC443828","SLD","14527 NW 83 LN","Alachua","32615","Bellamy Plantation","2,673","04059-010-006","$460,000","3","2","1","1996","Private","Single Family Residence","","$4,056.00","62","62","66","Cash","08/13/2021","$179.54","$172.09","0.96","Alachua Properties Inc","Bob Bieniek","259500227","25950341","Gainesville-Alachua","Gainesville-Alachua"
"1","GC443100","SLD","2036 NW 18 LN","Gainesville","32605","Forest Ridge","2,953","09018026000","$460,000","4","3","0","1965","Private","Single Family Residence","","$3,502.00","45","45","47","Conventional","06/30/2021","$155.77","$155.77","1.00","Keller Williams Gainesville Realty Partners","Susan K Boehlein","259505982","259500060","Gainesville-Alachua","Ocala - Marion"
"1","GC440950","SLD","1777 NW 14TH AVE","Gainesville","32605","Florida Park","2,297","09237-002-000","$460,000","4","3","0","1962","Private","Single Family Residence","","$4,564.00","36","36","2","Conventional","02/26/2021","$195.91","$200.26","1.02","Coldwell Banker M.M. Parrish Realtors","Kristin Kelly","259505056","270534868","Gainesville-Alachua","Pinellas Suncoast"
"1","GC440904","SLD","8001 SW 37th PL","Gainesville","32608","Kenwood","2,773","06849-006-013","$460,000","3","2","0","1991","Private","Single Family Residence","","$7,345.00","38","38","2","Conventional","02/26/2021","$165.89","$165.89","1.00","Keller Williams Gainesville Realty Partners","Craig Wilburn-Team Dynamo","259503108","259505339","Ocala - Marion","Ocala - Marion"
