OID_,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,Total_MISC_Val,effective_year_built,imprv_type_cd,base_area,sum_us_area,total_porch_area,total_garage_area,effective_age,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,Cluster_ID,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,HighSprings_A,HighSprings_B,HighSprings_C,HighSprings_D,HighSprings_E,HighSprings_F,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,MidtownEast_E,MidtownEast_F,Springtree_A,Springtree_B,Springtree_C,Tioga_A,Tioga_B,WaldoRural_A,WaldoRural_B,WaldoRural_C,swNewberry_A,swNewberry_B,swNewberry_C,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
1917,30729,0.600000000000000,2166,1.150000000000000,GAINESVILLE,428600,10402,2004,100,2166.000000000000000,0.000000000000000,169.000000000000000,528.000000000000000,20,353907.999999999941792,0.776903770980430,-82.396628000000007,29.722662000000000,06006-030-007,HighSprings_B,True,False,False,0.800000000000000,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.877489644700326,391401.68723361834,401803.68723361834,-26796.312766381655820,37493.687233618402388,26796.312766381655820,37493.687233618402388,0.937479438249226
1918,30730,0.640000000000000,1950,1.150000000000000,GAINESVILLE,381200,3170,1994,100,3900.000000000000000,0.000000000000000,170.000000000000000,1108.000000000000000,30,320850.000000000000000,0.828697355712458,-82.396246000000005,29.723365999999999,06006-030-008,HighSprings_B,True,False,False,0.700000000000000,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.68634464919603,323302.80802868865,326472.80802868865,-54727.191971311345696,2452.808028688654304,54727.191971311345696,2452.808028688654304,0.856434438690159
1919,30735,0.890000000000000,3260,1.150000000000000,GAINESVILLE,378800,7187,1998,100,2386.000000000000000,874.000000000000000,64.000000000000000,484.000000000000000,26,314793.000000000000000,1.152407260287637,-82.398210000000006,29.723175000000001,06006-030-013,HighSprings_B,True,False,False,0.740000000000000,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.072746767547104,475797.0932020881,482984.0932020881,104184.093202088086400,161004.093202088086400,104184.093202088086400,161004.093202088086400,1.275037204862957
1920,30739,0.430000000000000,2383,1.150000000000000,GAINESVILLE,489200,3807,2003,100,2173.000000000000000,0.000000000000000,313.000000000000000,483.000000000000000,21,412013.000000000000000,0.556781035869308,-82.396915000000007,29.723960000000002,06006-030-017,HighSprings_B,True,False,False,0.790000000000000,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.90842070771317,403697.335940872,407504.335940872,-81695.664059127971996,-8315.664059127971996,81695.664059127971996,8315.664059127971996,0.833001504376272
1921,30741,0.440000000000000,2183,1.150000000000000,GAINESVILLE,416400,7931,2000,100,2183.000000000000000,0.000000000000000,212.000000000000000,522.000000000000000,24,346009.000000000000000,0.569729432052315,-82.396179000000004,29.724029000000002,06006-030-019,HighSprings_B,True,False,False,0.760000000000000,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.810110573527027,365898.25192414434,373829.25192414434,-42570.748075855663046,19889.251924144336954,42570.748075855663046,19889.251924144336954,0.897764774073353
1922,30744,0.390000000000000,2282,1.150000000000000,GAINESVILLE,454500,15746,1994,100,2281.500000000000000,0.000000000000000,297.500000000000000,520.000000000000000,30,370579.000000000000000,0.504987451137279,-82.396462000000000,29.724478999999999,06006-031-021,HighSprings_B,True,False,False,0.700000000000000,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.746027764247266,343185.96946473623,358931.96946473623,-95568.030535263766069,-27393.030535263766069,95568.030535263766069,27393.030535263766069,0.789729305752995
1923,30748,0.390000000000000,2595,1.150000000000000,GAINESVILLE,513000,7822,2005,100,2219.500000000000000,0.000000000000000,429.500000000000000,420.000000000000000,19,428228.000000000000000,0.504987451137279,-82.397711000000001,29.724148000000000,06006-031-025,HighSprings_B,True,False,False,0.810000000000000,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.983939582977621,435364.8015947424,443186.8015947424,-69813.198405257600825,7136.801594742399175,69813.198405257600825,7136.801594742399175,0.863911893946866
1924,30755,0.470000000000000,2894,1.150000000000000,GAINESVILLE,523100,18746,1994,100,2138.000000000000000,756.000000000000000,58.000000000000000,462.000000000000000,30,425889.000000000000000,0.608574620601336,-82.396809000000005,29.725051000000001,06006-031-032,HighSprings_B,True,False,False,0.700000000000000,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.895018689385362,398323.07028999546,417069.07028999546,-106030.929710004536901,-27565.929710004536901,106030.929710004536901,27565.929710004536901,0.797302753374107
1925,30758,0.630000000000000,2279,1.150000000000000,GAINESVILLE,426100,12527,1994,100,2279.000000000000000,0.000000000000000,392.000000000000000,508.000000000000000,30,349657.999999999941792,0.815748959529451,-82.396257000000006,29.725363000000002,06006-031-035,HighSprings_B,True,False,False,0.700000000000000,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.776627310732211,353849.6239384268,366376.6239384268,-59723.376061573217157,4191.623938426841050,59723.376061573217157,4191.623938426841050,0.859837183615177
1926,30764,0.310000000000000,2481,1.150000000000000,GAINESVILLE,495100,4080,2002,100,2481.000000000000000,0.000000000000000,319.000000000000000,484.000000000000000,22,416755.000000000000000,0.401400281673222,-82.397194999999996,29.726659999999999,06006-032-040,HighSprings_B,True,False,False,0.780000000000000,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.900815478920626,400638.7706247487,404718.7706247487,-90381.229375251277816,-16116.229375251277816,90381.229375251277816,16116.229375251277816,0.817448536911227
