OID_,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,Total_MISC_Val,effective_year_built,imprv_type_cd,base_area,sum_us_area,total_porch_area,total_garage_area,effective_age,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,ARCHER_1,Duck_Pond,EastMidtownEastA,Gainesvilleish_Region,Golfview,HSBUI,Haile,HAWTHORNE_1,HighSpringsAGNV,HighSprings_A,HighSprings_B,HighSprings_E,HighSprings_F,High_Springs_Main,LACROSSE_1,Lugano,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,Newmans_Lake,Real_Tioga,SouthNewmansLake,Springtree_A,Springtree_B,Thornebrooke,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,West_Outer_Gainesville,West_of_Waldo_rd,WildsPlantation,swNewberry_A,swNewberry_B,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
4397,58127,1.350000000000000,2013,1.000000000000000,ST. JOHN'S,502600,11725,1994,100,4026.000000000000000,0.000000000000000,250.000000000000000,1056.000000000000000,30,415485.000000000000000,1.748033484705967,-82.424940000000007,29.622661999999998,06849-001-007,Gainesvilleish_Region,True,False,False,0.700000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.645060671022140,310227.342635494482238,321952.342635494482238,-180647.657364505517762,-105257.657364505517762,180647.657364505517762,105257.657364505517762,0.640573702020482
4398,58131,1.000000000000000,2700,1.000000000000000,ST. JOHN'S,512600,32596,1995,100,2700.000000000000000,0.000000000000000,0.000000000000000,550.000000000000000,29,403114.000000000000000,1.294839618300716,-82.426016000000004,29.621625999999999,06849-001-011,Gainesvilleish_Region,True,False,False,0.710000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.759185193190701,347731.251009538304061,380327.251009538304061,-132272.748990461695939,-55382.748990461695939,132272.748990461695939,55382.748990461695939,0.741957181056454
4399,58137,2.020000000000000,4327,1.000000000000000,ST. JOHN'S,703700,50368,1994,100,4327.000000000000000,0.000000000000000,972.000000000000000,0.000000000000000,30,547777.000000000000000,2.615576028967446,-82.427046000000004,29.620750000000001,06849-001-018,Gainesvilleish_Region,True,False,False,0.700000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.993941217716957,439741.009454673330765,490109.009454673330765,-213590.990545326669235,-108035.990545326669235,213590.990545326669235,108035.990545326669235,0.696474363300658
4400,58138,1.590000000000000,3930,1.000000000000000,ST. JOHN'S,588000,16078,1994,100,3279.000000000000000,651.000000000000000,248.000000000000000,462.000000000000000,30,483721.999999999941792,2.058794993098139,-82.426077000000006,29.620744999999999,06849-001-020,Gainesvilleish_Region,True,False,False,0.700000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.037551921298165,459342.740305562969297,475420.740305562969297,-112579.259694437030703,-24379.259694436972495,112579.259694437030703,24379.259694436972495,0.808538673989053
4401,58141,1.070000000000000,2337,1.000000000000000,ST. JOHN'S,645800,21808,2005,100,1257.000000000000000,1080.000000000000000,176.000000000000000,599.000000000000000,19,527122.000000000000000,1.385478391581766,-82.423857999999996,29.620818000000000,06849-001-023,Gainesvilleish_Region,True,False,False,0.810000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.872161559013385,389321.811304984439630,411129.811304984439630,-234670.188695015560370,-137800.188695015560370,234670.188695015560370,137800.188695015560370,0.636620952779474
4402,58144,1.040000000000000,2193,1.000000000000000,ST. JOHN'S,475000,18786,1994,100,4386.000000000000000,0.000000000000000,448.000000000000000,1234.000000000000000,30,384964.000000000000000,1.346633203032745,-82.423069999999996,29.620301999999999,06849-002-001,Gainesvilleish_Region,True,False,False,0.700000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.680065218131453,321279.011129314021673,340065.011129314021673,-134934.988870685978327,-63684.988870685978327,134934.988870685978327,63684.988870685978327,0.715926339219608
4403,58149,1.000000000000000,2338,1.000000000000000,ST. JOHN'S,487100,14132,2005,100,2338.000000000000000,0.000000000000000,42.000000000000000,526.000000000000000,19,399902.999999999941792,1.294839618300716,-82.423484999999999,29.618269000000002,06849-002-006,Gainesvilleish_Region,True,False,False,0.810000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.854431275226830,382479.859219405509066,396611.859219405509066,-90488.140780594490934,-17423.140780594432727,90488.140780594490934,17423.140780594432727,0.814230875014177
4404,58151,1.570000000000000,2334,1.000000000000000,ST. JOHN'S,391600,12380,1994,100,2334.000000000000000,0.000000000000000,24.000000000000000,530.000000000000000,30,320480.000000000000000,2.032898200732124,-82.423276999999999,29.617251000000000,06849-002-008,Gainesvilleish_Region,True,False,False,0.700000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.715972016631984,333024.725391801097430,345404.725391801097430,-46195.274608198902570,12544.725391801097430,46195.274608198902570,12544.725391801097430,0.882034538794181
4405,58153,1.730000000000000,2715,1.000000000000000,ST. JOHN'S,631900,43613,2015,100,2715.000000000000000,0.000000000000000,15.000000000000000,1286.000000000000000,9,493501.999999999941792,2.240072539660238,-82.423280000000005,29.616206999999999,06849-002-010,Gainesvilleish_Region,True,False,False,0.910000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.141583643919171,509703.082466472813394,553316.082466472871602,-78583.917533527128398,16201.082466472871602,78583.917533527128398,16201.082466472871602,0.875638680909120
4406,58160,1.060000000000000,3309,1.000000000000000,ST. JOHN'S,560300,38757,1994,100,3309.000000000000000,0.000000000000000,144.000000000000000,0.000000000000000,30,437498.000000000000000,1.372529995398759,-82.425291999999999,29.616693000000001,06849-002-017,Gainesvilleish_Region,True,False,False,0.700000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.766377011886842,350241.085441026487388,388998.085441026487388,-171301.914558973512612,-87256.914558973512612,171301.914558973512612,87256.914558973512612,0.694267509264727
