OID_,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,Total_MISC_Val,effective_year_built,imprv_type_cd,base_area,sum_us_area,total_porch_area,total_garage_area,effective_age,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Duck_Pond,Gainesvilleish_Region,Haile,HighSprings_A,HighSprings_B,HighSprings_C,HighSprings_D,HighSprings_E,HighSprings_F,High_Springs_Main,LACROSSE_1,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,MidtownEast_E,MidtownEast_F,Real_Tioga,Springtree_A,Springtree_B,Springtree_C,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,WaldoRural_B,WaldoRural_C,West_Outer_Gainesville,West_of_Waldo_rd,swNewberry_A,swNewberry_B,swNewberry_C,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
6406,83177,0.370000000000000,1231,1.000000000000000,ST. JOHN'S,231100,2640,2008,100,1231.000000000000000,0.000000000000000,57.000000000000000,0.000000000000000,16,193795.000000000000000,0.479090658771265,-82.267646999999997,29.655256999999999,10864-002-000,MidtownEast_C,True,False,False,0.840000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.949569273317177,154750.477059444616316,157390.477059444616316,-73709.522940555383684,-39044.522940555383684,73709.522940555383684,39044.522940555383684,0.681049230027887
6407,83195,0.240000000000000,1423,1.000000000000000,ST. JOHN'S,165700,4459,1994,100,1187.000000000000000,0.000000000000000,261.000000000000000,0.000000000000000,30,136386.000000000000000,0.310761508392172,-82.267589000000001,29.653859000000001,10864-020-000,MidtownEast_C,True,False,False,0.700000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.800198972062704,133278.869078954070574,137737.869078954070574,-27962.130921045929426,-3107.130921045929426,27962.130921045929426,3107.130921045929426,0.831248455515716
6408,83203,0.240000000000000,1360,1.000000000000000,ST. JOHN'S,185200,2262,1994,100,1144.000000000000000,0.000000000000000,368.000000000000000,0.000000000000000,30,155158.000000000000000,0.310761508392172,-82.267266000000006,29.653573000000002,10864-028-000,MidtownEast_C,True,False,False,0.700000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.774595996836664,129909.846036850183737,132171.846036850183737,-53028.153963149816263,-25248.153963149816263,53028.153963149816263,25248.153963149816263,0.713670874928997
6409,83207,0.240000000000000,1144,1.000000000000000,ST. JOHN'S,184400,545,2015,100,1144.000000000000000,0.000000000000000,66.000000000000000,0.000000000000000,9,156195.000000000000000,0.310761508392172,-82.267267000000004,29.652432000000001,10864-032-000,MidtownEast_C,True,False,False,0.910000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.963818712495689,156971.370232654240681,157516.370232654240681,-26883.629767345759319,776.370232654240681,26883.629767345759319,776.370232654240681,0.854210250719383
6410,83214,0.240000000000000,1296,1.000000000000000,ST. JOHN'S,172100,240,1994,100,1296.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,30,146045.000000000000000,0.310761508392172,-82.266407000000001,29.653237000000001,10864-039-000,MidtownEast_C,True,False,False,0.700000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.708518860134012,121603.236016026290599,121843.236016026290599,-50256.763983973709401,-24441.763983973709401,50256.763983973709401,24441.763983973709401,0.707979291202942
6411,83231,0.340000000000000,1504,1.000000000000000,ST. JOHN'S,194000,674,1994,100,1504.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,30,164225.999999999970896,0.440245470222243,-82.264342999999997,29.654299000000002,10864-056-000,MidtownEast_C,True,False,False,0.700000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.827822230705854,137011.786054641765077,137685.786054641765077,-56314.213945358234923,-27214.213945358205820,56314.213945358234923,27214.213945358205820,0.709720546673411
6412,83240,0.320000000000000,1144,1.000000000000000,ST. JOHN'S,158900,337,1994,100,1144.000000000000000,0.000000000000000,104.000000000000000,0.000000000000000,30,134728.000000000000000,0.414348677856229,-82.266704000000004,29.655249999999999,10864-065-000,MidtownEast_C,True,False,False,0.700000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.684215831265261,118683.531596748842276,119020.531596748842276,-39879.468403251157724,-16044.468403251157724,39879.468403251157724,16044.468403251157724,0.749027889218054
6413,83270,1.070000000000000,1176,0.900000000000000,ST. JOHN'S,37700,876,1994,100,1176.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,30,31168.999999999996362,1.385478391581766,-82.259206000000006,29.655246000000002,10865-007-000,MidtownEast_C,True,False,False,0.700000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.671089634598902,117135.848041027362342,118011.848041027362342,80311.848041027362342,85966.848041027362342,80311.848041027362342,85966.848041027362342,3.130287746446349
6414,83272,0.290000000000000,2513,1.000000000000000,ST. JOHN'S,280500,3336,2000,100,1735.000000000000000,0.000000000000000,818.000000000000000,0.000000000000000,24,235088.999999999970896,0.375503489307208,-82.271443000000005,29.651548999999999,10866-002-000,MidtownEast_C,True,False,False,0.760000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.266529609866033,212464.375771795399487,215800.375771795399487,-64699.624228204600513,-22624.624228204571409,64699.624228204600513,22624.624228204571409,0.769341803108005
6415,83273,0.240000000000000,1304,1.000000000000000,ST. JOHN'S,209000,6988,1994,100,1304.000000000000000,0.000000000000000,24.000000000000000,0.000000000000000,30,170662.000000000000000,0.310761508392172,-82.271441999999993,29.651247999999999,10866-003-000,MidtownEast_C,True,False,False,0.700000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.732200372794624,124517.353758848956204,131505.353758848970756,-77494.646241151029244,-46144.646241151043796,77494.646241151029244,46144.646241151043796,0.629212218941861
