OID_,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,sum_us_area,total_porch_area,total_garage_area,effective_age,has_canal,has_lake,number_of_baths,MISC_Val,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Archer_1,Buck_Bay,CarolEstates,Duck_Pond,EastGNV,EastMidtownEastA,Gainesvilleish_Region,Golfview,HSBUI,HaileLike,Hawthorne_1,HighSpringsAGNV,HighSprings_A,HighSprings_B,HighSprings_E,HighSprings_F,High_Springs_Main,Ironwood,Lugano,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,Newmans_Lake,Real_Tioga,Springtree_A,Springtree_B,SummerCreek,TC_Forest,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,WaldoRural_C,WildsPlantation,swNewberry_A,swNewberry_B,built_before_1984,built_pre_1970_with_effective_le_1994,era_1900s,era_1910s,era_1920s,era_1930s,era_1940s,era_1950s,era_1960s,era_1970s,era_1980s,era_1990s,era_2000s,era_2010s,era_2020s,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
576,30938,0.060000000000000,1380,1.000000000000000,GAINESVILLE,241900,2001,100,1379.500000000000000,2001,2022,0,0.000000000000000,204.500000000000000,412.000000000000000,20,0,0,2.000000000000000,780,204835.000000000000000,0.072606277274973,-82.393546000000001,29.726108000000000,06006-065-105,HighSprings_B,True,False,False,0.800000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,12.298630737671747,219395.373088945518248,220175.373088945518248,-21724.626911054481752,14560.373088945518248,21724.626911054481752,14560.373088945518248,0.910191703550829
577,30971,0.060000000000000,1348,1.000000000000000,GAINESVILLE,226600,2002,100,1347.500000000000000,2002,2022,0,0.000000000000000,202.500000000000000,446.000000000000000,19,0,0,2.000000000000000,224,192386.000000000000000,0.072606277274973,-82.393927000000005,29.726768000000000,06006-066-137,HighSprings_B,True,False,False,0.810000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,12.295947131434730,218807.391605613462161,219031.391605613462161,-7568.608394386537839,26421.391605613462161,7568.608394386537839,26421.391605613462161,0.966599256865020
578,30977,0.060000000000000,1207,1.000000000000000,GAINESVILLE,220600,2002,100,1206.500000000000000,2002,2022,0,0.000000000000000,133.500000000000000,434.000000000000000,19,0,0,2.000000000000000,184,187326.000000000000000,0.072606277274973,-82.393187999999995,29.726960999999999,06006-066-143,HighSprings_B,True,False,False,0.810000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,12.231657860439491,205183.065165424777661,205367.065165424777661,-15232.934834575222339,17857.065165424777661,15232.934834575222339,17857.065165424777661,0.930947711538644
579,31056,0.060000000000000,1545,1.000000000000000,GAINESVILLE,253700,2004,100,1544.500000000000000,2004,2022,0,0.000000000000000,39.500000000000000,412.000000000000000,17,0,0,2.000000000000000,262,215383.000000000000000,0.072606277274973,-82.393154999999993,29.728038000000002,06006-068-180,HighSprings_B,True,False,False,0.830000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,12.380782480755609,238180.121813291392755,238442.121813291392755,-15257.878186708607245,22797.121813291392755,15257.878186708607245,22797.121813291392755,0.939858580265240
581,31327,0.150000000000000,1977,1.000000000000000,GAINESVILLE,425600,2013,100,1977.000000000000000,2013,2022,0,0.000000000000000,422.000000000000000,288.000000000000000,8,0,0,3.000000000000000,1300,360460.000000000000000,0.181515693187433,-82.396957999999998,29.728849000000000,06009-010-033,HighSprings_B,True,False,False,0.920000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,12.713051716653917,332053.611954968015198,333353.611954968015198,-92246.388045031984802,-28406.388045031984802,92246.388045031984802,28406.388045031984802,0.783255667187425
582,31339,0.130000000000000,2078,1.000000000000000,GAINESVILLE,376700,2008,100,1546.000000000000000,2008,2022,0,532.000000000000000,131.000000000000000,460.000000000000000,13,0,0,2.500000000000000,1901,318294.000000000000000,0.157313600762442,-82.397414999999995,29.729205000000000,06009-010-045,HighSprings_B,True,False,False,0.870000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,12.669968661201292,318051.519994587404653,319952.519994587404653,-56747.480005412595347,-242.480005412595347,56747.480005412595347,242.480005412595347,0.849356304737423
583,31342,0.150000000000000,1713,1.000000000000000,GAINESVILLE,336600,2009,100,1713.000000000000000,2009,2022,0,0.000000000000000,243.000000000000000,420.000000000000000,12,0,0,2.000000000000000,934,285176.000000000000000,0.181515693187433,-82.397419999999997,29.728780000000000,06009-010-048,HighSprings_B,True,False,False,0.880000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,12.565119731605208,286392.845111850299872,287326.845111850299872,-49273.154888149700128,1216.845111850299872,49273.154888149700128,1216.845111850299872,0.853615107284166
584,31482,0.110000000000000,1649,1.000000000000000,GAINESVILLE,320600,2009,100,1439.000000000000000,2009,2022,0,0.000000000000000,234.000000000000000,420.000000000000000,12,0,0,2.000000000000000,846,271664.000000000000000,0.133111508337451,-82.396602999999999,29.728418000000001,06009-010-188,HighSprings_B,True,False,False,0.880000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,12.518819941159562,273435.199204150063451,274281.199204150063451,-46318.800795849936549,1771.199204150063451,46318.800795849936549,1771.199204150063451,0.855524638815190
585,31571,0.260000000000000,1870,1.150000000000000,GAINESVILLE,398500,2012,100,1870.000000000000000,2012,2022,0,0.000000000000000,141.000000000000000,420.000000000000000,9,0,0,2.000000000000000,1580,337145.000000000000000,0.314627201524883,-82.391874999999999,29.727513999999999,06009-030-041,HighSprings_B,True,False,False,0.910000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,12.782618387143238,355975.927135974110570,357555.927135974110570,-40944.072864025889430,18830.927135974110570,40944.072864025889430,18830.927135974110570,0.897254522298555
785,30748,0.390000000000000,2595,1.150000000000000,GAINESVILLE,513000,2005,100,2219.500000000000000,1995,2023,0,0.000000000000000,429.500000000000000,420.000000000000000,17,0,0,2.000000000000000,2986,433064.000000000000000,0.471940802287325,-82.397711000000001,29.724148000000000,06006-031-025,HighSprings_B,True,False,False,0.830000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,12.935173027908276,414642.933606906852219,417628.933606906852219,-95371.066393093147781,-18421.066393093147781,95371.066393093147781,18421.066393093147781,0.814091488512489
786,30755,0.470000000000000,2894,1.150000000000000,GAINESVILLE,523100,1993,100,2138.000000000000000,1993,2023,0,756.000000000000000,58.000000000000000,462.000000000000000,29,0,0,3.000000000000000,5831,438804.000000000000000,0.568749171987289,-82.396809000000005,29.725051000000001,06006-031-032,HighSprings_B,True,False,False,0.710000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,12.923013640483692,409631.658296538749710,415462.658296538749710,-107637.341703461250290,-29172.341703461250290,107637.341703461250290,29172.341703461250290,0.794231807104834
787,30912,0.060000000000000,1545,1.000000000000000,GAINESVILLE,259300,2001,100,1379.500000000000000,2001,2023,0,0.000000000000000,204.500000000000000,406.000000000000000,21,0,0,2.000000000000000,688,219717.000000000000000,0.072606277274973,-82.393794999999997,29.725448000000000,06006-064-080,HighSprings_B,True,False,False,0.790000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,12.352112940496289,231448.563634291087510,232136.563634291087510,-27163.436365708912490,11731.563634291087510,27163.436365708912490,11731.563634291087510,0.895243207228273
788,31069,0.060000000000000,1380,1.000000000000000,GAINESVILLE,260300,2004,100,1379.500000000000000,2004,2023,0,0.000000000000000,204.500000000000000,412.000000000000000,18,0,0,2.000000000000000,200,221055.000000000000000,0.072606277274973,-82.394356000000002,29.727730000000001,06006-068-193,HighSprings_B,True,False,False,0.820000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,12.317071894874951,223478.813615290157031,223678.813615290157031,-36621.186384709842969,2423.813615290157031,36621.186384709842969,2423.813615290157031,0.859311615886631
789,31444,0.170000000000000,1766,1.000000000000000,GAINESVILLE,379300,2008,100,1766.000000000000000,2008,2023,0,0.000000000000000,324.000000000000000,456.000000000000000,14,0,0,2.000000000000000,900,321505.000000000000000,0.205717785612424,-82.402820000000006,29.728878999999999,06009-010-150,HighSprings_B,True,False,False,0.860000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,12.577726137275121,290026.082413462107070,290926.082413462107070,-88373.917586537892930,-31478.917586537892930,88373.917586537892930,31478.917586537892930,0.767007862940844
790,31454,0.140000000000000,2572,1.000000000000000,GAINESVILLE,480300,2014,100,1568.000000000000000,2014,2023,0,1004.000000000000000,214.000000000000000,400.000000000000000,8,0,0,2.500000000000000,1160,407095.000000000000000,0.169414646974937,-82.402624000000003,29.728434000000000,06009-010-160,HighSprings_B,True,False,False,0.920000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,12.837214547087139,375951.170063850178849,377111.170063850178849,-103188.829936149821151,-31143.829936149821151,103188.829936149821151,31143.829936149821151,0.785157547499168
791,31542,0.290000000000000,1802,1.150000000000000,GAINESVILLE,348700,2011,100,1802.000000000000000,2011,2023,0,0.000000000000000,165.000000000000000,420.000000000000000,11,0,0,2.000000000000000,936,295459.000000000000000,0.350930340162370,-82.392214999999993,29.726794999999999,06009-030-012,HighSprings_B,True,False,False,0.890000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,12.754881314876215,346237.873980750970077,347173.873980750970077,-1526.126019249029923,50778.873980750970077,1526.126019249029923,50778.873980750970077,0.995623383942503
874,31326,0.150000000000000,1635,1.000000000000000,GAINESVILLE,330400,2009,100,1635.000000000000000,2009,2023,4,0.000000000000000,201.000000000000000,470.000000000000000,13,0,0,2.000000000000000,862,279978.000000000000000,0.181515693187433,-82.396770000000004,29.728846000000001,06009-010-032,HighSprings_B,True,False,False,0.870000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,12.531264692144170,276859.293980890768580,277721.293980890768580,-52678.706019109231420,-3118.706019109231420,52678.706019109231420,3118.706019109231420,0.840560817133447
1508,30793,0.490000000000000,2573,1.150000000000000,GAINESVILLE,545700,2000,100,2573.000000000000000,2000,2024,0,0.000000000000000,532.500000000000000,513.000000000000000,23,0,0,3.000000000000000,3848,459997.000000000000000,0.592951264412280,-82.400535000000005,29.727955999999999,06006-040-007,HighSprings_B,True,False,False,0.770000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,12.934277911966182,414271.946169914212078,418119.946169914212078,-127580.053830085787922,-45725.053830085787922,127580.053830085787922,45725.053830085787922,0.766208440846462
1509,30904,0.060000000000000,1545,1.000000000000000,GAINESVILLE,283600,2000,100,1544.500000000000000,2000,2024,0,0.000000000000000,39.500000000000000,412.000000000000000,23,0,0,2.000000000000000,464,240595.999999999970896,0.072606277274973,-82.394992000000002,29.725446999999999,06006-064-072,HighSprings_B,True,False,False,0.770000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,12.324744033844382,225199.968155981332529,225663.968155981332529,-57936.031844018667471,-15396.031844018638367,57936.031844018667471,15396.031844018638367,0.795712158518975
