OID_,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,Total_MISC_Val,effective_year_built,imprv_type_cd,base_area,sum_us_area,total_porch_area,total_garage_area,effective_age,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,Cluster_ID,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,HighSprings_A,HighSprings_B,HighSprings_C,HighSprings_D,HighSprings_E,HighSprings_F,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,MidtownEast_E,MidtownEast_F,Springtree_A,Springtree_B,Springtree_C,Tioga_A,Tioga_B,WaldoRural_A,WaldoRural_B,WaldoRural_C,swNewberry_A,swNewberry_B,swNewberry_C,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
1,1058,7.930000000000000,2412,1.000000000000000,SUWANNEE,492600,43625,2000,100,1950.000000000000000,0.000000000000000,558.000000000000000,0.000000000000000,24,375085.000000000000000,10.268078173124676,-82.556668999999999,29.881191999999999,00016-003-001,HighSprings_B,False,False,False,0.760000000000000,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.732192607724842,338470.63179220643,382095.63179220643,-110504.368207793566398,-36614.368207793566398,110504.368207793566398,36614.368207793566398,0.775671197304520
2,1143,6.410000000000000,2210,1.000000000000000,SUWANNEE,433100,50534,2004,100,1662.000000000000000,0.000000000000000,1034.000000000000000,0.000000000000000,20,317601.000000000000000,8.299921953307589,-82.580601999999999,29.858889999999999,00056-003-002,HighSprings_B,False,False,False,0.800000000000000,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.722598107764126,335238.70448471553,385772.70448471553,-47327.295515284466092,17637.704484715533908,47327.295515284466092,17637.704484715533908,0.890724323446584
3,1199,10.100000000000000,2042,1.000000000000000,SUWANNEE,451800,31386,1997,100,2042.000000000000000,0.000000000000000,142.000000000000000,0.000000000000000,27,352644.000000000000000,13.077880144837231,-82.572412999999997,29.866443000000000,00063-012-001,HighSprings_B,False,False,False,0.730000000000000,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.584927278271252,292122.13906740025,323508.13906740025,-128291.860932599753141,-60521.860932599753141,128291.860932599753141,60521.860932599753141,0.716042804487384
4,1270,2.570000000000000,2809,1.150000000000000,SUWANNEE,625300,30664,2012,100,2285.000000000000000,524.000000000000000,424.000000000000000,810.000000000000000,12,500840.999999999941792,3.327737819032840,-82.573637000000005,29.851039000000000,00067-010-009,HighSprings_B,True,False,False,0.880000000000000,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.25421279321872,570468.2496686467,601132.2496686467,-24167.750331353279762,69627.249668646778446,24167.750331353279762,69627.249668646778446,0.961350151397164
5,1278,7.980000000000000,2496,1.150000000000000,SUWANNEE,961100,40237,2009,100,2496.000000000000000,0.000000000000000,1144.000000000000000,1395.000000000000000,15,776698.000000000000000,10.332820154039714,-82.570565000000002,29.848694999999999,00068-001-000,HighSprings_B,False,False,False,0.850000000000000,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.188469648725913,534170.1225316258,574407.1225316258,-386692.877468374208547,-242527.877468374208547,386692.877468374208547,242527.877468374208547,0.597655938540865
6,1302,5.010000000000000,1784,1.000000000000000,SUWANNEE,375400,2656,2005,100,1784.000000000000000,0.000000000000000,61.000000000000000,440.000000000000000,19,316434.000000000000000,6.487146487686585,-82.561620000000005,29.851130000000001,00071-007-000,HighSprings_B,False,False,False,0.810000000000000,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.687713018044319,323745.5083393391,326401.5083393391,-48998.491660660889465,7311.508339339110535,48998.491660660889465,7311.508339339110535,0.869476580552315
7,1307,2.000000000000000,2508,1.150000000000000,SUWANNEE,535500,50578,2005,100,2508.000000000000000,0.000000000000000,282.000000000000000,506.000000000000000,19,404597.000000000000000,2.589679236601432,-82.575897999999995,29.854220999999999,00074-010-001,HighSprings_B,True,False,False,0.810000000000000,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.063331652063937,471338.4309691847,521916.4309691847,-13583.569030815328006,66741.430969184671994,13583.569030815328006,66741.430969184671994,0.974633858019019
8,1311,1.280000000000000,1636,1.000000000000000,SUWANNEE,252800,8758,1998,100,1636.000000000000000,0.000000000000000,158.000000000000000,0.000000000000000,26,206122.000000000000000,1.657394711424916,-82.578563000000003,29.852591000000000,00074-010-005,HighSprings_B,True,False,False,0.740000000000000,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.371539567721316,235988.78642281803,244746.78642281803,-8053.213577181973960,29866.786422818026040,8053.213577181973960,29866.786422818026040,0.968143933634565
15,1523,2.250000000000000,2596,1.000000000000000,SUWANNEE,674100,464,2008,100,2596.000000000000000,0.000000000000000,525.000000000000000,2004.000000000000000,16,572521.000000000000000,2.913389141176611,-82.631113999999997,29.840852999999999,00165-004-000,HighSprings_B,False,False,False,0.840000000000000,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.969721908229072,429218.72146437416,429682.72146437416,-244417.278535625839140,-143302.278535625839140,244417.278535625839140,143302.278535625839140,0.637416883940623
16,1526,1.350000000000000,1823,1.000000000000000,SUWANNEE,435600,7910,2015,100,1823.000000000000000,0.000000000000000,124.000000000000000,441.000000000000000,9,362349.999999999941792,1.748033484705967,-82.632146000000006,29.840312999999998,00165-007-000,HighSprings_B,False,False,False,0.910000000000000,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.75123501057058,344977.68424395384,352887.68424395384,-82712.315756046155002,-17372.315756046096794,82712.315756046155002,17372.315756046096794,0.810118650697782
