OID_,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,sum_us_area,total_porch_area,total_garage_area,effective_age,has_lake,number_of_baths,MISC_Val,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Archer_1,Buck_Bay,Duck_Pond,Eagle_Point,EastGNV,EastMidtownEastA,Gainesvilleish_Region,Golfview,HSBUI,HaileLike,Hawthorne_1,HighSpringsAGNV,HighSprings_A,HighSprings_B,HighSprings_E,HighSprings_F,High_Springs_Main,Lugano,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,Newmans_Lake,Real_Tioga,Springtree_A,Springtree_B,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,WaldoRural_C,WildsPlantation,swNewberry_A,swNewberry_B,built_before_1984,built_pre_1970_with_effective_le_1994,era_1900s,era_1910s,era_1920s,era_1930s,era_1940s,era_1950s,era_1960s,era_1970s,era_1980s,era_1990s,era_2000s,era_2010s,era_2020s,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
609,67842,0.110000000000000,1354,1.000000000000000,GAINESVILLE,272600,2000,100,1354.000000000000000,1996,2022,0,0.000000000000000,30.000000000000000,231.000000000000000,21,0,2.000000000000000,928,230782.000000000000000,0.132205949878698,-82.364841999999996,29.614160999999999,07295-134-000,HighSpringsAGNV,True,False,False,0.790000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,12.410293994863057,245313.924755634623580,246241.924755634623580,-26358.075244365376420,14531.924755634623580,26358.075244365376420,14531.924755634623580,0.903308601451338
776,67188,0.250000000000000,2086,1.150000000000000,GAINESVILLE,454000,2008,100,2086.000000000000000,2008,2022,0,0.000000000000000,560.000000000000000,504.000000000000000,13,0,2.000000000000000,417,385483.000000000000000,0.300468067906131,-82.351479999999995,29.616761000000000,07280-010-026,HighSpringsAGNV,True,False,False,0.870000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,12.925825018831546,410784.908222612401005,411201.908222612401005,-42798.091777387598995,25301.908222612401005,42798.091777387598995,25301.908222612401005,0.905731075380203
777,67216,0.200000000000000,2816,1.150000000000000,GAINESVILLE,595100,2008,100,2023.500000000000000,2008,2022,0,792.000000000000000,576.500000000000000,528.000000000000000,13,0,3.000000000000000,1060,504775.000000000000000,0.240374454324905,-82.350482000000000,29.618257000000000,07280-020-053,HighSpringsAGNV,True,False,False,0.870000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,13.114646370838081,496156.346541178936604,497216.346541178936604,-97883.653458821063396,-8618.653458821063396,97883.653458821063396,8618.653458821063396,0.835517302203292
778,67226,0.210000000000000,3406,1.150000000000000,GAINESVILLE,582500,2008,100,3406.000000000000000,2008,2022,0,0.000000000000000,247.000000000000000,462.000000000000000,13,0,3.000000000000000,1231,493894.000000000058208,0.252393177041150,-82.352051000000003,29.619807999999999,07280-030-062,HighSpringsAGNV,True,False,False,0.870000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,13.220846157114867,551747.700860269251280,552978.700860269251280,-29521.299139730748720,57853.700860269193072,29521.299139730748720,57853.700860269193072,0.949319658129218
1763,67767,0.150000000000000,1354,1.000000000000000,GAINESVILLE,254800,1996,100,1354.000000000000000,1996,2023,0,0.000000000000000,30.000000000000000,231.000000000000000,26,0,2.000000000000000,2160,214420.000000000000000,0.180280840743679,-82.366837000000004,29.614053999999999,07295-022-000,HighSpringsAGNV,True,False,False,0.740000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,12.380756180511774,238173.857700385211501,240333.857700385211501,-14466.142299614788499,23753.857700385211501,14466.142299614788499,23753.857700385211501,0.943225501178906
2283,67800,0.120000000000000,1354,1.000000000000000,GAINESVILLE,276500,1995,100,1354.000000000000000,1995,2024,0,0.000000000000000,30.000000000000000,231.000000000000000,28,0,2.000000000000000,2670,232354.999999999970896,0.144224672594943,-82.366606000000004,29.613330999999999,07295-076-000,HighSpringsAGNV,True,False,False,0.720000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,12.341942879234070,229106.646468967082910,231776.646468967082910,-44723.353531032917090,-3248.353531032887986,44723.353531032917090,3248.353531032887986,0.838251885963715
2284,67897,0.120000000000000,1250,1.000000000000000,GAINESVILLE,208700,1994,100,1250.000000000000000,1987,2024,0,0.000000000000000,56.000000000000000,0.000000000000000,29,0,2.000000000000000,3245,174150.000000000000000,0.144224672594943,-82.365441000000004,29.615832999999999,07296-030-001,HighSpringsAGNV,True,False,False,0.710000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,12.197784290880115,198349.179812076443341,201594.179812076443341,-7105.820187923556659,24199.179812076443341,7105.820187923556659,24199.179812076443341,0.965951987599791
2916,67235,0.340000000000000,3206,1.150000000000000,GAINESVILLE,565600,2007,100,2134.000000000000000,2007,2023,0,1072.000000000000000,361.000000000000000,462.000000000000000,15,0,3.000000000000000,1985,478774.999999999941792,0.408636572352338,-82.352951000000004,29.619797999999999,07280-030-071,HighSpringsAGNV,True,False,False,0.850000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,13.205172754119946,543167.354059891309589,545152.354059891309589,-20447.645940108690411,64392.354059891367797,20447.645940108690411,64392.354059891367797,0.963847867856951
3660,67761,0.150000000000000,1445,1.000000000000000,GAINESVILLE,256300,1999,100,1445.000000000000000,1994,2022,0,0.000000000000000,96.000000000000000,273.000000000000000,22,0,2.000000000000000,2271,215584.000000000000000,0.180280840743679,-82.366052999999994,29.614114000000001,07295-012-000,HighSpringsAGNV,True,False,False,0.780000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,12.466255401213392,259433.425933932943735,261704.425933932943735,5404.425933932943735,43849.425933932943735,5404.425933932943735,43849.425933932943735,1.021086328263492
3900,67845,0.120000000000000,1354,1.000000000000000,GAINESVILLE,285000,1996,100,1354.000000000000000,1996,2024,0,0.000000000000000,30.000000000000000,231.000000000000000,27,0,2.000000000000000,2242,240007.999999999970896,0.144224672594943,-82.364884000000004,29.614571999999999,07295-140-000,HighSpringsAGNV,True,False,False,0.730000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,12.353072633304677,231670.789773680618964,233912.789773680618964,-51087.210226319381036,-8337.210226319351932,51087.210226319381036,8337.210226319351932,0.820746630784844
