OID_,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,sum_us_area,total_porch_area,total_garage_area,effective_age,has_lake,number_of_baths,MISC_Val,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Archer_1,Buck_Bay,Duck_Pond,Eagle_Point,EastGNV,EastMidtownEastA,Gainesvilleish_Region,Golfview,HSBUI,HaileLike,Hawthorne_1,HighSpringsAGNV,HighSprings_A,HighSprings_B,HighSprings_E,HighSprings_F,High_Springs_Main,Lugano,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,Newmans_Lake,Real_Tioga,Springtree_A,Springtree_B,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,WaldoRural_C,WildsPlantation,swNewberry_A,swNewberry_B,built_before_1984,built_pre_1970_with_effective_le_1994,era_1900s,era_1910s,era_1920s,era_1930s,era_1940s,era_1950s,era_1960s,era_1970s,era_1980s,era_1990s,era_2000s,era_2010s,era_2020s,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
837,35290,0.350000000000000,2004,1.150000000000000,ST. JOHN'S,395300,1995,100,2004.000000000000000,1988,2022,0,0.000000000000000,268.000000000000000,400.000000000000000,26,0,2.000000000000000,7016,328989.000000000000000,0.420655295068583,-82.411569999999998,29.691943999999999,06048-010-005,HaileLike,True,False,False,0.740000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,12.827689726118098,372387.302021878364030,379403.302021878364030,-15896.697978121635970,43398.302021878364030,15896.697978121635970,43398.302021878364030,0.959785737469968
838,35327,0.320000000000000,1581,1.000000000000000,ST. JOHN'S,300300,1995,100,1581.000000000000000,1988,2022,0,0.000000000000000,156.000000000000000,440.000000000000000,26,0,2.000000000000000,1020,254235.000000000000000,0.384599126919848,-82.408804000000003,29.695049000000001,06048-010-042,HaileLike,True,False,False,0.740000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,12.576610971709165,289702.835583491541911,290722.835583491541911,-9577.164416508458089,35467.835583491541911,9577.164416508458089,35467.835583491541911,0.968108010601037
839,35364,0.210000000000000,1457,1.000000000000000,ST. JOHN'S,309400,1995,100,1457.000000000000000,1990,2022,0,0.000000000000000,166.000000000000000,400.000000000000000,26,0,2.000000000000000,1037,261953.000000000000000,0.252393177041150,-82.407150999999999,29.695868999999998,06048-020-010,HaileLike,True,False,False,0.740000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,12.497597447831296,267693.366027228417806,268730.366027228417806,-40669.633972771582194,5740.366027228417806,40669.633972771582194,5740.366027228417806,0.868553219221811
840,35387,0.180000000000000,1328,1.000000000000000,ST. JOHN'S,308700,1997,100,1328.000000000000000,1991,2022,0,0.000000000000000,280.000000000000000,400.000000000000000,24,0,2.000000000000000,541,261854.000000000000000,0.216337008892414,-82.408580999999998,29.692644000000001,06048-030-001,HaileLike,True,False,False,0.760000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,12.456868217999626,257009.471683957264759,257550.471683957264759,-51149.528316042735241,-4844.528316042735241,51149.528316042735241,4844.528316042735241,0.834306678600445
841,35391,0.330000000000000,1849,1.150000000000000,ST. JOHN'S,426400,1996,100,1848.500000000000000,1991,2022,0,0.000000000000000,315.500000000000000,400.000000000000000,25,0,2.000000000000000,8686,353754.000000000000000,0.396617849636093,-82.409244000000001,29.692077000000001,06048-030-005,HaileLike,True,False,False,0.750000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,12.789180674988055,358319.625235770770814,367005.625235770770814,-59394.374764229229186,4565.625235770770814,59394.374764229229186,4565.625235770770814,0.860707376256498
842,35399,0.210000000000000,1254,1.000000000000000,ST. JOHN'S,288800,2000,100,1254.000000000000000,1991,2022,0,0.000000000000000,176.000000000000000,420.000000000000000,21,0,2.000000000000000,1092,244387.999999999970896,0.252393177041150,-82.407919000000007,29.693650999999999,06048-040-004,HaileLike,True,False,False,0.790000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,12.466637986046351,259532.700217064470053,260624.700217064470053,-28175.299782935529947,15144.700217064499157,28175.299782935529947,15144.700217064499157,0.902440097704517
843,35448,0.220000000000000,1364,1.000000000000000,ST. JOHN'S,233000,1992,100,1364.000000000000000,1992,2022,0,0.000000000000000,169.000000000000000,440.000000000000000,29,0,2.000000000000000,1102,196948.000000000000000,0.264411899757395,-82.407127000000003,29.691531999999999,06048-050-014,HaileLike,True,False,False,0.710000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,12.432073638983731,250715.382129601843189,251817.382129601843189,18817.382129601843189,53767.382129601843189,18817.382129601843189,53767.382129601843189,1.080761296693570
1879,35443,0.180000000000000,1522,1.000000000000000,ST. JOHN'S,336300,2005,100,1522.000000000000000,1992,2023,0,0.000000000000000,234.000000000000000,420.000000000000000,17,0,2.000000000000000,1015,284840.000000000000000,0.216337008892414,-82.406271000000004,29.691036000000000,06048-050-009,HaileLike,True,False,False,0.830000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,12.605175517655972,298097.388056205178145,299112.388056205178145,-37187.611943794821855,13257.388056205178145,37187.611943794821855,13257.388056205178145,0.889421314469834
1880,35462,0.180000000000000,2890,1.150000000000000,ST. JOHN'S,628400,2007,100,2604.000000000000000,2007,2023,0,286.000000000000000,507.000000000000000,592.000000000000000,15,0,3.000000000000000,3698,530442.000000000000000,0.216337008892414,-82.410774000000004,29.689496999999999,06048-100-001,HaileLike,True,False,False,0.850000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,13.140111125220837,508953.087473286723252,512651.087473286723252,-115748.912526713276748,-21488.912526713276748,115748.912526713276748,21488.912526713276748,0.815803767462264
2378,35304,0.260000000000000,1826,1.150000000000000,ST. JOHN'S,357700,1994,100,1826.000000000000000,1992,2024,0,0.000000000000000,376.000000000000000,400.000000000000000,29,0,2.000000000000000,3811,300234.000000000000000,0.312486790622376,-82.410709999999995,29.693601000000001,06048-010-019,HaileLike,True,False,False,0.710000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,12.720588387586268,334565.645053013227880,338376.645053013227880,-19323.354946986772120,34331.645053013227880,19323.354946986772120,34331.645053013227880,0.945978879097046
