OID_,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,Total_MISC_Val,effective_year_built,imprv_type_cd,base_area,sum_us_area,total_porch_area,total_garage_area,effective_age,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Duck_Pond,EastMidtownEastA,Gainesvilleish_Region,Haile,HighSpringsAGNV,HighSprings_A,HighSprings_B,HighSprings_C,HighSprings_D,HighSprings_E,HighSprings_F,High_Springs_Main,LACROSSE_1,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,MidtownEast_E,MidtownEast_F,Newmans_Lake,Real_Tioga,SouthNewmansLake,Springtree_A,Springtree_B,Springtree_C,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,WaldoRural_B,WaldoRural_C,West_Outer_Gainesville,West_of_Waldo_rd,swNewberry_A,swNewberry_B,swNewberry_C,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
3145,42216,1.030000000000000,4301,1.400000000000000,ST. JOHN'S,841400,14961,1999,100,3545.000000000000000,756.000000000000000,620.000000000000000,768.000000000000000,25,700229.000000000000000,1.333684806849737,-82.405375000000006,29.677523000000001,06152-010-005,HighSprings_A,True,False,False,0.750000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.448453475753332,692770.099066787515767,707731.099066787515767,-133668.900933212484233,-7458.900933212484233,133668.900933212484233,7458.900933212484233,0.841135130813867
3146,42224,1.020000000000000,2908,1.150000000000000,ST. JOHN'S,615000,17599,1994,100,5816.000000000000000,0.000000000000000,1144.000000000000000,1660.000000000000000,30,505151.000000000000000,1.320736410666730,-82.408574999999999,29.678706999999999,06152-010-013,HighSprings_A,True,False,False,0.700000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.964020233936056,426778.419628238305449,444377.419628238305449,-170622.580371761694551,-78372.580371761694551,170622.580371761694551,78372.580371761694551,0.722564909964615
3147,42249,1.190000000000000,4625,1.400000000000000,ST. JOHN'S,1165200,69469,2015,100,3079.000000000000000,1546.000000000000000,360.000000000000000,866.000000000000000,9,920951.000000000000000,1.540859145777852,-82.406289999999998,29.679236000000000,06152-010-038,HighSprings_A,True,False,False,0.910000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.728461247306948,916631.894797461107373,986100.894797461107373,-179099.105202538892627,-4319.105202538892627,179099.105202538892627,4319.105202538892627,0.846293249911999
3148,42251,0.910000000000000,4074,1.400000000000000,ST. JOHN'S,805800,2208,1996,100,4074.000000000000000,0.000000000000000,715.000000000000000,816.000000000000000,28,682722.000000000000000,1.178304052653651,-82.407042000000004,29.679620000000000,06152-010-040,HighSprings_A,True,False,False,0.720000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.360428620257135,634395.984866151935421,636603.984866151935421,-169196.015133848064579,-48326.015133848064579,169196.015133848064579,48326.015133848064579,0.790027283278918
3149,42258,1.270000000000000,2964,1.150000000000000,ST. JOHN'S,534400,13977,1994,100,1359.000000000000000,1605.000000000000000,61.000000000000000,484.000000000000000,30,440263.000000000000000,1.644446315241909,-82.406206999999995,29.682437000000000,06152-010-047,HighSprings_A,True,False,False,0.700000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.948262884266015,420106.228914476523641,434083.228914476523641,-100316.771085523476359,-20156.771085523476359,100316.771085523476359,20156.771085523476359,0.812281491232179
3150,42259,1.400000000000000,2905,1.400000000000000,ST. JOHN'S,696900,11334,2000,100,2282.000000000000000,623.000000000000000,500.000000000000000,0.000000000000000,24,581031.000000000000000,1.812775465621002,-82.406041000000002,29.682856000000001,06152-010-048,HighSprings_A,True,False,False,0.760000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.114913635485157,496288.969313932000659,507622.969313932000659,-189277.030686067999341,-84742.030686067999341,189277.030686067999341,84742.030686067999341,0.728401448290905
3151,42262,1.120000000000000,2890,1.400000000000000,ST. JOHN'S,672600,23088,2002,100,2889.500000000000000,0.000000000000000,353.500000000000000,704.000000000000000,22,548622.000000000000000,1.450220372496802,-82.404160000000005,29.682169999999999,06152-010-051,HighSprings_A,True,False,False,0.780000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.257577101310495,572390.712682751473039,595478.712682751473039,-77121.287317248526961,23768.712682751473039,77121.287317248526961,23768.712682751473039,0.885338555876824
3167,42475,0.220000000000000,1170,1.000000000000000,ST. JOHN'S,264400,5060,1994,100,1170.000000000000000,0.000000000000000,0.000000000000000,286.000000000000000,30,219679.999999999970896,0.284864716026157,-82.400650999999996,29.677181000000001,06172-017-000,HighSprings_A,True,False,False,0.700000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.076544397957802,175701.954459475644398,180761.954459475644398,-83638.045540524355602,-43978.045540524326498,83638.045540524355602,43978.045540524326498,0.683668511571391
3169,42493,0.210000000000000,1494,1.000000000000000,ST. JOHN'S,306100,11286,2000,100,1314.000000000000000,0.000000000000000,192.000000000000000,338.000000000000000,24,248898.999999999970896,0.271916319843150,-82.399184000000005,29.676736999999999,06172-035-000,HighSprings_A,True,False,False,0.760000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.353815281211359,231842.903502785251476,243128.903502785251476,-62971.096497214748524,-17056.096497214719420,62971.096497214748524,17056.096497214719420,0.794279331926773
3170,42513,0.220000000000000,1284,1.000000000000000,ST. JOHN'S,301300,5120,2006,100,2568.000000000000000,0.000000000000000,64.000000000000000,1092.000000000000000,18,250985.000000000000000,0.284864716026157,-82.400706000000000,29.675698000000001,06173-013-000,HighSprings_A,True,False,False,0.820000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.372694430117845,236261.478428824426373,241381.478428824426373,-59918.521571175573627,-14723.521571175573627,59918.521571175573627,14723.521571175573627,0.801133350245020
