OID_,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,Total_MISC_Val,effective_year_built,imprv_type_cd,base_area,sum_us_area,total_porch_area,total_garage_area,effective_age,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,Cluster_ID,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,HighSprings_A,HighSprings_B,HighSprings_C,HighSprings_D,HighSprings_E,HighSprings_F,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,MidtownEast_E,MidtownEast_F,Springtree_A,Springtree_B,Springtree_C,Tioga_A,Tioga_B,WaldoRural_A,WaldoRural_B,WaldoRural_C,swNewberry_A,swNewberry_B,swNewberry_C,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
1655,28299,0.690000000000000,1995,1.000000000000000,ALACHUA,343000,8316,2000,100,1995.000000000000000,0.000000000000000,121.000000000000000,462.000000000000000,24,283234.000000000000000,0.893439336627494,-82.407753000000000,29.749635999999999,05900-002-022,HighSprings_B,False,False,False,0.760000000000000,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.57596369382207,289515.37801930244,297831.37801930244,-45168.621980697556864,6281.378019302443136,45168.621980697556864,6281.378019302443136,0.868313055449861
1656,28320,0.440000000000000,3495,1.150000000000000,ALACHUA,572400,6775,2000,100,2940.000000000000000,0.000000000000000,555.000000000000000,648.000000000000000,24,479765.000000000000000,0.569729432052315,-82.420545000000004,29.763093000000001,05900-005-002,HighSprings_B,True,False,False,0.760000000000000,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.126963120266351,502305.1689589182,509080.1689589182,-63319.831041081808507,22540.168958918191493,63319.831041081808507,22540.168958918191493,0.889378352478893
1657,28328,0.440000000000000,2978,1.400000000000000,ALACHUA,377600,12301,1994,100,2978.000000000000000,0.000000000000000,515.000000000000000,748.000000000000000,30,308659.000000000000000,0.569729432052315,-82.419409000000002,29.761264000000001,05900-005-010,HighSprings_B,True,False,False,0.700000000000000,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.155134099944304,516656.79828135326,528957.7982813532,151357.798281353199854,207997.798281353258062,151357.798281353199854,207997.798281353258062,1.400841626804431
1658,28330,0.520000000000000,3323,1.400000000000000,ALACHUA,710500,29075,1996,100,3323.000000000000000,0.000000000000000,360.000000000000000,850.000000000000000,28,574850.000000000000000,0.673316601516372,-82.419900999999996,29.760686000000000,05900-005-012,HighSprings_B,True,False,False,0.720000000000000,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.266182336666127,577337.5231891611,606412.5231891611,-104087.476810838910751,2487.523189161089249,104087.476810838910751,2487.523189161089249,0.853501088232458
1659,28333,0.530000000000000,2208,1.150000000000000,ALACHUA,452500,21619,1994,100,2208.000000000000000,0.000000000000000,540.000000000000000,462.000000000000000,30,363006.000000000000000,0.686264997699379,-82.420579000000004,29.759784000000000,05900-005-015,HighSprings_B,True,False,False,0.700000000000000,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.746163979585512,343232.71984163515,364851.71984163515,-87648.280158364854287,-19773.280158364854287,87648.280158364854287,19773.280158364854287,0.806302143296431
1660,28340,0.470000000000000,3108,1.400000000000000,ALACHUA,590200,32096,2005,100,6216.000000000000000,0.000000000000000,1540.000000000000000,924.000000000000000,19,469574.000000000000000,0.608574620601336,-82.421282000000005,29.762046000000002,05900-005-022,HighSprings_B,True,False,False,0.810000000000000,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.356761369127586,632073.7561745513,664169.7561745513,73969.756174551323056,162499.756174551323056,73969.756174551323056,162499.756174551323056,1.125329983352340
1661,28344,0.500000000000000,2546,1.150000000000000,ALACHUA,380400,28735,1994,100,2366.000000000000000,0.000000000000000,180.000000000000000,596.000000000000000,30,294604.999999999941792,0.647419809150358,-82.421975000000003,29.761752000000001,05900-005-026,HighSprings_B,True,False,False,0.700000000000000,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.830829649973571,373558.40742369386,402293.40742369386,21893.407423693861347,78953.407423693919554,21893.407423693861347,78953.407423693919554,1.057553647275746
1662,28345,0.490000000000000,2382,1.150000000000000,ALACHUA,397300,3965,1998,100,2381.500000000000000,0.000000000000000,390.500000000000000,462.000000000000000,26,333740.000000000000000,0.634471412967351,-82.421605000000000,29.761548999999999,05900-005-027,HighSprings_B,True,False,False,0.740000000000000,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.847128569570321,379696.8953388502,383661.8953388502,-13638.104661149787717,45956.895338850212283,13638.104661149787717,45956.895338850212283,0.965673031308458
1663,28353,0.470000000000000,2188,1.150000000000000,ALACHUA,379100,15620,1994,100,2188.000000000000000,0.000000000000000,72.000000000000000,472.000000000000000,30,306615.000000000000000,0.608574620601336,-82.421930000000003,29.759876999999999,05900-005-035,HighSprings_B,True,False,False,0.700000000000000,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.71649173508052,333197.8494693978,348817.8494693978,-30282.150530602200888,26582.849469397799112,30282.150530602200888,26582.849469397799112,0.920120942942226
1664,28357,0.180000000000000,2399,1.000000000000000,ALACHUA,272400,10130,1994,100,2111.000000000000000,0.000000000000000,288.000000000000000,532.000000000000000,30,221410.000000000000000,0.233071131294129,-82.421653000000006,29.759245000000000,05900-005-039,HighSprings_B,True,False,False,0.700000000000000,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.576398949993214,289641.41880225093,299771.41880225093,27371.418802250933368,68231.418802250933368,27371.418802250933368,68231.418802250933368,1.100482447879042
