OID_,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,Total_MISC_Val,effective_year_built,imprv_type_cd,base_area,sum_us_area,total_porch_area,total_garage_area,effective_age,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Gainesvilleish_Region,Haile,HighSprings_A,HighSprings_B,HighSprings_C,HighSprings_D,HighSprings_E,HighSprings_F,High_Springs_Main,LACROSSE_1,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,MidtownEast_E,MidtownEast_F,Springtree_A,Springtree_B,Springtree_C,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,WaldoRural_B,WaldoRural_C,West_Outer_Gainesville,swNewberry_A,swNewberry_B,swNewberry_C,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
5707,75076,0.270000000000000,1166,1.000000000000000,GAINESVILLE,220900,500,1994,100,1166.000000000000000,0.000000000000000,96.000000000000000,0.000000000000000,30,187265.000000000000000,0.349606696941193,-82.305425999999997,29.679500000000001,08197-003-020,MidtownEast_C,True,False,False,0.700000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.883159930886865,144807.409888398280600,145307.409888398280600,-75592.590111601719400,-42457.590111601719400,75592.590111601719400,42457.590111601719400,0.657797238064275
5708,75098,0.210000000000000,1166,1.000000000000000,GAINESVILLE,231800,535,1994,100,1166.000000000000000,0.000000000000000,96.000000000000000,0.000000000000000,30,196495.000000000000000,0.271916319843150,-82.305009999999996,29.679283999999999,08197-003-042,MidtownEast_C,True,False,False,0.700000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.864222764853857,142090.969941156916320,142625.969941156916320,-89174.030058843083680,-54404.030058843083680,89174.030058843083680,54404.030058843083680,0.615297540729754
5709,75112,0.200000000000000,1161,1.000000000000000,GAINESVILLE,233600,3959,2005,100,1161.000000000000000,0.000000000000000,262.000000000000000,0.000000000000000,19,194601.000000000000000,0.258967923660143,-82.304491999999996,29.678701000000000,08197-003-056,MidtownEast_C,True,False,False,0.810000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.033406227665802,168283.650026279443409,172242.650026279443409,-61357.349973720556591,-26317.349973720556591,61357.349973720556591,26317.349973720556591,0.737340111413867
5710,75116,0.200000000000000,1260,1.000000000000000,GAINESVILLE,196000,2746,1999,100,936.000000000000000,0.000000000000000,429.000000000000000,0.000000000000000,25,163854.000000000000000,0.258967923660143,-82.304129000000003,29.678906000000001,08197-003-060,MidtownEast_C,True,False,False,0.750000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.000390618653009,162818.378894817346008,165564.378894817346008,-30435.621105182653992,-1035.621105182653992,30435.621105182653992,1035.621105182653992,0.844716218851109
5711,75126,0.210000000000000,1269,1.000000000000000,GAINESVILLE,124700,200,1999,100,945.000000000000000,0.000000000000000,435.000000000000000,0.000000000000000,25,105795.000000000000000,0.271916319843150,-82.303605000000005,29.679919000000002,08197-003-070,MidtownEast_C,True,False,False,0.750000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.008593057111039,164159.378843784157652,164359.378843784157652,39659.378843784157652,58364.378843784157652,39659.378843784157652,58364.378843784157652,1.318038322724813
5712,75129,0.210000000000000,1035,1.000000000000000,GAINESVILLE,219000,5468,1994,100,1035.000000000000000,0.000000000000000,54.000000000000000,0.000000000000000,30,180681.999999999970896,0.271916319843150,-82.303607999999997,29.679259999999999,08197-003-073,MidtownEast_C,True,False,False,0.700000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.785507615103651,131335.134646928141592,136803.134646928141592,-82196.865353071858408,-49346.865353071829304,82196.865353071858408,49346.865353071829304,0.624671847702868
5713,75131,0.210000000000000,1260,1.000000000000000,GAINESVILLE,249700,200,2010,100,2520.000000000000000,0.000000000000000,210.000000000000000,0.000000000000000,14,212045.000000000000000,0.271916319843150,-82.303610000000006,29.678820000000002,08197-003-075,MidtownEast_C,True,False,False,0.860000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.154255642453400,189900.521400224795798,190100.521400224795798,-59599.478599775204202,-22144.478599775204202,59599.478599775204202,22144.478599775204202,0.761315664398177
5714,75134,0.210000000000000,1273,1.000000000000000,GAINESVILLE,198500,1570,1998,100,2546.000000000000000,0.000000000000000,208.000000000000000,0.000000000000000,26,167155.000000000000000,0.271916319843150,-82.303612999999999,29.678159999999998,08197-003-078,MidtownEast_C,True,False,False,0.740000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.988774902057457,160938.068467220087769,162508.068467220087769,-35991.931532779912231,-6216.931532779912231,35991.931532779912231,6216.931532779912231,0.818680445678691
5715,75138,0.280000000000000,945,1.000000000000000,GAINESVILLE,203900,568,2005,100,945.000000000000000,0.000000000000000,48.000000000000000,0.000000000000000,19,172747.000000000000000,0.362555093124200,-82.303081000000006,29.677849999999999,08197-003-082,MidtownEast_C,True,False,True,0.810000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.916678281440310,149743.376024531840812,150311.376024531840812,-53588.623975468159188,-23003.623975468159188,53588.623975468159188,23003.623975468159188,0.737181834352780
5716,75148,0.210000000000000,1496,1.000000000000000,GAINESVILLE,210000,1569,1994,100,1192.000000000000000,0.000000000000000,304.000000000000000,0.000000000000000,30,176931.000000000000000,0.271916319843150,-82.303246999999999,29.679039000000000,08197-003-092,MidtownEast_C,True,False,False,0.700000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.028469210517784,167454.878273927606642,169023.878273927606642,-40976.121726072393358,-9476.121726072393358,40976.121726072393358,9476.121726072393358,0.804875610828227
