Unnamed: 0,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,geo_id,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,hood_cd,sl_county_ratio_cd
2,19249,9.45,1340,3,NEWBERRY,0,509300,2012,100,1340.0,1950,2024,0,-82.55579139,29.6603003,04266-005-000,0,30.0,0.0,11,73,0,0,1.0,23331,154200.0,2
5,20919,1.18,1958,3,SUWANNEE,151800,378000,2010,100,1664.0,1973,2024,0,-82.47137024,29.64755359,04330-010-008,0,486.0,520.0,13,50,0,0,2.0,3478,215201.03,2
8,37516,0.33,1527,3,GAINESVILLE,144600,225000,1994,100,1527.0,1974,2024,0,-82.38425013,29.69828179,06071-030-005,0,76.0,560.0,29,49,0,0,2.0,2959,174323.03,1
9,52135,1.0,1902,4,ST. JOHN'S,0,260600,2000,100,1902.0,1966,2024,0,-82.43823875,29.65548783,06656-009-000,0,126.0,0.0,23,57,0,0,2.0,9750,125305.01,2
17,80299,0.28,1407,3,GAINESVILLE,103900,200500,1994,100,1033.0,1940,2024,0,-82.33264386,29.66425915,09690-000-000,0,548.0,0.0,29,83,0,0,1.0,0,324432.04,1
19,81402,0.17,900,3,GAINESVILLE,67200,178100,1994,100,900.0,1928,2024,0,-82.31686226,29.66129037,10412-000-000,0,0.0,0.0,29,95,0,0,1.0,1432,324433.04,2
24,5681,2.0,616,2,SUWANNEE,0,80800,1994,100,616.0,1962,2024,0,-82.62901626,29.78605319,01549-001-000,0,0.0,0.0,29,61,0,0,1.0,7152,223100.4,1
26,5928,2.5,1562,3,SUWANNEE,0,145600,1994,100,1562.0,1946,2024,0,-82.59100013,29.77155394,01636-003-000,0,120.0,0.0,29,77,0,0,2.0,22013,223100.4,1
30,25039,0.25,1092,2,ARCHER,0,58800,1994,100,1092.0,1920,2024,0,-82.51753723,29.53073472,04913-000-000,0,192.0,0.0,29,103,0,0,1.0,640,216216.01,1
44,3044,1.15,1930,3,HIGH SPRINGS,64500,165000,1975,100,1930.0,1900,2024,0,-82.59340848,29.82703872,00544-000-000,0,0.0,0.0,48,123,0,0,1.0,508,223100.07,1
45,3059,0.34,1008,3,HIGH SPRINGS,93500,128800,1994,100,1008.0,1937,2024,0,-82.59554026,29.82552726,00569-000-000,0,0.0,0.0,29,86,0,0,1.0,5645,223100.07,1
51,5086,0.4,1323,3,HIGH SPRINGS,180500,169800,1994,100,1323.0,1977,2024,0,-82.60310121,29.8129515,01488-268-000,0,76.0,0.0,29,46,0,0,2.0,6718,223100.02,1
56,38806,0.22,972,3,GAINESVILLE,183700,166800,1999,100,972.0,1978,2024,0,-82.36411756,29.693251,06082-010-078,0,168.0,180.0,24,45,0,0,2.0,1355,154324.1,1
65,82703,0.14,1300,3,GAINESVILLE,34800,107800,1994,100,1300.0,1971,2024,0,-82.29147308,29.66423777,10823-011-000,0,0.0,0.0,29,52,0,0,1.5,651,324434.06,1
70,18527,2.5,2222,3,SUWANNEE,0,229500,1994,100,1742.0,1978,2024,0,-82.4877206,29.68851501,04215-001-007,0,625.0,576.0,29,45,0,0,2.0,9720,154200.0,1
79,50245,0.34,2125,3,GAINESVILLE,58700,247500,1994,100,2125.0,1964,2024,0,-82.38479004,29.64699608,06535-037-000,0,156.0,0.0,29,59,0,0,2.0,7000,145302.02,1
80,63928,0.29,1464,3,ST. JOHN'S,91700,232300,2008,100,1464.0,1999,2024,0,-82.43357032,29.59778436,07054-200-089,0,56.0,428.0,15,24,0,0,2.0,2338,125329.07,2
90,48350,0.34,2190,3,GAINESVILLE,0,265000,1999,100,1866.0,1963,2024,0,-82.36902513,29.66456693,06435-008-000,0,409.0,0.0,24,60,0,0,2.0,3240,114336.07,1
95,61232,0.17,1836,4,ST. JOHN'S,80700,309400,1998,100,1836.0,1998,2024,0,-82.44486194,29.61801133,06860-331-036,0,359.0,529.0,25,25,0,0,2.0,3149,125318.03,1
98,61314,0.11,1587,4,ST. JOHN'S,83300,269500,2000,100,1587.0,2000,2024,0,-82.44647344,29.62108929,06860-332-112,0,261.0,420.0,23,23,0,0,2.0,787,125318.05,1
100,62325,0.06,1166,3,ST. JOHN'S,234717,191300,2013,100,704.0,1984,2024,0,-82.41439053,29.61412604,06877-121-001,462,72.0,0.0,10,39,0,0,2.5,3220,125321.02,2
106,14426,0.11,800,3,ALACHUA,76600,42900,1994,100,800.0,1935,2024,0,-82.49740134,29.79726962,03548-000-000,0,0.0,0.0,29,88,0,0,1.0,0,233215.03,1
114,32278,0.23,1704,3,GAINESVILLE,142200,213400,1997,100,1704.0,1974,2024,0,-82.36074648,29.70593022,06014-020-017,0,12.0,546.0,26,49,0,0,2.0,870,174313.01,1
115,32319,0.25,1324,3,GAINESVILLE,142200,195000,1994,100,1324.0,1974,2024,0,-82.36393593,29.7064157,06014-020-058,0,36.0,520.0,29,49,0,0,2.0,860,174313.01,1
116,32324,0.23,1690,3,GAINESVILLE,142200,200000,1994,100,1586.0,1974,2024,0,-82.36429831,29.70538064,06014-020-063,0,260.0,0.0,29,49,0,0,2.0,3140,174313.01,1
