Unnamed: 0,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,geo_id,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,hood_cd,sl_county_ratio_cd
0,17085,5.36,1638,4,SUWANNEE,204000,358800,2018,100,1238.0,1989,2023,0,-82.51399168,29.71718487,04099-005-012,0,634.0,0,4,33,0,0,2.0,5073,154209.41,2
11,14995,1.1,2029,3,ALACHUA,39401,203800,1977,100,1375.0,1962,2023,0,-82.50299623,29.78968528,03864-012-000,0,654.0,0,45,60,0,0,2.0,7797,233215.11,1
31,14795,0.23,1970,3,ALACHUA,29400,180400,1976,100,1970.0,1964,2023,0,-82.49957542,29.79061342,03794-002-000,0,16.0,0,46,58,0,0,3.0,6014,233215.02,1
58,30325,0.12,1392,3,GAINESVILLE,200500,144300,1985,100,1152.0,1984,2023,0,-82.38347803,29.73361694,05979-061-000,0,240.0,0,37,38,0,0,2.0,723,174302.01,1
65,9289,0.56,992,2,NEWBERRY,12000,96600,1972,100,992.0,1959,2023,0,-82.61506314,29.64860374,02384-005-000,0,152.0,0,50,63,0,0,2.0,0,215104.05,1
66,26878,0.4,1109,3,LACROSSE,212200,133500,1980,100,925.0,1900,2023,0,-82.40372257,29.84620346,05552-004-000,0,368.0,0,42,122,0,0,1.0,4244,232334.0,1
71,5251,0.77,2153,3,HIGH SPRINGS,228100,321000,2002,100,2153.0,2002,2023,0,-82.56923513,29.80998134,01516-010-014,0,369.0,480,20,20,0,0,2.0,1280,223100.03,1
75,23550,6.98,1456,3,SUWANNEE,0,150300,2002,100,1456.0,2002,2023,0,-82.52912756,29.59321022,04528-001-002,0,416.0,0,20,20,0,0,2.0,9811,215200.0,1
79,24780,0.2,1278,3,SUWANNEE,0,60800,1964,100,1278.0,1940,2023,0,-82.50636145,29.53023678,04748-001-000,0,40.0,0,58,82,0,0,1.0,252,216200.0,1
80,24833,0.71,752,2,SUWANNEE,0,16600,1956,100,752.0,1956,2023,0,-82.49584798,29.53268356,04771-001-000,0,12.0,0,66,66,0,0,1.0,0,216200.0,1
86,2498,1.0,1080,3,HIGH SPRINGS,0,135100,1986,100,1080.0,1978,2023,0,-82.58580054,29.81516112,00295-002-000,0,112.0,0,36,44,0,0,2.0,3518,223100.0,1
91,3246,0.23,1926,2,HIGH SPRINGS,64600,144900,1978,100,1626.0,1929,2023,0,-82.60011467,29.82975299,00711-000-000,0,550.0,0,44,93,0,0,2.0,1365,223100.07,1
93,3586,0.2,1248,3,HIGH SPRINGS,94900,141100,1992,100,1248.0,1929,2023,0,-82.60617413,29.83349012,01016-000-000,0,25.0,0,30,93,0,0,2.0,586,223100.09,1
96,4309,0.36,1327,3,HIGH SPRINGS,180500,166600,1998,100,1327.0,1998,2023,0,-82.59711291,29.81494057,01408-126-000,0,36.0,399,24,24,0,0,2.0,731,223100.02,1
97,4570,5.0,1050,2,SUWANNEE,19200,101300,1963,100,1050.0,1929,2023,0,-82.62876487,29.82049821,01452-005-000,0,0.0,0,59,93,0,0,1.0,3221,223105.43,1
105,21638,1.07,1755,2,SUWANNEE,213700,204800,1980,100,1755.0,1980,2023,0,-82.47541444,29.65812057,04337-010-000,0,95.0,420,42,42,0,0,2.0,7923,215202.02,1
118,20760,5.0,1553,3,SUWANNEE,0,614400,1970,100,1241.0,1950,2023,0,-82.47034494,29.65621347,04322-006-001,0,327.0,0,52,72,0,0,1.5,527,215200.0,1
135,49637,0.24,1826,4,GAINESVILLE,152000,356700,1998,100,785.0,1998,2023,0,-82.38545106,29.65913909,06490-100-001,1041,89.0,480,24,24,0,0,3.0,1049,145302.09,1
137,50298,0.86,3429,4,GAINESVILLE,76700,714400,2015,100,3429.0,1951,2023,0,-82.3900551,29.64968801,06537-021-000,0,60.0,0,7,71,0,1,3.5,10109,145302.06,1
139,63167,0.42,1167,3,ST. JOHN'S,165500,189900,1957,100,1068.0,1957,2023,0,-82.39012828,29.61316595,06956-003-000,0,99.0,0,65,65,0,0,1.0,519,125322.04,1
148,78718,0.34,2284,3,GAINESVILLE,61800,450900,1978,100,2284.0,1968,2023,0,-82.35160453,29.67251647,09013-005-003,0,144.0,0,44,54,0,0,2.0,5140,324431.05,1
150,79256,0.32,1762,3,GAINESVILLE,98600,353300,2001,100,1762.0,1955,2023,0,-82.34645692,29.66538636,09022-008-000,0,77.0,286,21,67,0,0,2.0,1801,324431.0,2
151,79393,0.36,2116,3,GAINESVILLE,60000,217800,2010,100,1258.0,1952,2023,0,-82.34667225,29.6631168,09114-000-000,570,682.0,0,12,70,0,0,2.5,2832,324431.02,1
