Unnamed: 0,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,geo_id,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,hood_cd,sl_county_ratio_cd
0,106418,0.1,1619,4,SUWANNEE,199315,497000,2017,100,1619.0,2017,2025,0,-82.4795642,29.64681091,04333-115-362,0.0,169.0,441,7,7,0,0,2.0,1092,215202.07,1
1,104587,1.02,1350,3,ST. JOHN'S,0,93300,1995,100,1350.0,1972,2025,0,-82.10612604,29.45660976,20203-000-000,0.0,0.0,0,29,52,0,0,1.5,1188,217600.0,1
3,104068,1.93,1338,4,ST. JOHN'S,113000,260000,1999,100,1338.0,1999,2025,0,-82.08995857,29.55213106,20001-001-030,0.0,439.0,624,25,25,0,1,2.0,25009,216610.01,1
4,103258,0.6,1934,3,HAWTHORNE,0,120000,1995,100,1024.0,1900,2025,0,-82.08927844,29.59113239,19797-000-000,630.0,280.0,0,29,124,0,0,2.0,7236,315626.26,1
5,103038,0.31,1008,3,HAWTHORNE,153200,52000,1995,100,1008.0,1990,2025,0,-82.09302698,29.59518349,19691-000-000,0.0,84.0,0,29,34,0,0,1.0,2943,315626.26,1
6,103037,0.17,768,1,HAWTHORNE,153200,35000,1985,100,768.0,1957,2025,0,-82.09302796,29.59565085,19690-000-000,0.0,0.0,0,39,67,0,0,1.0,5840,315626.26,1
7,102970,0.51,1912,3,HAWTHORNE,178100,135000,1999,100,1912.0,1930,2025,0,-82.09024203,29.59108777,19643-000-000,0.0,372.0,0,25,94,0,0,1.5,3300,315626.26,1
8,102878,0.37,1008,3,HAWTHORNE,7800,192000,1995,100,1008.0,1992,2025,0,-82.07752186,29.60011396,19586-001-053,0.0,72.0,336,29,32,0,0,1.0,352,315626.03,1
9,102387,0.26,1214,3,HAWTHORNE,0,147500,1995,100,1214.0,1949,2025,0,-82.08767972,29.59134513,19441-000-000,0.0,0.0,0,29,75,0,0,1.0,795,315626.26,1
10,101742,15.77,1764,3,ST. JOHN'S,0,250000,1995,100,1764.0,1965,2025,0,-82.14450889,29.63925804,19109-000-000,0.0,0.0,0,29,59,0,0,2.0,13032,315600.45,1
11,101627,5.33,1943,3,ST. JOHN'S,0,146000,1995,100,1276.0,1986,2025,0,-82.06549115,29.65394895,19051-001-001,667.0,440.0,725,29,38,0,0,2.5,5184,315600.42,1
12,100982,1.17,1962,3,SUWANNEE,0,450000,2014,100,1962.0,2014,2025,0,-82.06707298,29.71207952,18787-001-000,0.0,389.0,0,10,10,1,0,2.5,15966,314610.23,2
13,100908,0.52,1536,3,SUWANNEE,31200,345000,1995,100,1536.0,1979,2025,0,-82.065361,29.71122197,18772-008-000,0.0,498.0,550,29,45,1,0,2.0,5151,313600.24,2
15,100432,3.8,1561,3,ST. JOHN'S,148000,218000,1995,100,1236.0,1963,2025,0,-82.13855299,29.72354004,18574-000-000,0.0,397.0,0,29,61,0,0,2.0,16810,314607.01,1
16,100322,0.8,1672,3,SUWANNEE,0,248400,1995,100,1672.0,1976,2025,0,-82.0959436,29.75544365,18518-000-000,0.0,32.0,0,29,48,0,1,2.0,31608,313600.2,1
17,100321,0.95,1250,3,SUWANNEE,0,500000,2000,100,1250.0,1955,2025,0,-82.09581219,29.75601819,18517-000-000,0.0,290.0,0,24,69,0,1,1.0,22176,313600.2,2
18,99234,0.25,1394,3,ST. JOHN'S,45400,199000,1995,100,1394.0,1967,2025,0,-82.16694758,29.48754842,18354-042-023,0.0,0.0,0,29,57,1,0,2.0,5327,216500.02,2
19,98358,4.4,1020,3,ST. JOHN'S,0,275000,1995,100,840.0,1963,2025,0,-82.20310302,29.61738293,17989-000-000,0.0,300.0,0,29,61,0,0,1.0,2080,315500.42,2
21,98160,0.18,1440,3,ST. JOHN'S,113100,125000,1995,100,720.0,1978,2025,0,-82.24016549,29.64565249,17940-033-000,720.0,0.0,0,29,46,0,0,1.5,384,315506.12,1
22,97809,0.9,1396,1,ST. JOHN'S,0,65000,1964,100,976.0,1900,2025,0,-82.18565538,29.64873927,17804-001-000,420.0,0.0,0,60,124,0,0,1.0,1938,315500.4,2
23,97343,18.5,1138,2,ST. JOHN'S,0,475000,1995,100,1138.0,1965,2025,0,-82.19017767,29.6932622,17699-002-000,0.0,0.0,0,29,59,0,0,1.0,12024,314500.45,1
24,97139,5.0,1626,3,ST. JOHN'S,0,200000,2002,100,1626.0,2002,2025,0,-82.24830798,29.7214382,17610-004-008,0.0,100.0,574,22,22,0,0,2.0,25411,314500.42,1
26,96058,0.29,2222,2,WALDO,19700,107500,1989,100,2222.0,1953,2025,0,-82.17140409,29.79135946,17072-013-000,0.0,0.0,0,35,71,0,0,2.0,6499,313523.01,2
28,95118,0.43,1390,3,MICANOPY,127000,250000,1995,100,864.0,1987,2025,0,-82.27852695,29.50726839,16682-002-000,0.0,526.0,0,29,37,0,0,2.0,2250,216426.01,1
29,94569,0.57,1650,3,ST. JOHN'S,114800,452200,2009,100,1650.0,1966,2025,0,-82.31076414,29.53254996,16407-014-000,0.0,225.0,0,15,58,0,1,2.0,8117,216400.0,2
30,94021,0.86,1200,3,GAINESVILLE,0,27500,1995,100,1200.0,1950,2025,0,-82.30941615,29.62913627,16248-001-000,0.0,156.0,0,29,74,0,0,1.0,2592,145409.02,1
32,93806,4.39,2319,3,ST. JOHN'S,0,285000,1995,100,1191.0,1959,2025,0,-82.2802332,29.61625913,16222-001-000,1128.0,0.0,0,29,65,0,0,2.0,5049,315400.0,1
33,93735,1.0,3164,3,ST. JOHN'S,117400,475200,2006,100,3164.0,2004,2025,0,-82.28130238,29.61987668,16214-003-006,0.0,294.0,528,18,20,0,0,2.5,20466,315400.0,1
34,93633,0.23,1050,3,ST. JOHN'S,113200,160000,1995,100,1050.0,1960,2025,0,-82.2882819,29.62728349,16206-003-000,0.0,0.0,0,29,64,0,0,1.0,280,315414.03,1
35,93530,0.46,1176,3,ST. JOHN'S,0,99500,1995,100,1176.0,1966,2025,0,-82.26843157,29.63516739,16193-005-000,0.0,384.0,0,29,58,0,0,1.0,1284,315412.01,1
36,93473,0.23,1212,3,ST. JOHN'S,176400,92000,1995,100,1008.0,1963,2025,0,-82.26848084,29.63188262,16189-003-010,0.0,258.0,0,29,61,0,0,1.0,0,315412.04,1
37,93273,1.34,1196,3,ST. JOHN'S,0,53500,1989,100,1056.0,1915,2025,0,-82.27136941,29.63893998,16183-006-000,0.0,140.0,0,35,109,0,0,1.0,100,315412.0,1
38,92937,0.36,1262,3,ST. JOHN'S,108800,145000,1995,100,1080.0,1960,2025,0,-82.28655224,29.63399597,16134-030-004,0.0,262.0,0,29,64,0,0,2.0,9273,315411.03,1
39,92584,0.15,1059,3,GAINESVILLE,115900,111000,1995,100,1059.0,1968,2025,0,-82.30083654,29.64144832,16116-058-000,0.0,24.0,0,29,56,0,0,1.0,360,315410.03,1
41,91906,0.25,1594,3,GAINESVILLE,20200,124300,1995,100,1594.0,1957,2025,0,-82.30802658,29.63123448,15995-010-000,0.0,0.0,0,29,67,0,0,1.0,5719,145409.02,1
42,91445,0.25,1156,3,GAINESVILLE,73600,98000,1995,100,1156.0,1960,2025,0,-82.3146489,29.64067719,15758-006-000,0.0,48.0,0,29,64,0,0,1.0,0,145409.01,1
43,91050,0.21,1232,3,GAINESVILLE,110100,151000,1995,100,1232.0,1977,2025,0,-82.33624018,29.63409109,15699-059-030,0.0,24.0,460,29,47,0,0,2.0,4153,148400.02,1
46,89646,0.18,1958,3,GAINESVILLE,22500,471000,1995,100,1622.0,1927,2025,0,-82.34151589,29.6585185,15193-000-000,0.0,0.0,0,29,97,0,0,3.0,4156,145406.02,1
47,89615,0.31,2263,3,GAINESVILLE,181400,480000,2003,100,1993.0,1958,2025,0,-82.35297922,29.65604667,15174-000-000,0.0,320.0,0,21,66,0,0,3.0,4010,145406.03,1
48,89604,0.3,2072,3,GAINESVILLE,40300,700000,1995,100,1250.0,1940,2025,0,-82.34958957,29.65362164,15164-000-000,0.0,822.0,0,29,84,0,0,1.5,5551,136030.32,2
49,88557,0.24,1785,3,GAINESVILLE,26500,450000,2005,100,1785.0,1940,2025,0,-82.329029,29.6582351,14404-000-000,0.0,56.0,0,19,84,0,0,2.0,2120,145405.02,1
50,88531,0.11,930,3,GAINESVILLE,0,250000,1995,100,930.0,1993,2025,0,-82.32771583,29.65831841,14382-002-000,0.0,140.0,0,29,31,0,0,1.0,288,145405.02,2
51,88447,0.11,1120,3,GAINESVILLE,4200,290000,1995,100,1120.0,1900,2025,0,-82.32679914,29.65721375,14307-000-000,0.0,96.0,0,29,124,0,0,1.0,0,145405.02,2
54,87944,0.36,1508,3,GAINESVILLE,174300,200000,2002,100,1508.0,2002,2025,0,-82.33374501,29.65725264,13771-002-000,0.0,161.0,420,22,22,0,0,2.0,480,145405.07,1
57,86312,0.1,792,3,GAINESVILLE,31400,65100,1995,100,792.0,1957,2025,0,-82.30672938,29.64797779,12744-031-000,0.0,0.0,0,29,67,0,0,1.0,333,145404.05,2
58,86083,0.19,1588,3,GAINESVILLE,55600,250000,1995,100,1428.0,1967,2025,0,-82.31721302,29.65711179,12582-006-000,0.0,308.0,264,29,57,0,0,2.0,2221,145404.02,1
59,86029,0.21,1176,3,GAINESVILLE,222500,252400,2006,100,1176.0,1956,2025,0,-82.31104257,29.65622896,12558-006-000,0.0,68.0,0,18,68,0,0,2.0,220,145404.01,2
60,85747,0.2,1321,3,GAINESVILLE,116100,45000,1995,100,1321.0,1950,2025,0,-82.30967062,29.65810475,12342-022-000,0.0,0.0,0,29,74,0,0,1.0,250,145404.05,1
61,85460,0.02,540,2,GAINESVILLE,209300,30000,1995,100,540.0,1952,2025,0,-82.31539382,29.64672964,12069-000-000,0.0,0.0,0,29,72,0,0,1.0,160,145404.05,1
64,84735,0.14,880,2,GAINESVILLE,136600,169000,1995,100,720.0,1950,2025,0,-82.30781857,29.65446976,11422-000-000,0.0,300.0,0,29,74,0,0,1.5,0,315403.01,1
67,84279,0.23,1188,3,GAINESVILLE,112600,105000,1988,100,1188.0,1950,2025,0,-82.30147509,29.65262051,11208-004-000,0.0,24.0,0,36,74,0,0,1.0,638,315403.01,2
69,84251,0.16,572,3,GAINESVILLE,211701,83000,1995,100,572.0,1961,2025,0,-82.30138311,29.65515737,11192-000-000,0.0,48.0,0,29,63,0,0,1.0,951,315403.01,1
70,83608,0.16,1332,3,ST. JOHN'S,112100,100000,2015,100,1332.0,2000,2025,0,-82.27168637,29.64620802,10886-010-002,0.0,21.0,228,9,24,0,0,2.0,640,315401.01,1
71,83472,3.48,1092,3,ST. JOHN'S,112000,153500,2003,100,1092.0,2003,2025,0,-82.26206613,29.65083861,10874-008-000,0.0,234.0,0,21,21,0,0,1.0,435,315400.0,1
72,83471,1.0,1875,3,ST. JOHN'S,112000,192500,1995,100,1875.0,1980,2025,0,-82.26286825,29.65145749,10874-007-001,0.0,125.0,0,29,44,0,0,2.0,14742,315400.0,2
73,83470,2.48,2481,3,ST. JOHN'S,112000,185400,1995,100,1872.0,1970,2025,0,-82.26289062,29.65061395,10874-007-000,0.0,1001.0,0,29,54,0,0,2.0,9280,315400.0,1
74,83412,0.38,1805,3,ST. JOHN'S,61000,62500,1995,100,1525.0,1954,2025,0,-82.26623824,29.64868289,10871-022-000,0.0,343.0,0,29,70,0,0,3.0,0,315401.01,1
75,83401,0.38,1208,3,ST. JOHN'S,61000,172000,2003,100,728.0,1953,2025,0,-82.26675668,29.65033349,10871-011-000,0.0,480.0,0,21,71,0,0,2.0,3819,315401.01,2
77,83309,0.23,1260,3,ST. JOHN'S,44400,50000,1995,100,1260.0,1959,2025,0,-82.26981141,29.6515751,10867-005-000,0.0,136.0,0,29,65,0,0,1.0,21585,315401.01,1
78,83180,0.25,1144,3,ST. JOHN'S,112500,215000,1999,100,1144.0,1968,2025,0,-82.26813251,29.65450746,10864-005-000,0.0,152.0,216,25,56,0,0,2.0,1659,315401.01,2
79,83111,0.17,805,3,GAINESVILLE,51100,100000,1995,100,805.0,1959,2025,0,-82.29467167,29.6608992,10858-026-000,0.0,72.0,0,29,65,0,0,1.0,2251,324434.06,1
80,83015,0.19,1534,3,GAINESVILLE,59500,125000,1995,100,1534.0,1958,2025,0,-82.2938909,29.65943596,10856-045-000,0.0,100.0,0,29,66,0,0,2.0,2973,324434.06,1
82,82709,0.2,975,3,GAINESVILLE,34800,199200,2009,100,975.0,1969,2025,0,-82.29135671,29.66331637,10823-017-000,0.0,284.0,0,15,55,0,0,2.0,358,324434.06,1
83,82624,0.2,1428,3,GAINESVILLE,33000,156000,1995,100,1428.0,1963,2025,0,-82.30438823,29.66728702,10804-048-000,0.0,108.0,0,29,61,0,0,2.0,1984,324434.02,1
86,81964,0.24,1300,3,GAINESVILLE,32200,235000,1995,100,1300.0,1957,2025,0,-82.31158834,29.670502,10608-004-000,0.0,0.0,288,29,67,0,0,2.0,4994,324433.01,1
87,81953,0.24,1762,3,GAINESVILLE,32200,128000,1995,100,1426.0,1957,2025,0,-82.3128484,29.67093611,10607-019-000,0.0,360.0,0,29,67,0,0,2.0,1621,324433.01,1
88,81935,0.29,2054,3,GAINESVILLE,32200,185000,1995,100,2054.0,1965,2025,0,-82.3106148,29.67120893,10607-001-000,0.0,170.0,0,29,59,0,0,2.0,220,324433.01,1
89,81878,0.22,1104,3,GAINESVILLE,32100,220000,1995,100,1104.0,1955,2025,0,-82.31080471,29.6732667,10603-025-000,0.0,60.0,0,29,69,0,0,1.0,2294,324433.01,1
91,81702,0.25,1491,3,GAINESVILLE,95400,225000,1995,100,1131.0,1958,2025,0,-82.30957908,29.66349457,10574-024-000,0.0,490.0,0,29,66,0,0,2.0,200,324433.02,1
92,81701,0.25,1232,3,GAINESVILLE,95400,270000,1995,100,1232.0,1958,2025,0,-82.3090671,29.66349147,10574-023-000,0.0,24.0,0,29,66,0,0,2.0,1179,324433.02,2
93,81561,0.27,1758,3,GAINESVILLE,95000,350000,1995,100,1602.0,1948,2025,0,-82.31323215,29.66353123,10523-010-000,0.0,156.0,0,29,76,0,0,2.0,1877,324433.02,2
95,81204,0.26,1256,3,GAINESVILLE,46800,225000,1995,100,1256.0,1955,2025,0,-82.31853126,29.67073326,10246-044-000,0.0,30.0,0,29,69,0,0,1.0,535,324433.02,1
96,81118,0.26,2676,3,GAINESVILLE,85300,200000,1995,100,1614.0,1951,2025,0,-82.31765202,29.66685202,10204-000-000,594.0,468.0,0,29,73,0,0,2.0,6480,324433.02,1
98,81086,0.33,768,3,GAINESVILLE,127100,225000,2000,100,648.0,1950,2025,0,-82.31539447,29.66871608,10172-000-000,0.0,120.0,0,24,74,0,0,1.0,1119,324433.02,1
