OID_,Join_Count,TARGET_FID,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,geo_id,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,Name
1,1,1,3950,0.230000000000000,1524,3,HIGH SPRINGS,45800,300800,2007,100,1524,2007,2022,0,-82.602693930000001,29.821090219999999,01313-003-000,0,454,460,14,14,0,0,2,470,High_Springs_Main
2,1,2,3956,0.460000000000000,1040,3,HIGH SPRINGS,45800,200100,1980,100,1040,1962,2022,0,-82.601729340000006,29.823006570000000,01317-002-000,0,120,0,41,59,0,0,1,1233,High_Springs_Main
3,1,3,3969,0.300000000000000,896,3,HIGH SPRINGS,45800,153000,1985,100,896,1920,2022,0,-82.601760909999996,29.824129719999998,01327-000-000,0,0,0,36,101,0,0,1,451,High_Springs_Main
4,1,4,4032,0.340000000000000,1352,3,HIGH SPRINGS,0,198300,1987,100,1352,1967,2022,0,-82.593975540000002,29.823020620000001,01379-006-000,0,0,0,34,54,0,0,2,352,High_Springs_Main
5,1,5,4104,0.230000000000000,1012,3,HIGH SPRINGS,152600,159300,1995,100,1012,1970,2022,0,-82.596146320000003,29.819049079999999,01386-100-045,0,80,0,26,51,0,0,1,232,High_Springs_Main
6,1,6,4184,0.430000000000000,1347,3,HIGH SPRINGS,180500,274700,2006,100,1347,2006,2022,0,-82.593821059999996,29.817874570000001,01408-006-000,0,94,437,15,15,0,0,2,491,High_Springs_Main
7,1,7,4192,0.250000000000000,1347,3,HIGH SPRINGS,180500,270700,2005,100,1347,2005,2022,0,-82.594302990000003,29.817465150000000,01408-014-000,0,94,437,16,16,0,0,2,1372,High_Springs_Main
8,1,8,4199,0.370000000000000,1485,3,HIGH SPRINGS,180500,233400,2000,100,1485,2000,2022,0,-82.595134529999996,29.817304579999998,01408-021-000,0,168,441,21,21,0,0,2,736,High_Springs_Main
9,1,9,4244,0.298400000000000,1825,3,HIGH SPRINGS,180500,250500,1994,100,1545,1964,2022,0,-82.599413170000005,29.816632790000000,01408-061-000,0,384,572,27,57,0,0,2,1032,High_Springs_Main
10,1,10,4260,0.530000000000000,1471,3,HIGH SPRINGS,180500,184900,1985,100,1133,1959,2022,0,-82.601762269999995,29.815211810000001,01408-074-000,0,338,0,36,62,0,0,1,0,High_Springs_Main
11,1,11,4268,0.380000000000000,925,3,HIGH SPRINGS,180500,205000,2013,100,925,1963,2022,0,-82.600721989999997,29.816128570000000,01408-082-000,0,185,0,8,58,0,0,1,360,High_Springs_Main
12,1,12,4302,0.250000000000000,1292,3,HIGH SPRINGS,180500,225000,2000,100,1292,1999,2022,0,-82.597648469999996,29.815543300000002,01408-119-000,0,48,420,21,22,0,0,2,992,High_Springs_Main
13,1,13,4315,0.740000000000000,1504,3,HIGH SPRINGS,180500,302200,2006,100,1504,2006,2022,0,-82.595970440000002,29.815593870000001,01408-132-000,0,32,462,15,15,0,0,2,3874,High_Springs_Main
14,1,14,4356,0.290000000000000,1328,3,HIGH SPRINGS,180502,242900,2006,100,1328,2006,2022,0,-82.597171660000001,29.818143830000000,01408-351-000,0,94,456,15,15,0,0,2,2755,High_Springs_Main
15,1,15,4423,3.170000000000000,1214,3,SUWANNEE,0,241000,2006,100,1214,1996,2022,0,-82.625571109999996,29.824977579999999,01440-005-001,0,36,294,15,25,0,0,2,2227,High_Springs_Main
16,1,16,4449,0.330000000000000,1434,3,HIGH SPRINGS,9005,229000,1984,100,1434,1964,2022,0,-82.610128619999998,29.821323610000000,01442-001-003,0,69,0,37,57,0,0,2,2256,High_Springs_Main
17,1,17,4483,0.240000000000000,1212,3,HIGH SPRINGS,8905,223000,1990,100,1008,1980,2022,0,-82.609934019999997,29.818409039999999,01442-010-008,0,316,0,31,41,0,0,2,1279,High_Springs_Main
18,1,18,4495,0.350000000000000,1260,3,HIGH SPRINGS,8905,195500,1980,100,1008,1980,2022,0,-82.610447739999998,29.819543480000000,01442-010-020,0,316,0,41,41,0,0,1,220,High_Springs_Main
19,1,19,4506,12.850000000000000,2118,4,SUWANNEE,0,468100,2000,100,1047,1995,2022,0,-82.636381659999998,29.824612210000002,01444-001-002,1071,269,400,21,26,0,0,2,9773,High_Springs_Main
20,1,20,4703,1.010000000000000,1981,3,HIGH SPRINGS,232400,441000,2009,100,1981,2009,2022,0,-82.616108470000000,29.816283070000001,01481-020-062,0,310,540,12,12,0,0,3,5689,High_Springs_Main
21,1,21,4710,1.010000000000000,1963,3,HIGH SPRINGS,232400,397300,2004,100,1963,2004,2022,0,-82.613974830000004,29.814826050000001,01481-020-069,0,224,462,17,17,0,0,2,2345,High_Springs_Main
22,1,22,4805,5.010000000000000,1500,3,HIGH SPRINGS,93700,272400,2002,100,1500,1999,2022,0,-82.625730430000004,29.799779279999999,01482-020-023,0,68,720,19,22,0,0,2,3294,High_Springs_Main
23,1,23,4834,0.420000000000000,1112,3,SUWANNEE,0,201500,2000,100,1112,1958,2022,0,-82.606449540000000,29.807821680000000,01484-016-000,0,0,0,21,63,0,0,2,840,High_Springs_Main
24,1,24,4904,1.060000000000000,1636,3,HIGH SPRINGS,227601,434900,2014,100,1636,2014,2022,0,-82.611725789999994,29.816013620000000,01486-030-043,0,512,1241,7,7,0,0,2,3056,High_Springs_Main
25,1,25,4905,1.010000000000000,1984,3,HIGH SPRINGS,227601,426100,2014,100,1984,2014,2022,0,-82.611291589999993,29.815494050000002,01486-030-044,0,241,483,7,7,0,0,2,2143,High_Springs_Main
26,1,26,4988,0.540000000000000,912,3,HIGH SPRINGS,180501,186500,1999,100,912,1994,2022,0,-82.596930209999996,29.811456629999999,01488-010-013,0,88,240,22,27,0,0,1,510,High_Springs_Main
27,1,27,5006,0.280000000000000,1008,3,HIGH SPRINGS,180501,198100,1997,100,1008,1992,2022,0,-82.597665340000006,29.811727240000000,01488-010-031,0,87,288,24,29,0,0,1,444,High_Springs_Main
28,1,28,5010,0.230000000000000,1344,3,HIGH SPRINGS,180500,204900,1987,100,1056,1982,2022,0,-82.598028029999995,29.812989909999999,01488-192-000,0,400,0,34,39,0,0,2,353,High_Springs_Main
29,1,29,5017,0.300000000000000,1144,3,HIGH SPRINGS,180500,204700,1990,100,1144,1982,2022,0,-82.598555070000003,29.813811579999999,01488-200-000,0,0,0,31,39,0,0,2,220,High_Springs_Main
30,1,30,5104,0.700000000000000,1284,3,HIGH SPRINGS,180500,182000,1974,100,1284,1964,2022,0,-82.602097529999995,29.811281770000001,01488-287-000,0,20,0,47,57,0,0,1,3114,High_Springs_Main
31,1,31,5119,0.350000000000000,1360,3,HIGH SPRINGS,180500,230600,1990,100,1360,1965,2022,0,-82.600677559999994,29.811153869999998,01488-305-000,0,104,0,31,56,0,0,2,569,High_Springs_Main
32,1,32,5136,0.230000000000000,1352,3,HIGH SPRINGS,180500,206900,1990,100,1352,1984,2022,0,-82.598902809999998,29.811994510000002,01488-322-000,0,81,0,31,37,0,0,2,1135,High_Springs_Main
33,1,33,5139,0.240000000000000,1056,3,HIGH SPRINGS,180500,207900,1990,100,1056,1982,2022,0,-82.598896049999993,29.811165870000000,01488-325-000,0,312,0,31,39,0,0,2,1380,High_Springs_Main
34,1,34,5144,0.300000000000000,1308,3,HIGH SPRINGS,180500,201400,1995,100,1308,1982,2022,0,-82.598542460000004,29.812271750000001,01488-330-000,0,0,0,26,39,0,0,2,3190,High_Springs_Main
35,1,35,5148,0.230000000000000,1308,3,HIGH SPRINGS,180500,214400,1994,100,1308,1984,2022,0,-82.598015450000005,29.811450080000000,01488-334-000,0,68,0,27,37,0,0,2,1571,High_Springs_Main
36,1,36,5235,2.030000000000000,840,3,SUWANNEE,0,225200,2010,100,840,1961,2022,0,-82.564991950000007,29.810452800000000,01516-005-000,0,0,0,11,60,0,0,1,1973,High_Springs_Main
37,1,37,5243,1.010000000000000,1995,3,HIGH SPRINGS,228100,454000,2002,100,1832,2002,2022,0,-82.567700830000007,29.810911460000000,01516-010-006,0,228,506,19,19,0,0,2,9518,High_Springs_Main
38,1,38,5259,1.000000000000000,1930,3,HIGH SPRINGS,228100,455100,2004,100,1930,2004,2022,0,-82.568231780000005,29.808993630000000,01516-010-022,0,418,529,17,17,0,0,2,12541,High_Springs_Main
39,1,39,5287,1.250000000000000,1523,3,HIGH SPRINGS,228100,355300,2004,100,1446,2004,2022,0,-82.571475829999997,29.810707019999999,01516-010-050,0,119,441,17,17,0,0,2,1264,High_Springs_Main
40,1,40,5330,1.100000000000000,2205,3,HIGH SPRINGS,236000,508200,2004,100,2205,2004,2022,0,-82.566489200000007,29.805226900000001,01516-011-089,0,370,441,17,17,0,0,2,15047,High_Springs_Main
41,1,41,5333,1.000000000000000,1551,3,HIGH SPRINGS,236000,346400,2004,100,1551,2004,2022,0,-82.565970329999999,29.803496760000002,01516-011-092,0,251,420,17,17,0,0,2,804,High_Springs_Main
42,1,42,5336,1.030000000000000,1704,3,HIGH SPRINGS,236000,420200,2006,100,1704,2005,2022,0,-82.566255960000007,29.801658360000001,01516-011-095,0,262,453,15,16,0,0,2,7714,High_Springs_Main
43,1,43,5368,0.400000000000000,1881,3,HIGH SPRINGS,245400,471800,2008,100,1880,2008,2022,0,-82.563794909999999,29.800809489999999,01519-020-002,0,376,421,13,13,0,0,2,10326,High_Springs_Main
44,1,44,5410,0.370000000000000,1932,3,HIGH SPRINGS,245400,385500,2015,100,1932,2015,2022,0,-82.561751630000003,29.806160210000002,01519-020-044,0,267,531,6,6,0,0,2,1530,High_Springs_Main
45,1,45,5523,15.000000000000000,2004,4,HIGH SPRINGS,0,608400,2006,100,2004,2006,2022,0,-82.578182999999996,29.794742700000000,01527-001-000,0,696,0,15,15,0,0,2,5861,High_Springs_Main
46,1,46,5541,5.010000000000000,1612,3,HIGH SPRINGS,183300,415200,2005,100,1612,2005,2022,0,-82.588869480000000,29.794097789999999,01530-010-009,0,20,567,16,16,0,0,2,588,High_Springs_Main
47,1,47,6103,1.260000000000000,1272,3,SUWANNEE,30900,320000,2010,100,1056,1982,2022,0,-82.591837110000000,29.768545660000001,01656-004-001,0,304,0,11,39,0,0,2,3234,HSBUI_2
48,1,48,6229,12.369999999999999,3208,3,SUWANNEE,0,588300,2007,100,1712,2007,2022,0,-82.613645390000002,29.746232530000000,01681-010-006,1496,680,0,14,14,0,0,3,12515,HSBUI_2
49,1,49,6307,5.000000000000000,2512,4,SUWANNEE,0,779600,2011,100,2512,2011,2022,0,-82.594874279999999,29.755814860000001,01721-003-000,0,1158,774,10,10,0,0,3,31739,HSBUI_2
50,1,50,22319,3.380000000000000,2095,3,NEWBERRY,0,330800,1980,100,2095,1968,2022,0,-82.531562240000000,29.625758780000002,04398-004-000,0,66,0,41,53,0,0,2,4684,Jonesville
51,1,51,22350,5.600000000000000,3408,3,SUWANNEE,0,721600,2007,100,2152,2007,2022,0,-82.524966300000003,29.629983989999999,04402-004-000,1208,876,816,14,14,0,0,4,2518,Jonesville
52,1,52,22488,1.620000000000000,3514,4,SUWANNEE,146901,722500,2004,100,2739,1999,2022,0,-82.473949669999996,29.644833550000001,04414-010-003,0,1882,928,17,22,0,0,4,13531,Tioga_A
53,1,53,22491,1.000000000000000,3345,4,SUWANNEE,146901,728900,2006,100,2833,2001,2022,0,-82.475747260000006,29.644920070000001,04414-010-006,0,862,1024,15,20,0,0,2,10450,Tioga_A
54,1,54,22495,1.000000000000000,3293,4,SUWANNEE,146901,728100,2002,100,2878,2002,2022,0,-82.477147630000005,29.644208180000000,04414-010-010,0,1244,600,19,19,0,0,3,11277,Tioga_A
55,1,55,22507,1.000000000000000,3004,4,SUWANNEE,146902,668700,2012,100,2292,2003,2022,0,-82.473989799999998,29.643095760000001,04414-020-022,712,458,528,9,18,0,0,2,9389,Tioga_A
56,1,56,22510,1.110000000000000,2285,3,SUWANNEE,146902,626600,2010,100,2285,2001,2022,0,-82.475470990000005,29.643054910000000,04414-020-025,0,282,506,11,20,0,0,2,8997,Tioga_A
57,1,57,22536,1.140000000000000,1919,3,SUWANNEE,170600,350600,1995,100,1919,1975,2022,0,-82.473042449999994,29.640216980000002,04416-004-001,0,835,0,26,46,0,0,3,9664,Tioga_B
58,1,58,22574,6.330000000000000,6734,5,SUWANNEE,88900,1937800,2008,100,5414,2001,2022,0,-82.461129650000004,29.638591240000000,04422-003-008,1320,666,1146,13,20,0,0,6,23273,Tioga_A
59,1,59,22623,2.000000000000000,3100,4,SUWANNEE,600,773800,2001,100,1996,2001,2022,0,-82.457043909999996,29.637674400000002,04422-010-027,1104,764,608,20,20,0,0,4,8934,Tioga_A
60,1,60,22627,1.010000000000000,4271,4,SUWANNEE,600,1005600,2001,100,3743,2001,2022,0,-82.456379209999994,29.636245259999999,04422-010-031,528,987,888,20,20,0,0,3,21492,Tioga_A
61,1,61,22674,1.010000000000000,3416,5,SUWANNEE,241100,1028700,2011,100,3416,2011,2022,0,-82.458951889999994,29.638480110000000,04422-100-011,0,561,794,10,10,0,0,3,13584,Tioga_A
62,1,62,22675,1.010000000000000,3597,6,SUWANNEE,241100,1125100,2013,100,3597,2013,2022,0,-82.458238420000001,29.639182989999998,04422-100-012,0,492,719,8,8,0,0,4,16717,Tioga_A
63,1,63,22694,1.080000000000000,4124,5,SUWANNEE,241102,1052200,2014,100,4124,2014,2022,0,-82.456330460000004,29.639151819999999,04422-300-021,0,648,850,7,7,0,0,4,5885,Tioga_A
64,1,64,22727,1.000000000000000,2802,5,SUWANNEE,11105,710800,2000,100,1528,1997,2022,0,-82.464534049999997,29.639961710000001,04423-010-009,1273,564,452,21,24,0,0,3,15731,Tioga_A
65,1,65,22794,1.630000000000000,5857,6,SUWANNEE,229900,1905800,2009,100,4437,2009,2022,0,-82.457408860000001,29.629009060000001,04427-010-006,1420,666,1004,12,12,0,0,5,33632,Tioga_B
66,1,66,22841,1.300000000000000,1949,4,SUWANNEE,151200,498600,2000,100,1949,1990,2022,0,-82.476172700000006,29.626439309999999,04428-006-002,0,330,441,21,31,0,0,2,13215,Tioga_B
67,1,67,23064,5.000000000000000,2196,3,SUWANNEE,0,410400,2002,100,1755,1997,2022,0,-82.524917930000001,29.623535029999999,04445-004-000,0,615,0,19,24,0,0,3,1600,Jonesville
68,1,68,23072,5.000000000000000,672,3,SUWANNEE,0,188700,1992,100,672,1992,2022,0,-82.524900819999999,29.619968350000001,04445-011-000,0,0,0,29,29,0,0,1,691,Jonesville
69,1,69,23088,5.000000000000000,2429,4,NEWBERRY,199600,564200,2006,100,2429,1999,2022,0,-82.531477080000002,29.615047910000001,04446-010-012,0,630,650,15,22,0,0,3,3817,Jonesville
70,1,70,23101,5.020000000000000,3476,4,NEWBERRY,199800,740800,2000,100,3476,2000,2022,0,-82.536651939999999,29.617299549999998,04446-010-025,0,778,1118,21,21,0,0,3,3537,Jonesville
71,1,71,23112,5.000000000000000,2478,4,NEWBERRY,199700,600300,2010,100,1822,2003,2022,0,-82.538084760000004,29.615652019999999,04446-010-036,656,410,528,11,18,0,0,2,10671,Jonesville
72,1,72,23114,11.140000000000001,2261,4,NEWBERRY,199700,580700,2010,100,2261,2003,2022,0,-82.537679539999999,29.612003949999998,04446-010-038,0,141,420,11,18,0,0,3,15075,Jonesville
73,1,73,23930,1.010000000000000,1547,3,SUWANNEE,188800,333800,1994,100,1547,1979,2022,0,-82.461330079999996,29.572706560000000,04622-004-006,0,10,0,27,42,0,0,2,12603,HighSpringsB
74,1,74,23992,1.020000000000000,1189,3,SUWANNEE,114200,231000,1999,100,1189,1984,2022,0,-82.456685170000000,29.570635899999999,04623-003-017,0,0,546,22,37,0,0,2,4138,HighSpringsB
75,1,75,24054,1.000000000000000,1407,3,SUWANNEE,215800,356100,2006,100,1407,1997,2022,0,-82.472496820000003,29.564721779999999,04624-100-014,0,96,400,15,24,0,0,2,8186,HighSpringsB
76,1,76,24185,5.020000000000000,2511,3,SUWANNEE,204100,565000,2005,100,2511,2005,2022,0,-82.479386430000005,29.570701419999999,04626-002-068,0,306,529,16,16,0,0,3,617,HighSpringsB
77,1,77,24214,5.550000000000000,1104,3,SUWANNEE,204100,326300,1999,100,960,1974,2022,0,-82.476249300000006,29.562146930000001,04626-003-000,0,504,0,22,47,0,0,2,3456,HighSpringsB
78,1,78,24218,5.560000000000000,2123,3,SUWANNEE,204100,492300,2005,100,2123,2005,2022,0,-82.474624849999998,29.560619590000002,04626-003-004,0,230,575,16,16,0,0,3,10054,HighSpringsB
79,1,79,24425,10.779999999999999,1486,2,SUWANNEE,120800,233000,1994,100,1054,1991,2022,0,-82.527088849999998,29.556086950000001,04672-010-068,288,144,0,27,30,0,0,2,7854,Jonesville
80,1,80,38734,0.220000000000000,1308,3,GAINESVILLE,183700,285400,2000,100,1008,1978,2022,0,-82.365446809999995,29.694708649999999,06082-010-006,300,598,462,21,43,0,0,2,860,Springtree
81,1,81,38739,0.220000000000000,1296,3,GAINESVILLE,183700,263400,2000,100,1296,1978,2022,0,-82.365780619999995,29.693710780000000,06082-010-011,0,45,0,21,43,0,0,2,658,Springtree
82,1,82,38745,0.360000000000000,1360,3,GAINESVILLE,183700,285400,2000,100,1360,1978,2022,0,-82.365797220000005,29.695203679999999,06082-010-017,0,72,449,21,43,0,0,2,833,Springtree
83,1,83,38748,0.200000000000000,1620,3,GAINESVILLE,183700,279200,1995,100,1260,1978,2022,0,-82.366269560000006,29.694654340000000,06082-010-020,360,8,0,26,43,0,0,3,1911,Springtree
84,1,84,38750,0.200000000000000,1399,3,GAINESVILLE,183700,287200,2005,100,1399,1980,2022,0,-82.366272019999997,29.694187230000001,06082-010-022,0,12,273,16,41,0,0,2,1256,Springtree
85,1,85,38792,0.190000000000000,960,3,GAINESVILLE,183700,219500,2000,100,960,1978,2022,0,-82.364616720000001,29.693312349999999,06082-010-064,0,51,0,21,43,0,0,2,1289,Springtree
86,1,86,38794,0.210000000000000,1143,3,GAINESVILLE,183700,215700,1995,100,1143,1978,2022,0,-82.364631959999997,29.693932830000001,06082-010-066,0,276,0,26,43,0,0,1,1049,Springtree
87,1,87,38819,0.210000000000000,1430,3,GAINESVILLE,183500,192000,1979,100,1210,1977,2022,0,-82.364880490000004,29.692596970000000,06082-013-000,0,220,0,42,44,0,0,2,966,Springtree
88,1,88,38841,0.200000000000000,1662,3,GAINESVILLE,183500,262200,1990,100,1662,1977,2022,0,-82.364892260000005,29.690991960000002,06082-035-000,0,40,0,31,44,0,0,1,2381,Springtree
89,1,89,38906,0.310000000000000,1152,3,GAINESVILLE,183500,233000,1995,100,1152,1976,2022,0,-82.367886769999998,29.693042200000001,06082-100-000,0,42,0,26,45,0,0,1,816,Springtree
90,1,90,38934,0.240000000000000,1132,3,GAINESVILLE,253800,207100,1984,100,1132,1976,2022,0,-82.365377830000000,29.700879590000000,06083-002-006,0,12,0,37,45,0,0,2,2325,Springtree
91,1,91,38940,0.230000000000000,1018,3,GAINESVILLE,253800,244700,2005,100,1018,1976,2022,0,-82.364751769999998,29.699487359999999,06083-002-012,0,240,216,16,45,0,0,1,1159,Springtree
92,1,92,38968,0.240000000000000,1296,3,GAINESVILLE,253800,269000,2005,100,1296,1976,2022,0,-82.364571580000003,29.700760710000001,06083-002-040,0,0,0,16,45,0,0,2,974,Springtree
93,1,93,38972,0.240000000000000,1233,3,GAINESVILLE,253800,228400,1990,100,1233,1976,2022,0,-82.364562440000000,29.701858590000001,06083-002-044,0,15,264,31,45,0,0,2,1239,Springtree
94,1,94,38985,0.260000000000000,1146,3,GAINESVILLE,143300,237800,1995,100,1146,1968,2022,0,-82.369420899999994,29.702929439999998,06083-004-008,0,20,209,26,53,0,0,2,1698,Springtree
95,1,95,39007,0.230000000000000,1428,3,GAINESVILLE,143300,240500,1990,100,1428,1967,2022,0,-82.369732580000004,29.702161380000000,06083-004-030,0,72,0,31,54,0,0,2,1725,Springtree
96,1,96,39009,0.230000000000000,1436,3,GAINESVILLE,143300,283100,2005,100,1196,1967,2022,0,-82.370270559999994,29.702165330000000,06083-004-032,0,320,0,16,54,0,0,2,2051,Springtree
