prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,Total_MISC_Val,total_porch_area,total_garage_area,effective_age
1058,7.93,2412,3,SUWANNEE,0,492600,43625,558,0,24
1143,6.41,2210,3,SUWANNEE,0,433100,50534,1034,0,20
1199,10.1,2042,3,SUWANNEE,0,451800,31386,142,0,27
1270,2.57,2809,4,SUWANNEE,237900,625300,30664,424,810,12
1278,7.98,2496,4,SUWANNEE,0,961100,40237,1144,1395,15
1302,5.01,1784,3,SUWANNEE,0,375400,2656,61,440,19
1307,2,2508,4,SUWANNEE,33400,535500,50578,282,506,19
1311,1.28,1636,3,SUWANNEE,33400,252800,8758,158,0,26
1358,1.29,2587,4,HIGH SPRINGS,237800,544500,10274,488.5,529,9
1359,3.89,2468,4,HIGH SPRINGS,237800,481700,23270,310,575,19
1367,3.5,2297,4,HIGH SPRINGS,237800,573800,26124,636,576,13
1416,1.07,2260,3,HIGH SPRINGS,0,199700,6919,480,320,30
1430,1.2,2250,3,HIGH SPRINGS,0,427400,20850,192,371,14
1473,6.48,1416,3,HIGH SPRINGS,167100,495500,6240,0,288,14
1523,2.25,2596,3,SUWANNEE,0,674100,464,525,2004,16
1526,1.35,1823,3,SUWANNEE,0,435600,7910,124,441,9
1555,12.2,2553,3,SUWANNEE,173100,669900,46579,624,639,18
1610,1.19,1436,3,HIGH SPRINGS,167000,292100,2916,64,300,12
1613,1,2447,3,HIGH SPRINGS,167000,384500,12919,1398,0,24
1624,1,1903,3,HIGH SPRINGS,167000,357700,20905,512,420,19
1628,1,2004,3,HIGH SPRINGS,167000,443500,15700,1392,1248,14
1641,1,2046,3,HIGH SPRINGS,167000,340300,10996,510.5,480,22
1699,0.34,960,2,HIGH SPRINGS,0,25100,145,144,0,30
1714,0.24,1360,3,HIGH SPRINGS,180900,252200,2417,88,546,30
1717,0.36,1856,3,HIGH SPRINGS,180900,235800,640,301,400,22
1718,0.29,1329,3,HIGH SPRINGS,180900,275300,720,174,0,11
1719,0.3,1165,3,HIGH SPRINGS,180900,223300,2249,40,216,26
1742,0.17,1209,3,HIGH SPRINGS,180901,274900,607,80,420,2
1745,0.17,1397,3,HIGH SPRINGS,180901,280600,629,84,400,2
1750,0.18,1384,3,HIGH SPRINGS,180901,264400,624,84,420,2
1778,0.17,1397,3,HIGH SPRINGS,180901,259300,599,84,400,2
1786,0.17,1209,3,HIGH SPRINGS,180901,238500,0,16,420,2
1788,0.17,1202,3,HIGH SPRINGS,180901,244400,0,76,380,1
1789,0.17,1209,3,HIGH SPRINGS,180901,255000,942,16,420,1
1790,0.18,1418,3,HIGH SPRINGS,180901,292500,368,300,760,12
1792,0.18,1742,3,HIGH SPRINGS,180901,312000,1455,312,462,7
1795,0.18,1776,3,HIGH SPRINGS,180901,302400,520,144,420,2
1815,0.19,1368,3,HIGH SPRINGS,250800,293700,339,277,483,13
1817,0.12,1368,3,HIGH SPRINGS,250800,324200,1282,149.5,420,10
1819,0.12,1264,3,HIGH SPRINGS,250800,237700,1000,244,380,12
1830,0.18,1421,3,HIGH SPRINGS,250800,295900,400,120,460,7
1846,0.12,1264,3,HIGH SPRINGS,250800,275100,368,244,380,14
1866,0.36,1200,3,HIGH SPRINGS,0,228300,487,96,0,16
1875,9.21,2739,3,HIGH SPRINGS,83800,456000,21291,20,0,30
