OID_,Join_Count,TARGET_FID,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,geo_id,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,Name
1,1,1,17281,5.310000000000000,3232,4,SUWANNEE,130700,953000,2015,100,3232.000000000000000,2004,2023,0,-82.483956530000000,29.715815060000001,04119-010-045,0,510,726,7,18,0,0,3.500000000000000,25233,HSBUI_2
2,1,2,17298,5.340000000000000,2082,4,SUWANNEE,130700,514000,1990,100,2082.000000000000000,1986,2023,0,-82.487833140000006,29.709763939999998,04119-010-063,0,98,480,32,36,0,0,2.000000000000000,33636,HSBUI_2
3,1,3,17511,5.500000000000000,1802,3,SUWANNEE,219400,451100,2008,100,1802.000000000000000,1993,2023,0,-82.526096100000004,29.702268020000002,04138-002-002,0,184,622,14,29,0,0,2.000000000000000,4351,HSBUI_2
4,1,4,17806,5.010000000000000,621,3,SUWANNEE,0,233300,2005,100,621.000000000000000,1989,2023,0,-82.520817249999993,29.693008849999998,04165-005-000,0,0,0,17,33,0,0,1.000000000000000,884,HSBUI_2
5,1,5,17835,1.780000000000000,2973,4,SUWANNEE,184200,713200,2005,100,2624.500000000000000,1997,2023,0,-82.497594469999996,29.691940209999999,04170-010-003,348,938,594,17,25,0,0,3.500000000000000,10670,Jonesville
6,1,6,17894,14.619999999999999,1844,3,SUWANNEE,0,440000,1999,100,1844.000000000000000,1968,2023,0,-82.506040729999995,29.685851540000002,04176-000-000,0,120,630,23,54,0,0,2.000000000000000,5277,Jonesville
7,1,7,18070,0.280000000000000,1554,3,SUWANNEE,43600,318700,1990,100,1554.000000000000000,1983,2023,0,-82.456360399999994,29.687052000000001,04210-001-014,0,165,528,32,39,0,0,2.000000000000000,3415,Gainesvilleish_Region
8,1,8,18076,0.200000000000000,1224,3,SUWANNEE,43600,290400,1995,100,1224.000000000000000,1984,2023,0,-82.456067399999995,29.688354149999999,04210-001-020,0,80,488,27,38,0,0,2.000000000000000,1219,Gainesvilleish_Region
9,1,9,18115,0.230000000000000,1698,3,SUWANNEE,43700,329900,1997,100,1698.000000000000000,1985,2023,0,-82.457959880000004,29.686600640000002,04210-001-059,0,98,500,25,37,0,0,2.000000000000000,1901,Gainesvilleish_Region
10,1,10,18253,1.000000000000000,1755,3,SUWANNEE,43300,384000,2000,100,1755.000000000000000,1992,2023,0,-82.458555029999999,29.682352040000001,04211-010-073,0,83,441,22,30,0,0,2.000000000000000,3353,Gainesvilleish_Region
11,1,11,18331,0.190000000000000,1452,4,SUWANNEE,212600,329200,2015,100,1451.500000000000000,1995,2023,0,-82.461359619999996,29.686057380000001,04211-301-037,0,28,512,7,27,0,0,2.000000000000000,1832,Gainesvilleish_Region
12,1,12,18353,0.190000000000000,1846,4,SUWANNEE,212701,373500,2010,100,1846.000000000000000,1997,2023,0,-82.461367609999996,29.685375650000001,04211-321-057,0,8,0,12,25,0,0,2.000000000000000,3630,Gainesvilleish_Region
13,1,13,18354,0.200000000000000,1274,4,SUWANNEE,212701,305200,2010,100,1274.000000000000000,1997,2023,0,-82.461093969999993,29.685370030000001,04211-321-058,0,62,506,12,25,0,0,2.000000000000000,1805,Gainesvilleish_Region
14,1,14,18391,1.000000000000000,1487,4,SUWANNEE,212800,341300,2010,100,1487.000000000000000,1998,2023,0,-82.463724420000005,29.684323480000000,04211-331-095,0,96,484,12,24,0,0,2.000000000000000,972,Gainesvilleish_Region
15,1,15,18425,0.190000000000000,1867,4,SUWANNEE,229800,347400,2002,100,1867.000000000000000,2002,2023,0,-82.461653020000000,29.683333609999998,04211-332-126,0,264,420,20,20,0,0,2.000000000000000,311,Gainesvilleish_Region
