prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val
14943,0.34,2094,3,ALACHUA,244300,483800,2015,100,2094,2012,2023,0,0,290,529,7,10,0,0,3,1874
14965,0.43,2161,3,ALACHUA,244300,484000,2014,100,1861,2014,2023,0,300,452,575,8,8,0,0,3,1658
15241,6.85,1455,3,SUWANNEE,0,371800,2014,100,1455,1987,2023,0,0,48,357,8,35,0,0,2,3218
15349,5.01,2893,4,ALACHUA,0,592800,2008,100,2604.5,2008,2023,0,288,71,529,14,14,0,0,3,9005
15467,0.31,1232,3,ALACHUA,42800,209900,1978,100,1232,1977,2023,0,0,124,0,44,45,0,0,1.5,3566
15564,0.25,1320,3,ALACHUA,101200,266900,2001,100,1320,2001,2023,0,0,103,410,21,21,0,0,2,1826
15597,0.26,1492,3,ALACHUA,101200,263200,1998,100,1492,1998,2023,0,0,100,432,24,24,0,0,2,864
15641,0.19,1316,3,ALACHUA,159500,183600,1990,100,1004,1977,2023,0,0,424,0,32,45,0,0,1,450
15650,0.19,1344,3,ALACHUA,159500,187900,1985,100,1344,1977,2023,0,0,64,0,37,45,0,0,2,574
15794,3.21,3178,4,ALACHUA,2000,780800,2013,100,3178,2013,2023,0,0,649,744,9,9,0,0,3,9296
15894,5,2589,3,ALACHUA,252900,604500,1994,100,1659,1994,2023,0,930,618,576,28,28,0,0,3.5,4930
15919,2.5,1144,3,ALACHUA,0,217800,2001,100,1144,1980,2023,0,0,176,0,21,42,0,0,2,1537
15961,1,2361,4,ALACHUA,0,393800,2003,100,2136,1981,2023,0,0,225,0,19,41,0,0,2,10661
15977,0.51,1092,3,ALACHUA,154700,230600,1998,100,1092,1990,2023,0,0,140,700,24,32,0,0,2,2022
16033,0.55,1350,3,ALACHUA,154800,263800,1998,100,1350,1996,2023,0,0,96,420,24,26,0,0,2,1522
16074,0.16,1398,3,ALACHUA,246000,293800,2016,100,1398,2016,2023,0,0,169,462,6,6,0,0,2,532
16153,0.09,1475,3,ALACHUA,246000,295100,2008,100,1474.5,2008,2023,0,0,195.5,420,14,14,0,0,2,280
16218,0.54,1792,3,ALACHUA,163100,207200,1984,100,1516,1978,2023,0,0,276,0,38,44,0,0,2,1629
16372,7,1539,4,SUWANNEE,0,450000,1999,100,1539,1971,2023,0,0,30,0,23,51,0,0,2,12318
16626,5,1144,3,SUWANNEE,0,322900,2005,100,1144,1992,2023,0,0,264,0,17,30,0,0,2,923
16946,5.77,3164,5,SUWANNEE,232300,832500,2006,100,2374,2006,2023,0,790,902,558,16,16,0,0,3.5,8582
12349,0.15,1482,3,HIGH SPRINGS,246700,289700,2011,100,1482,2011,2023,0,0,306,400,11,11,0,0,2,981
12359,0.14,1609,3,HIGH SPRINGS,246700,300400,2007,100,1608.5,2007,2023,0,0,259.5,480,15,15,0,0,2,805
12395,0.14,1742,3,HIGH SPRINGS,246700,371100,2016,100,1742,2016,2023,0,0,173,436,6,6,0,0,2,1272
12415,0.2,1467,3,HIGH SPRINGS,246700,324800,2013,100,1467,2013,2023,0,0,254,400,9,9,0,0,2,1062
12544,0.23,2268,3,SUWANNEE,172900,285700,1980,100,1740,1976,2023,0,0,624,0,42,46,0,0,3,3062
12642,5.3,1838,3,ALACHUA,0,535000,2008,100,1838,1990,2023,0,0,460,568,14,32,0,0,2,3607
12643,5.75,3993,4,ALACHUA,0,740400,2006,100,3645,2006,2023,0,348,837,576,16,16,0,0,3.5,14966
12648,5.75,3138,4,ALACHUA,0,625000,1990,100,3138,1980,2023,0,0,280,1008,32,42,0,0,3,15683
12772,0.41,1238,3,ALACHUA,2800,205800,1978,100,1070,1976,2023,0,0,288,0,44,46,0,0,1.5,152
12805,0.17,3554,3,ALACHUA,248200,387200,2009,100,1632,2009,2023,0,1922,446,418,13,13,0,0,4,951
13382,0.19,1025,3,ALACHUA,2300,200000,2005,100,1025,1989,2023,0,0,0,348,17,33,0,0,1,1599
13465,0.21,1320,3,ALACHUA,2300,257300,2009,100,1320,1983,2023,0,0,0,0,13,39,0,0,2,922
13739,0.24,1218,3,ALACHUA,245700,245800,2015,100,1218,2015,2023,0,0,52,270,7,7,0,0,2,1488
