OID_,Join_Count,TARGET_FID,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,Name
1,1,1,12349,0.150000000000000,1482,3,HIGH SPRINGS,246700,289700,2011,100,1482.000000000000000,2011,2023,0,-82.552167659999995,29.807652640000001,0,306.000000000000000,400,11,11,0,0,2.000000000000000,981,High_Springs_Main
2,1,2,12359,0.140000000000000,1609,3,HIGH SPRINGS,246700,300400,2007,100,1608.500000000000000,2007,2023,0,-82.551229530000001,29.806020600000000,0,259.500000000000000,480,15,15,0,0,2.000000000000000,805,High_Springs_Main
3,1,3,12393,0.210000000000000,1699,3,HIGH SPRINGS,246700,392600,2014,100,1699.000000000000000,2014,2023,0,-82.551633140000007,29.806716110000000,0,359.000000000000000,441,8,8,0,0,2.000000000000000,9312,High_Springs_Main
4,1,4,12395,0.140000000000000,1742,3,HIGH SPRINGS,246700,371100,2016,100,1742.000000000000000,2016,2023,0,-82.551655339999996,29.807129880000002,0,173.000000000000000,436,6,6,0,0,2.000000000000000,1272,High_Springs_Main
5,1,5,12399,0.140000000000000,1482,3,HIGH SPRINGS,246700,307200,2011,100,1482.000000000000000,2011,2023,0,-82.551710610000001,29.807854209999999,0,306.000000000000000,400,11,11,0,0,2.000000000000000,981,High_Springs_Main
6,1,6,12415,0.200000000000000,1467,3,HIGH SPRINGS,246700,324800,2013,100,1467.000000000000000,2013,2023,0,-82.550723640000001,29.806911220000000,0,254.000000000000000,400,9,9,0,0,2.000000000000000,1062,High_Springs_Main
7,1,7,12544,0.230000000000000,2268,3,SUWANNEE,172900,285700,1980,100,1740.000000000000000,1976,2023,0,-82.527163430000002,29.808458099999999,0,624.000000000000000,0,42,46,0,0,3.000000000000000,3062,Alachua_Main
8,1,8,12642,5.300000000000000,1838,3,ALACHUA,0,535000,2008,100,1838.000000000000000,1990,2023,0,-82.521762730000006,29.813319679999999,0,460.000000000000000,568,14,32,0,0,2.000000000000000,3607,Alachua_Main
9,1,9,12643,5.750000000000000,3993,4,ALACHUA,0,740400,2006,100,3645.000000000000000,2006,2023,0,-82.525842159999996,29.811309380000001,348,837.000000000000000,576,16,16,0,0,3.500000000000000,14966,Alachua_Main
10,1,10,12647,5.850000000000000,2182,3,ALACHUA,0,471700,2005,100,2182.000000000000000,1979,2023,0,-82.519737230000004,29.811242589999999,0,0.000000000000000,0,17,43,0,0,3.000000000000000,21724,Alachua_Main
11,1,11,12648,5.750000000000000,3138,4,ALACHUA,0,625000,1990,100,3138.000000000000000,1980,2023,0,-82.522791389999995,29.811276410000001,0,280.000000000000000,1008,32,42,0,0,3.000000000000000,15683,Alachua_Main
12,1,12,12704,0.190000000000000,1562,3,ALACHUA,238900,335900,2014,100,1562.000000000000000,2014,2023,0,-82.519382840000006,29.807728680000000,0,269.000000000000000,440,8,8,0,0,2.000000000000000,1310,Alachua_Main
13,1,13,12772,0.410000000000000,1238,3,ALACHUA,2800,205800,1978,100,1070.000000000000000,1976,2023,0,-82.496652979999993,29.799941010000001,0,288.000000000000000,0,44,46,0,0,1.500000000000000,152,Alachua_Main
14,1,14,12805,0.170000000000000,3554,3,ALACHUA,248200,387200,2009,100,1632.000000000000000,2009,2023,0,-82.496780680000001,29.801422989999999,1922,446.000000000000000,418,13,13,0,0,4.000000000000000,951,Alachua_Main
15,1,15,13382,0.190000000000000,1025,3,ALACHUA,2300,200000,2005,100,1025.000000000000000,1989,2023,0,-82.474321290000006,29.792376800000000,0,0.000000000000000,348,17,33,0,0,1.000000000000000,1599,Alachua_Main
16,1,16,13465,0.210000000000000,1320,3,ALACHUA,2300,257300,2009,100,1320.000000000000000,1983,2023,0,-82.477572190000004,29.789279160000000,0,0.000000000000000,0,13,39,0,0,2.000000000000000,922,Alachua_Main
17,1,17,13701,0.180000000000000,1288,3,ALACHUA,245700,284600,2016,100,1288.000000000000000,2016,2023,0,-82.490150880000002,29.797070810000001,0,63.000000000000000,462,6,6,0,0,2.000000000000000,459,Alachua_Main
18,1,18,13739,0.240000000000000,1218,3,ALACHUA,245700,245800,2015,100,1218.000000000000000,2015,2023,0,-82.490643070000004,29.796263350000000,0,52.000000000000000,270,7,7,0,0,2.000000000000000,1488,Alachua_Main
19,1,19,13771,0.170000000000000,1080,3,ALACHUA,2500,175800,1992,100,1080.000000000000000,1985,2023,0,-82.493569820000005,29.797641200000001,0,0.000000000000000,0,30,37,0,0,1.500000000000000,176,Alachua_Main
20,1,20,13776,0.290000000000000,1107,3,ALACHUA,2500,204800,2005,100,1107.000000000000000,1984,2023,0,-82.492269440000001,29.797621320000001,0,0.000000000000000,0,17,38,0,0,2.000000000000000,416,Alachua_Main
21,1,21,13979,0.310000000000000,1352,3,ALACHUA,212900,244600,1978,100,1352.000000000000000,1976,2023,0,-82.488572739999995,29.794704010000000,0,0.000000000000000,0,44,46,0,0,1.500000000000000,1498,Alachua_Main
22,1,22,14015,0.260000000000000,2866,3,ALACHUA,212900,307500,2005,100,2114.000000000000000,1977,2023,0,-82.488057470000001,29.792873579999998,0,804.000000000000000,0,17,45,0,0,2.000000000000000,2782,Alachua_Main
