OID_,Join_Count,TARGET_FID,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,geo_id,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,Name
1,1,1,12349,0.150000000000000,1482,3,HIGH SPRINGS,246700,289700,2011,100,1482.000000000000000,2011,2023,0,-82.552167659999995,29.807652640000001,03034-010-008,0,306.000000000000000,400,11,11,0,0,2,981,High_Springs_Main
2,1,2,12359,0.140000000000000,1609,3,HIGH SPRINGS,246700,300400,2007,100,1608.500000000000000,2007,2023,0,-82.551229530000001,29.806020600000000,03034-010-018,0,259.500000000000000,480,15,15,0,0,2,805,High_Springs_Main
3,1,3,12395,0.140000000000000,1742,3,HIGH SPRINGS,246700,371100,2016,100,1742.000000000000000,2016,2023,0,-82.551655339999996,29.807129880000002,03034-010-054,0,173.000000000000000,436,6,6,0,0,2,1272,High_Springs_Main
4,1,4,12399,0.140000000000000,1482,3,HIGH SPRINGS,246700,307200,2011,100,1482.000000000000000,2011,2023,0,-82.551710610000001,29.807854209999999,03034-010-058,0,306.000000000000000,400,11,11,0,0,2,981,High_Springs_Main
5,1,5,12647,5.850000000000000,2182,3,ALACHUA,0,471700,2005,100,2182.000000000000000,1979,2023,0,-82.519737230000004,29.811242589999999,03049-001-011,0,0.000000000000000,0,17,43,0,0,3,21724,Alachua_Main
6,1,6,12704,0.190000000000000,1562,3,ALACHUA,238900,335900,2014,100,1562.000000000000000,2014,2023,0,-82.519382840000006,29.807728680000000,03053-010-038,0,269.000000000000000,440,8,8,0,0,2,1310,Alachua_Main
7,1,7,13382,0.190000000000000,1025,3,ALACHUA,2300,200000,2005,100,1025.000000000000000,1989,2023,0,-82.474321290000006,29.792376800000000,03195-002-037,0,0.000000000000000,348,17,33,0,0,1,1599,Alachua_Main
8,1,8,13465,0.210000000000000,1320,3,ALACHUA,2300,257300,2009,100,1320.000000000000000,1983,2023,0,-82.477572190000004,29.789279160000000,03195-005-017,0,0.000000000000000,0,13,39,0,0,2,922,Alachua_Main
9,1,9,13701,0.180000000000000,1288,3,ALACHUA,245700,284600,2016,100,1288.000000000000000,2016,2023,0,-82.490150880000002,29.797070810000001,03218-020-019,0,63.000000000000000,462,6,6,0,0,2,459,Alachua_Main
10,1,10,13739,0.240000000000000,1218,3,ALACHUA,245700,245800,2015,100,1218.000000000000000,2015,2023,0,-82.490643070000004,29.796263350000000,03218-020-057,0,52.000000000000000,270,7,7,0,0,2,1488,Alachua_Main
