OID_,Join_Count,TARGET_FID,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,geo_id,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,hood_cd,FID_Market_Cluster,Name
1,1,1,2712,0.310000000000000,1096,3,HIGH SPRINGS,64600,214000,2005,100,1096,1959,2023,0,-82.589573650000006,29.820994169999999,00382-007-000,0,0,0,17,63,0,0,1.000000000000000,0,223100.119999999995343,31,High_Springs_Main
2,1,2,2899,0.520000000000000,1297,3,HIGH SPRINGS,64600,168800,1974,100,1297,1954,2023,0,-82.591227599999996,29.824165630000000,00464-000-000,0,0,0,48,68,0,0,1.000000000000000,2182,223100.070000000006985,31,High_Springs
3,1,3,2927,0.340000000000000,1464,3,HIGH SPRINGS,64600,225300,2000,100,1464,1951,2023,0,-82.591903540000004,29.828439860000000,00491-000-000,0,192,0,22,71,0,0,2.000000000000000,1825,223100.059999999997672,31,High_Springs
4,1,4,2930,0.340000000000000,1885,3,HIGH SPRINGS,64600,240900,1994,100,1885,1953,2023,0,-82.591852090000003,29.827308710000001,00492-001-000,0,46,0,28,69,0,0,2.000000000000000,1344,223100.059999999997672,31,High_Springs
5,1,5,3100,0.230000000000000,1156,3,HIGH SPRINGS,64600,224500,2000,100,1156,1900,2023,0,-82.595914660000005,29.827051730000001,00599-000-000,0,0,0,22,122,0,0,1.000000000000000,2376,223100.070000000006985,31,High_Springs
6,1,6,3360,0.340000000000000,1551,3,HIGH SPRINGS,64600,237300,1998,100,1425,1937,2023,0,-82.602573699999994,29.831943930000001,00804-000-000,0,126,0,24,85,0,0,1.000000000000000,880,223100.070000000006985,31,High_Springs
7,1,7,3397,0.210000000000000,2408,4,HIGH SPRINGS,64600,467100,2002,100,1204,1929,2023,0,-82.603080559999995,29.832166850000000,00829-000-000,1204,230,0,20,93,0,0,4.500000000000000,2390,223100.070000000006985,31,High_Springs
8,1,8,3457,0.570000000000000,1648,3,HIGH SPRINGS,64600,363700,2006,100,1648,2002,2023,0,-82.602067410000004,29.836264430000000,00886-000-000,0,280,576,16,20,0,0,2.000000000000000,6893,223100.070000000006985,31,High_Springs
9,1,9,3517,0.110000000000000,702,3,HIGH SPRINGS,64600,109900,1980,100,702,1929,2023,0,-82.608755259999995,29.831953909999999,00951-000-000,0,140,0,42,93,0,0,1.000000000000000,1282,223100.070000000006985,31,High_Springs
10,1,10,3850,0.230000000000000,1232,3,HIGH SPRINGS,171900,222900,2011,100,1232,1977,2023,0,-82.600265300000004,29.822669210000001,01252-000-000,0,0,0,11,45,0,0,2.000000000000000,618,223100.079999999987194,31,High_Springs_Main
