prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,geo_id,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,hood_cd,sl_county_ratio_cd
33371,0.19,1836,4,GAINESVILLE,128100,361000,2002,100,1836,1999,2022,0,-82.37718039,29.71427126,06015-260-007,0,220,483,19,22,0,0,2,1395,164314.15,1
33375,0.18,1807,4,GAINESVILLE,128100,353800,2003,100,1807,2000,2022,0,-82.37810747,29.71427127,06015-260-011,0,347,420,18,21,0,0,2,953,164314.15,1
33380,0.2,1876,4,GAINESVILLE,128100,349400,2003,100,1876,2000,2022,0,-82.3772071,29.71382789,06015-260-016,0,222,483,18,21,0,0,2,1395,164314.15,1
33404,0.16,1338,3,GAINESVILLE,127400,311100,2000,100,1338,1986,2022,0,-82.38020281,29.70977576,06017-001-011,0,40,506,21,35,0,0,2,1641,164314.01,1
33406,0.16,1329,3,GAINESVILLE,127400,257300,1995,100,1329,1986,2022,0,-82.38020193,29.71016072,06017-001-013,0,141,264,26,35,0,0,2,844,164314.01,1
33408,0.16,1170,3,GAINESVILLE,127400,251600,1996,100,1170,1986,2022,0,-82.38020104,29.71054568,06017-001-015,0,16,452,25,35,0,0,2,1733,164314.01,1
33421,0.13,1344,3,GAINESVILLE,127401,270900,2000,100,992,1988,2022,0,-82.37891907,29.71005501,06017-001-028,352,0,330,21,33,0,0,2,412,164314.01,1
33438,0.16,1326,3,GAINESVILLE,127400,245000,1990,100,1326,1986,2022,0,-82.37973028,29.70977518,06017-001-046,0,12,312,31,35,0,0,2,387,164314.01,1
33577,0.14,1416,3,GAINESVILLE,128900,255600,1994,100,1416,1988,2022,0,-82.37881216,29.71178912,06017-030-002,0,184,280,27,33,0,0,2,915,164314.06,1
33587,0.18,1410,3,GAINESVILLE,128900,293300,1995,100,1410,1988,2022,0,-82.38019292,29.71164804,06017-030-012,0,129,501,26,33,0,0,2,1108,164314.06,1
33638,0.25,1838,3,GAINESVILLE,129200,321100,1991,100,1838,1991,2022,0,-82.38000703,29.71333911,06017-033-019,0,198,441,30,30,0,0,2,948,164314.06,1
33647,0.16,1461,3,GAINESVILLE,129300,288800,1997,100,1461,1992,2022,0,-82.37879031,29.71443449,06017-034-003,0,200,441,24,29,0,0,2,979,164314.06,1
33667,0.23,1820,4,GAINESVILLE,128700,351300,1996,100,1820,1990,2022,0,-82.37879059,29.71600472,06017-035-001,0,48,480,25,31,0,0,2,2289,164314.2,1
33701,0.23,2397,4,GAINESVILLE,128800,462500,2000,100,1521,1993,2022,0,-82.37974356,29.71758019,06017-041-004,876,372,483,21,28,0,0,2.5,1648,164314.2,1
33705,0.22,1993,4,GAINESVILLE,128800,357800,1997,100,1993,1994,2022,0,-82.37965535,29.71668383,06017-041-008,0,314,441,24,27,0,0,2,1028,164314.2,1
33707,0.23,2178,4,GAINESVILLE,128800,394400,2005,100,2178,1993,2022,0,-82.37965214,29.71715673,06017-041-010,0,136,462,16,28,0,0,2,1009,164314.2,1
33747,0.21,2269,4,GAINESVILLE,253100,411100,1998,100,2066.5,1993,2022,0,-82.38593452,29.71059849,06020-010-005,0,266.5,484,23,28,0,0,2,991,134314.45,1
33762,0.21,1722,3,GAINESVILLE,253100,332200,2000,100,1721.5,1993,2022,0,-82.38192067,29.71130363,06020-010-020,0,172.5,441,21,28,0,0,2,7282,134314.45,1
33771,0.34,1550,3,GAINESVILLE,253100,349500,2000,100,1549.5,1993,2022,0,-82.38176383,29.71245335,06020-010-029,0,405.5,504,21,28,0,0,2,6200,134314.45,1
33772,0.23,1984,3,GAINESVILLE,253100,364300,2000,100,1984,1993,2022,0,-82.38196497,29.71226298,06020-010-030,0,53,441,21,28,0,0,2,1406,134314.45,1
33773,0.2,1555,3,GAINESVILLE,253100,326200,2001,100,1555,1993,2022,0,-82.38207441,29.71202822,06020-010-031,0,206,420,20,28,0,0,2,1036,134314.45,1
33805,0.23,1636,3,GAINESVILLE,253101,317600,2004,100,1636,1996,2022,0,-82.38117032,29.70948087,06020-012-062,0,131,441,17,25,0,0,2,1886,164314.12,1
33863,0.2,1512,3,GAINESVILLE,74401,299400,2004,100,1512,1994,2022,0,-82.38506233,29.70952784,06020-020-016,0,120,441,17,27,0,0,2,1702,164314.1,1
33907,0.2,1644,3,GAINESVILLE,74402,284400,1998,100,1644,1995,2022,0,-82.38332466,29.70923382,06020-030-059,0,0,462,23,26,0,0,2,1153,164314.13,1
33944,0.2,1549,3,GAINESVILLE,74402,343000,2004,100,1549,1995,2022,0,-82.38301637,29.70887674,06020-030-096,0,42,441,17,26,0,0,2,1353,164314.13,1
33948,0.2,1322,3,GAINESVILLE,74402,297700,2001,100,1322,1996,2022,0,-82.38203582,29.70924662,06020-030-100,0,20,483,20,25,0,0,2,1258,164314.13,1
33990,0.33,2757,4,GAINESVILLE,133800,579400,2005,100,2756.5,1994,2022,0,-82.38173842,29.71770682,06020-040-040,0,241.5,538,16,27,0,0,2.5,10335,164314.4,1
33991,0.39,1999,4,GAINESVILLE,133800,495100,2005,100,1999,1993,2022,0,-82.38211824,29.71767101,06020-040-041,0,366,559,16,28,0,0,2,8550,164314.4,1
33993,0.34,2784,4,GAINESVILLE,133800,599000,2004,100,2783.5,1994,2022,0,-82.38174015,29.71716662,06020-040-043,0,328.5,600,17,27,0,0,3,11785,164314.4,1
34046,0.26,1928,4,GAINESVILLE,203600,414500,2004,100,1928,1995,2022,0,-82.38088259,29.71322355,06020-050-047,0,171,442,17,26,0,0,2,1177,164314.14,1
34048,0.24,2027,4,GAINESVILLE,203600,412200,2005,100,2027,1995,2022,0,-82.3815246,29.71321072,06020-050-049,0,238,441,16,26,0,0,2,1821,164314.14,1
34075,0.43,1734,3,SUWANNEE,47300,365300,2010,100,1734,1978,2022,0,-82.39888129,29.70548642,06023-010-006,0,312,440,11,43,0,0,2,7457,114315.01,1
34125,0.43,1758,3,SUWANNEE,47100,316900,1990,100,1538,1980,2022,0,-82.39757078,29.71084411,06023-020-013,0,234,462,31,41,0,0,2,3268,114315.01,1
34140,0.33,1434,3,SUWANNEE,47100,279500,1985,100,994,1979,2022,0,-82.39817139,29.71004919,06023-020-028,440,0,441,36,42,0,0,2.5,1317,114315.01,1
34167,0.41,1350,3,SUWANNEE,47100,309000,2005,100,1350,1979,2022,0,-82.4002574,29.70763571,06023-020-055,0,254,520,16,42,0,0,2,1492,114315.01,1
34172,0.45,1499,3,SUWANNEE,47100,288100,1990,100,1499,1979,2022,0,-82.39923938,29.70666142,06023-020-060,0,20,506,31,42,0,0,2,2706,114315.01,1
34198,0.43,1694,4,SUWANNEE,47200,472800,2010,100,1694,1983,2022,0,-82.40019336,29.71762045,06023-030-001,0,14,484,11,38,0,0,2,3550,114315.01,1
34204,0.67,1705,3,SUWANNEE,47200,387000,2002,100,1705,1982,2022,0,-82.4000198,29.71578634,06023-030-007,0,25,309,19,39,0,0,2,2102,114315.01,1
34234,0.45,1852,4,SUWANNEE,47200,433100,1995,100,1372,1983,2022,0,-82.39780578,29.71347659,06023-030-037,480,12,529,26,38,0,0,2,13864,114315.01,1
34247,0.35,1824,4,SUWANNEE,47200,373100,2005,100,1318,1984,2022,0,-82.39695161,29.71348747,06023-030-050,506,234,506,16,37,0,0,2,1996,114315.01,1
34271,0.43,2065,4,SUWANNEE,47200,388000,2000,100,1873,1983,2022,0,-82.39880916,29.71611762,06023-030-074,0,217,572,21,38,0,0,2,3635,114315.01,1
34296,0.3,2163,3,SUWANNEE,47200,326200,2000,100,1208,1984,2022,0,-82.39643638,29.71599716,06023-030-099,344,611,0,21,37,0,0,2,1836,114315.01,1
34381,0.39,2530,4,GAINESVILLE,8000,589300,2015,100,2213.5,1990,2022,0,-82.3906378,29.70489085,06023-040-054,0,359,492,6,31,0,0,2.5,12660,114315.03,1
34413,0.9,2082,4,SUWANNEE,182100,355500,1995,100,2082,1985,2022,0,-82.40356876,29.70843629,06024-001-000,0,24,441,26,36,0,0,2,2033,114315.02,1
34424,1.24,3092,4,SUWANNEE,182100,646600,2010,100,2740,1976,2022,0,-82.40366301,29.70876378,06024-012-000,0,778,482,11,45,0,0,3.5,14164,114315.02,1
34491,1.11,2598,4,SUWANNEE,182100,495100,2000,100,2290,1976,2022,0,-82.40390256,29.70881956,06024-079-000,0,560,572,21,45,0,0,3,19818,114315.02,1
34681,8.62,4130,5,SUWANNEE,0,925000,2000,100,3045,1999,2022,0,-82.43748629,29.70523849,06035-002-002,1085,253,888,21,22,0,0,4.5,18034,114300.4,1
34713,1.1,1833,4,SUWANNEE,121200,381000,1995,100,1833,1981,2022,0,-82.43085449,29.71007375,06035-003-031,0,264,609,26,40,0,0,2,6142,114317.01,1
34801,1.57,3856,5,SUWANNEE,172200,883200,2005,100,3435.5,1998,2022,0,-82.4291662,29.71478366,06035-100-009,420,510.5,784,16,23,0,0,3.5,16523,114317.04,1
34802,1.66,4415,5,SUWANNEE,172200,941300,2000,100,3413,1999,2022,0,-82.42992348,29.71496139,06035-100-010,1002,642.5,941.5,21,22,0,0,4,17486,114317.04,1
34807,1.04,4330,5,SUWANNEE,172200,933200,2002,100,3385.5,2002,2022,0,-82.43175527,29.71640943,06035-100-015,944,560.5,864,19,19,0,0,4,11891,114317.04,1
34819,1.19,4382,5,SUWANNEE,172200,1004000,2005,100,3838,1998,2022,0,-82.4300077,29.71417037,06035-100-027,544,670,756,16,23,0,0,4.5,13121,114317.04,1
34822,1.08,3164,5,SUWANNEE,172200,790500,2004,100,2551.5,2001,2022,0,-82.42929565,29.71318635,06035-100-030,612,271,696,17,20,0,0,3.5,13573,114317.04,1
34904,2.15,2498,4,SUWANNEE,84600,519900,1990,100,2498,1980,2022,0,-82.44568308,29.70986637,06037-001-000,0,18,468,31,41,0,0,2.5,10780,114318.02,1
34914,1.82,2869,5,SUWANNEE,84600,640800,1997,100,1612,1997,2022,0,-82.44917866,29.70750742,06037-011-000,1257,240,484,24,24,0,0,3.5,13378,114318.02,1
34936,1.9,2394,4,SUWANNEE,84600,479900,1987,100,1934,1981,2022,0,-82.44671613,29.70563015,06037-032-000,460,120,572,34,40,0,0,2.5,18243,114318.02,1
