OID_,Join_Count,TARGET_FID,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,geo_id,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,hood_cd,sl_county_ratio_cd,FID_Market_Cluster_Union,FID_Market_Cluster,Name
1,1,1,16104,0.220000000000000,1397,3,ALACHUA,246000,284100,2015,100,1397,2015,2022,0,-82.513255000000001,29.767141160000001,03980-020-044,0,168,420,6,6,0,0,2,409,233222.140000000013970,1,2,8,Alachua_Main
2,1,2,16114,0.210000000000000,1799,3,ALACHUA,246000,334800,2008,100,1799,2008,2022,0,-82.515560480000005,29.767294769999999,03980-020-054,0,32,420,13,13,0,0,2,487,233222.140000000013970,1,2,8,Alachua_Main
3,1,3,16125,0.090000000000000,1158,3,ALACHUA,246000,225000,2009,100,1158,2008,2022,0,-82.514515619999997,29.767430420000000,03980-020-065,0,36,400,12,13,0,0,2,1101,233222.140000000013970,1,2,8,Alachua_Main
4,1,4,16139,0.090000000000000,1448,3,ALACHUA,246000,258800,2013,100,1448,2013,2022,0,-82.512322929999996,29.767407370000001,03980-020-079,0,155,420,8,8,0,0,2,427,233222.140000000013970,1,2,8,Alachua_Main
5,1,5,16145,0.100000000000000,1398,3,ALACHUA,246000,273000,2013,100,1398,2013,2022,0,-82.511463899999995,29.767396110000000,03980-020-085,0,185,420,8,8,0,0,2,336,233222.140000000013970,1,2,8,Alachua_Main
6,1,6,16154,0.090000000000000,1440,3,ALACHUA,246000,277900,2015,100,1440,2015,2022,0,-82.512034529999994,29.767789409999999,03980-020-094,0,145,420,6,6,0,0,2,409,233222.140000000013970,1,2,8,Alachua_Main
7,1,7,16159,0.090000000000000,1303,3,ALACHUA,246000,262000,2012,100,1303,2012,2022,0,-82.512743630000003,29.767796329999999,03980-020-099,0,276,525,9,9,0,0,2,1130,233222.140000000013970,1,2,8,Alachua_Main
8,1,8,16161,0.090000000000000,1398,3,ALACHUA,246000,279600,2016,100,1398,2016,2022,0,-82.513027269999995,29.767798989999999,03980-020-101,0,196,462,5,5,0,0,2,386,233222.140000000013970,1,2,8,Alachua_Main
9,1,9,16162,0.090000000000000,1178,3,ALACHUA,246000,227000,2007,100,1178,2007,2022,0,-82.513169090000005,29.767800319999999,03980-020-102,0,36,380,14,14,0,0,2,622,233222.140000000013970,1,2,8,Alachua_Main
10,1,10,16168,0.510000000000000,1310,3,ALACHUA,0,272900,2002,100,1310,1997,2022,0,-82.514578970000002,29.765187569999998,03980-050-000,0,21,400,19,24,0,0,2,2622,233228.019999999989523,1,2,8,Alachua_Main
11,1,11,16499,6.710000000000000,3598,4,ALACHUA,244700,870100,2009,100,2262,2009,2022,0,-82.508429579999998,29.749256270000000,04013-015-000,1336,799,740,12,12,0,0,2,12440,233200.109999999986030,1,2,8,Alachua_Main
12,1,12,16612,6.240000000000000,2958,4,ALACHUA,185500,734000,2006,100,2958,2003,2022,0,-82.491311060000001,29.739373109999999,04040-010-034,0,936,825,15,18,0,0,3,4906,233235.019999999989523,1,2,8,Alachua_Main
13,1,13,16675,5.380000000000000,2673,4,SUWANNEE,0,535900,1999,100,2673,1996,2022,0,-82.499403920000006,29.730979919999999,04059-010-006,0,162,575,22,25,0,0,2,6247,154203.399999999994179,1,22,33,HSBUI_2
14,1,14,16751,5.000000000000000,2370,3,SUWANNEE,30000,533300,1999,100,2370,1979,2022,0,-82.528830499999998,29.738346350000000,04072-017-007,0,91,0,22,42,0,0,4,11690,154205.450000000011642,1,22,33,HSBUI_2
15,1,15,16840,39.390000000000001,2900,4,SUWANNEE,0,635000,1983,100,1550,1979,2022,0,-82.550556830000005,29.736955850000001,04076-007-000,1350,550,552,38,42,0,0,3,6147,134206.459999999991851,1,22,33,HSBUI_2
16,1,16,16841,3.020000000000000,1056,3,SUWANNEE,0,165400,1979,100,1056,1979,2022,0,-82.549333430000004,29.738568220000001,04076-007-001,0,48,0,42,42,0,0,2,1719,154206.450000000011642,1,22,33,HSBUI_2
17,1,17,16934,10.000000000000000,1364,3,SUWANNEE,173900,407900,2011,100,1364,2011,2022,0,-82.544931250000005,29.715366119999999,04081-001-010,0,670,0,10,10,0,0,2,2531,154207.100000000005821,1,22,33,HSBUI_2
18,1,18,17028,2.420000000000000,2072,4,SUWANNEE,180200,485100,2000,100,2072,1993,2022,0,-82.531895320000004,29.725765050000000,04087-010-000,0,164,441,21,28,0,0,2,15319,154208.429999999993015,1,22,33,HSBUI_2
19,1,19,17093,5.300000000000000,2334,3,SUWANNEE,204000,465400,2000,100,2026,1980,2022,0,-82.516025029999994,29.712911590000001,04099-005-021,0,492,528,21,41,0,0,2,2953,154209.410000000003492,1,22,33,HSBUI_2
20,1,20,17106,5.430000000000000,1300,3,SUWANNEE,204000,352000,2010,100,1048,1996,2022,0,-82.520395789999995,29.715095150000000,04099-005-034,0,288,0,11,25,0,0,2,16411,154209.410000000003492,1,22,33,HSBUI_2
21,1,21,17113,5.340000000000000,1532,3,SUWANNEE,204000,314900,1993,100,1532,1983,2022,0,-82.520350590000007,29.708403250000000,04099-005-041,0,15,352,28,38,0,0,2,4506,154209.410000000003492,1,22,33,HSBUI_2
22,1,22,17122,10.680000000000000,3224,4,SUWANNEE,204000,878100,2004,100,3224,2000,2022,0,-82.522487960000007,29.711735579999999,04099-005-051,0,0,0,17,21,0,0,3,7891,154209.410000000003492,1,22,33,HSBUI_2
23,1,23,17309,5.310000000000000,2448,4,SUWANNEE,130700,535900,2000,100,2206,1990,2022,0,-82.488295210000004,29.714908940000001,04119-010-074,0,282,0,21,31,0,0,2,4061,134214.410000000003492,1,22,33,HSBUI_2
24,1,24,17320,6.070000000000000,2321,4,SUWANNEE,130700,570000,2004,100,2321,1994,2022,0,-82.489999400000002,29.711622850000001,04119-010-085,0,256,660,17,27,0,0,2,17590,134214.410000000003492,1,22,33,HSBUI_2
25,1,25,17384,1.990000000000000,4433,4,SUWANNEE,103600,788800,1995,100,2627,1991,2022,0,-82.500960780000000,29.710384090000002,04124-010-007,1806,744,864,26,30,0,0,6,11758,134215.010000000009313,1,22,33,HSBUI_2
26,1,26,17522,2.060000000000000,1672,3,SUWANNEE,219600,337900,2011,100,1672,2011,2022,0,-82.525318859999999,29.698373870000001,04138-020-001,0,576,0,10,10,0,0,2,1096,154200.000000000000000,1,22,33,HSBUI_2
27,1,27,17568,5.060000000000000,2059,3,SUWANNEE,0,400000,1984,100,1479,1978,2022,0,-82.552476369999994,29.711175210000000,04147-004-000,0,580,0,37,43,0,0,3,22170,154200.000000000000000,1,23,34,Jonesville
28,1,28,17692,7.000000000000000,1741,3,SUWANNEE,0,482000,2007,100,1741,2007,2022,0,-82.532426270000002,29.695818259999999,04158-005-000,0,66,441,14,14,0,0,2,29889,154200.000000000000000,1,22,33,HSBUI_2
29,1,29,17753,1.250000000000000,2610,4,SUWANNEE,176600,524300,2004,100,2610,2004,2022,0,-82.539515429999994,29.693088610000000,04160-002-002,0,242,506,17,17,0,0,3,5318,154200.000000000000000,1,22,33,HSBUI_2
30,1,30,17842,5.000000000000000,4663,5,SUWANNEE,184200,1471400,2007,100,4033,2003,2022,0,-82.504453650000002,29.691858740000001,04170-010-010,630,629,922,14,18,0,0,4,27721,134222.010000000009313,1,23,34,Jonesville
31,1,31,17933,5.000000000000000,3419,3,SUWANNEE,0,623300,2000,100,3419,1973,2022,0,-82.492448640000006,29.694529549999999,04182-001-000,0,40,576,21,48,0,0,5,20580,154200.000000000000000,1,22,33,HSBUI_2
32,1,32,18079,0.200000000000000,1554,3,SUWANNEE,43600,269400,1988,100,1554,1983,2022,0,-82.456070699999998,29.687603750000001,04210-001-023,0,54,528,33,38,0,0,2,1128,154225.010000000009313,1,47,62,Gainesvilleish_Region
33,1,33,18099,0.250000000000000,1801,3,SUWANNEE,43700,337500,2000,100,1460,1985,2022,0,-82.458383080000004,29.688332509999999,04210-001-043,0,377,504,21,36,0,0,2,1060,154225.010000000009313,1,47,62,Gainesvilleish_Region
34,1,34,18110,0.200000000000000,1566,3,SUWANNEE,43700,318400,1998,100,1566,1984,2022,0,-82.457827100000003,29.686185269999999,04210-001-054,0,66,482,23,37,0,0,2,2027,154225.010000000009313,1,47,62,Gainesvilleish_Region
35,1,35,18157,0.200000000000000,2501,3,SUWANNEE,43800,390300,1996,100,2501,1986,2022,0,-82.459017419999995,29.685937350000000,04210-002-001,0,20,0,25,35,0,0,2,7504,154225.010000000009313,1,47,62,Gainesvilleish_Region
36,1,36,18197,0.210000000000000,1562,3,SUWANNEE,43000,304100,1992,100,1562,1987,2022,0,-82.456935970000004,29.682329440000000,04211-010-017,0,218,483,29,34,0,0,2,5699,154225.010000000009313,1,47,62,Gainesvilleish_Region
37,1,37,18213,0.330000000000000,1681,3,SUWANNEE,43000,321100,1989,100,1681,1987,2022,0,-82.456935099999995,29.683942160000001,04211-010-033,0,143,483,32,34,0,0,2,4489,154225.010000000009313,1,47,62,Gainesvilleish_Region
