OID_,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Archer_1,Buck_Bay,CarolEstates,Duck_Pond,EastGNV,EastMidtownEastA,Gainesvilleish_Region,Golfview,HSBUI,HaileLike,Hawthorne_1,HighSpringsAGNV,HighSprings_A,HighSprings_B,HighSprings_E,HighSprings_F,High_Springs_Main,Ironwood,Lugano,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,Newmans_Lake,QuailCreekish,Real_Tioga,Springtree_A,Springtree_B,SummerCreek,TC_Forest,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,WaldoRural_C,Westchesterish,WildsPlantation,swNewberry_A,swNewberry_B,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
1108,92225,0.150000000000000,960,3.000000000000000,GAINESVILLE,177300,1993,100,960.000000000000000,1962,2023,0,0.000000000000000,90.000000000000000,0.000000000000000,29,60,0,0,1.000000000000000,218,150487.000000000000000,0.181515693187433,-82.304436999999993,29.639754000000000,16106-036-000,EastGNV,True,0.710000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.603701441261242,109502.366651544303750,109720.366651544303750,-67579.633348455696250,-40984.633348455696250,67579.633348455696250,40984.633348455696250,0.618840195440182
1109,92232,0.180000000000000,1191,3.000000000000000,GAINESVILLE,191500,1995,100,960.000000000000000,1961,2023,0,0.000000000000000,251.000000000000000,0.000000000000000,27,61,0,0,2.000000000000000,397,162378.000000000000000,0.217818831824919,-82.305595999999994,29.639324999999999,16106-043-000,EastGNV,True,0.730000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.811522480204619,134796.630412043741671,135193.630412043741671,-56306.369587956258329,-27581.369587956258329,56306.369587956258329,27581.369587956258329,0.705971960376208
1110,92334,0.190000000000000,1308,3.000000000000000,GAINESVILLE,162800,1980,100,1188.000000000000000,1963,2023,0,0.000000000000000,144.000000000000000,0.000000000000000,30,59,0,0,2.000000000000000,1335,137045.000000000000000,0.229919878037415,-82.299648000000005,29.640089000000000,16107-026-000,EastGNV,True,0.700000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.825530644299155,136698.171183191851014,138033.171183191851014,-24766.828816808148986,-346.828816808148986,24766.828816808148986,346.828816808148986,0.847869601862358
1647,92249,0.140000000000000,929,3.000000000000000,GAINESVILLE,150800,1994,100,929.000000000000000,1962,2024,0,0.000000000000000,76.000000000000000,0.000000000000000,29,61,0,0,1.000000000000000,905,127274.999999999985448,0.169414646974937,-82.303685000000002,29.639030000000002,16106-060-000,EastGNV,True,0.710000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.579404150085830,106873.818380155527848,107778.818380155527848,-43021.181619844472152,-20401.181619844457600,43021.181619844472152,20401.181619844457600,0.714713649735779
1648,92323,0.190000000000000,1169,3.000000000000000,GAINESVILLE,220500,1994,100,1169.000000000000000,1963,2024,0,0.000000000000000,0.000000000000000,0.000000000000000,29,60,0,0,1.000000000000000,2091,185334.000000000000000,0.229919878037415,-82.299128999999994,29.641627000000000,16107-015-000,EastGNV,True,0.710000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.718437102322801,122815.327333136068773,124906.327333136068773,-95593.672666863931227,-62518.672666863931227,95593.672666863931227,62518.672666863931227,0.566468604685424
1649,92442,0.180000000000000,1090,3.000000000000000,GAINESVILLE,185400,1994,100,1090.000000000000000,1969,2024,0,0.000000000000000,24.000000000000000,0.000000000000000,29,54,0,0,2.500000000000000,389,157201.000000000000000,0.217818831824919,-82.305357000000001,29.637025000000001,16107-503-011,EastGNV,True,0.710000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.750720457654504,126844.912481768769794,127233.912481768769794,-58166.087518231230206,-30356.087518231230206,58166.087518231230206,30356.087518231230206,0.686267057614718
1881,92206,0.190000000000000,960,3.000000000000000,GAINESVILLE,194900,2012,100,960.000000000000000,1962,2024,0,0.000000000000000,59.000000000000000,0.000000000000000,11,61,0,0,1.000000000000000,218,165447.000000000000000,0.229919878037415,-82.305593000000002,29.640059999999998,16106-017-000,EastGNV,True,0.890000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.840197299068720,138717.850835228076903,138935.850835228076903,-55964.149164771923097,-26729.149164771923097,55964.149164771923097,26729.149164771923097,0.712857110493730
2045,92531,0.150000000000000,1017,3.000000000000000,GAINESVILLE,171800,1995,100,1017.000000000000000,1968,2022,0,0.000000000000000,255.000000000000000,0.000000000000000,26,53,0,0,2.000000000000000,333,145697.000000000000000,0.181515693187433,-82.299126999999999,29.642928000000001,16116-005-000,EastGNV,True,0.740000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.722491895898909,123314.329124394454993,123647.329124394454993,-48152.670875605545007,-22382.670875605545007,48152.670875605545007,22382.670875605545007,0.719716700374822
2269,92259,0.180000000000000,960,3.000000000000000,GAINESVILLE,96500,1994,100,960.000000000000000,1962,2024,0,0.000000000000000,24.000000000000000,0.000000000000000,29,61,0,0,1.000000000000000,275,81750.000000000000000,0.217818831824919,-82.305597000000006,29.639036000000001,16106-070-000,EastGNV,True,0.710000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.614795598565967,110723.966915608558338,110998.966915608558338,14498.966915608558338,28973.966915608558338,14498.966915608558338,28973.966915608558338,1.150248361819778
2321,92497,0.180000000000000,1068,3.000000000000000,GAINESVILLE,176200,1999,100,1068.000000000000000,1981,2023,0,0.000000000000000,48.000000000000000,0.000000000000000,23,41,0,0,1.000000000000000,256,149514.000000000000000,0.217818831824919,-82.299807000000001,29.637898000000000,16107-600-053,EastGNV,True,0.770000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.754108266387286,127275.367521952386596,127531.367521952386596,-48668.632478047613404,-22238.632478047613404,48668.632478047613404,22238.632478047613404,0.723787556878277
