prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,geo_id,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,hood_cd,sl_county_ratio_cd
12151,2,2748,4,ALACHUA,48900,580000,2012,100,2448.5,1996,2025,0,-82.50154044,29.8162852,03013-020-014,0,355.5,506,12,28,0,0,2,10552,233203.01,1
12228,1.07,1590,3,ALACHUA,123801,365500,2004,100,1590,2004,2025,0,-82.53332878,29.81495193,03024-010-021,0,504,378,20,20,0,0,2,9000,233205.01,1
12229,1.07,1971,3,ALACHUA,123801,440000,2021,100,1971,2021,2025,0,-82.53284845,29.81495511,03024-010-022,0,520,596,3,3,0,0,2,11459,233205.01,2
12391,0.14,1640,3,HIGH SPRINGS,246700,335000,2014,100,1640,2014,2025,0,-82.55126329,29.80649574,03034-010-050,0,185,420,10,10,0,0,2,1328,223100.15,1
12394,0.14,1615,3,HIGH SPRINGS,246700,333800,2015,100,1615,2015,2025,0,-82.55164151,29.8069488,03034-010-053,0,353,400,9,9,0,0,2,1158,223100.15,1
12417,0.17,1641,3,HIGH SPRINGS,246700,280000,2013,100,1641,2013,2025,0,-82.55083398,29.80736751,03034-010-076,0,178,400,11,11,0,0,2,978,223100.15,1
12522,0.23,1664,3,SUWANNEE,172900,250000,1995,100,1400,1970,2025,0,-82.52794262,29.80953005,03043-032-000,0,312,0,29,54,0,0,1,604,233208.01,2
12558,0.23,1476,3,SUWANNEE,172900,285900,2010,100,1476,1976,2025,0,-82.52764106,29.80791122,03043-068-000,0,156,0,14,48,0,0,2,7648,233208.01,1
12580,0.6,1508,3,SUWANNEE,0,260000,2004,100,1508,1973,2025,0,-82.52702989,29.80561215,03044-001-001,0,36,0,20,51,0,0,1,4939,233200,1
12641,5.3,3090,4,ALACHUA,0,778000,2008,100,3090,1984,2025,0,-82.52379525,29.81334321,03049-001-005,0,1248,782,16,40,0,0,3,24980,233209,1
12707,0.19,1872,3,ALACHUA,238900,395000,2015,100,1872,2015,2025,0,-82.52004427,29.80775123,03053-010-041,0,208,462,9,9,0,0,2,1882,233208.02,1
12711,0.19,1565,3,ALACHUA,238900,349900,2015,100,1565,2015,2025,0,-82.52173727,29.80696425,03053-010-045,0,266,440,9,9,0,0,2,1148,233208.02,1
