prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,geo_id,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,hood_cd,sl_county_ratio_cd
100727,0.42,2538,3,SUWANNEE,210500,524300,1987,100,2538.0,1959,2022,0,-82.08388137,29.71830555,18688-002-000,0.0,224.0,0.0,34,62,0,1,2.0,4833,314600.21,1
97547,0.23,1368,2,ST. JOHN'S,0,80300,1970,100,1256.0,1960,2022,0,-82.2438816,29.67586308,17744-005-000,0.0,112.0,0.0,51,61,0,0,1.0,484,314530.01,1
96360,0.46,1679,3,WALDO,148500,137300,1977,100,1679.0,1927,2022,0,-82.17139016,29.79005367,17192-002-000,0.0,760.0,0.0,44,94,0,0,2.0,1146,313523.01,1
93409,0.28,973,3,ST. JOHN'S,110300,108500,1985,100,832.0,1970,2022,0,-82.27149602,29.63213248,16187-063-000,0.0,201.0,0.0,36,51,0,0,1.0,144,315412.02,1
92913,0.24,1404,2,ST. JOHN'S,108801,113500,1970,100,1404.0,1966,2022,0,-82.28188134,29.63444674,16134-024-006,0.0,0.0,0.0,51,55,0,0,2.0,1292,315411.03,1
91944,0.25,1410,3,GAINESVILLE,20200,103700,1972,100,1200.0,1960,2022,0,-82.30771288,29.6297486,15995-048-000,0.0,210.0,0.0,49,61,0,0,2.0,6437,145409.02,1
89793,0.29,1995,3,GAINESVILLE,61500,488800,1987,100,1860.0,1946,2022,0,-82.34516769,29.65606435,15306-000-000,0.0,183.0,0.0,34,75,0,0,2.0,1712,145406.03,1
88103,0.1,858,3,GAINESVILLE,24400,180600,1982,100,858.0,1946,2022,0,-82.33514475,29.65466673,13932-000-000,0.0,25.0,0.0,39,75,0,0,1.0,0,136030.3,1
84423,0.19,1224,3,GAINESVILLE,137005,136300,2003,100,944.0,1920,2022,0,-82.29868767,29.65161602,11264-000-000,0.0,370.0,0.0,18,101,0,0,1.0,76,315403.03,1
83366,0.57,1472,3,ST. JOHN'S,44500,194800,1990,100,1225.0,1966,2022,0,-82.26970975,29.64915975,10867-068-005,0.0,247.0,0.0,31,55,0,0,2.0,350,315401.01,1
82519,0.23,1120,3,GAINESVILLE,140500,166700,1992,100,1120.0,1958,2022,0,-82.30076346,29.66955631,10760-015-000,0.0,40.0,0.0,29,63,0,0,1.0,5593,324434.01,1
81087,0.34,1878,3,GAINESVILLE,127100,346500,2010,100,1878.0,1950,2022,0,-82.31538948,29.66843095,10173-000-000,0.0,222.0,0.0,11,71,0,0,2.0,1809,324433.05,1
80740,0.53,1692,3,GAINESVILLE,0,296400,1992,100,1692.0,1906,2022,0,-82.33643457,29.66705285,09948-000-000,0.0,312.0,0.0,29,115,0,0,1.0,2541,324432.07,1
80017,0.15,1125,3,GAINESVILLE,183000,253700,1990,100,1125.0,1940,2022,0,-82.33192791,29.66026799,09468-000-000,0.0,140.0,0.0,31,81,0,0,2.0,220,324432.03,1
77440,0.15,864,3,GAINESVILLE,166400,193700,2000,100,864.0,1920,2022,0,-82.35118071,29.68462361,08878-002-000,0.0,0.0,0.0,21,101,0,0,1.0,0,324430.01,1
77414,0.16,1228,3,GAINESVILLE,166400,244700,2005,100,1228.0,1999,2022,0,-82.34812797,29.68389858,08876-007-001,0.0,165.0,308.0,16,22,0,0,2.0,1468,324430.01,1
77041,0.21,895,3,GAINESVILLE,146100,230700,2004,100,895.0,1949,2022,0,-82.33613959,29.67548356,08652-000-000,0.0,0.0,0.0,17,72,0,0,1.0,0,324429.01,1
76048,0.24,989,3,GAINESVILLE,96000,193200,1998,100,989.0,1970,2022,0,-82.30899014,29.68244115,08231-003-049,0.0,0.0,0.0,23,51,0,0,1.0,300,324428.01,1
75728,0.18,1274,3,GAINESVILLE,95800,96500,1970,100,1274.0,1960,2022,0,-82.31278593,29.67778212,08202-145-000,0.0,0.0,0.0,51,61,0,0,1.0,1836,324428.02,1
75167,0.2,1326,2,GAINESVILLE,32600,113500,1980,100,1058.0,1965,2022,0,-82.30236374,29.67931204,08197-004-011,0.0,292.0,0.0,41,56,0,0,1.5,1419,324427.01,1
73296,0.05,1166,3,GAINESVILLE,236402,257700,2014,100,1166.0,2014,2022,0,-82.35480709,29.70250663,07891-030-228,0.0,24.0,276.0,7,7,0,0,2.0,12916,324419.03,1
67827,0.09,1343,3,GAINESVILLE,175800,272600,1998,100,1343.0,1995,2022,0,-82.36551551,29.61296921,07295-110-000,0.0,30.0,242.0,23,26,0,0,2.0,1280,148100.84,1
64958,4.7,2200,3,ST. JOHN'S,0,524300,2008,100,2200.0,2000,2022,0,-82.423899,29.58456355,07098-014-000,0.0,168.0,616.0,13,21,0,0,2.0,4530,125332.01,1
61947,0.16,1926,4,ST. JOHN'S,228605,379800,2006,100,1926.0,2006,2022,0,-82.43509323,29.63015638,06860-366-025,0.0,331.0,380.0,15,15,0,0,2.0,1568,125317.06,1
61848,0.4,2798,4,ST. JOHN'S,232601,697800,2005,100,2238.0,2005,2022,0,-82.43818413,29.62524688,06860-362-037,560.0,396.5,682.0,16,16,0,0,3.0,14811,125317.04,1
54772,0.12,1100,3,ST. JOHN'S,153700,216800,1998,100,1100.0,1985,2022,0,-82.42118083,29.63427434,06678-015-052,0.0,20.0,336.0,23,36,0,0,2.0,378,125309.03,1
53343,1.2,3668,5,ST. JOHN'S,30406,740500,2000,100,3151.0,2000,2022,0,-82.45544667,29.63658267,06666-050-102,517.0,584.0,911.0,21,21,0,0,4.0,10531,125307.03,1
53161,0.93,2470,4,ST. JOHN'S,224300,570600,2013,100,2470.0,2013,2022,0,-82.45219721,29.64010529,06665-010-022,0.0,547.0,568.0,8,8,0,0,3.0,2171,125307.06,1
47293,0.23,1255,3,GAINESVILLE,188900,116800,1974,100,1255.0,1959,2022,0,-82.38180672,29.66835666,06399-013-000,0.0,196.0,0.0,47,62,0,0,2.0,1175,114335.12,1
46900,0.28,1753,3,GAINESVILLE,149300,289200,1990,100,1753.0,1962,2022,0,-82.38752134,29.66991238,06391-050-000,0.0,0.0,0.0,31,59,0,0,1.5,4583,114335.12,1
45913,0.24,940,3,GAINESVILLE,155500,118500,1975,100,940.0,1965,2022,0,-82.40127268,29.67217588,06355-007-000,0.0,169.0,0.0,46,56,0,0,1.0,355,114334.01,1
45705,0.23,1106,3,ST. JOHN'S,214400,163100,1975,100,1106.0,1962,2022,0,-82.40206761,29.66906081,06352-042-000,0.0,56.0,0.0,46,59,0,0,1.0,0,114334.01,1
42201,0.23,1673,3,ST. JOHN'S,28200,303400,2000,100,1673.0,1996,2022,0,-82.40030885,29.68124467,06150-001-057,0.0,126.0,399.0,21,25,0,0,2.0,404,114327.04,1
41709,0.27,1810,3,ST. JOHN'S,108700,256500,1986,100,1810.0,1986,2022,0,-82.39488315,29.68551531,06124-002-013,0.0,234.0,0.0,35,35,0,0,2.0,1145,114327.01,1
39957,0.27,1503,3,GAINESVILLE,63000,266600,1985,100,1215.0,1965,2022,0,-82.37205635,29.68159323,06095-007-012,0.0,342.0,0.0,36,56,0,0,2.0,840,134325.31,1
39785,0.24,1591,3,GAINESVILLE,93100,297100,1990,100,1591.0,1980,2022,0,-82.36459598,29.68786667,06092-014-027,0.0,45.0,552.0,31,41,0,0,2.0,3375,134325.36,1
