prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,geo_id,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,hood_cd,sl_county_ratio_cd
34603,2.3,1940,3,SUWANNEE,36700,229500,1972,100,1940.0,1962,2022,0,-82.41652302,29.71115391,06027-030-000,0.0,32.0,380.0,49,59,0,0,2.0,3410,114316.01,1
8894,0.23,725,1,NEWBERRY,138300,56300,1970,100,725.0,1952,2022,0,-82.61025527,29.64882948,02100-000-000,0.0,16.0,0.0,51,69,0,0,2.0,1080,215104.04,1
19754,0.05,1360,3,SUWANNEE,245304,279900,2017,100,1248.0,2017,2022,0,-82.47614339,29.66354849,04314-102-059,0.0,176.0,288.0,4,4,0,0,2.0,0,154235.01,1
80017,0.15,1125,3,GAINESVILLE,183000,253700,1990,100,1125.0,1940,2022,0,-82.33192791,29.66026799,09468-000-000,0.0,140.0,0.0,31,81,0,0,2.0,220,324432.03,1
80740,0.53,1692,3,GAINESVILLE,0,296400,1992,100,1692.0,1906,2022,0,-82.33643457,29.66705285,09948-000-000,0.0,312.0,0.0,29,115,0,0,1.0,2541,324432.07,1
46900,0.28,1753,3,GAINESVILLE,149300,289200,1990,100,1753.0,1962,2022,0,-82.38752134,29.66991238,06391-050-000,0.0,0.0,0.0,31,59,0,0,1.5,4583,114335.12,1
30883,0.06,1327,3,GAINESVILLE,18700,173300,2004,100,1326.5,1999,2022,0,-82.39379475,29.72478784,06006-063-052,0.0,13.5,434.0,17,22,0,0,2.0,224,114310.09,1
45705,0.23,1106,3,ST. JOHN'S,214400,163100,1975,100,1106.0,1962,2022,0,-82.40206761,29.66906081,06352-042-000,0.0,56.0,0.0,46,59,0,0,1.0,0,114334.01,1
45913,0.24,940,3,GAINESVILLE,155500,118500,1975,100,940.0,1965,2022,0,-82.40127268,29.67217588,06355-007-000,0.0,169.0,0.0,46,56,0,0,1.0,355,114334.01,1
75167,0.2,1326,2,GAINESVILLE,32600,113500,1980,100,1058.0,1965,2022,0,-82.30236374,29.67931204,08197-004-011,0.0,292.0,0.0,41,56,0,0,1.5,1419,324427.01,1
