OID_,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,Total_MISC_Val,effective_year_built,imprv_type_cd,base_area,sum_us_area,total_porch_area,total_garage_area,effective_age,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,HighSprings_A,HighSprings_B,HighSprings_C,HighSprings_D,HighSprings_E,HighSprings_F,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,MidtownEast_E,MidtownEast_F,Springtree_A,Springtree_B,Springtree_C,Tioga_A,Tioga_B,WaldoRural_A,WaldoRural_B,WaldoRural_C,swNewberry_A,swNewberry_B,swNewberry_C,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
969,18076,0.200000000000000,1224,1.000000000000000,SUWANNEE,290400,3007,2000,100,1224.000000000000000,0.000000000000000,80.000000000000000,488.000000000000000,24,243832.999999999970896,0.258967923660143,-82.456067000000004,29.688354000000000,04210-001-020,HighSprings_B,True,False,False,0.760000000000000,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.239012743267123,206697.725815865152981,209704.725815865152981,-80695.274184134847019,-37135.274184134817915,80695.274184134847019,37135.274184134817915,0.722123711487139
970,18079,0.200000000000000,1554,1.000000000000000,SUWANNEE,269400,2916,1994,100,1554.000000000000000,0.000000000000000,54.000000000000000,528.000000000000000,30,226074.000000000000000,0.258967923660143,-82.456070999999994,29.687604000000000,04210-001-023,HighSprings_B,True,False,False,0.700000000000000,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.297543660620361,219157.003000480966875,222073.003000480966875,-47326.996999519033125,-6916.996999519033125,47326.996999519033125,6916.996999519033125,0.824324435785007
971,18091,0.200000000000000,1476,1.000000000000000,SUWANNEE,306300,4700,1998,100,1476.000000000000000,0.000000000000000,80.000000000000000,488.000000000000000,26,255654.999999999970896,0.258967923660143,-82.455624000000000,29.687557999999999,04210-001-035,HighSprings_B,True,False,False,0.740000000000000,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.328123662283756,225962.347927434777375,230662.347927434777375,-75637.652072565222625,-29692.652072565193521,75637.652072565222625,29692.652072565193521,0.753060228297208
972,18092,0.200000000000000,2034,1.000000000000000,SUWANNEE,362700,7135,2005,100,2034.000000000000000,0.000000000000000,0.000000000000000,528.000000000000000,19,301160.000000000000000,0.258967923660143,-82.455622000000005,29.687821000000000,04210-001-036,HighSprings_B,True,False,False,0.810000000000000,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.594336693885595,294883.810163771209773,302018.810163771209773,-60681.189836228790227,-6276.189836228790227,60681.189836228790227,6276.189836228790227,0.832695919944227
1166,20007,1.150000000000000,2527,1.150000000000000,SUWANNEE,401700,18667,1994,100,2527.000000000000000,0.000000000000000,132.000000000000000,529.000000000000000,30,322778.000000000000000,1.489065561045823,-82.456063999999998,29.665832000000002,04321-003-000,HighSprings_B,True,False,False,0.700000000000000,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.882459599116727,393351.777694012678694,412018.777694012678694,10318.777694012678694,70573.777694012678694,10318.777694012678694,70573.777694012678694,1.025687771207400
2414,35044,0.650000000000000,2375,1.150000000000000,ST. JOHN'S,425000,16050,1994,100,2375.000000000000000,0.000000000000000,0.000000000000000,598.000000000000000,30,345200.000000000000000,0.841645751895465,-82.422664999999995,29.691262999999999,06040-001-001,HighSprings_B,True,False,False,0.700000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.763180513768416,349123.327877126983367,365173.327877126983367,-59826.672122873016633,3923.327877126983367,59826.672122873016633,3923.327877126983367,0.859231359710887
2415,35050,0.680000000000000,2490,1.150000000000000,ST. JOHN'S,435400,7237,1994,100,2490.000000000000000,0.000000000000000,53.000000000000000,594.000000000000000,30,362853.000000000000000,0.880490940444487,-82.425234000000003,29.691255000000002,06040-001-007,HighSprings_B,True,False,False,0.700000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.831013299054936,373627.017381938290782,380864.017381938290782,-54535.982618061709218,10774.017381938290782,54535.982618061709218,10774.017381938290782,0.874745101933712
2416,35055,0.650000000000000,2984,1.150000000000000,ST. JOHN'S,420400,19280,1997,100,2478.000000000000000,0.000000000000000,521.000000000000000,0.000000000000000,27,338060.000000000000000,0.841645751895465,-82.423520999999994,29.690553000000001,06040-001-012,HighSprings_B,True,False,False,0.730000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.878212566478849,391684.742338492826093,410964.742338492826093,-9435.257661507173907,53624.742338492826093,9435.257661507173907,53624.742338492826093,0.977556475591087
2417,35064,0.680000000000000,2138,1.150000000000000,ST. JOHN'S,367000,12908,1994,100,2138.000000000000000,0.000000000000000,288.000000000000000,560.000000000000000,30,299041.999999999941792,0.880490940444487,-82.425241000000000,29.689969000000001,06040-001-021,HighSprings_B,True,False,False,0.700000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.747932931186646,343840.419247912301216,356748.419247912301216,-10251.580752087698784,44798.419247912359424,10251.580752087698784,44798.419247912359424,0.972066537460252
2418,35071,0.680000000000000,2935,1.150000000000000,ST. JOHN'S,416500,26783,1994,100,2935.000000000000000,0.000000000000000,135.000000000000000,506.000000000000000,30,327242.000000000000000,0.880490940444487,-82.422675999999996,29.689247999999999,06040-001-028,HighSprings_B,True,False,False,0.700000000000000,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.939972513672265,416637.789776483725291,443420.789776483725291,26920.789776483725291,89395.789776483725291,26920.789776483725291,89395.789776483725291,1.064635749763466
