OBJECTID,Join_Count,TARGET_FID,Field1,prop_id,centroid_x,centroid_y,quality,actage,lotsize,effage,market_area_cd,FSP_area,FGR_area,FSP,FGR,Total_Area,livarea,SOURCE_ID,Cluster_ID,Membership Probability
1,1,42690,42690,70800,-82.3371677,29.87692459,1.318524992,1.145675374,1.341752842,0.682613141,1.686327198,-0.424528137,2.765588565,0,1,5328,4.488217937,1,C4,0.044
2,1,42691,42691,70807,-82.34095794,29.86891531,-0.482174075,-0.607744676,-0.025052741,0.293636773,1.686327198,-0.424528137,-0.155845089,0,1,1216,-0.763657936,2,C4,0.044
3,1,42692,42692,70813,-82.34284732,29.86731163,-2.282873141,-0.337987745,0.114218918,0.682613141,1.686327198,-0.424528137,-1.027914836,0,0,984,-1.059969999,3,C4,0.044
4,1,42693,42693,70820,-82.34666325,29.86884144,-0.482174075,-1.461974956,1.309364084,-2.169880229,1.686327198,-0.424528137,-1.027914836,0,0,1000,-1.039534684,4,C4,0.044
5,1,42694,42694,70824,-82.34672557,29.87242884,-0.482174075,-1.05733956,1.309364084,-1.002951123,1.686327198,-0.424528137,-1.027914836,0,0,1160,-0.835181537,5,C4,0.044
6,1,42695,42695,70829,-82.343962,29.86836147,-0.482174075,-1.327096491,1.309364084,-1.78090386,1.686327198,-0.424528137,-1.027914836,0,0,1200,-0.78409325,6,C4,0.044
7,1,42696,42696,70830,-82.34503455,29.86773699,1.318524992,-1.05733956,1.309364084,-1.002951123,1.686327198,-0.424528137,2.460364154,0,1,3120,1.668144511,7,C4,0.044
8,1,42697,42697,70831,-82.34254087,29.86896821,-2.282873141,3.753325704,0.61300579,0.682613141,1.686327198,-0.424528137,-1.027914836,0,0,1128,-0.876052167,8,C4,0.044
9,1,42698,42698,70837,-82.35137202,29.86963427,-0.482174075,-1.102299049,1.027581891,-1.132609912,1.686327198,-0.424528137,-1.027914836,0,0,1008,-1.029317027,9,C4,0.044
10,1,42699,42699,70842,-82.35140803,29.86780002,-0.482174075,0.066647651,1.309364084,0.682613141,1.686327198,0.651890819,-1.027914836,1,0,1621,-0.246389033,10,C4,0.044
11,1,42700,42700,70845,-82.34824346,29.86780449,-0.482174075,-0.20310928,1.309364084,0.682613141,1.686327198,-0.424528137,-1.027914836,0,0,1570,-0.311526599,11,C4,0.044
12,1,42701,42701,70854,-82.34428157,29.86360788,-2.282873141,0.516242535,-0.028291617,0.682613141,1.686327198,-0.424528137,-1.027914836,0,0,1056,-0.968011083,12,C4,0.044
13,1,42702,42702,70855,-82.34346616,29.86353244,-4.083572208,1.325513327,-0.209668661,0.682613141,1.686327198,-0.424528137,-1.027914836,0,0,634,-1.506992507,13,C4,0.044
14,1,42703,42703,70865,-82.34558348,29.86150777,-0.482174075,-1.192218026,-0.008858362,-1.391927491,1.686327198,0.786443188,-1.027914836,1,0,1209,-0.772598386,14,C4,0.044
15,1,42704,42704,70867,-82.34497971,29.86198125,-0.482174075,-1.192218026,0.017052644,-1.391927491,1.686327198,0.786443188,-1.027914836,1,0,1209,-0.772598386,15,C4,0.044
16,1,42705,42705,70870,-82.34228745,29.86378445,-2.282873141,0.875918443,2.585481146,0.682613141,1.686327198,-0.424528137,-1.027914836,0,0,480,-1.703682411,16,C4,0.044
17,1,42706,42706,70871,-82.3415756,29.86104751,-2.282873141,3.753325704,0.013813769,0.682613141,1.686327198,-0.424528137,-1.027914836,0,0,720,-1.397152691,17,C4,0.044
18,1,42707,42707,70872,-82.34559972,29.86031959,-2.282873141,0.875918443,-0.038008244,0.682613141,1.686327198,-0.065721818,-1.027914836,1,0,1080,-0.937358111,18,C4,0.044
19,1,42708,42708,70875,-82.34296675,29.86104829,-0.482174075,0.021688162,0.013813769,0.682613141,1.686327198,-0.424528137,-1.027914836,0,0,1760,-0.068857237,19,C4,0.044
20,1,42709,42709,70880,-82.34620167,29.86049158,-0.482174075,3.753325704,1.212197811,0.682613141,1.686327198,-0.424528137,-1.027914836,0,0,1444,-0.472454702,20,C4,0.044
21,1,42710,42710,70881,-82.34423517,29.86588021,-0.482174075,-0.742623141,1.309364084,-0.095339596,1.686327198,-0.424528137,1.243100131,0,1,1800,-0.01776895,21,C4,0.044
22,1,42711,42711,70883,-82.34232851,29.8654658,-0.482174075,0.38136407,0.049441402,0.682613141,1.686327198,-0.424528137,-1.027914836,0,0,1328,-0.620610733,22,C4,0.044
23,1,42712,42712,70911,-82.31173406,29.84686959,-0.482174075,-0.742623141,6.167677769,-0.224998385,1.686327198,-0.424528137,0.730759155,0,1,2011,0.251721762,23,C4,0.042
24,1,42713,42713,70919,-82.31460734,29.85505022,-2.282873141,3.753325704,2.523942506,0.682613141,1.686327198,-0.424528137,-1.027914836,0,0,640,-1.499329264,24,C4,0.044
25,1,42714,42714,70920,-82.3174923,29.85584184,-2.282873141,-0.113190303,1.335275091,0.682613141,1.686327198,-0.424528137,-1.027914836,0,0,584,-1.570852866,25,C4,0.044
26,1,42715,42715,70922,-82.31562478,29.85433712,-0.482174075,3.753325704,1.309364084,0.682613141,1.686327198,1.656548511,-1.027914836,1,0,981,-1.06380162,26,C4,0.046
27,1,42716,42716,70925,-82.3291071,29.85552177,-2.282873141,1.145675374,1.390335979,0.682613141,1.686327198,-0.424528137,-1.027914836,0,0,1028,-1.003772883,27,C4,0.044
28,1,42717,42717,70949,-82.34778828,29.85509098,-0.482174075,2.179743608,0.036485899,0.682613141,1.686327198,-0.424528137,-1.027914836,0,0,984,-1.059969999,28,C4,0.044
29,1,42718,42718,70950,-82.34826454,29.85250809,-0.482174075,-0.158149791,1.387097103,0.682613141,1.686327198,-0.424528137,-1.027914836,0,0,1552,-0.334516328,29,C4,0.044
30,1,42719,42719,70961,-82.34490882,29.85677575,-0.482174075,-0.158149791,0.117457794,0.682613141,1.686327198,-0.424528137,-1.027914836,0,0,1652,-0.206795611,30,C4,0.044
31,1,42720,42720,70962,-82.34716418,29.85689914,-0.482174075,3.753325704,0.839727095,0.682613141,1.686327198,-0.424528137,-1.027914836,0,0,1716,-0.125054352,31,C4,0.044
32,1,42721,42721,70964,-82.34626958,29.85614332,-0.482174075,-1.05733956,0.191951937,-1.002951123,1.686327198,0.889600005,-1.027914836,1,0,2032,0.279181716,32,C4,0.044
33,1,42722,42722,70966,-82.34352212,29.85613575,-0.482174075,-1.327096491,0.05915803,-1.78090386,1.686327198,0.786443188,-1.027914836,1,0,1000,-1.039534684,33,C4,0.044
34,1,42723,42723,70970,-82.3443511,29.85853724,-0.482174075,0.696080489,2.925563103,0.682613141,1.686327198,-0.424528137,-1.027914836,0,0,1164,-0.830072708,34,C4,0.044
35,1,42724,42724,70972,-82.34505611,29.85931199,-0.482174075,0.201526116,-0.00238061,0.682613141,1.686327198,-0.424528137,-1.027914836,0,0,1040,-0.988446397,35,C4,0.044
36,1,42725,42725,70983,-82.35671929,29.84526542,-0.482174075,-1.012380072,1.445396868,-0.873292333,1.686327198,-0.424528137,0.727125531,0,1,1963,0.190415818,36,C4,0.044
37,1,42726,42726,70987,-82.35825263,29.84670966,-0.482174075,-1.05733956,1.390335979,-1.002951123,1.686327198,0.831293978,0.694422915,1,1,2404,0.753664179,37,C4,0.044
38,1,42727,42727,70994,-82.35452206,29.84345061,1.318524992,-1.05733956,1.338513967,-1.002951123,1.686327198,-0.424528137,0.894272232,0,1,2475,0.844345888,38,C4,0.044
39,1,42728,42728,70996,-82.3550307,29.84128616,1.318524992,-1.596853422,1.31260296,-2.558856597,1.686327198,-0.424528137,1.246733755,0,1,2321,0.647655984,39,C4,0.044
40,1,42729,42729,71002,-82.35242967,29.84718555,-0.482174075,-0.742623141,1.668879297,-0.095339596,1.686327198,-0.424528137,0.498207222,0,1,1537,-0.353674435,40,C4,0.044
41,1,42730,42730,71007,-82.34777321,29.85073715,-0.482174075,0.875918443,0.013813769,0.682613141,1.686327198,2.158877356,-1.027914836,1,0,1752,-0.079074894,41,C4,0.044
42,1,42731,42731,71008,-82.34827887,29.85136541,-0.482174075,-0.652704164,0.609766914,0.163977983,1.686327198,1.194585376,0.803431634,1,1,1740,-0.093762776,42,C4,0.044
43,1,42732,42732,71012,-82.35042213,29.85000696,-0.482174075,-1.102299049,1.613818409,-1.132609912,1.686327198,1.647578353,0.498207222,1,1,1568,-0.314081013,43,C4,0.044
44,1,42733,42733,71022,-82.34776972,29.84733042,-0.482174075,-1.64181291,0.247012825,-2.688515387,1.686327198,1.190100297,0.251120793,1,1,1170,-0.822409465,44,C4,0.044
45,1,42734,42734,71027,-82.34775745,29.8464381,-0.482174075,3.753325704,0.24377395,0.682613141,1.686327198,-0.424528137,-1.027914836,0,0,1463,-0.448187765,45,C4,0.044
46,1,42735,42735,71031,-82.3420317,29.85946954,-0.482174075,-1.192218026,0.661588927,-1.391927491,1.686327198,0.786443188,-1.027914836,1,0,1017,-1.017822162,46,C4,0.044
47,1,42736,42736,71032,-82.33994025,29.8594837,-0.482174075,-1.686772399,0.337701348,-2.818174176,1.686327198,-0.424528137,0.425534743,0,1,1394,-0.53631506,47,C4,0.044
48,1,42737,42737,71040,-82.35348317,29.84887601,-0.482174075,-1.551893933,8.111003243,-2.429197808,1.686327198,-0.424528137,-1.027914836,0,0,1872,0.074189966,48,C4,0.044
49,1,42738,42738,71044,-82.35672017,29.8490764,-0.482174075,-0.248068768,0.013813769,0.682613141,1.686327198,-0.424528137,-1.027914836,0,0,1152,-0.845399194,49,C4,0.044
50,1,42739,42739,71051,-82.35948012,29.84133978,-0.482174075,0.606161512,1.267258699,0.682613141,1.686327198,-0.424528137,-1.027914836,0,0,1744,-0.089292551,50,C4,0.044
51,1,42740,42740,71054,-82.35042146,29.84095476,-0.482174075,2.179743608,-0.106024636,0.552954352,1.686327198,-0.424528137,-1.027914836,0,0,1680,-0.17103381,51,C4,0.044
52,1,42741,42741,71055,-82.3508973,29.84158009,-0.482174075,0.785999466,1.309364084,0.682613141,1.686327198,-0.424528137,-1.027914836,0,0,1269,-0.695965956,52,C4,0.044
53,1,42742,42742,71061,-82.31705964,29.83978899,-0.482174075,-0.517825699,0.778188455,0.552954352,1.686327198,-0.424528137,-1.027914836,0,0,1798,-0.020323364,53,C4,0.044
